energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.25085039,0.01560608,0.36853962,1.74620927,0.83012142,0.01329889,0.84442944,0.35337705,0.09606301
-5.99399700,2.19185941,0.01508957,0.35800564,1.68724977,0.80828607,0.01358262,0.82295971,0.33845398,0.09414933
-5.98799400,2.12476046,0.01449554,0.34566704,1.62018752,0.78314521,0.01386862,0.79916795,0.32236357,0.09202915
-5.98199100,2.05086486,0.01383593,0.33176647,1.54624452,0.75519650,0.01415620,0.77350759,0.30534571,0.08974442
-5.97598799,1.97154603,0.01312358,0.31656649,1.46672631,0.72496749,0.01444392,0.74644021,0.28765066,0.08733720
-5.96998499,1.88819789,0.01237185,0.30034164,1.38298422,0.69299971,0.01472948,0.71842143,0.26953222,0.08484830
-5.96398199,1.80219573,0.01159422,0.28337062,1.29637832,0.65983332,0.01500973,0.68988830,0.25124099,0.08231617
-5.95797899,1.71486131,0.01080402,0.26592883,1.20824260,0.62599316,0.01528071,0.66124865,0.23301834,0.07977592
-5.95197599,1.62743347,0.01001404,0.24828159,1.11985350,0.59197665,0.01553773,0.63287292,0.21509107,0.07725869
-5.94597299,1.54104551,0.00923636,0.23067829,1.03240301,0.55824404,0.01577554,0.60508872,0.19766703,0.07479140
-5.93996998,1.45670970,0.00848209,0.21334760,0.94697700,0.52521116,0.01598855,0.57817829,0.18093185,0.07239670
-5.93396698,1.37530916,0.00776126,0.19649391,0.86453921,0.49324493,0.01617105,0.55237871,0.16504679,0.07009329
-5.92796398,1.29759675,0.00708275,0.18029500,0.78592106,0.46266135,0.01631754,0.52788457,0.15014768,0.06789657
-5.92196098,1.22420019,0.00645422,0.16490092,0.71181707,0.43372605,0.01642299,0.50485283,0.13634493,0.06581936
-5.91595798,1.15563233,0.00588216,0.15043395,0.64278552,0.40665673,0.01648317,0.48340914,0.12372443,0.06387288
-5.90995498,1.09230521,0.00537195,0.13698967,0.57925353,0.38162730,0.01649489,0.46365518,0.11234917,0.06206777
-5.90395198,1.03454649,0.00492796,0.12463866,0.52152588,0.35877308,0.01645626,0.44567625,0.10226143,0.06041500
-5.89794897,0.98261652,0.00455362,0.11342895,0.46979655,0.33819658,0.01636688,0.42954847,0.09348535,0.05892681
-5.89194597,0.93672475,0.00425159,0.10338879,0.42416202,0.31997328,0.01622791,0.41534505,0.08602952,0.05761732
-5.88594297,0.89704392,0.00402382,0.09452959,0.38463532,0.30415707,0.01604216,0.40314103,0.07988964,0.05650301
-5.87993997,0.86372114,0.00387168,0.08684885,0.35115998,0.29078463,0.01581397,0.39301622,0.07505084,0.05560281
-5.87393697,0.83688479,0.00379602,0.08033290,0.32362309,0.27987890,0.01554915,0.38505588,0.07148972,0.05493797
-5.86793397,0.81664697,0.00379722,0.07495928,0.30186681,0.27145094,0.01525471,0.37934927,0.06917589,0.05453146
-5.86193097,0.80310127,0.00387517,0.07069866,0.28569789,0.26550048,0.01493860,0.37598599,0.06807297,0.05440717
-5.85592796,0.79631611,0.00402933,0.06751633,0.27489497,0.26201501,0.01460940,0.37505041,0.06813915,0.05458877
-5.84992496,0.79632426,0.00425856,0.06537305,0.26921352,0.26096765,0.01427589,0.37661444,0.06932716,0.05509836
-5.84392196,0.80310941,0.00456115,0.06422551,0.26838863,0.26231399,0.01394672,0.38072928,0.07158393,0.05595495
-5.83791896,0.81659084,0.00493466,0.06402627,0.27213574,0.26598827,0.01362998,0.38741660,0.07484987,0.05717289
-5.83191596,0.83660760,0.00537581,0.06472339,0.28015001,0.27189939,0.01333285,0.39665982,0.07905798,0.05876031
-5.82591296,0.86290340,0.00588040,0.06625980,0.29210449,0.27992697,0.01306130,0.40839612,0.08413297,0.06071771
-5.81990995,0.89511375,0.00644318,0.06857257,0.30764800,0.28991810,0.01281978,0.42250982,0.08999046,0.06303670
-5.81390695,0.93275645,0.00705777,0.07159216,0.32640307,0.30168512,0.01261105,0.43882774,0.09653650,0.06569914
-5.80790395,0.97522678,0.00771665,0.07524184,0.34796475,0.31500466,0.01243610,0.45711696,0.10366747,0.06867658
-5.80190095,1.02179814,0.00841111,0.07943742,0.37190061,0.32961852,0.01229408,0.47708536,0.11127053,0.07193020
-5.79589795,1.07162881,0.00913132,0.08408728,0.39775267,0.34523617,0.01218239,0.49838524,0.11922472,0.07541120
-5.78989495,1.12377518,0.00986645,0.08909291,0.42504129,0.36153942,0.01209682,0.52062002,0.12740274,0.07906169
-5.78389195,1.17721132,0.01060478,0.09434992,0.45327153,0.37818883,0.01203176,0.54335398,0.13567336,0.08281613
-5.77788894,1.23085450,0.01133398,0.09974957,0.48194175,0.39483192,0.01198049,0.56612467,0.14390460,0.08660312
-5.77188594,1.28359591,0.01204133,0.10518081,0.51055455,0.41111297,0.01193552,0.58845779,0.15196741,0.09034771
-5.76588294,1.33433538,0.01271405,0.11053276,0.53862956,0.42668384,0.01188892,0.60988373,0.15973989,0.09397395
-5.75987994,1.38201891,0.01333966,0.11569755,0.56571780,0.44121561,0.01183268,0.62995529,0.16711181,0.09740768
-5.75387694,1.42567710,0.01390635,0.12057334,0.59141681,0.45441033,0.01175912,0.64826569,0.17398918,0.10057943
-5.74787394,1.46446308,0.01440335,0.12506755,0.61538609,0.46601248,0.01166118,0.66446615,0.18029891,0.10342730
-5.74187094,1.49768790,0.01482127,0.12909992,0.63736174,0.47581952,0.01153274,0.67828213,0.18599297,0.10589963
-5.73586793,1.52485175,0.01515248,0.13260544,0.65716977,0.48369095,0.01136888,0.68952751,0.19105213,0.10795746
-5.72986493,1.54566923,0.01539137,0.13553678,0.67473706,0.48955553,0.01116602,0.69811587,0.19548891,0.10957649
-5.72386193,1.56008751,0.01553456,0.13786634,0.69009921,0.49341603,0.01092212,0.70406836,0.19934953,0.11074859
-5.71785893,1.56829594,0.01558112,0.13958746,0.70340472,0.49535136,0.01063667,0.70751763,0.20271476,0.11148267
-5.71185593,1.57072662,0.01553258,0.14071500,0.71491480,0.49551583,0.01031068,0.70870747,0.20569953,0.11180490
-5.70585293,1.56804535,0.01539297,0.14128498,0.72499861,0.49413538,0.00994665,0.70798809,0.20845110,0.11175821
-5.69984992,1.56113319,0.01516867,0.14135340,0.73412364,0.49150099,0.00954838,0.70580698,0.21114599,0.11140117
-5.69384692,1.55105912,0.01486832,0.14099419,0.74284143,0.48795926,0.00912081,0.70269586,0.21398550,0.11080607
-5.68784392,1.53904464,0.01450249,0.14029635,0.75176888,0.48390071,0.00866982,0.69925385,0.21719007,0.11005657
-5.68184092,1.52642172,0.01408339,0.13936037,0.76156570,0.47974611,0.00820195,0.69612775,0.22099250,0.10924474
-5.67583792,1.51458582,0.01362452,0.13829419,0.77290885,0.47593130,0.00772417,0.69399003,0.22563043,0.10846776
-5.66983492,1.50494573,0.01314026,0.13720862,0.78646481,0.47289142,0.00724363,0.69351553,0.23133816,0.10782438
-5.66383192,1.49887249,0.01264544,0.13621266,0.80286089,0.47104485,0.00676740,0.69535775,0.23833828,0.10741130
-5.65782891,1.49764938,0.01215496,0.13540881,0.82265678,0.47077777,0.00630223,0.70012569,0.24683328,0.10731959
-5.65182591,1.50242527,0.01168337,0.13488856,0.84631753,0.47242995,0.00585441,0.70836231,0.25699763,0.10763144
-5.64582291,1.51417317,0.01124453,0.13472837,0.87418937,0.47628238,0.00542957,0.72052542,0.26897056,0.10841710
-5.63981991,1.53365589,0.01085129,0.13498620,0.90647940,0.48254722,0.00503256,0.73697185,0.28284992,0.10973257
