energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Ti_p_up,Ti_d_up
-6.00000000,4.60623198,0.00130825,3.23994198,0.21355931,0.00681135,3.22855128,1.46907471
-5.99399700,4.64980608,0.00130074,3.28473976,0.20638829,0.00678994,3.29503749,1.49169056
-5.98799400,4.71098155,0.00128970,3.34165343,0.19996692,0.00680776,3.37274444,1.51900688
-5.98199100,4.78861355,0.00127528,3.40983702,0.19427030,0.00686407,3.46057360,1.55051370
-5.97598799,4.88123218,0.00125780,3.48820288,0.18927845,0.00695730,3.55720386,1.58560206
-5.96998499,4.98708592,0.00123771,3.57545366,0.18497724,0.00708502,3.66112490,1.62358276
-5.96398199,5.10418974,0.00121565,3.67011817,0.18135883,0.00724402,3.77067428,1.66370643
-5.95797899,5.23037604,0.00119234,3.77058975,0.17842136,0.00743039,3.88407734,1.70518412
-5.95197599,5.36334723,0.00116867,3.87516612,0.17616833,0.00763959,3.99948844,1.74720776
-5.94597299,5.50072819,0.00114557,3.98208918,0.17460742,0.00786662,4.11503251,1.78896980
-5.93996998,5.64011737,0.00112402,4.08958396,0.17374907,0.00810606,4.22884549,1.82968154
-5.93396698,5.77913518,0.00110504,4.19589533,0.17360487,0.00835232,4.33911254,1.86858945
-5.92796398,5.91546854,0.00108961,4.29932185,0.17418578,0.00859970,4.44410297,1.90498934
-5.92196098,6.04691063,0.00107863,4.39824575,0.17550045,0.00884255,4.54220088,1.93823799
-5.91595798,6.17139525,0.00107295,4.49115864,0.17755348,0.00907546,4.63193099,1.96776210
-5.90995498,6.28702508,0.00107325,4.57668255,0.18034391,0.00929331,4.71197904,1.99306457
-5.90395198,6.39209383,0.00108008,4.65358611,0.18386386,0.00949147,4.78120661,2.01372823
-5.89794897,6.48510212,0.00109381,4.72079594,0.18809744,0.00966583,4.83866044,2.02941717
-5.89194597,6.56476736,0.00111462,4.77740343,0.19301981,0.00981290,4.88357646,2.03987597
-5.88594297,6.63002809,0.00114249,4.82266740,0.19859659,0.00992988,4.91537914,2.04492721
-5.87993997,6.68004330,0.00117719,4.85601301,0.20478346,0.01001467,4.93367666,2.04446755
-5.87393697,6.71418756,0.00121830,4.87702768,0.21152603,0.01006586,4.93825295,2.03846288
-5.86793397,6.73204260,0.00126523,4.88545448,0.21875987,0.01008274,4.92905714,2.02694276
-5.86193097,6.73338637,0.00131720,4.88118387,0.22641083,0.01006527,4.90619148,2.00999473
-5.85592796,6.71818021,0.00137330,4.86424424,0.23439550,0.01001400,4.86989852,1.98775853
-5.84992496,6.68655503,0.00143248,4.83479184,0.24262183,0.00993000,4.82054804,1.96042066
-5.84392196,6.63879705,0.00149361,4.79310070,0.25098998,0.00981483,4.75862462,1.92820924
-5.83791896,6.57533376,0.00155552,4.73955261,0.25939325,0.00967042,4.68471581,1.89138953
-5.83191596,6.49672037,0.00161699,4.67462776,0.26771931,0.00949899,4.59950153,1.85025976
-5.82591296,6.40362718,0.00167680,4.59889575,0.27585149,0.00930299,4.50374440,1.80514760
-5.81990995,6.29682774,0.00173378,4.51300728,0.28367031,0.00908502,4.39828107,1.75640683
