energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.58927818,0.01087602,0.20519300,0.33052447,0.68114330,0.37812966,0.23275369,0.68245156,0.00000000
-5.99399700,1.55353014,0.01115648,0.19989642,0.31640409,0.67289575,0.36191500,0.22592462,0.66662244,0.00000000
-5.98799400,1.52524331,0.01158147,0.19508245,0.30526612,0.66686253,0.34819220,0.22049488,0.65493111,0.00000000
-5.98199100,1.50465684,0.01215717,0.19076900,0.29711379,0.66304512,0.33711787,0.21659518,0.64747865,0.00000000
-5.97598799,1.49193508,0.01288756,0.18698037,0.29190327,0.66143553,0.32881615,0.21433740,0.64430908,0.00000000
-5.96998499,1.48717280,0.01377408,0.18374891,0.28954912,0.66202010,0.32337882,0.21381204,0.64541224,0.00000000
-5.96398199,1.49039849,0.01481528,0.18111582,0.28992996,0.66478232,0.32086529,0.21508548,0.65072662,0.00000000
-5.95797899,1.50157591,0.01600656,0.17913085,0.29289395,0.66970439,0.32130214,0.21819736,0.66014211,0.00000000
-5.95197599,1.52060350,0.01733989,0.17785118,0.29826402,0.67676751,0.32468252,0.22315817,0.67350243,0.00000000
-5.94597299,1.54731215,0.01880373,0.17733926,0.30584270,0.68595081,0.33096531,0.22994714,0.69060734,0.00000000
-5.93996998,1.58146145,0.02038294,0.17765995,0.31541643,0.69722909,0.34007420,0.23851059,0.71121469,0.00000000
-5.93396698,1.62273510,0.02205887,0.17887694,0.32675941,0.71056940,0.35189700,0.24876106,0.73504238,0.00000000
-5.92796398,1.67073596,0.02380960,0.18104871,0.33963695,0.72592679,0.36628512,0.26057708,0.76177040,0.00000000
-5.92196098,1.72498166,0.02561025,0.18422434,0.35380843,0.74323947,0.38305372,0.27380399,0.79104312,0.00000000
-5.91595798,1.78490121,0.02743349,0.18843919,0.36902993,0.76242361,0.40198244,0.28825569,0.82247204,0.00000000
-5.90995498,1.84983357,0.02925017,0.19371085,0.38505661,0.78336833,0.42281714,0.30371750,0.85563911,0.00000000
-5.90395198,1.91902855,0.03103005,0.20003555,0.40164491,0.80593106,0.44527252,0.31995008,0.89010086,0.00000000
-5.89794897,1.99165079,0.03274261,0.20738515,0.41855479,0.82993369,0.46903600,0.33669433,0.92539335,0.00000000
-5.89194597,2.06678695,0.03435798,0.21570503,0.43555191,0.85515993,0.49377258,0.35367723,0.96103815,0.00000000
-5.88594297,2.14345653,0.03584783,0.22491286,0.45240991,0.88135405,0.51913091,0.37061839,0.99654916,0.00000000
-5.87993997,2.22062610,0.03718628,0.23489848,0.46891287,0.90822134,0.54475023,0.38723715,1.03144044,0.00000000
-5.87393697,2.29722697,0.03835072,0.24552492,0.48485783,0.93543039,0.57026827,0.40326004,1.06523470,0.00000000
-5.86793397,2.37217577,0.03932262,0.25663047,0.50005749,0.96261740,0.59532956,0.41842808,1.09747251,0.00000000
-5.86193097,2.44439742,0.04008809,0.26803191,0.51434303,0.98939237,0.61959422,0.43250401,1.12772174,0.00000000
-5.85592796,2.51284995,0.04063838,0.27952874,0.52756693,1.01534719,0.64274660,0.44527880,1.15558718,0.00000000
-5.84992496,2.57654997,0.04097009,0.29090824,0.53960579,1.04006535,0.66450366,0.45657741,1.18071985,0.00000000
-5.84392196,2.63459832,0.04108529,0.30195130,0.55036309,1.06313303,0.68462259,0.46626336,1.20282570,0.00000000
-5.83791896,2.68620451,0.04099133,0.31243870,0.55977162,1.08415113,0.70290745,0.47424211,1.22167341,0.00000000
-5.83191596,2.73070921,0.04070050,0.32215773,0.56779570,1.10274789,0.71921444,0.48046288,1.23710083,0.00000000
-5.82591296,2.76760374,0.04022951,0.33090885,0.57443288,1.11859134,0.73345558,0.48491904,1.24901990,0.00000000
-5.81990995,2.79654575,0.03959878,0.33851202,0.57971510,1.13140138,0.74560060,0.48764687,1.25741959,0.00000000
-5.81390695,2.81737015,0.03883161,0.34481275,0.58370915,1.14096054,0.75567686,0.48872286,1.26236685,0.00000000
-5.80790395,2.83009498,0.03795331,0.34968724,0.58651635,1.14712320,0.76376736,0.48825963,1.26400521,0.00000000
-5.80190095,2.83492154,0.03699022,0.35304677,0.58827128,1.14982256,0.77000673,0.48640065,1.26255120,0.00000000
-5.79589795,2.83222871,0.03596882,0.35484077,0.58913966,1.14907505,0.77457542,0.48331403,1.25828839,0.00000000
-5.78989495,2.82256149,0.03491479,0.35505883,0.58931504,1.14498182,0.77769222,0.47918557,1.25155936,0.00000000
-5.78389195,2.80661389,0.03385227,0.35373112,0.58901464,1.13772704,0.77960546,0.47421152,1.24275563,0.00000000
-5.77788894,2.78520685,0.03280319,0.35092752,0.58847407,1.12757310,0.78058309,0.46859116,1.23230593,0.00000000
-5.77188594,2.75926163,0.03178673,0.34675531,0.58794110,1.11485265,0.78090212,0.46251969,1.22066316,0.00000000
-5.76588294,2.72976980,0.03081901,0.34135546,0.58766870,1.09995774,0.78083772,0.45618152,1.20829041,0.00000000
-5.75987994,2.69776061,0.02991290,0.33489772,0.58790732,1.08332649,0.78065256,0.44974445,1.19564652,0.00000000
-5.75387694,2.66426707,0.02907806,0.32757468,0.58889677,1.06542763,0.78058655,0.44335460,1.18317167,0.00000000
-5.74787394,2.63029184,0.02832112,0.31959497,0.59085786,1.04674374,0.78084760,0.43713263,1.17127346,0.00000000
-5.74187094,2.59677424,0.02764595,0.31117594,0.59398414,1.02775360,0.78160361,0.43117097,1.16031409,0.00000000
-5.73586793,2.56455951,0.02705418,0.30253603,0.59843404,1.00891458,0.78297598,0.42553242,1.15059883,0.00000000
-5.72986493,2.53437146,0.02654564,0.29388717,0.60432367,0.99064575,0.78503500,0.42024980,1.14236655,0.00000000
-5.72386193,2.50678961,0.02611897,0.28542756,0.61172073,0.97331234,0.78779711,0.41532693,1.13578229,0.00000000
-5.71785893,2.48223151,0.02577216,0.27733504,0.62063970,0.95721240,0.79122419,0.41074045,1.13093245,0.00000000
-5.71185593,2.46094102,0.02550314,0.26976134,0.63103869,0.94256600,0.79522498,0.40644268,1.12782248,0.00000000
-5.70585293,2.44298281,0.02531020,0.26282745,0.64281803,0.92950770,0.79965834,0.40236514,1.12637747,0.00000000
-5.69984992,2.42824340,0.02519239,0.25662026,0.65582090,0.91808239,0.80433840,0.39842264,1.12644531,0.00000000
-5.69384692,2.41643858,0.02514981,0.25119063,0.66983596,0.90824479,0.80904129,0.39451770,1.12780247,0.00000000
-5.68784392,2.40712685,0.02518371,0.24655291,0.68460203,0.89986265,0.81351318,0.39054526,1.13016221,0.00000000
