energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.52141717,0.60928362,1.65561978,0.00562041,0.08908145,0.39046947,0.30467625,0.00994683,0.40502694
-5.99399700,2.49865115,0.59815027,1.64501740,0.00526804,0.08654989,0.37828075,0.30135818,0.00951173,0.40308167
-5.98799400,2.48271415,0.59006314,1.63889991,0.00493123,0.08442260,0.36701146,0.29877033,0.00908459,0.40165972
-5.98199100,2.47320325,0.58485220,1.63689323,0.00461427,0.08268824,0.35664364,0.29692113,0.00867468,0.40072892
-5.97598799,2.46955622,0.58229578,1.63852463,0.00432055,0.08133111,0.34713799,0.29579480,0.00829044,0.40023865
-5.96998499,2.47106304,0.58212360,1.64323267,0.00405254,0.08033147,0.33843547,0.29535165,0.00793930,0.40012116
-5.96398199,2.47688362,0.58402131,1.65038069,0.00381184,0.07966601,0.33045964,0.29552948,0.00762752,0.40029356
-5.95797899,2.48607106,0.58763641,1.65927390,0.00359918,0.07930836,0.32311964,0.29624601,0.00736010,0.40066042
-5.95197599,2.49760011,0.59258559,1.66917952,0.00341459,0.07922963,0.31631377,0.29740221,0.00714067,0.40111699
-5.94597299,2.51039972,0.59846320,1.67934941,0.00325743,0.07939910,0.30993339,0.29888640,0.00697158,0.40155276
-5.93996998,2.52338863,0.60485077,1.68904436,0.00312662,0.07978485,0.30386715,0.30057904,0.00685389,0.40185537
-5.93396698,2.53551249,0.61132707,1.69755916,0.00302072,0.08035447,0.29800534,0.30235779,0.00678748,0.40191466
-5.92796398,2.54578117,0.61747876,1.70424741,0.00293812,0.08107585,0.29224412,0.30410281,0.00677120,0.40162667
-5.92196098,2.55330446,0.62291088,1.70854486,0.00287718,0.08191785,0.28648958,0.30570188,0.00680299,0.40089753
-5.91595798,2.55732472,0.62725707,1.70999038,0.00283642,0.08285104,0.28066131,0.30705528,0.00688007,0.39964710
-5.90995498,2.55724482,0.63018917,1.70824338,0.00281459,0.08384837,0.27469555,0.30807999,0.00699912,0.39781211
-5.90395198,2.55265024,0.63142565,1.70309686,0.00281083,0.08488579,0.26854755,0.30871321,0.00715645,0.39534880
-5.89794897,2.54332401,0.63073881,1.69448528,0.00282475,0.08594269,0.26219327,0.30891494,0.00734815,0.39223495
-5.89194597,2.52925386,0.62796031,1.68248682,0.00285646,0.08700239,0.25563016,0.30866950,0.00757027,0.38847115
-5.88594297,2.51063098,0.62298500,1.66731974,0.00290665,0.08805231,0.24887722,0.30798595,0.00781894,0.38408134
-5.87993997,2.48784050,0.61577272,1.64933282,0.00297655,0.08908417,0.24197408,0.30689736,0.00809041,0.37911255
-5.87393697,2.46144387,0.60634824,1.62899032,0.00306788,0.09009389,0.23497935,0.30545907,0.00838120,0.37363379
-5.86793397,2.43215393,0.59479924,1.60685189,0.00318283,0.09108145,0.22796831,0.30374587,0.00868806,0.36773428
-5.86193097,2.40080370,0.58127244,1.58354841,0.00332389,0.09205047,0.22102985,0.30184835,0.00900803,0.36152084
-5.85592796,2.36831031,0.56596812,1.55975477,0.00349380,0.09300777,0.21426302,0.29986856,0.00933836,0.35511477
-5.84992496,2.33563560,0.54913318,1.53616078,0.00369533,0.09396272,0.20777328,0.29791522,0.00967651,0.34864810
-5.84392196,2.30374521,0.53105310,1.51344161,0.00393114,0.09492652,0.20166844,0.29609863,0.01002001,0.34225947
-5.83791896,2.27356795,0.51204300,1.49222903,0.00420361,0.09591136,0.19605470,0.29452553,0.01036648,0.33608981
