energy_ev,total_up,Ga_p_up,Ga_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.65606633,0.02505249,0.00000000,1.00520809,0.85583370,0.00367696,1.03322191
-5.99399700,1.58206126,0.02261098,0.00000000,0.94456599,0.84097412,0.00324647,0.99783324
-5.98799400,1.51734438,0.02033311,0.00000000,0.88975427,0.82961152,0.00285283,0.96785675
-5.98199100,1.46146112,0.01823232,0.00000000,0.84083256,0.82126162,0.00249634,0.94291511
-5.97598799,1.41377793,0.01631851,0.00000000,0.79772706,0.81536022,0.00217676,0.92252420
-5.96998499,1.37352583,0.01459832,0.00000000,0.76025342,0.81128816,0.00189346,0.90612235
-5.96398199,1.33984659,0.01307550,0.00000000,0.72814172,0.80839799,0.00164543,0.89310111
-5.95797899,1.31183945,0.01175130,0.00000000,0.70106225,0.80604078,0.00143143,0.88283618
-5.95197599,1.28860618,0.01062491,0.00000000,0.67865080,0.80359239,0.00124998,0.87471717
-5.94597299,1.26929272,0.00969386,0.00000000,0.66053208,0.80047772,0.00109954,0.86817474
-5.93996998,1.25312547,0.00895443,0.00000000,0.64634028,0.79619214,0.00097847,0.86270412
-5.93396698,1.23944086,0.00840200,0.00000000,0.63573599,0.79031922,0.00088513,0.85788398
-5.92796398,1.22770718,0.00803138,0.00000000,0.62841858,0.78254409,0.00081794,0.85338992
-5.92196098,1.21753787,0.00783698,0.00000000,0.62413398,0.77266184,0.00077535,0.84900221
-5.91595798,1.20869615,0.00781302,0.00000000,0.62267746,0.76058110,0.00075591,0.84460753
-5.90995498,1.20109121,0.00795360,0.00000000,0.62389188,0.74632241,0.00075828,0.84019513
-5.90395198,1.19476651,0.00825268,0.00000000,0.62766168,0.73001201,0.00078121,0.83584748
-5.89794897,1.18988134,0.00870408,0.00000000,0.63390326,0.71187137,0.00082354,0.83172655
-5.89194597,1.18668687,0.00930137,0.00000000,0.64255289,0.69220323,0.00088420,0.82805633
-5.88594297,1.18549834,0.01003769,0.00000000,0.65355278,0.67137494,0.00096219,0.82510290
-5.87993997,1.18666514,0.01090567,0.00000000,0.66683675,0.64980000,0.00105657,0.82315315
-5.87393697,1.19054040,0.01189718,0.00000000,0.68231637,0.62791891,0.00116645,0.82249338
-5.86793397,1.19745203,0.01300324,0.00000000,0.69986871,0.60618003,0.00129098,0.82338909
-5.86193097,1.20767655,0.01421387,0.00000000,0.71932670,0.58502162,0.00142930,0.82606683
-5.85592796,1.22141721,0.01551798,0.00000000,0.74047271,0.56485559,0.00158059,0.83069927
-5.84992496,1.23878728,0.01690333,0.00000000,0.76303598,0.54605370,0.00174406,0.83739397
-5.84392196,1.25979933,0.01835656,0.00000000,0.78669426,0.52893669,0.00191890,0.84618652
-5.83791896,1.28436062,0.01986320,0.00000000,0.81107948,0.51376647,0.00210436,0.85703802
-5.83191596,1.31227472,0.02140784,0.00000000,0.83578744,0.50074159,0.00229970,0.86983696
-5.82591296,1.34324873,0.02297423,0.00000000,0.86039076,0.48999579,0.00250424,0.88440517
-5.81990995,1.37690557,0.02454555,0.00000000,0.88445450,0.48159948,0.00271736,0.90050720
-5.81390695,1.41280010,0.02610461,0.00000000,0.90755353,0.47556357,0.00293851,0.91786243
-5.80790395,1.45043819,0.02763418,0.00000000,0.92929046,0.47184545,0.00316721,0.93615905
-5.80190095,1.48929724,0.02911721,0.00000000,0.94931316,0.47035636,0.00340309,0.95506907
-5.79589795,1.52884703,0.03053720,0.00000000,0.96733070,0.47096972,0.00364583,0.97426321
-5.78989495,1.56856972,0.03187844,0.00000000,0.98312675,0.47352984,0.00389522,0.99342501
-5.78389195,1.60797779,0.03312634,0.00000000,0.99656946,0.47786052,0.00415107,1.01226330
-5.77788894,1.64662930,0.03426765,0.00000000,1.00761729,0.48377323,0.00441325,1.03052231
-5.77188594,1.68413966,0.03529073,0.00000000,1.01632029,0.49107433,0.00468163,1.04798913
-5.76588294,1.72018968,0.03618573,0.00000000,1.02281667,0.49957137,0.00495601,1.06449816
-5.75987994,1.75452968,0.03694478,0.00000000,1.02732485,0.50907803,0.00523611,1.07993256
-5.75387694,1.78697999,0.03756211,0.00000000,1.03013137,0.51941799,0.00552153,1.09422280
-5.74787394,1.81742802,0.03803418,0.00000000,1.03157529,0.53042747,0.00581164,1.10734267
-5.74187094,1.84582261,0.03835970,0.00000000,1.03203003,0.54195684,0.00610559,1.11930318
-5.73586793,1.87216617,0.03853970,0.00000000,1.03188359,0.55387116,0.00640221,1.13014505
-5.72986493,1.89650552,0.03857750,0.00000000,1.03151832,0.56605015,0.00670002,1.13993016
-5.72386193,1.91892203,0.03847863,0.00000000,1.03129138,0.57838762,0.00699718,1.14873294
-5.71785893,1.93952179,0.03825079,0.00000000,1.03151696,0.59079053,0.00729144,1.15663203
