energy_ev,total_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.12439803,0.37913472,0.09130465,0.25179660,0.20015276,0.00222205,0.06649546,0.04787508,0.53916533
-5.99399700,1.13485137,0.38591101,0.09211155,0.25624771,0.20348910,0.00244561,0.06697234,0.04756304,0.54457354
-5.98799400,1.14727490,0.39248148,0.09340623,0.26190518,0.20680751,0.00267351,0.06739967,0.04726416,0.55123165
-5.98199100,1.16178121,0.39877066,0.09521544,0.26882493,0.21010700,0.00290271,0.06776379,0.04698878,0.55922175
-5.97598799,1.17839679,0.40470559,0.09755464,0.27703597,0.21337340,0.00312985,0.06805093,0.04674280,0.56857837
-5.96998499,1.19706184,0.41021937,0.10042754,0.28653894,0.21657947,0.00335136,0.06824803,0.04652751,0.57928732
-5.96398199,1.21763265,0.41525410,0.10382580,0.29730515,0.21968575,0.00356354,0.06834344,0.04633970,0.59128591
-5.95797899,1.23988636,0.41976295,0.10772907,0.30927582,0.22264215,0.00376264,0.06832753,0.04617206,0.60446470
-5.95197599,1.26352795,0.42371144,0.11210512,0.32236200,0.22539015,0.00394500,0.06819311,0.04601361,0.61867039
-5.94597299,1.28819922,0.42707781,0.11691029,0.33644481,0.22786551,0.00410714,0.06793576,0.04585051,0.63371009
-5.93996998,1.31348941,0.42985251,0.12209018,0.35137650,0.23000141,0.00424587,0.06755390,0.04566680,0.64935675
-5.93396698,1.33894740,0.43203713,0.12758064,0.36698208,0.23173176,0.00435840,0.06704877,0.04544538,0.66535551
-5.92796398,1.36409516,0.43364275,0.13330907,0.38306191,0.23299471,0.00444242,0.06642422,0.04516894,0.68143114
-5.92196098,1.38844224,0.43468813,0.13919603,0.39939521,0.23373600,0.00449621,0.06568648,0.04482089,0.69729617
-5.91595798,1.41150113,0.43519789,0.14515722,0.41574445,0.23391223,0.00451866,0.06484371,0.04438621,0.71265978
-5.90995498,1.43280324,0.43520099,0.15110571,0.43186090,0.23349366,0.00450933,0.06390571,0.04385229,0.72723714
-5.90395198,1.45191517,0.43472972,0.15695456,0.44749106,0.23246676,0.00446847,0.06288346,0.04320952,0.74075913
-5.89794897,1.46845497,0.43381934,0.16261959,0.46238393,0.23083617,0.00439699,0.06178882,0.04245180,0.75298216
-5.89194597,1.48210810,0.43250849,0.16802232,0.47629902,0.22862608,0.00429644,0.06063427,0.04157684,0.76369784
-5.88594297,1.49264246,0.43084042,0.17309307,0.48901473,0.22588108,0.00416896,0.05943272,0.04058634,0.77274218
-5.87993997,1.49992211,0.42886482,0.17777384,0.50033691,0.22266637,0.00401720,0.05819742,0.03948589,0.78000410
-5.87393697,1.50391903,0.42664036,0.18202117,0.51010712,0.21906740,0.00384421,0.05694194,0.03828485,0.78543278
-5.86793397,1.50472236,0.42423735,0.18580852,0.51821025,0.21518888,0.00365340,0.05568030,0.03699598,0.78904352
