energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,1.90149556,0.35957136,0.00000000,0.00418861,0.21252272,1.83174787,0.78162839,0.01212024,0.63541565
-5.99399700,1.96298915,0.38058119,0.00000000,0.00465704,0.21483875,1.89596922,0.80104900,0.01231517,0.66701804
-5.98799400,2.03068391,0.40316849,0.00000000,0.00516490,0.21764741,1.96217139,0.82274658,0.01263826,0.70121638
-5.98199100,2.10396132,0.42722567,0.00000000,0.00570890,0.22088341,2.02960346,0.84645882,0.01307830,0.73779421
-5.97598799,2.18203257,0.45262229,0.00000000,0.00628516,0.22446182,2.09738035,0.87185024,0.01362246,0.77647816
-5.96998499,2.26395601,0.47920715,0.00000000,0.00688923,0.22828031,2.16450527,0.89852044,0.01425648,0.81694278
-5.96398199,2.34866084,0.50681105,0.00000000,0.00751615,0.23222228,2.22989909,0.92601510,0.01496496,0.85881710
-5.95797899,2.43497589,0.53524994,0.00000000,0.00816043,0.23616080,2.29243501,0.95383941,0.01573168,0.90169256
-5.95197599,2.52166209,0.56432823,0.00000000,0.00881618,0.23996310,2.35097653,0.98147315,0.01653991,0.94513187
-5.94597299,2.60744681,0.59384192,0.00000000,0.00947712,0.24349543,2.40441694,1.00838681,0.01737273,0.98867827
-5.93996998,2.69105850,0.62358146,0.00000000,0.01013671,0.24662814,2.45171799,1.03405789,0.01821334,1.03186486
-5.93396698,2.77125992,0.65333407,0.00000000,0.01078825,0.24924055,2.49194596,1.05798662,0.01904543,1.07422337
-5.92796398,2.84687843,0.68288532,0.00000000,0.01142491,0.25122561,2.52430313,1.07971039,0.01985341,1.11529220
-5.92196098,2.91683221,0.71202007,0.00000000,0.01203994,0.25249394,2.54815332,1.09881630,0.02062273,1.15462332
-5.91595798,2.98015135,0.74052274,0.00000000,0.01262667,0.25297722,2.56304043,1.11495129,0.02134014,1.19178792
-5.90995498,3.03599340,0.76817688,0.00000000,0.01317865,0.25263072,2.56869921,1.12782953,0.02199382,1.22638085
-5.90395198,3.08365313,0.79476449,0.00000000,0.01368975,0.25143483,2.56505821,1.13723695,0.02257360,1.25802369
-5.89794897,3.12256683,0.82006510,0.00000000,0.01415422,0.24939569,2.55223522,1.14303288,0.02307105,1.28636699
-5.89194597,3.15231152,0.84385495,0.00000000,0.01456676,0.24654477,2.53052578,1.14514894,0.02347952,1.31109155
-5.88594297,3.17260010,0.86590666,0.00000000,0.01492262,0.24293757,2.50038586,1.14358557,0.02379412,1.33190931
-5.87993997,3.18327324,0.88598952,0.00000000,0.01521763,0.23865138,2.46241001,1.13840649,0.02401174,1.34856406
-5.87393697,3.18428914,0.90387070,0.00000000,0.01544827,0.23378249,2.41730631,1.12973170,0.02413088,1.36083233
-5.86793397,3.17571229,0.91931762,0.00000000,0.01561169,0.22844262,2.36586960,1.11772942,0.02415159,1.36852459
-5.86193097,3.15770211,0.93210138,0.00000000,0.01570579,0.22275508,2.30895449,1.10260759,0.02407528,1.37148716
-5.85592796,3.13050225,0.94200145,0.00000000,0.01572923,0.21685062,2.24744916,1.08460524,0.02390458,1.36960461
-5.84992496,3.09443126,0.94881132,0.00000000,0.01568144,0.21086318,2.18225126,1.06398436,0.02364313,1.36280289
-5.84392196,3.04987478,0.95234501,0.00000000,0.01556270,0.20492575,2.11424642,1.04102233,0.02329545,1.35105289
-5.83791896,2.99727944,0.95244407,0.00000000,0.01537409,0.19916631,2.04429014,1.01600535,0.02286671,1.33437425
-5.83191596,2.93714833,0.94898476,0.00000000,0.01511752,0.19370423,1.97319307,0.98922283,0.02236267,1.31283911
-5.82591296,2.87003752,0.94188487,0.00000000,0.01479574,0.18864696,1.90170975,0.96096289,0.02178947,1.28657540
-5.81990995,2.79655338,0.93110996,0.00000000,0.01441229,0.18408721,1.83053068,0.93150883,0.02115353,1.25576938
-5.81390695,2.71734994,0.91667835,0.00000000,0.01397147,0.18010074,1.76027722,0.90113649,0.02046153,1.22066697
-5.80790395,2.63312592,0.89866471,0.00000000,0.01347832,0.17674460,1.69149897,0.87011239,0.01972027,1.18157360
-5.80190095,2.54462074,0.87720188,0.00000000,0.01293848,0.17405606,1.62467304,0.83869245,0.01893665,1.13885239
-5.79589795,2.45260939,0.85248070,0.00000000,0.01235820,0.17205208,1.56020499,0.80712117,0.01811765,1.09292045
-5.78989495,2.35789573,0.82474781,0.00000000,0.01174417,0.17072937,1.49843070,0.77563105,0.01727031,1.04424337
-5.78389195,2.26130440,0.79430147,0.00000000,0.01110342,0.17006508,1.43961917,0.74444230,0.01640168,0.99332789
-5.77788894,2.16367131,0.76148553,0.00000000,0.01044323,0.17001795,1.38397591,0.71376267,0.01551884,0.94071312
-5.77188594,2.06583326,0.72668174,0.00000000,0.00977096,0.17053011,1.33164679,0.68378743,0.01462886,0.88696051
-5.76588294,1.96861691,0.69030093,0.00000000,0.00909393,0.17152929,1.28272247,0.65469941,0.01373878,0.83264293
-5.75987994,1.87282785,0.65277321,0.00000000,0.00841932,0.17293144,1.23724331,0.62666938,0.01285553,0.77833349
-5.75387694,1.77924016,0.61453786,0.00000000,0.00775402,0.17464376,1.19520485,0.59985649,0.01198595,0.72459435
-5.74787394,1.68858717,0.57603317,0.00000000,0.00710449,0.17656801,1.15656404,0.57440905,0.01113666,0.67196612
-5.74187094,1.60155371,0.53768685,0.00000000,0.00647674,0.17860403,1.12124602,0.55046566,0.01031405,0.62095815
-5.73586793,1.51877028,0.49990713,0.00000000,0.00587619,0.18065323,1.08915157,0.52815651,0.00952414,0.57204017
-5.72986493,1.44080938,0.46307514,0.00000000,0.00530764,0.18262220,1.06016499,0.50760501,0.00877253,0.52563546
-5.72386193,1.36818380,0.42753861,0.00000000,0.00477522,0.18442607,1.03416224,0.48892957,0.00806434,0.48211573
-5.71785893,1.30134699,0.39360711,0.00000000,0.00428240,0.18599152,1.01101891,0.47224545,0.00740406,0.44179782
-5.71185593,1.24069496,0.36154883,0.00000000,0.00383195,0.18725950,0.99061777,0.45766653,0.00679556,0.40494210
-5.70585293,1.18656950,0.33158897,0.00000000,0.00342604,0.18818732,0.97285542,0.44530687,0.00624195,0.37175260
-5.69984992,1.13926207,0.30390950,0.00000000,0.00306619,0.18875012,0.95764763,0.43528186,0.00574558,0.34237852
-5.69384692,1.09901792,0.27865018,0.00000000,0.00275340,0.18894162,0.94493300,0.42770883,0.00530798,0.31691702
