energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,3.73023206,0.08713242,0.65518558,0.48266881,0.00000000,1.79637743,0.00000000,1.51417739,1.05875823
-5.99399700,3.75893131,0.08769304,0.66709441,0.48825351,0.00000000,1.80772785,0.00000000,1.51242037,1.07194516
-5.98799400,3.78462651,0.08784470,0.67803772,0.49384971,0.00000000,1.81850839,0.00000000,1.50862275,1.08437107
-5.98199100,3.80676166,0.08758903,0.68788476,0.49925898,0.00000000,1.82834330,0.00000000,1.50262658,1.09590672
-5.97598799,3.82491503,0.08693700,0.69654298,0.50429459,0.00000000,1.83689345,0.00000000,1.49434300,1.10648002
-5.96998499,3.83881457,0.08590849,0.70396034,0.50878740,0.00000000,1.84386878,0.00000000,1.48375799,1.11607815
-5.96398199,3.84834606,0.08453168,0.71012598,0.51259085,0.00000000,1.84903827,0.00000000,1.47093503,1.12474654
-5.95797899,3.85355410,0.08284214,0.71506913,0.51558481,0.00000000,1.85223698,0.00000000,1.45601448,1.13258474
-5.95197599,3.85463595,0.08088170,0.71885666,0.51767826,0.00000000,1.85336985,0.00000000,1.43920995,1.13973966
-5.94597299,3.85192886,0.07869718,0.72158936,0.51881056,0.00000000,1.85241227,0.00000000,1.42080176,1.14639658
-5.93996998,3.84589169,0.07633898,0.72339716,0.51895148,0.00000000,1.84940735,0.00000000,1.40112803,1.15276861
-5.93396698,3.83708193,0.07385964,0.72443370,0.51809994,0.00000000,1.84446021,0.00000000,1.38057373,1.15908527
-5.92796398,3.82612928,0.07131237,0.72487054,0.51628162,0.00000000,1.83772940,0.00000000,1.35955814,1.16558083
-5.92196098,3.81370723,0.06874967,0.72489121,0.51354556,0.00000000,1.82941627,0.00000000,1.33852153,1.17248325
-5.91595798,3.80050411,0.06622198,0.72468548,0.50996005,0.00000000,1.81975246,0.00000000,1.31791129,1.18000420
-5.90995498,3.78719481,0.06377657,0.72444408,0.50560792,0.00000000,1.80898645,0.00000000,1.29816836,1.18833082
-5.90395198,3.77441472,0.06145645,0.72435397,0.50058162,0.00000000,1.79736984,0.00000000,1.27971422,1.19761945
-5.89794897,3.76273671,0.05929958,0.72459434,0.49497829,0.00000000,1.78514386,0.00000000,1.26293901,1.20799175
-5.89194597,3.75265218,0.05733822,0.72533341,0.48889502,0.00000000,1.77252709,0.00000000,1.24819112,1.21953311
-5.88594297,3.74455685,0.05559849,0.72672591,0.48242465,0.00000000,1.75970474,0.00000000,1.23576852,1.23229328
-5.87993997,3.73874140,0.05410008,0.72891127,0.47565221,0.00000000,1.74682025,0.00000000,1.22591189,1.24628890
-5.87393697,3.73538713,0.05285626,0.73201231,0.46865213,0.00000000,1.73396936,0.00000000,1.21879989,1.26150762
-5.86793397,3.73456637,0.05187388,0.73613429,0.46148635,0.00000000,1.72119710,0.00000000,1.21454619,1.27791300
-5.86193097,3.73624699,0.05115371,0.74136413,0.45420340,0.00000000,1.70849772,0.00000000,1.21319859,1.29545000
-5.85592796,3.74030047,0.05069077,0.74776962,0.44683825,0.00000000,1.69581741,0.00000000,1.21473967,1.31405005
-5.84992496,3.74651255,0.05047483,0.75539843,0.43941311,0.00000000,1.68305969,0.00000000,1.21908908,1.33363542
-5.84392196,3.75459562,0.05049101,0.76427684,0.43193885,0.00000000,1.67009314,0.00000000,1.22610712,1.35412228
-5.83791896,3.76420196,0.05072037,0.77440812,0.42441700,0.00000000,1.65676086,0.00000000,1.23559931,1.37542217
-5.83191596,3.77493696,0.05114067,0.78577052,0.41684213,0.00000000,1.64289128,0.00000000,1.24732193,1.39744167
-5.82591296,3.78637177,0.05172701,0.79831507,0.40920449,0.00000000,1.62830958,0.00000000,1.26098808,1.42008028
-5.81990995,3.79805475,0.05245261,0.81196316,0.40149262,0.00000000,1.61284930,0.00000000,1.27627430,1.44322674
-5.81390695,3.80952157,0.05328948,0.82660437,0.39369589,0.00000000,1.59636339,0.00000000,1.29282754,1.46675409
-5.80790395,3.82030386,0.05420916,0.84209459,0.38580681,0.00000000,1.57873426,0.00000000,1.31027240,1.49051408
-5.80190095,3.82993654,0.05518334,0.85825491,0.37782292,0.00000000,1.55988241,0.00000000,1.32821850,1.51433154
-5.79589795,3.83796413,0.05618454,0.87487148,0.36974834,0.00000000,1.53977322,0.00000000,1.34626815,1.53799936
-5.78989495,3.84394644,0.05718661,0.89169669,0.36159478,0.00000000,1.51842164,0.00000000,1.36402403,1.56127489
-5.78389195,3.84746413,0.05816528,0.90845189,0.35338210,0.00000000,1.49589474,0.00000000,1.38109710,1.58387827
-5.77788894,3.84812451,0.05909860,0.92483182,0.34513835,0.00000000,1.47231189,0.00000000,1.39711444,1.60549337
-5.77188594,3.84556798,0.05996728,0.94051075,0.33689945,0.00000000,1.44784281,0.00000000,1.41172714,1.62577164
