energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,7.48586959,0.07952970,0.91584008,0.05076324,0.00000000,2.62569194,2.78542492,0.06108494,3.66888258
-5.99399700,7.54510898,0.08172975,0.93562907,0.05061078,0.00000000,2.63053104,2.81286048,0.06230326,3.67384862
-5.98799400,7.59879512,0.08371444,0.95430224,0.05042316,0.00000000,2.63329125,2.83887257,0.06349722,3.67643905
-5.98199100,7.64586099,0.08545045,0.97155909,0.05020058,0.00000000,2.63363914,2.86309570,0.06464280,3.67649157
-5.97598799,7.68523685,0.08690862,0.98710658,0.04994186,0.00000000,2.63125864,2.88514550,0.06571671,3.67381937
-5.96998499,7.71588019,0.08806470,1.00066584,0.04964445,0.00000000,2.62586083,2.90462907,0.06669685,3.66821854
-5.96398199,7.73680818,0.08889996,1.01197884,0.04930464,0.00000000,2.61719351,2.92115714,0.06756287,3.65947759
-5.95797899,7.74713066,0.08940162,1.02081497,0.04891768,0.00000000,2.60504982,2.93435718,0.06829655,3.64738832
-5.95197599,7.74608167,0.08956309,1.02697702,0.04847810,0.00000000,2.58927533,2.94388684,0.06888236,3.63175731
-5.94597299,7.73304781,0.08938394,1.03030652,0.04798001,0.00000000,2.56977322,2.94944667,0.06930772,3.61241687
-5.93996998,7.70759166,0.08886981,1.03068812,0.04741745,0.00000000,2.54650715,2.95079157,0.06956337,3.58923503
-5.93396698,7.66946887,0.08803193,1.02805296,0.04678475,0.00000000,2.51950169,2.94774007,0.06964359,3.56212352
-5.92796398,7.61863823,0.08688666,1.02238079,0.04607686,0.00000000,2.48884022,2.94018106,0.06954624,3.53104359
-5.92196098,7.55526392,0.08545476,1.01370084,0.04528972,0.00000000,2.45466076,2.92807745,0.06927286,3.49600917
-5.91595798,7.47971026,0.08376063,1.00209144,0.04442054,0.00000000,2.41714969,2.91146671,0.06882855,3.45708744
-5.90995498,7.39252926,0.08183142,0.98767834,0.04346805,0.00000000,2.37653430,2.89045828,0.06822180,3.41439692
-5.90395198,7.29444203,0.07969618,0.97063198,0.04243267,0.00000000,2.33307431,2.86522805,0.06746420,3.36810344
-5.89794897,7.18631506,0.07738496,0.95116359,0.04131666,0.00000000,2.28705334,2.83601044,0.06657014,3.31841443
-5.89194597,7.06913313,0.07492798,0.92952051,0.04012413,0.00000000,2.23877063,2.80308852,0.06555637,3.26557218
-5.88594297,6.94397014,0.07235488,0.90598081,0.03886104,0.00000000,2.18853382,2.76678283,0.06444153,3.20984657
-5.87993997,6.81195973,0.06969406,0.88084729,0.03753509,0.00000000,2.13665303,2.72743979,0.06324567,3.15152791
-5.87393697,6.67426695,0.06697209,0.85444128,0.03615555,0.00000000,2.08343669,2.68542018,0.06198973,3.09092038
-5.86793397,6.53206241,0.06421338,0.82709627,0.03473305,0.00000000,2.02918912,2.64108854,0.06069499,3.02833649
-5.86193097,6.38650003,0.06143980,0.79915156,0.03327929,0.00000000,1.97421005,2.59480403,0.05938259,2.96409269
-5.85592796,6.23869888,0.05867059,0.77094625,0.03180675,0.00000000,1.91879569,2.54691324,0.05807299,2.89850640
-5.84992496,6.08972979,0.05592229,0.74281348,0.03032839,0.00000000,1.86324124,2.49774521,0.05678553,2.83189430
-5.84392196,5.94060657,0.05320879,0.71507536,0.02885726,0.00000000,1.80784423,2.44760891,0.05553804,2.76457166
-5.83791896,5.79228173,0.05054153,0.68803840,0.02740624,0.00000000,1.75290836,2.39679320,0.05434644,2.69685258
-5.83191596,5.64564620,0.04792970,0.66198977,0.02598769,0.00000000,1.69874714,2.34556892,0.05322448,2.62905058
-5.82591296,5.50153223,0.04538052,0.63719431,0.02461321,0.00000000,1.64568698,2.29419307,0.05218350,2.56147935
-5.81990995,5.36071875,0.04289954,0.61389243,0.02329340,0.00000000,1.59406906,2.24291436,0.05123228,2.49445308
