energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-4.18109055,0.86999467,0.00800207,0.17351434,0.00062919,0.35305894,0.18010934,0.30717976
-4.17508754,0.92662806,0.00846040,0.18301043,0.00070024,0.37829279,0.19154704,0.32444974
-4.16908454,0.98058992,0.00888353,0.19164604,0.00077396,0.40284734,0.20240540,0.34028265
-4.16308154,1.03107451,0.00926410,0.19925642,0.00084958,0.42639941,0.21252555,0.35438803
-4.15707854,1.07731702,0.00959543,0.20569327,0.00092624,0.44863216,0.22175915,0.36650194
-4.15107554,1.11861600,0.00987167,0.21083013,0.00100300,0.46924329,0.22997295,0.37639595
-4.14507254,1.15435422,0.01008805,0.21456716,0.00107887,0.48795285,0.23705301,0.38388523
-4.13906953,1.18401731,0.01024101,0.21683529,0.00115284,0.50451057,0.24290824,0.38883541
-4.13306653,1.20720937,0.01032831,0.21759948,0.00122397,0.51870219,0.24747340,0.39116786
-4.12706353,1.22366480,0.01034913,0.21686098,0.00129137,0.53035474,0.25071125,0.39086323
-4.12106053,1.23325622,0.01030402,0.21465852,0.00135430,0.53934055,0.25261378,0.38796315
-4.11505753,1.23599814,0.01019495,0.21106839,0.00141221,0.54557985,0.25320279,0.38256995
-4.10905453,1.23204635,0.01002519,0.20620354,0.00146483,0.54904194,0.25252940,0.37484452
-4.10305153,1.22169350,0.00979918,0.20021165,0.00151218,0.54974503,0.25067309,0.36500249
-4.09704852,1.20536105,0.00952240,0.19327243,0.00155467,0.54775476,0.24773992,0.35330901
-4.09104552,1.18358835,0.00920117,0.18559422,0.00159314,0.54318165,0.24386041,0.34007224
-4.08504252,1.15701938,0.00884245,0.17741015,0.00162894,0.53617759,0.23918708,0.32563615
-4.07903952,1.12638808,0.00845363,0.16897406,0.00166391,0.52693164,0.23389181,0.31037281
-4.07303652,1.09250271,0.00804231,0.16055624,0.00170049,0.51566543,0.22816318,0.29467456
-4.06703352,1.05623015,0.00761616,0.15243934,0.00174171,0.50262820,0.22220404,0.27894638
-4.06103052,1.01848055,0.00718266,0.14491437,0.00179120,0.48809188,0.21622909,0.26359879
-4.05502751,0.98019281,0.00674901,0.13827708,0.00185320,0.47234622,0.21046285,0.24904132
-4.04902451,0.94232109,0.00632197,0.13282451,0.00193252,0.45569413,0.20513781,0.23567683
-4.04302151,0.90582246,0.00590780,0.12885193,0.00203453,0.43844732,0.20049280,0.22389653
-4.03701851,0.87164563,0.00551216,0.12664992,0.00216508,0.42092209,0.19677147,0.21407589
