energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.73546676,0.00219878,0.04163714,1.07734739,0.36230911,1.11284874,0.00000000,0.61007587,0.25874643
-5.99399700,1.75409477,0.00209421,0.04101718,1.09488173,0.37502296,1.12667110,0.00000000,0.62219926,0.25937476
-5.98799400,1.77254175,0.00199830,0.04038659,1.11384387,0.38757086,1.14068280,0.00000000,0.63562049,0.26008987
-5.98199100,1.79083487,0.00191266,0.03976012,1.13416881,0.39983876,1.15487957,0.00000000,0.65029633,0.26091970
-5.97598799,1.80890309,0.00183889,0.03915006,1.15568790,0.41169577,1.16918571,0.00000000,0.66611392,0.26187262
-5.96998499,1.82657556,0.00177859,0.03856583,1.17813021,0.42299596,1.18345383,0.00000000,0.68289082,0.26293722
-5.96398199,1.84358644,0.00173332,0.03801363,1.20112930,0.43358136,1.19746898,0.00000000,0.70037854,0.26408333
-5.95797899,1.85958589,0.00170465,0.03749638,1.22423529,0.44328613,1.21095695,0.00000000,0.71826938,0.26526405
-5.95197599,1.87415690,0.00169415,0.03701366,1.24693146,0.45194172,1.22359657,0.00000000,0.73620634,0.26641891
-5.94597299,1.88683707,0.00170346,0.03656197,1.26865477,0.45938291,1.23503528,0.00000000,0.75379563,0.26747771
-5.93996998,1.89714411,0.00173426,0.03613505,1.28881912,0.46545433,1.24490708,0.00000000,0.77062124,0.26836504
-5.93396698,1.90460375,0.00178836,0.03572436,1.30684030,0.47001737,1.25285208,0.00000000,0.78626083,0.26900516
-5.92796398,1.90877856,0.00186770,0.03531967,1.32216119,0.47295691,1.25853644,0.00000000,0.80030218,0.26932681
-5.92196098,1.90929583,0.00197440,0.03490970,1.33427608,0.47418768,1.26167162,0.00000000,0.81235947,0.26926794
-5.91595798,1.90587319,0.00211075,0.03448283,1.34275272,0.47365977,1.26203194,0.00000000,0.82208844,0.26877982
-5.90995498,1.89834025,0.00227925,0.03402782,1.34725108,0.47136301,1.25946928,0.00000000,0.82919992,0.26783052
-5.90395198,1.88665511,0.00248256,0.03353442,1.34753794,0.46733006,1.25392433,0.00000000,0.83347089,0.26640737
-5.89794897,1.87091471,0.00272352,0.03299405,1.34349653,0.46163773,1.24543350,0.00000000,0.83475274,0.26451838
-5.89194597,1.85135833,0.00300510,0.03240027,1.33513090,0.45440668,1.23413126,0.00000000,0.83297630,0.26219248
-5.88594297,1.82836402,0.00333029,0.03174917,1.32256490,0.44579926,1.22024766,0.00000000,0.82815343,0.25947862
-5.87993997,1.80243794,0.00370210,0.03103963,1.30603595,0.43601563,1.20410118,0.00000000,0.82037525,0.25644373
-5.87393697,1.77419730,0.00412341,0.03027345,1.28588404,0.42528829,1.18608720,0.00000000,0.80980711,0.25316962
-5.86793397,1.74434745,0.00459685,0.02945526,1.26253658,0.41387523,1.16666277,0.00000000,0.79668068,0.24974911
-5.86193097,1.71365450,0.00512472,0.02859237,1.23649011,0.40205190,1.14632834,0.00000000,0.78128357,0.24628147
-5.85592796,1.68291465,0.00570881,0.02769440,1.20828971,0.39010254,1.12560747,0.00000000,0.76394698,0.24286754
-5.84992496,1.65292170,0.00635027,0.02677290,1.17850719,0.37831101,1.10502539,0.00000000,0.74503219,0.23960461
-5.84392196,1.62443455,0.00704946,0.02584076,1.14771919,0.36695166,1.08508756,0.00000000,0.72491633,0.23658155
-5.83791896,1.59814579,0.00780583,0.02491168,1.11648612,0.35628053,1.06625916,0.00000000,0.70397822,0.23387430
-5.83191596,1.57465329,0.00861778,0.02399946,1.08533283,0.34652726,1.04894643,0.00000000,0.68258489,0.23154193
-5.82591296,1.55443566,0.00948255,0.02311750,1.05473189,0.33788803,1.03348079,0.00000000,0.66107927,0.22962357
-5.81990995,1.53783291,0.01039612,0.02227809,1.02508989,0.33051972,1.02010621,0.00000000,0.63976957,0.22813628
-5.81390695,1.52503290,0.01135319,0.02149197,0.99673725,0.32453554,1.00897047,0.00000000,0.61892082,0.22707397
-5.80790395,1.51606410,0.01234712,0.02076782,0.96992181,0.32000222,1.00012047,0.00000000,0.59874854,0.22640737
-5.80190095,1.51079493,0.01336995,0.02011197,0.94480607,0.31693879,0.99350180,0.00000000,0.57941500,0.22608517
-5.79589795,1.50893938,0.01441249,0.01952813,0.92146802,0.31531702,0.98896232,0.00000000,0.56102784,0.22603605
-5.78989495,1.51006866,0.01546438,0.01901733,0.89990533,0.31506330,0.98625955,0.00000000,0.54364115,0.22617168
-5.78389195,1.51362821,0.01651425,0.01857788,0.88004226,0.31606197,0.98507150,0.00000000,0.52725859,0.22639040
-5.77788894,1.51895910,0.01754989,0.01820557,0.86173913,0.31815990,0.98501020,0.00000000,0.51183853,0.22658148
-5.77188594,1.52532302,0.01855848,0.01789386,0.84480348,0.32117199,0.98563750,0.00000000,0.49730070,0.22662965
-5.76588294,1.53192962,0.01952684,0.01763426,0.82900252,0.32488763,0.98648224,0.00000000,0.48353403,0.22641986
-5.75987994,1.53796509,0.02044168,0.01741670,0.81407634,0.32907756,0.98705828,0.00000000,0.47040530,0.22584182
-5.75387694,1.54262091,0.02128992,0.01723003,0.79975116,0.33350114,0.98688240,0.00000000,0.45776814,0.22479436
-5.74787394,1.54512161,0.02205896,0.01706244,0.78575228,0.33791375,0.98549172,0.00000000,0.44547201,0.22318924
-5.74187094,1.54475059,0.02273702,0.01690203,0.77181628,0.34207392,0.98245974,0.00000000,0.43337079,0.22095439
-5.73586793,1.54087314,0.02331334,0.01673721,0.75770201,0.34575025,0.97741061,0.00000000,0.42133065,0.21803640
-5.72986493,1.53295590,0.02377856,0.01655718,0.74320006,0.34872774,0.97003119,0.00000000,0.40923687,0.21440225
-5.72386193,1.52058238,0.02412484,0.01635229,0.72814068,0.35081342,0.96008055,0.00000000,0.39699945,0.21004013
-5.71785893,1.50346389,0.02434615,0.01611436,0.71239969,0.35184119,0.94739667,0.00000000,0.38455729,0.20495947
-5.71185593,1.48144605,0.02443838,0.01583694,0.69590248,0.35167570,0.93190024,0.00000000,0.37188088,0.19919024
-5.70585293,1.45451056,0.02439946,0.01551542,0.67862607,0.35021524,0.91359564,0.00000000,0.35897341,0.19278144
-5.69984992,1.42277253,0.02422940,0.01514714,0.66059905,0.34739356,0.89256897,0.00000000,0.34587039,0.18579901
-5.69384692,1.38647367,0.02393035,0.01473137,0.64189974,0.34318059,0.86898366,0.00000000,0.33263778,0.17832327
-5.68784392,1.34597165,0.02350648,0.01426924,0.62265246,0.33758211,0.84307348,0.00000000,0.31936886,0.17044599
-5.68184092,1.30172619,0.02296392,0.01376360,0.60302216,0.33063844,0.81513369,0.00000000,0.30617988,0.16226714
-5.67583792,1.25428248,0.02231060,0.01321877,0.58320765,0.32242202,0.78551035,0.00000000,0.29320486,0.15389165
-5.66983492,1.20425254,0.02155608,0.01264036,0.56343351,0.31303430,0.75458843,0.00000000,0.28058958,0.14542613
-5.66383192,1.15229513,0.02071126,0.01203496,0.54394116,0.30260173,0.72277896,0.00000000,0.26848522,0.13697571
-5.65782891,1.09909504,0.01978819,0.01140984,0.52497913,0.29127119,0.69050576,0.00000000,0.25704169,0.12864113
-5.65182591,1.04534222,0.01879976,0.01077269,0.50679309,0.27920501,0.65819217,0.00000000,0.24640112,0.12051616
-5.64582291,0.99171162,0.01775938,0.01013129,0.48961585,0.26657563,0.62624814,0.00000000,0.23669160,0.11268533
