energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.49835244,-0.55921663,0.22759452,-0.25678862,0.00000000,-0.00000000,0.11057258,-0.12487734,0.11238865,-0.12509793,0.01176210,-0.01263111,0.04726778,-0.05274561
-5.99399700,0.45261864,-0.50946146,0.20627241,-0.23360944,0.00000000,-0.00000000,0.09992546,-0.11342103,0.10201629,-0.11391432,0.01111316,-0.01186636,0.04309079,-0.04815467
-5.98799400,0.41026577,-0.46258336,0.18646687,-0.21171382,0.00000000,-0.00000000,0.08997313,-0.10253122,0.09241243,-0.10337843,0.01055069,-0.01118119,0.03925789,-0.04386312
-5.98199100,0.37160258,-0.41900185,0.16832422,-0.19129920,0.00000000,-0.00000000,0.08079757,-0.09231394,0.08364741,-0.09358461,0.01007798,-0.01058234,0.03579569,-0.03990777
-5.97598799,0.33684917,-0.37904745,0.15195034,-0.17252216,0.00000000,-0.00000000,0.07246116,-0.08285567,0.07577170,-0.08460735,0.00969582,-0.01007402,0.03272267,-0.03631721
-5.96998499,0.30614022,-0.34296159,0.13741212,-0.15549848,0.00000000,-0.00000000,0.06500730,-0.07422320,0.06881670,-0.07650134,0.00940246,-0.00965790,0.03004937,-0.03311184
-5.96398199,0.27953024,-0.31089933,0.12473992,-0.14030435,0.00000000,-0.00000000,0.05846151,-0.06646415,0.06279591,-0.06930215,0.00919386,-0.00933315,0.02777895,-0.03030415
-5.95797899,0.25700061,-0.28293427,0.11393082,-0.12697874,0.00000000,-0.00000000,0.05283288,-0.05960795,0.05770651,-0.06302726,0.00906380,-0.00909654,0.02590774,-0.02789908
-5.95197599,0.23846774,-0.25906527,0.10495233,-0.11552647,0.00000000,-0.00000000,0.04811576,-0.05366734,0.05353123,-0.05767767,0.00900416,-0.00894262,0.02442602,-0.02589469
-5.94597299,0.22379188,-0.23922449,0.09774640,-0.10592191,0.00000000,-0.00000000,0.04429158,-0.04863996,0.05024029,-0.05323962,0.00900526,-0.00886394,0.02331878,-0.02428280
-5.93996998,0.21278620,-0.22328614,0.09223359,-0.09811303,0.00000000,-0.00000000,0.04133071,-0.04451028,0.04779342,-0.04968661,0.00905617,-0.00885135,0.02256654,-0.02304985
-5.93396698,0.20522570,-0.21107564,0.08831701,-0.09202556,0.00000000,-0.00000000,0.03919424,-0.04125142,0.04614181,-0.04698132,0.00914506,-0.00889430,0.02214616,-0.02217765
-5.92796398,0.20085565,-0.20237860,0.08588614,-0.08756706,0.00000000,-0.00000000,0.03783566,-0.03882702,0.04522995,-0.04507767,0.00925964,-0.00898122,0.02203159,-0.02164424
-5.92196098,0.19939924,-0.19694948,0.08482020,-0.08463083,0.00000000,-0.00000000,0.03720229,-0.03719294,0.04499729,-0.04392266,0.00938750,-0.00909988,0.02219461,-0.02142460
-5.91595798,0.20056448,-0.19451942,0.08499116,-0.08309939,0.00000000,-0.00000000,0.03723660,-0.03629883,0.04537973,-0.04345805,0.00951652,-0.00923778,0.02260542,-0.02149143
-5.90995498,0.20404996,-0.19480333,0.08626627,-0.08284763,0.00000000,-0.00000000,0.03787725,-0.03608939,0.04631079,-0.04362192,0.00963519,-0.00938251,0.02323323,-0.02181579
-5.90395198,0.20954986,-0.19750590,0.08851015,-0.08374543,0.00000000,-0.00000000,0.03905999,-0.03650554,0.04772269,-0.04434986,0.00973298,-0.00952214,0.02404674,-0.02236763
-5.89794897,0.21675789,-0.20232671,0.09158648,-0.08565981,0.00000000,-0.00000000,0.04071833,-0.03748526,0.04954712,-0.04557610,0.00980062,-0.00964555,0.02501453,-0.02311629
