energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
5.65782891,0.24544984,0.13578207,0.00000000,0.00289500,0.00955031,0.04880873,0.02221059,0.15578994,0.01357215
5.66383192,0.24527272,0.13504322,0.00000000,0.00264693,0.00963864,0.04931403,0.02190301,0.14522881,0.01349137
5.66983492,0.24916553,0.13735449,0.00000000,0.00246197,0.00978417,0.05012786,0.02213799,0.13744663,0.01363047
5.67583792,0.25707428,0.14268760,0.00000000,0.00233892,0.00997505,0.05122411,0.02290530,0.13235815,0.01398645
5.68184092,0.26893578,0.15101390,0.00000000,0.00227624,0.01020053,0.05257591,0.02419428,0.12985882,0.01455623
5.68784392,0.28467500,0.16230093,0.00000000,0.00227205,0.01045097,0.05415623,0.02599308,0.12982743,0.01533657
5.69384692,0.30420087,0.17650783,0.00000000,0.00232417,0.01071784,0.05593818,0.02828793,0.13212783,0.01632387
5.69984992,0.32740064,0.19357993,0.00000000,0.00243017,0.01099365,0.05789515,0.03106214,0.13660988,0.01751382
5.70585293,0.35413321,0.21344260,0.00000000,0.00258731,0.01127183,0.06000069,0.03429509,0.14310980,0.01890106
5.71185593,0.38422174,0.23599484,0.00000000,0.00279257,0.01154659,0.06222826,0.03796128,0.15144987,0.02047870
5.71785893,0.41744618,0.26110281,0.00000000,0.00304255,0.01181287,0.06455084,0.04202932,0.16143783,0.02223789
5.72386193,0.45353615,0.28859373,0.00000000,0.00333347,0.01206610,0.06694044,0.04646115,0.17286631,0.02416730
5.72986493,0.49216487,0.31825065,0.00000000,0.00366113,0.01230213,0.06936768,0.05121140,0.18551227,0.02625269
5.73586793,0.53294464,0.34980837,0.00000000,0.00402082,0.01251710,0.07180131,0.05622701,0.19913695,0.02847654
5.74187094,0.57542444,0.38295087,0.00000000,0.00440737,0.01270732,0.07420802,0.06144718,0.21348649,0.03081774
5.74787394,0.61909013,0.41731078,0.00000000,0.00481509,0.01286924,0.07655222,0.06680363,0.22829324,0.03325145
5.75387694,0.66336753,0.45247081,0.00000000,0.00523782,0.01299935,0.07879622,0.07222125,0.24327809,0.03574911
5.75987994,0.70762867,0.48796769,0.00000000,0.00566892,0.01309426,0.08090047,0.07761914,0.25815380,0.03827857
5.76588294,0.75120117,0.52329833,0.00000000,0.00610143,0.01315065,0.08282423,0.08291197,0.27262923,0.04080448
5.77188594,0.79338062,0.55792842,0.00000000,0.00652806,0.01316540,0.08452624,0.08801174,0.28641450,0.04328882
5.77788894,0.83344570,0.59130308,0.00000000,0.00694141,0.01313566,0.08596583,0.09282974,0.29922686,0.04569161
5.78389195,0.87067545,0.62285939,0.00000000,0.00733404,0.01305892,0.08710399,0.09727877,0.31079702,0.04797180
5.78989495,0.90436815,0.65204032,0.00000000,0.00769869,0.01293322,0.08790462,0.10127549,0.32087573,0.05008828
5.79589795,0.93386097,0.67830954,0.00000000,0.00802841,0.01275719,0.08833584,0.10474275,0.32924030,0.05200094
5.80190095,0.95854956,0.70116651,0.00000000,0.00831678,0.01253021,0.08837119,0.10761183,0.33570065,0.05367184
5.80790395,0.97790676,0.72016135,0.00000000,0.00855805,0.01225247,0.08799072,0.10982463,0.34010474,0.05506636
5.81390695,0.99149945,0.73490855,0.00000000,0.00874732,0.01192509,0.08718197,0.11133538,0.34234295,0.05615428
5.81990995,0.99900288,0.74509924,0.00000000,0.00888070,0.01155012,0.08594063,0.11211215,0.34235121,0.05691075
5.82591296,1.00021164,0.75051119,0.00000000,0.00895537,0.01113054,0.08427097,0.11213787,0.34011280,0.05731716
5.83191596,0.99504685,0.75101618,0.00000000,0.00896974,0.01067023,0.08218592,0.11141082,0.33565857,0.05736177
5.83791896,0.98355909,0.74658439,0.00000000,0.00892343,0.01017391,0.07970690,0.10994469,0.32906557,0.05704013
5.84392196,0.96592708,0.73728553,0.00000000,0.00881731,0.00964698,0.07686324,0.10776809,0.32045426,0.05635527
5.84992496,0.94245194,0.72328665,0.00000000,0.00865349,0.00909544,0.07369140,0.10492353,0.30998428,0.05531761
5.85592796,0.91354744,0.70484679,0.00000000,0.00843517,0.00852568,0.07023389,0.10146603,0.29784902,0.05394468
5.86193097,0.87972674,0.68230864,0.00000000,0.00816663,0.00794431,0.06653801,0.09746128,0.28426922,0.05226051
5.86793397,0.84158597,0.65608753,0.00000000,0.00785300,0.00735801,0.06265446,0.09298354,0.26948594,0.05029488
5.87393697,0.79978572,0.62665837,0.00000000,0.00750016,0.00677329,0.05863584,0.08811334,0.25375316,0.04808238
5.87993997,0.75503096,0.59454106,0.00000000,0.00711452,0.00619638,0.05453520,0.08293506,0.23733024,0.04566130
5.88594297,0.70805046,0.56028491,0.00000000,0.00670283,0.00563304,0.05040460,0.07753447,0.22047478,0.04307252
5.89194597,0.65957640,0.52445289,0.00000000,0.00627202,0.00508845,0.04629378,0.07199645,0.20343580,0.04035823
5.89794897,0.61032502,0.48760613,0.00000000,0.00582895,0.00456710,0.04224903,0.06640279,0.18644784,0.03756082
5.90395198,0.56097909,0.45028947,0.00000000,0.00538029,0.00407274,0.03831218,0.06083030,0.16972590,0.03472171
