energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.32594778,0.14104350,0.84679760,0.00518141,0.02113125,0.01890150,0.22219789,0.27535071,0.05799923
-5.99399700,1.32554593,0.12935087,0.86415581,0.00501246,0.01883067,0.01814744,0.21615696,0.26928633,0.05629381
-5.98799400,1.32609104,0.11859628,0.88229109,0.00484249,0.01670674,0.01732411,0.21031204,0.26267803,0.05454908
-5.98199100,1.32741007,0.10882010,0.90091287,0.00467137,0.01476224,0.01644363,0.20470497,0.25556901,0.05277456
-5.97598799,1.32939530,0.10004590,0.91978610,0.00449896,0.01299649,0.01551893,0.19938738,0.24801141,0.05098292
-5.96998499,1.33199916,0.09228155,0.93873037,0.00432512,0.01140587,0.01456341,0.19441797,0.24006473,0.04918926
-5.96398199,1.33522598,0.08552067,0.95761628,0.00414971,0.00998420,0.01359049,0.18985938,0.23179423,0.04741043
-5.95797899,1.33912103,0.07974406,0.97635896,0.00397268,0.00872334,0.01261331,0.18577492,0.22326959,0.04566419
-5.95197599,1.34375753,0.07492136,0.99490931,0.00379402,0.00761369,0.01164443,0.18222523,0.21456367,0.04396852
-5.94597299,1.34922209,0.07101265,1.01324332,0.00361383,0.00664465,0.01069558,0.17926502,0.20575156,0.04234087
-5.93996998,1.35559960,0.06797003,1.03134999,0.00343231,0.00580514,0.00977748,0.17694017,0.19690991,0.04079760
-5.93396698,1.36295810,0.06573917,1.04921875,0.00324977,0.00508401,0.00889974,0.17528522,0.18811636,0.03935344
-5.92796398,1.37133471,0.06426082,1.06682680,0.00306665,0.00447040,0.00807081,0.17432141,0.17944939,0.03802114
-5.92196098,1.38072330,0.06347225,1.08412743,0.00288348,0.00395408,0.00729802,0.17405541,0.17098814,0.03681117
-5.91595798,1.39106485,0.06330858,1.10103999,0.00270092,0.00352571,0.00658763,0.17447878,0.16281255,0.03573167
-5.90995498,1.40224095,0.06370420,1.11744205,0.00251969,0.00317702,0.00594497,0.17556815,0.15500351,0.03478843
-5.90395198,1.41407121,0.06459400,1.13316468,0.00234062,0.00290096,0.00537458,0.17728628,0.14764306,0.03398504
-5.89794897,1.42631475,0.06591469,1.14799093,0.00216456,0.00269180,0.00488040,0.17958376,0.14081462,0.03332315
-5.89194597,1.43867594,0.06760600,1.16165805,0.00199239,0.00254513,0.00446592,0.18240144,0.13460312,0.03280284
-5.88594297,1.45081426,0.06961190,1.17386331,0.00182502,0.00245787,0.00413439,0.18567336,0.12909505,0.03242297
-5.87993997,1.46235777,0.07188167,1.18427335,0.00166329,0.00242825,0.00388893,0.18933012,0.12437833,0.03218171
