energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,0.77138591,0.00865282,0.01980954,0.17760376,0.06050578,0.23253920,0.23644924,0.00439239,0.48591932
-5.99399700,0.73529377,0.00888829,0.01815471,0.16994315,0.05616498,0.22055421,0.23060435,0.00410401,0.46285654
-5.98799400,0.70369664,0.00921758,0.01653943,0.16348617,0.05204808,0.20998203,0.22653676,0.00386990,0.44265210
-5.98199100,0.67718654,0.00964421,0.01498071,0.15838620,0.04820622,0.20104809,0.22436844,0.00368731,0.42570648
-5.97598799,0.65626925,0.01017014,0.01349343,0.15478109,0.04468522,0.19396111,0.22418665,0.00355308,0.41236962
-5.96998499,0.64135005,0.01079550,0.01209018,0.15278908,0.04152450,0.18890756,0.22603986,0.00346372,0.40293149
-5.96398199,0.63272260,0.01151841,0.01078105,0.15250539,0.03875633,0.18604684,0.22993466,0.00341536,0.39761431
-5.95797899,0.63056076,0.01233491,0.00957360,0.15399927,0.03640532,0.18550709,0.23583383,0.00340381,0.39656661
-5.95197599,0.63491374,0.01323880,0.00847288,0.15731158,0.03448813,0.18738162,0.24365570,0.00342454,0.39985921
-5.94597299,0.64570428,0.01422172,0.00748157,0.16245300,0.03301342,0.19172604,0.25327475,0.00347276,0.40748289
-5.93996998,0.66272975,0.01527316,0.00660012,0.16940276,0.03198199,0.19855592,0.26452354,0.00354344,0.41934783
-5.93396698,0.68566608,0.01638064,0.00582699,0.17810791,0.03138705,0.20784503,0.27719574,0.00363138,0.43528463
-5.92796398,0.71407403,0.01752984,0.00515888,0.18848307,0.03121464,0.21952419,0.29105046,0.00373128,0.45504681
-5.92196098,0.74740780,0.01870492,0.00459104,0.20041079,0.03144420,0.23348063,0.30581737,0.00383785,0.47831460
-5.91595798,0.78502551,0.01988880,0.00411750,0.21374237,0.03204911,0.24955805,0.32120282,0.00394586,0.50470010
-5.90995498,0.82620145,0.02106352,0.00373138,0.22829929,0.03299743,0.26755732,0.33689647,0.00405030,0.53375352
-5.90395198,0.87013990,0.02221061,0.00342513,0.24387519,0.03425259,0.28723801,0.35257843,0.00414645,0.56497061
-5.89794897,0.91599018,0.02331155,0.00319075,0.26023857,0.03577424,0.30832086,0.36792663,0.00422997,0.59780123
-5.89194597,0.96286298,0.02434814,0.00302007,0.27713601,0.03751906,0.33049121,0.38262414,0.00429704,0.63165893
-5.88594297,1.00984767,0.02530293,0.00290487,0.29429624,0.03944175,0.35340364,0.39636645,0.00434442,0.66593166
-5.87993997,1.05603049,0.02615965,0.00283707,0.31143484,0.04149596,0.37668772,0.40886822,0.00436951,0.69999350
-5.87393697,1.10051332,0.02690352,0.00280891,0.32825962,0.04363540,0.39995501,0.41986960,0.00437042,0.73321722
-5.86793397,1.14243300,0.02752163,0.00281302,0.34447668,0.04581499,0.42280727,0.42914183,0.00434599,0.76498779
-5.86193097,1.18098065,0.02800321,0.00284257,0.35979693,0.04799204,0.44484563,0.43649202,0.00429578,0.79471635
-5.85592796,1.21542084,0.02833985,0.00289133,0.37394315,0.05012754,0.46568070,0.44176707,0.00422011,0.82185457
-5.84992496,1.24511011,0.02852568,0.00295378,0.38665709,0.05218739,0.48494331,0.44485653,0.00411996,0.84590903
-5.84392196,1.26951424,0.02855746,0.00302516,0.39770671,0.05414371,0.50229539,0.44569454,0.00399694,0.86645506
-5.83791896,1.28822396,0.02843462,0.00310153,0.40689306,0.05597603,0.51744087,0.44426071,0.00385322,0.88314983
-5.83191596,1.30096829,0.02815928,0.00317982,0.41405670,0.05767240,0.53013583,0.44057995,0.00369142,0.89574393
-5.82591296,1.30762505,0.02773607,0.00325790,0.41908325,0.05923031,0.54019779,0.43472136,0.00351454,0.90409113
-5.81990995,1.30822803,0.02717210,0.00333457,0.42190778,0.06065748,0.54751328,0.42679612,0.00332584,0.90815565
-5.81390695,1.30297009,0.02647668,0.00340962,0.42251800,0.06197224,0.55204368,0.41695461,0.00312871,0.90801663
-5.80790395,1.29220216,0.02566108,0.00348380,0.42095572,0.06320373,0.55382863,0.40538261,0.00292662,0.90386929
-5.80190095,1.27642743,0.02473831,0.00355883,0.41731666,0.06439164,0.55298691,0.39229687,0.00272298,0.89602261
-5.79589795,1.25629104,0.02372273,0.00363741,0.41174847,0.06558562,0.54971455,0.37794011,0.00252107,0.88489336
-5.78989495,1.23256507,0.02262976,0.00372310,0.40444689,0.06684425,0.54428013,0.36257551,0.00232397,0.87099638
-5.78389195,1.20612913,0.02147550,0.00382035,0.39565022,0.06823359,0.53701740,0.34648085,0.00213447,0.85493149
-5.77788894,1.17794724,0.02027640,0.00393436,0.38563219,0.06982542,0.52831530,0.32994249,0.00195509,0.83736721
-5.77188594,1.14904134,0.01904886,0.00407103,0.37469349,0.07169510,0.51860588,0.31324927,0.00178797,0.81902176
-5.76588294,1.12046257,0.01780894,0.00423680,0.36315235,0.07391911,0.50835049,0.29668650,0.00163493,0.80064215
-5.75987994,1.09326112,0.01657199,0.00443861,0.35133442,0.07657252,0.49802474,0.28053022,0.00149741,0.78298193
-5.75387694,1.06845581,0.01535240,0.00468370,0.33956237,0.07972620,0.48810299,0.26504179,0.00137649,0.76677854
-5.74787394,1.04700451,0.01416334,0.00497953,0.32814576,0.08344422,0.47904275,0.25046311,0.00127296,0.75273108
-5.74187094,1.02977662,0.01301650,0.00533360,0.31737141,0.08778118,0.47127001,0.23701241,0.00118729,0.74147938
-5.73586793,1.01752848,0.01192199,0.00575334,0.30749480,0.09277994,0.46516569,0.22488089,0.00111967,0.73358532
-5.72986493,1.01088295,0.01088820,0.00624600,0.29873274,0.09846959,0.46105409,0.21423015,0.00107008,0.72951689
-5.72386193,1.01031371,0.00992172,0.00681849,0.29125773,0.10486390,0.45919357,0.20519058,0.00103830,0.72963594
-5.71785893,1.01613510,0.00902734,0.00747729,0.28519404,0.11196032,0.45977001,0.19786072,0.00102396,0.73418975
-5.71185593,1.02849765,0.00820811,0.00822836,0.28061570,0.11973952,0.46289298,0.19230750,0.00102658,0.74330700
-5.70585293,1.04738949,0.00746539,0.00907706,0.27754655,0.12816556,0.46859494,0.18856751,0.00104558,0.75699796
-5.69984992,1.07264353,0.00679897,0.01002806,0.27596200,0.13718676,0.47683327,0.18664901,0.00108034,0.77515902
-5.69384692,1.10394980,0.00620725,0.01108529,0.27579267,0.14673705,0.48749494,0.18653473,0.00113019,0.79758103
