energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.70302963,0.01799048,0.36515382,0.32174135,0.85634901,0.42709598,2.18195207,0.00000000
-5.99399700,3.62989522,0.01764449,0.36108916,0.31385347,0.84846506,0.42330737,2.13599197,0.00000000
-5.98799400,3.56994366,0.01739670,0.35838354,0.30735441,0.84342017,0.42098453,2.09780980,0.00000000
-5.98199100,3.52392645,0.01725166,0.35699391,0.30234763,0.84132459,0.42011635,2.06800305,0.00000000
-5.97598799,3.49219242,0.01721160,0.35683650,0.29890161,0.84220556,0.42064666,2.04693188,0.00000000
-5.96998499,3.47469132,0.01727646,0.35778953,0.29704885,0.84600832,0.42247614,2.03471794,0.00000000
-5.96398199,3.47098895,0.01744392,0.35969703,0.29678583,0.85259933,0.42546554,2.03125019,0.00000000
-5.95797899,3.48029315,0.01770944,0.36237352,0.29807377,0.86177183,0.42944008,2.03619722,0.00000000
-5.95197599,3.50148940,0.01806646,0.36560971,0.30084024,0.87325344,0.43419487,2.04902534,0.00000000
-5.94597299,3.53318465,0.01850655,0.36917882,0.30498155,0.88671540,0.43950126,2.06902194,0.00000000
-5.93996998,3.57375798,0.01901965,0.37284337,0.31036590,0.90178339,0.44511385,2.09532299,0.00000000
-5.93396698,3.62141631,0.01959435,0.37636244,0.31683708,0.91804933,0.45077809,2.12694388,0.00000000
-5.92796398,3.67425341,0.02021816,0.37949887,0.32421875,0.93508400,0.45623801,2.16281264,0.00000000
-5.92196098,3.73031049,0.02087783,0.38202637,0.33231918,0.95244991,0.46124416,2.20180450,0.00000000
-5.91595798,3.78763654,0.02155972,0.38373634,0.34093625,0.96971422,0.46556112,2.24277674,0.00000000
-5.90995498,3.84434664,0.02225010,0.38444395,0.34986259,0.98646118,0.46897471,2.28460298,0.00000000
-5.90395198,3.89867654,0.02293553,0.38399359,0.35889084,1.00230378,0.47129842,2.32620570,0.00000000
-5.89794897,3.94903196,0.02360313,0.38226320,0.36781871,1.01689428,0.47237890,2.36658631,0.00000000
-5.89194597,3.99403106,0.02424093,0.37916760,0.37645377,1.02993320,0.47210037,2.40485166,0.00000000
-5.88594297,4.03253887,0.02483810,0.37466047,0.38461785,1.04117659,0.47038785,2.44023631,0.00000000
-5.87993997,4.06369256,0.02538520,0.36873515,0.39215089,1.05044124,0.46720888,2.47211979,0.00000000
-5.87393697,4.08691682,0.02587431,0.36142405,0.39891405,1.05760776,0.46257392,2.50003837,0.00000000
-5.86793397,4.10192892,0.02629917,0.35279687,0.40479212,1.06262131,0.45653534,2.52369089,0.00000000
-5.86193097,4.10873312,0.02665522,0.34295758,0.40969498,1.06549006,0.44918498,2.54293847,0.00000000
-5.85592796,4.10760514,0.02693956,0.33204041,0.41355829,1.06628140,0.44065046,2.55779820,0.00000000
-5.84992496,4.09906685,0.02715089,0.32020489,0.41634318,1.06511605,0.43109037,2.56843104,0.00000000
-5.84392196,4.08385275,0.02728938,0.30763033,0.41803519,1.06216033,0.42068856,2.57512447,0.00000000
-5.83791896,4.06286930,0.02735645,0.29450975,0.41864240,1.05761701,0.40964765,2.57827079,0.00000000
-5.83191596,4.03714915,0.02735459,0.28104366,0.41819292,1.05171496,0.39818221,2.57834184,0.00000000
-5.82591296,4.00780199,0.02728708,0.26743387,0.41673189,1.04469832,0.38651165,2.57586155,0.00000000
-5.81990995,3.97596439,0.02715776,0.25387751,0.41431820,1.03681539,0.37485327,2.57137739,0.00000000
-5.81390695,3.94275068,0.02697076,0.24056157,0.41102095,1.02830797,0.36341557,2.56543222,0.00000000
-5.80790395,3.90920698,0.02673029,0.22765796,0.40691604,1.01940150,0.35239225,2.55853770,0.00000000
-5.80190095,3.87627030,0.02644044,0.21531954,0.40208292,1.01029647,0.34195683,2.55115056,0.00000000
-5.79589795,3.84473442,0.02610503,0.20367677,0.39660169,1.00116136,0.33225827,2.54365275,0.00000000
-5.78989495,3.81522362,0.02572751,0.19283553,0.39055061,0.99212751,0.32341764,2.53633623,0.00000000
-5.78389195,3.78817532,0.02531089,0.18287571,0.38400421,0.98328591,0.31552579,2.52939307,0.00000000
-5.77788894,3.76383180,0.02485782,0.17385086,0.37703188,0.97468612,0.30864227,2.52291097,0.00000000
-5.77188594,3.74224112,0.02437057,0.16578856,0.36969713,0.96633704,0.30279516,2.51687434,0.00000000
-5.76588294,3.72326646,0.02385118,0.15869175,0.36205723,0.95820962,0.29798208,2.51117046,0.00000000
-5.75987994,3.70660333,0.02330158,0.15254056,0.35416343,0.95024104,0.29417202,2.50560024,0.00000000
-5.75387694,3.69180310,0.02272376,0.14729483,0.34606141,0.94234023,0.29130798,2.49989290,0.00000000
-5.74787394,3.67830181,0.02211994,0.14289697,0.33779208,0.93439427,0.28931031,2.49372350,0.00000000
-5.74187094,3.66545238,0.02149270,0.13927517,0.32939244,0.92627538,0.28808055,2.48673249,0.00000000
-5.73586793,3.65255906,0.02084517,0.13634672,0.32089648,0.91784820,0.28750562,2.47854629,0.00000000
-5.72986493,3.63891220,0.02018115,0.13402146,0.31233609,0.90897691,0.28746232,2.46879779,0.00000000
-5.72386193,3.62382242,0.01950516,0.13220511,0.30374176,0.89953211,0.28782181,2.45714609,0.00000000
-5.71785893,3.60665257,0.01882255,0.13080254,0.29514321,0.88939705,0.28845425,2.44329467,0.00000000
-5.71185593,3.58684668,0.01813948,0.12972077,0.28656979,0.87847319,0.28923312,2.42700727,0.00000000
-5.70585293,3.56395510,0.01746288,0.12887173,0.27805081,0.86668493,0.29003945,2.40812113,0.00000000
-5.69984992,3.53765508,0.01680043,0.12817472,0.26961562,0.85398337,0.29076567,2.38655721,0.00000000
-5.69384692,3.50776642,0.01616043,0.12755852,0.26129376,0.84034920,0.29131905,2.36232718,0.00000000
-5.68784392,3.47426200,0.01555166,0.12696310,0.25311497,0.82579462,0.29162467,2.33553701,0.00000000
-5.68184092,3.43727285,0.01498330,0.12634101,0.24510923,0.81036432,0.29162781,2.30638732,0.00000000
-5.67583792,3.39708788,0.01446468,0.12565830,0.23730693,0.79413554,0.29129576,2.27517030,0.00000000
-5.66983492,3.35414825,0.01400520,0.12489506,0.22973902,0.77721723,0.29061887,2.24226352,0.00000000
-5.66383192,3.30903652,0.01361406,0.12404559,0.22243729,0.75974837,0.28961098,2.20812077,0.00000000
-5.65782891,3.26246089,0.01330018,0.12311815,0.21543470,0.74189538,0.28830898,2.17325998,0.00000000
-5.65182591,3.21523474,0.01307194,0.12213425,0.20876574,0.72384876,0.28677165,2.13824875,0.00000000
-5.64582291,3.16825206,0.01293708,0.12112770,0.20246676,0.70581885,0.28507778,2.10368761,0.00000000
-5.63981991,3.12245924,0.01290247,0.12014317,0.19657617,0.68803096,0.28332345,2.07019153,0.00000000
-5.63381691,3.07882396,0.01297402,0.11923450,0.19113460,0.67071976,0.28161871,2.03837015,0.00000000
-5.62781391,3.03830211,0.01315646,0.11846266,0.18618470,0.65412313,0.28008365,2.00880718,0.00000000
-5.62181091,3.00180362,0.01345323,0.11789354,0.18177074,0.63847558,0.27884399,1.98203977,0.00000000
-5.61580790,2.97015833,0.01386633,0.11759546,0.17793785,0.62400148,0.27802629,1.95853838,0.00000000
