energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.42797954,0.00596946,0.00573322,0.14259875,0.02940075,0.09209755,0.02117933,0.27472956,0.00000000
-5.99399700,0.38111653,0.00533336,0.00504748,0.12687659,0.02620550,0.08202017,0.01884104,0.24472069,0.00000000
-5.98799400,0.33711749,0.00473117,0.00441999,0.11214518,0.02319904,0.07255646,0.01665106,0.21652500,0.00000000
-5.98199100,0.29618776,0.00416712,0.00384906,0.09846476,0.02039737,0.06375118,0.01461805,0.19027990,0.00000000
-5.97598799,0.25845985,0.00364416,0.00333274,0.08587251,0.01781125,0.05563334,0.01274730,0.16607520,0.00000000
-5.96998499,0.22399669,0.00316412,0.00286880,0.07438355,0.01544643,0.04821680,0.01104089,0.14395518,0.00000000
-5.96398199,0.19279699,0.00272771,0.00245473,0.06399260,0.01330410,0.04150155,0.00949790,0.12392214,0.00000000
-5.95797899,0.16480239,0.00233471,0.00208779,0.05467621,0.01138138,0.03547514,0.00811475,0.10594108,0.00000000
-5.95197599,0.13990578,0.00198408,0.00176503,0.04639539,0.00967202,0.03011457,0.00688557,0.08994511,0.00000000
-5.94597299,0.11796039,0.00167409,0.00148335,0.03909848,0.00816706,0.02538817,0.00580266,0.07584136,0.00000000
-5.93996998,0.09878917,0.00140249,0.00123960,0.03272407,0.00685557,0.02125763,0.00485688,0.06351707,0.00000000
-5.93396698,0.08219408,0.00116665,0.00103064,0.02720401,0.00572538,0.01767998,0.00403811,0.05284560,0.00000000
-5.92796398,0.06796495,0.00096366,0.00085340,0.02246607,0.00476382,0.01460945,0.00333566,0.04369216,0.00000000
-5.92196098,0.05588770,0.00079051,0.00070501,0.01843658,0.00395843,0.01199922,0.00273866,0.03591911,0.00000000
-5.91595798,0.04575174,0.00064413,0.00058281,0.01504264,0.00329762,0.00980294,0.00223637,0.02939071,0.00000000
-5.90995498,0.03735649,0.00052153,0.00048448,0.01221406,0.00277135,0.00797607,0.00181849,0.02397734,0.00000000
-5.90395198,0.03051705,0.00041987,0.00040811,0.00988501,0.00237175,0.00647697,0.00147542,0.01955906,0.00000000
-5.89794897,0.02506895,0.00033649,0.00035223,0.00799528,0.00209376,0.00526786,0.00119845,0.01602866,0.00000000
-5.89194597,0.02087229,0.00026896,0.00031595,0.00649134,0.00193572,0.00431556,0.00097992,0.01329425,0.00000000
-5.88594297,0.01781518,0.00021514,0.00029899,0.00532708,0.00190004,0.00359203,0.00081336,0.01128136,0.00000000
-5.87993997,0.01581673,0.00017318,0.00030177,0.00446438,0.00199387,0.00307485,0.00069360,0.00993483,0.00000000
-5.87393697,0.01482982,0.00014151,0.00032549,0.00387353,0.00222980,0.00274759,0.00061682,0.00922045,0.00000000
-5.86793397,0.01484358,0.00011891,0.00037224,0.00353351,0.00262661,0.00260004,0.00058065,0.00912642,0.00000000
-5.86193097,0.01588584,0.00010446,0.00044508,0.00343221,0.00321011,0.00262851,0.00058421,0.00966484,0.00000000
-5.85592796,0.01802567,0.00009754,0.00054812,0.00356660,0.00401393,0.00283601,0.00062817,0.01087314,0.00000000
-5.84992496,0.02137578,0.00009787,0.00068667,0.00394291,0.00508047,0.00323242,0.00071483,0.01281555,0.00000000
-5.84392196,0.02609510,0.00010551,0.00086729,0.00457672,0.00646175,0.00383469,0.00084814,0.01558461,0.00000000
-5.83791896,0.03239122,0.00012081,0.00109791,0.00549319,0.00822026,0.00466700,0.00103376,0.01930262,0.00000000
-5.83191596,0.04052265,0.00014448,0.00138794,0.00672715,0.01042980,0.00576085,0.00127913,0.02412297,0.00000000
-5.82591296,0.05080073,0.00017757,0.00174828,0.00832318,0.01317612,0.00715513,0.00159353,0.03023137,0.00000000
-5.81990995,0.06359090,0.00022147,0.00219140,0.01033573,0.01655742,0.00889609,0.00198805,0.03784664,0.00000000
-5.81390695,0.07931324,0.00027795,0.00273134,0.01282903,0.02068454,0.01103718,0.00247568,0.04722103,0.00000000
-5.80790395,0.09844165,0.00034914,0.00338367,0.01587695,0.02568092,0.01363874,0.00307122,0.05863995,0.00000000
-5.80190095,0.12150179,0.00043756,0.00416538,0.01956263,0.03168203,0.01676744,0.00379128,0.07242068,0.00000000
-5.79589795,0.14906708,0.00054610,0.00509470,0.02397795,0.03883440,0.02049556,0.00465412,0.08891024,0.00000000
-5.78989495,0.18175277,0.00067802,0.00619092,0.02922273,0.04729407,0.02489991,0.00567952,0.10848185,0.00000000
-5.78389195,0.22020770,0.00083695,0.00747401,0.03540367,0.05722446,0.03006051,0.00688855,0.13153020,0.00000000
-5.77788894,0.26510368,0.00102685,0.00896429,0.04263295,0.06879360,0.03605889,0.00830325,0.15846518,0.00000000
-5.77188594,0.31712231,0.00125200,0.01068187,0.05102659,0.08217069,0.04297612,0.00994628,0.18970411,0.00000000
-5.76588294,0.37693946,0.00151689,0.01264616,0.06070251,0.09752209,0.05089053,0.01184047,0.22566257,0.00000000
-5.75987994,0.44520745,0.00182622,0.01487519,0.07177830,0.11500673,0.05987512,0.01400829,0.26674381,0.00000000
-5.75387694,0.52253532,0.00218478,0.01738497,0.08436882,0.13477099,0.06999479,0.01647130,0.31332696,0.00000000
-5.74787394,0.60946762,0.00259733,0.02018873,0.09858364,0.15694328,0.08130346,0.01924954,0.36575440,0.00000000
-5.74187094,0.70646238,0.00306855,0.02329618,0.11452436,0.18162839,0.09384106,0.02236083,0.42431851,0.00000000
-5.73586793,0.81386890,0.00360283,0.02671280,0.13228204,0.20890179,0.10763068,0.02582013,0.48924834,0.00000000
-5.72986493,0.93190619,0.00420420,0.03043913,0.15193466,0.23880417,0.12267582,0.02963887,0.56069664,0.00000000
-5.72386193,1.06064302,0.00487613,0.03447015,0.17354478,0.27133632,0.13895802,0.03382432,0.63872771,0.00000000
-5.71785893,1.19998036,0.00562140,0.03879478,0.19715752,0.30645466,0.15643494,0.03837899,0.72330680,0.00000000
-5.71185593,1.34963708,0.00644193,0.04339544,0.22279884,0.34406762,0.17503891,0.04330013,0.81429132,0.00000000
-5.70585293,1.50913982,0.00733866,0.04824788,0.25047425,0.38403303,0.19467625,0.04857931,0.91142453,0.00000000
-5.69984992,1.67781749,0.00831137,0.05332108,0.28016791,0.42615673,0.21522734,0.05420213,1.01433203,0.00000000
-5.69384692,1.85480106,0.00935859,0.05857739,0.31184213,0.47019251,0.23654743,0.06014804,1.12252127,0.00000000
-5.68784392,2.03902880,0.01047747,0.06397292,0.34543730,0.51584345,0.25846833,0.06639028,1.23538444,0.00000000
-5.68184092,2.22925707,0.01166374,0.06945806,0.38087203,0.56276476,0.28080097,0.07289602,1.35220453,0.00000000
-5.67583792,2.42407651,0.01291162,0.07497819,0.41804355,0.61056797,0.30333860,0.07962660,1.47216460,0.00000000
-5.66983492,2.62193310,0.01421385,0.08047471,0.45682829,0.65882648,0.32586078,0.08653787,1.59435993,0.00000000
-5.66383192,2.82115357,0.01556168,0.08588600,0.49708230,0.70708239,0.34813787,0.09358076,1.71781267,0.00000000
-5.65782891,3.01997430,0.01694497,0.09114872,0.53864176,0.75485426,0.36993589,0.10070183,1.84148852,0.00000000
-5.65182591,3.21657272,0.01835227,0.09619908,0.58132314,0.80164584,0.39102162,0.10784405,1.96431478,0.00000000
