energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
2.14007004,2.76568356,0.00098779,0.22768065,0.62329639,2.54462074,0.45020672,0.04905663,0.09641922,0.46611576
2.14607304,2.69069517,0.00094694,0.22344457,0.60443536,2.47473320,0.43942177,0.04714063,0.09576111,0.44960203
2.15207604,2.60470830,0.00090159,0.21849131,0.58297180,2.39425046,0.42710789,0.04497621,0.09487614,0.43095990
2.15807904,2.50985111,0.00085263,0.21297500,0.55940804,2.30512863,0.41360448,0.04260531,0.09381017,0.41060475
2.16408204,2.40834362,0.00080099,0.20705269,0.53426967,2.20942031,0.39926010,0.04007216,0.09260759,0.38897570
2.17008504,2.30242840,0.00074761,0.20087925,0.50808942,2.10921039,0.38442155,0.03742196,0.09130959,0.36652265
2.17608804,2.19430449,0.00069343,0.19460265,0.48139163,2.00655442,0.36942381,0.03469955,0.08995267,0.34369357
2.18209105,2.08606703,0.00063933,0.18835989,0.45467799,1.90342177,0.35458097,0.03194819,0.08856748,0.32092251
2.18809405,1.97965475,0.00058616,0.18227366,0.42841500,1.80164566,0.34017855,0.02920850,0.08717814,0.29861872
2.19409705,1.87680668,0.00053466,0.17644975,0.40302353,1.70288152,0.32646746,0.02651754,0.08580182,0.27715716
2.20010005,1.77902895,0.00048549,0.17097539,0.37887061,1.60857448,0.31365953,0.02390810,0.08444886,0.25687066
2.20610305,1.68757216,0.00043921,0.16591835,0.35626371,1.51993653,0.30192478,0.02140821,0.08312318,0.23804392
2.21210605,1.60341884,0.00039627,0.16132687,0.33544731,1.43793317,0.29139018,0.01904085,0.08182297,0.22090921
2.21810905,1.52728048,0.00035701,0.15723021,0.31660171,1.36327900,0.28213991,0.01682383,0.08054170,0.20564392
2.22411206,1.45960297,0.00032166,0.15363980,0.29984390,1.29644134,0.27421679,0.01476992,0.07926921,0.19236978
2.23011506,1.40057924,0.00029035,0.15055074,0.28523007,1.23765073,0.26762463,0.01288707,0.07799293,0.18115360
2.23611806,1.35016764,0.00026310,0.14794369,0.27275962,1.18691717,0.26233147,0.01117880,0.07669904,0.17200934
2.24212106,1.30811459,0.00023986,0.14578686,0.26238025,1.14405060,0.25827319,0.00964468,0.07537361,0.16490139
2.24812406,1.27398037,0.00022051,0.14403803,0.25399383,1.10868454,0.25535756,0.00828091,0.07400357,0.15974877
2.25412706,1.24716668,0.00020485,0.14264666,0.24746289,1.08030172,0.25346837,0.00708085,0.07257750,0.15643015
2.26013007,1.22694519,0.00019266,0.14155579,0.24261734,1.05826080,0.25246972,0.00603569,0.07108625,0.15478942
2.26613307,1.21248630,0.00018366,0.14070394,0.23926135,1.04182348,0.25221017,0.00513499,0.06952326,0.15464181
2.27213607,1.20288761,0.00017757,0.14002686,0.23718026,1.03018137,0.25252696,0.00436727,0.06788482,0.15578024
