energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.09787047,0.97429936,1.19431115,0.01523084,0.69314242,0.01870342,0.91646912,0.45651627,0.13618346
-5.99399700,3.12441331,0.98095626,1.20229448,0.01558834,0.69572076,0.01928434,0.92987945,0.46323526,0.13772774
-5.98799400,3.13760038,0.98365186,1.20512761,0.01585756,0.69540438,0.01977266,0.93948169,0.46822097,0.13865944
-5.98199100,3.13758806,0.98250690,1.20289046,0.01603365,0.69225128,0.02016172,0.94527582,0.47149469,0.13898506
-5.97598799,3.12472876,0.97769119,1.19574040,0.01611342,0.68635785,0.02044660,0.94731709,0.47310003,0.13872054
-5.96998499,3.09955516,0.96941590,1.18390600,0.01609542,0.67785570,0.02062425,0.94571152,0.47309978,0.13789040
-5.96398199,3.06275980,0.95792505,1.16767892,0.01598009,0.66690762,0.02069352,0.94061016,0.47157230,0.13652664
-5.95797899,3.01517095,0.94348671,1.14740412,0.01576967,0.65370292,0.02065516,0.93220248,0.46860778,0.13466753
-5.95197599,2.95772592,0.92638426,1.12346903,0.01546820,0.63845227,0.02051180,0.92070904,0.46430442,0.13235623
-5.94597299,2.89144270,0.90690802,1.09629188,0.01508141,0.62138218,0.02026775,0.90637404,0.45876480,0.12963943
-5.93996998,2.81739138,0.88534772,1.06630991,0.01461660,0.60272943,0.01992890,0.88945776,0.45209264,0.12656589
-5.93396698,2.73666629,0.86198589,1.03396785,0.01408242,0.58273560,0.01950249,0.87022950,0.44438993,0.12318520
-5.92796398,2.65036013,0.83709259,0.99970708,0.01348867,0.56164187,0.01899685,0.84896103,0.43575470,0.11954650
-5.92196098,2.55954085,0.81092144,0.96395599,0.01284605,0.53968429,0.01842119,0.82592104,0.42627942,0.11569744
-5.91595798,2.46523220,0.78370713,0.92712183,0.01216591,0.51708973,0.01778529,0.80137055,0.41605011,0.11168333
-5.90995498,2.36839828,0.75566422,0.88958426,0.01145998,0.49407244,0.01709927,0.77555952,0.40514605,0.10754647
-5.90395198,2.26993260,0.72698740,0.85169078,0.01074010,0.47083151,0.01637333,0.74872461,0.39364022,0.10332568
-5.89794897,2.17065154,0.69785270,0.81375407,0.01001796,0.44754905,0.01561755,0.72108812,0.38160015,0.09905610
-5.89194597,2.07129189,0.66841970,0.77605112,0.00930492,0.42438923,0.01484167,0.69285797,0.36908934,0.09476916
-5.88594297,1.97251228,0.63883439,0.73882401,0.00861173,0.40149805,0.01405494,0.66422848,0.35616882,0.09049268
-5.87993997,1.87489757,0.60923227,0.70228207,0.00794839,0.37900376,0.01326600,0.63538186,0.34289895,0.08625118
-5.87393697,1.77896560,0.57974162,0.66660509,0.00732400,0.35701774,0.01248279,0.60649010,0.32934114,0.08206624
-5.86793397,1.68517529,0.55048645,0.63194710,0.00674664,0.33563591,0.01171248,0.57771696,0.31555939,0.07795696
-5.86193097,1.59393527,0.52158900,0.59844059,0.00622326,0.31494022,0.01096145,0.54921985,0.30162152,0.07394039
-5.85592796,1.50561216,0.49317157,0.56620043,0.00575966,0.29500032,0.01023527,0.52115133,0.28760002,0.07003198
-5.84992496,1.42053765,0.46535744,0.53532748,0.00536040,0.27587515,0.00953873,0.49366008,0.27357222,0.06624592
-5.84392196,1.33901388,0.43827092,0.50591140,0.00502884,0.25761434,0.00887585,0.46689109,0.25962009,0.06259543
-5.83791896,1.26131655,0.41203644,0.47803256,0.00476711,0.24025937,0.00824992,0.44098513,0.24582932,0.05909295
-5.83191596,1.18769564,0.38677676,0.45176282,0.00457612,0.22384434,0.00766350,0.41607739,0.23228792,0.05575014
-5.82591296,1.11837372,0.36261035,0.42716535,0.00445559,0.20839641,0.00711852,0.39229532,0.21908430,0.05257781
-5.81990995,1.05354198,0.33964824,0.40429334,0.00440409,0.19393596,0.00661625,0.36975590,0.20630499,0.04958578
-5.81390695,0.99335459,0.31799045,0.38318792,0.00441907,0.18047626,0.00615733,0.34856241,0.19403214,0.04678254
-5.80790395,0.93792166,0.29772232,0.36387550,0.00449690,0.16802308,0.00574185,0.32880105,0.18234087,0.04417493
-5.80190095,0.88730185,0.27891086,0.34636469,0.00463293,0.15657403,0.00536927,0.31053748,0.17129671,0.04176779
-5.79589795,0.84149511,0.26160164,0.33064333,0.00482155,0.14611787,0.00503857,0.29381371,0.16095326,0.03956350
-5.78989495,0.80043640,0.24581607,0.31667573,0.00505629,0.13663394,0.00474813,0.27864555,0.15135013,0.03756176
-5.78389195,0.76399109,0.23154968,0.30440061,0.00532986,0.12809166,0.00449590,0.26502072,0.14251149,0.03575920
-5.77788894,0.73195267,0.21877125,0.29372981,0.00563429,0.12045035,0.00427930,0.25289802,0.13444510,0.03414932
-5.77188594,0.70404314,0.20742291,0.28454823,0.00596108,0.11365936,0.00409539,0.24220754,0.12714200,0.03272236
-5.76588294,0.67991647,0.19742150,0.27671486,0.00630130,0.10765856,0.00394082,0.23285195,0.12057693,0.03146544
