energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
2.48224112,2.26798128,0.13172684,0.00000000,0.16580974,0.00000000,0.31577629,2.11799106
2.48824412,2.30001932,0.13317952,0.00000000,0.16308272,0.00000000,0.32583374,2.15071588
2.49424712,2.33671125,0.13461447,0.00000000,0.16036562,0.00000000,0.33787874,2.18813299
2.50025013,2.37928159,0.13611445,0.00000000,0.15770507,0.00000000,0.35205790,2.23139298
2.50625313,2.42887759,0.13776254,0.00000000,0.15514677,0.00000000,0.36849452,2.28156594
2.51225613,2.48651017,0.13963860,0.00000000,0.15273280,0.00000000,0.38727883,2.33958649
2.51825913,2.55299876,0.14181579,0.00000000,0.15049918,0.00000000,0.40845894,2.40620248
2.52426213,2.62892264,0.14435744,0.00000000,0.14847405,0.00000000,0.43203297,2.48193009
2.53026513,2.71458112,0.14731420,0.00000000,0.14667640,0.00000000,0.45794264,2.56701732
2.53626813,2.80996455,0.15072182,0.00000000,0.14511542,0.00000000,0.48606873,2.66141780
2.54227114,2.91473772,0.15459947,0.00000000,0.14379051,0.00000000,0.51622869,2.76477635
2.54827414,3.02823640,0.15894871,0.00000000,0.14269184,0.00000000,0.54817666,2.87642707
2.55427714,3.14947765,0.16375324,0.00000000,0.14180151,0.00000000,0.58160587,2.99540422
2.56028014,3.27718315,0.16897926,0.00000000,0.14109505,0.00000000,0.61615360,3.12046558
2.56628314,3.40981492,0.17457646,0.00000000,0.14054330,0.00000000,0.65140850,3.25012735
2.57228614,3.54562172,0.18047966,0.00000000,0.14011440,0.00000000,0.68692012,3.38270888
2.57828914,3.68269411,0.18661091,0.00000000,0.13977580,0.00000000,0.72221023,3.51638559
2.58429215,3.81902574,0.19288189,0.00000000,0.13949621,0.00000000,0.75678577,3.64924743
2.59029515,3.95257822,0.19919673,0.00000000,0.13924721,0.00000000,0.79015266,3.77936042
2.59629815,4.08134663,0.20545484,0.00000000,0.13900458,0.00000000,0.82183022,3.90482862
2.60230115,4.20342313,0.21155382,0.00000000,0.13874919,0.00000000,0.85136546,4.02385376
2.60830415,4.31705574,0.21739228,0.00000000,0.13846744,0.00000000,0.87834677,4.13479015
