energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.92674506,0.11137122,0.10434474,0.99660965,0.35589016,0.44939155,0.21736090,0.01222872,0.87376016
-5.99399700,1.78982884,0.10524098,0.09337052,0.92122194,0.32673906,0.41747724,0.20625762,0.01182770,0.81867372
-5.98799400,1.65352929,0.09884034,0.08297397,0.84672422,0.29827649,0.38569047,0.19461770,0.01137253,0.76279849
-5.98199100,1.51925646,0.09226076,0.07322729,0.77387113,0.27076000,0.35436398,0.18259207,0.01086964,0.70678389
-5.97598799,1.38826719,0.08559122,0.06418147,0.70332086,0.24440561,0.32379462,0.17033006,0.01032618,0.65123437
-5.96998499,1.26165304,0.07891625,0.05586750,0.63563010,0.21938728,0.29424038,0.15797642,0.00974985,0.59670045
-5.96398199,1.14033384,0.07231427,0.04829804,0.57125241,0.19583778,0.26591878,0.14566862,0.00914866,0.54367185
-5.95797899,1.02505624,0.06585623,0.04146955,0.51053952,0.17385050,0.23900642,0.13353442,0.00853077,0.49257278
-5.95197599,0.91639686,0.05960458,0.03536458,0.45374526,0.15348223,0.21363969,0.12168983,0.00790428,0.44375924
-5.94597299,0.81476921,0.05361256,0.02995428,0.40103165,0.13475650,0.18991641,0.11023752,0.00727699,0.39751820
-5.93996998,0.72043392,0.04792381,0.02520082,0.35247663,0.11766742,0.16789821,0.09926565,0.00665628,0.35406867
-5.93396698,0.63351142,0.04257235,0.02105978,0.30808306,0.10218380,0.14761359,0.08884717,0.00604892,0.31356419
-5.92796398,0.55399653,0.03758273,0.01748240,0.26778848,0.08825332,0.12906133,0.07903957,0.00546094,0.27609675
-5.92196098,0.48177418,0.03297057,0.01441756,0.23147522,0.07580666,0.11221431,0.06988505,0.00489757,0.24170178
-5.91595798,0.41663590,0.02874314,0.01181351,0.19898060,0.06476152,0.09702339,0.06141107,0.00436312,0.21036394
-5.90995498,0.35829629,0.02490028,0.00961933,0.17010681,0.05502627,0.08342133,0.05363133,0.00386100,0.18202355
-5.90395198,0.30640928,0.02143523,0.00778615,0.14463032,0.04650338,0.07132665,0.04654687,0.00339368,0.15658337
-5.89794897,0.26058359,0.01833571,0.00626801,0.12231060,0.03909242,0.06064730,0.04014758,0.00296275,0.13391546
-5.89194597,0.22039723,0.01558492,0.00502255,0.10289796,0.03269263,0.05128406,0.03441373,0.00256897,0.11386802
-5.88594297,0.18541082,0.01316256,0.00401143,0.08614057,0.02720519,0.04313371,0.02931763,0.00221232,0.09627193
-5.87993997,0.15517938,0.01104578,0.00320056,0.07179049,0.02253499,0.03609176,0.02482533,0.00189213,0.08094696
-5.87393697,0.12926279,0.00921008,0.00256024,0.05960871,0.01859211,0.03005490,0.02089831,0.00160715,0.06770734
-5.86793397,0.10723458,0.00763016,0.00206504,0.04936939,0.01529288,0.02492307,0.01749501,0.00135568,0.05636687
-5.86193097,0.08868928,0.00628055,0.00169373,0.04086304,0.01256069,0.02060114,0.01457233,0.00113565,0.04674325
-5.85592796,0.07324822,0.00513626,0.00142904,0.03389907,0.01032652,0.01700023,0.01208689,0.00094474,0.03866179
-5.84992496,0.06056397,0.00417325,0.00125743,0.02830748,0.00852918,0.01403877,0.00999624,0.00078047,0.03195839
-5.84392196,0.05032340,0.00336878,0.00116881,0.02393990,0.00711539,0.01164313,0.00825971,0.00064030,0.02648183
-5.83791896,0.04224959,0.00270169,0.00115625,0.02067002,0.00603970,0.00974808,0.00683923,0.00052166,0.02209545
-5.83191596,0.03610263,0.00215259,0.00121570,0.01839356,0.00526422,0.00829694,0.00569987,0.00042208,0.01867817
-5.82591296,0.03167946,0.00170392,0.00134572,0.01702766,0.00475829,0.00724151,0.00481025,0.00033918,0.01612500
-5.81990995,0.02881280,0.00134002,0.00154713,0.01650990,0.00449800,0.00654183,0.00414272,0.00027074,0.01434702
-5.81390695,0.02736944,0.00104707,0.00182280,0.01679696,0.00446565,0.00616570,0.00367344,0.00021471,0.01327092
-5.80790395,0.02724777,0.00081301,0.00217727,0.01786289,0.00464918,0.00608813,0.00338235,0.00016924,0.01283821
-5.80190095,0.02837483,0.00062746,0.00261652,0.01969708,0.00504147,0.00629064,0.00325293,0.00013266,0.01300400
-5.79589795,0.03070286,0.00048155,0.00314758,0.02230189,0.00563964,0.00676040,0.00327196,0.00010352,0.01373560
-5.78989495,0.03420543,0.00036782,0.00377825,0.02569011,0.00644430,0.00748931,0.00342913,0.00008056,0.01501082
-5.78389195,0.03887330,0.00028006,0.00451669,0.02988203,0.00745877,0.00847307,0.00371666,0.00006269,0.01681616
-5.77788894,0.04471000,0.00021315,0.00537102,0.03490245,0.00868826,0.00971005,0.00412880,0.00004900,0.01914480
-5.77188594,0.05172731,0.00016294,0.00634897,0.04077739,0.01013900,0.01120025,0.00466133,0.00003875,0.02199453
-5.76588294,0.05994062,0.00012612,0.00745739,0.04753082,0.01181748,0.01294420,0.00531106,0.00003131,0.02536569
-5.75987994,0.06936445,0.00010010,0.00870185,0.05518132,0.01372959,0.01494182,0.00607534,0.00002620,0.02925907
-5.75387694,0.08000805,0.00008289,0.01008620,0.06373880,0.01587984,0.01719138,0.00695153,0.00002304,0.03367393
-5.74787394,0.09187143,0.00007304,0.01161221,0.07320148,0.01827067,0.01968854,0.00793655,0.00002157,0.03860613
-5.74187094,0.10494176,0.00006953,0.01327916,0.08355311,0.02090182,0.02242538,0.00902650,0.00002158,0.04404655
-5.73586793,0.11919048,0.00007175,0.01508358,0.09476068,0.02376982,0.02538972,0.01021624,0.00002297,0.04997963
-5.72986493,0.13457105,0.00007940,0.01701902,0.10677269,0.02686761,0.02856451,0.01149919,0.00002570,0.05638242
-5.72386193,0.15101766,0.00009246,0.01907597,0.11951812,0.03018434,0.03192741,0.01286709,0.00002978,0.06322386
-5.71785893,0.16844486,0.00011117,0.02124182,0.13290613,0.03370537,0.03545069,0.01430991,0.00003527,0.07046455
-5.71185593,0.18674814,0.00013598,0.02350098,0.14682669,0.03741237,0.03910133,0.01581589,0.00004230,0.07805696
-5.70585293,0.20580564,0.00016752,0.02583520,0.16115205,0.04128375,0.04284133,0.01737160,0.00005103,0.08594610
-5.69984992,0.22548068,0.00020659,0.02822389,0.17573911,0.04529511,0.04662837,0.01896219,0.00006165,0.09407052
-5.69384692,0.24562524,0.00025412,0.03064464,0.19043260,0.04941996,0.05041668,0.02057169,0.00007439,0.10236382
-5.68784392,0.26608404,0.00031113,0.03307382,0.20506900,0.05363048,0.05415806,0.02218334,0.00008950,0.11075641
-5.68184092,0.28669911,0.00037875,0.03548728,0.21948092,0.05789843,0.05780323,0.02378011,0.00010725,0.11917743
-5.67583792,0.30731451,0.00045812,0.03786100,0.23350199,0.06219595,0.06130310,0.02534511,0.00012793,0.12755688
-5.66983492,0.32778096,0.00055038,0.04017187,0.24697172,0.06649646,0.06461030,0.02686209,0.00015179,0.13582763
-5.66383192,0.34795999,0.00065663,0.04239834,0.25974032,0.07077537,0.06768055,0.02831593,0.00017913,0.14392736
-5.65782891,0.36772742,0.00077788,0.04452107,0.27167309,0.07501063,0.07047402,0.02969305,0.00021017,0.15180015
-5.65182591,0.38697581,0.00091495,0.04652335,0.28265423,0.07918311,0.07295654,0.03098176,0.00024512,0.15939769
-5.64582291,0.40561575,0.00106850,0.04839155,0.29258970,0.08327669,0.07510055,0.03217254,0.00028414,0.16668008
-5.63981991,0.42357581,0.00123889,0.05011525,0.30140921,0.08727814,0.07688588,0.03325817,0.00032731,0.17361593
-5.63381691,0.44080112,0.00142614,0.05168728,0.30906696,0.09117664,0.07830008,0.03423378,0.00037465,0.18018206
-5.62781391,0.45725069,0.00162992,0.05310356,0.31554126,0.09496315,0.07933857,0.03509678,0.00042605,0.18636250
-5.62181091,0.47289357,0.00184945,0.05436277,0.32083304,0.09862951,0.08000440,0.03584663,0.00048134,0.19214708
-5.61580790,0.48770418,0.00208349,0.05546585,0.32496330,0.10216741,0.08030768,0.03648453,0.00054019,0.19752962
-5.60980490,0.50165708,0.00233028,0.05641549,0.32796974,0.10556726,0.08026479,0.03701308,0.00060218,0.20250582
-5.60380190,0.51472175,0.00258760,0.05721538,0.32990278,0.10881718,0.07989739,0.03743583,0.00066674,0.20707107
-5.59779890,0.52685754,0.00285270,0.05786965,0.33082122,0.11190193,0.07923122,0.03775680,0.00073320,0.21121841
-5.59179590,0.53800961,0.00312237,0.05838216,0.33078792,0.11480223,0.07829488,0.03798011,0.00080075,0.21493663
-5.58579290,0.54810587,0.00339301,0.05875602,0.32986570,0.11749420,0.07711865,0.03810951,0.00086850,0.21820889
-5.57978989,0.55705565,0.00366064,0.05899312,0.32811384,0.11994929,0.07573333,0.03814813,0.00093545,0.22101197
-5.57378689,0.56475005,0.00392103,0.05909388,0.32558535,0.12213451,0.07416931,0.03809825,0.00100055,0.22331607
-5.56778389,0.57106428,0.00416980,0.05905725,0.32232521,0.12401315,0.07245585,0.03796122,0.00106270,0.22508554
-5.56178089,0.57586198,0.00440254,0.05888079,0.31836979,0.12554586,0.07062064,0.03773750,0.00112082,0.22628026
-5.55577789,0.57900132,0.00461493,0.05856104,0.31374734,0.12669215,0.06868967,0.03742684,0.00117382,0.22685791
