energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.87228615,0.01177349,0.00495895,0.27854537,0.20841782,0.15763629,0.01502731,0.03087999,0.52220224
-5.99399700,0.86284990,0.01060985,0.00501031,0.26705961,0.22085946,0.15114390,0.01420171,0.02926690,0.51333139
-5.98799400,0.86468455,0.00964234,0.00512191,0.25908335,0.23611103,0.14656700,0.01360342,0.02805075,0.51116317
-5.98199100,0.87773360,0.00887592,0.00529153,0.25460619,0.25417042,0.14389966,0.01323197,0.02722577,0.51566316
-5.97598799,0.90176939,0.00831365,0.00551593,0.25356157,0.27499496,0.14310319,0.01308456,0.02678026,0.52669404
-5.96998499,0.93640476,0.00795695,0.00579096,0.25583207,0.29850169,0.14410929,0.01315625,0.02669720,0.54402322
-5.96398199,0.98110640,0.00780584,0.00611162,0.26125519,0.32456811,0.14682340,0.01344022,0.02695496,0.56733129
-5.95797899,1.03520892,0.00785901,0.00647219,0.26962915,0.35303331,0.15112822,0.01392790,0.02752802,0.59622109
-5.95197599,1.09792931,0.00811391,0.00686635,0.28071870,0.38369939,0.15688727,0.01460919,0.02838769,0.63022677
-5.94597299,1.16838112,0.00856671,0.00728728,0.29426053,0.41633311,0.16394829,0.01547248,0.02950277,0.66882276
-5.93996998,1.24558793,0.00921219,0.00772782,0.30996831,0.45066785,0.17214645,0.01650479,0.03084015,0.71143217
-5.93396698,1.32849611,0.01004354,0.00818059,0.32753712,0.48640558,0.18130728,0.01769173,0.03236541,0.75743474
-5.92796398,1.41598652,0.01105219,0.00863813,0.34664749,0.52321910,0.19124931,0.01901752,0.03404326,0.80617399
-5.92196098,1.50688532,0.01222752,0.00909302,0.36696879,0.56075440,0.20178640,0.02046493,0.03583797,0.85696386
-5.91595798,1.59997413,0.01355661,0.00953801,0.38816226,0.59863323,0.21272979,0.02201523,0.03771379,0.90909478
-5.90995498,1.69399968,0.01502407,0.00996613,0.40988363,0.63645597,0.22388992,0.02364820,0.03963515,0.96183939
-5.90395198,1.78768340,0.01661180,0.01037076,0.43178563,0.67380488,0.23507798,0.02534205,0.04156701,1.01445812
-5.89794897,1.87973148,0.01829897,0.01074574,0.45352036,0.71024777,0.24610747,0.02707352,0.04347508,1.06620491
-5.89194597,1.96884568,0.02006201,0.01108547,0.47474178,0.74534239,0.25679558,0.02881795,0.04532602,1.11633336
-5.88594297,2.05373547,0.02187475,0.01138488,0.49510846,0.77864136,0.26696467,0.03054947,0.04708768,1.16410351
-5.87993997,2.13313177,0.02370872,0.01163958,0.51428671,0.80969805,0.27644380,0.03224126,0.04872934,1.20878948
-5.87393697,2.20580255,0.02553355,0.01184580,0.53195405,0.83807316,0.28507043,0.03386590,0.05022199,1.24968814
-5.86793397,2.27057044,0.02731752,0.01200050,0.54780335,0.86334215,0.29269224,0.03539581,0.05153858,1.28612888
-5.86193097,2.32633206,0.02902824,0.01210132,0.56154724,0.88510341,0.29916915,0.03680379,0.05265437,1.31748437
-5.85592796,2.37207892,0.03063338,0.01214661,0.57292310,0.90298700,0.30437550,0.03806358,0.05354730,1.34318214
-5.84992496,2.40691920,0.03210156,0.01213547,0.58169819,0.91666368,0.30820226,0.03915051,0.05419828,1.36271667
-5.84392196,2.43009974,0.03340320,0.01206768,0.58767493,0.92585397,0.31055933,0.04004216,0.05459167,1.37566168
-5.83791896,2.44102720,0.03451136,0.01194376,0.59069599,0.93033693,0.31137776,0.04071899,0.05471553,1.38168187
-5.83191596,2.43928750,0.03540263,0.01176494,0.59064900,0.92995811,0.31061169,0.04116495,0.05456205,1.38054373
-5.82591296,2.42466226,0.03605782,0.01153313,0.58747055,0.92463631,0.30824004,0.04136804,0.05412775,1.37212468
-5.81990995,2.39714121,0.03646260,0.01125090,0.58114918,0.91436879,0.30426772,0.04132073,0.05341370,1.35641997
-5.81390695,2.35692970,0.03660798,0.01092146,0.57172725,0.89923448,0.29872624,0.04102026,0.05242563,1.33354681
-5.80790395,2.30445031,0.03649058,0.01054862,0.55930127,0.87939488,0.29167374,0.04046883,0.05117389,1.30374515
-5.80190095,2.24033822,0.03611276,0.01013671,0.54402078,0.85509253,0.28319417,0.03967360,0.04967335,1.26737502
-5.79589795,2.16542987,0.03548250,0.00969054,0.52608554,0.82664685,0.27339577,0.03864653,0.04794308,1.22491009
-5.78989495,2.08074527,0.03461307,0.00921532,0.50574117,0.79444749,0.26240881,0.03740405,0.04600597,1.17692758
-5.78389195,1.98746418,0.03352263,0.00871656,0.48327322,0.75894534,0.25038259,0.03596663,0.04388823,1.12409483
-5.77788894,1.88689710,0.03223353,0.00819996,0.45900006,0.72064146,0.23748182,0.03435811,0.04161870,1.06715285
-5.77188594,1.78045202,0.03077154,0.00767136,0.43326463,0.68007441,0.22388254,0.03260506,0.03922819,1.00689756
-5.76588294,1.66959839,0.02916505,0.00713654,0.40642552,0.63780647,0.20976770,0.03073597,0.03674868,0.94415943
-5.75987994,1.55582967,0.02744408,0.00660119,0.37884773,0.59440926,0.19532258,0.02878043,0.03421253,0.87978233
-5.75387694,1.44062593,0.02563944,0.00607076,0.35089339,0.55044951,0.18073025,0.02676832,0.03165170,0.81460240
-5.74787394,1.32541832,0.02378176,0.00555039,0.32291298,0.50647532,0.16616724,0.02472901,0.02909697,0.74942800
-5.74187094,1.21155633,0.02190070,0.00504480,0.29523717,0.46300368,0.15179953,0.02269062,0.02657726,0.68502126
-5.73586793,1.10027958,0.02002420,0.00455823,0.26816980,0.42050960,0.13777920,0.02067940,0.02411903,0.62208205
-5.72986493,0.99269462,0.01817785,0.00409439,0.24198210,0.37941724,0.12424157,0.01871920,0.02174581,0.56123501
-5.72386193,0.88975776,0.01638442,0.00365645,0.21690837,0.34009325,0.11130317,0.01683106,0.01947779,0.50301976
-5.71785893,0.79226408,0.01466351,0.00324699,0.19314312,0.30284257,0.09906044,0.01503296,0.01733164,0.44788476
-5.71185593,0.70084277,0.01303135,0.00286805,0.17083982,0.26790660,0.08758913,0.01333970,0.01532039,0.39618459
-5.70585293,0.61595840,0.01150074,0.00252116,0.15011108,0.23546365,0.07694459,0.01176287,0.01345345,0.34818077
-5.69984992,0.53791779,0.01008114,0.00220740,0.13103017,0.20563159,0.06716256,0.01031104,0.01173677,0.30404552
-5.69384692,0.46688158,0.00877885,0.00192745,0.11363367,0.17847217,0.05826065,0.00898995,0.01017306,0.26386835
-5.68784392,0.40287968,0.00759726,0.00168171,0.09792513,0.15399698,0.05024026,0.00780287,0.00876215,0.22766474
-5.68184092,0.34582967,0.00653723,0.00147037,0.08387937,0.13217444,0.04308885,0.00675093,0.00750135,0.19538650
-5.67583792,0.29555704,0.00559749,0.00129356,0.07144726,0.11293750,0.03678245,0.00583363,0.00638588,0.16693321
-5.66983492,0.25181635,0.00477504,0.00115140,0.06056074,0.09619179,0.03128826,0.00504925,0.00540929,0.14216413
-5.66383192,0.21431242,0.00406557,0.00104414,0.05113779,0.08182360,0.02656728,0.00439532,0.00456394,0.12091010
-5.65782891,0.18272053,0.00346390,0.00097226,0.04308729,0.06970771,0.02257683,0.00386906,0.00384140,0.10298500
-5.65182591,0.15670516,0.00296439,0.00093654,0.03631342,0.05971446,0.01927285,0.00346779,0.00323284,0.08819629
-5.64582291,0.13593659,0.00256120,0.00093817,0.03071967,0.05171614,0.01661198,0.00318927,0.00272937,0.07635435
-5.63981991,0.12010485,0.00224867,0.00097874,0.02621220,0.04559229,0.01455336,0.00303201,0.00232236,0.06728038
-5.63381691,0.10893089,0.00202154,0.00106035,0.02270263,0.04123399,0.01306002,0.00299545,0.00200363,0.06081274
-5.62781391,0.10217467,0.00187509,0.00118553,0.02011014,0.03854699,0.01210002,0.00308013,0.00176567,0.05681155
-5.62181091,0.09964020,0.00180531,0.00135730,0.01836291,0.03745360,0.01164717,0.00328772,0.00160175,0.05516157
-5.61580790,0.10117753,0.00180890,0.00157907,0.01739898,0.03789354,0.01168143,0.00362097,0.00150597,0.05577344
-5.60980490,0.10668189,0.00188332,0.00185454,0.01716647,0.03982360,0.01218901,0.00408360,0.00147327,0.05858329
-5.60380190,0.11609015,0.00202672,0.00218763,0.01762333,0.04321636,0.01316214,0.00468005,0.00149941,0.06355090
-5.59779890,0.12937492,0.00223782,0.00258231,0.01873662,0.04805801,0.01459867,0.00541524,0.00158090,0.07065651
-5.59179590,0.14653666,0.00251579,0.00304239,0.02048141,0.05434537,0.01650137,0.00629414,0.00171483,0.07989657
-5.58579290,0.16759417,0.00286007,0.00357138,0.02283943,0.06208236,0.01887710,0.00732138,0.00189881,0.09127860
-5.57978989,0.19257394,0.00327017,0.00417222,0.02579745,0.07127602,0.02173595,0.00850079,0.00213075,0.10481543
-5.57378689,0.22149885,0.00374548,0.00484708,0.02934561,0.08193226,0.02509019,0.00983487,0.00240873,0.12051903
-5.56778389,0.25437678,0.00428502,0.00559714,0.03347573,0.09405161,0.02895330,0.01132434,0.00273080,0.13839436
-5.56178089,0.29118964,0.00488729,0.00642232,0.03817959,0.10762511,0.03333901,0.01296762,0.00309485,0.15843343
-5.55577789,0.33188335,0.00555004,0.00732112,0.04344742,0.12263060,0.03826046,0.01476045,0.00349841,0.18060983
