energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.22407413,1.28405597,0.00000000,0.00255715,0.35741743,1.08814461,0.92501036,0.63175006,0.00000000
-5.99399700,2.27290541,1.32317048,0.00000000,0.00246114,0.36491886,1.11295046,0.94064759,0.65942108,0.00000000
-5.98799400,2.32067695,1.35962011,0.00000000,0.00237872,0.37248400,1.13705840,0.95611971,0.68664438,0.00000000
-5.98199100,2.36694605,1.39299580,0.00000000,0.00231094,0.37998283,1.16008351,0.97134440,0.71321976,0.00000000
-5.97598799,2.41130173,1.42293250,0.00000000,0.00225857,0.38728123,1.18165536,0.98625625,0.73896210,0.00000000
-5.96998499,2.45338128,1.44911880,0.00000000,0.00222212,0.39424508,1.20142999,1.00081285,0.76370542,0.00000000
-5.96398199,2.49288430,1.47130417,0.00000000,0.00220183,0.40074427,1.21910019,1.01500013,0.78730610,0.00000000
-5.95797899,2.52958358,1.48930346,0.00000000,0.00219773,0.40665612,1.23440383,1.02883654,0.80964531,0.00000000
-5.95197599,2.56333247,1.50299871,0.00000000,0.00220966,0.41186829,1.24712994,1.04237599,0.83063038,0.00000000
-5.94597299,2.59406878,1.51233827,0.00000000,0.00223730,0.41628110,1.25712247,1.05570924,0.85019556,0.00000000
-5.93996998,2.62181516,1.51733368,0.00000000,0.00228024,0.41980914,1.26428182,1.06896402,0.86830201,0.00000000
-5.93396698,2.64667654,1.51805467,0.00000000,0.00233796,0.42238235,1.26856439,1.08230363,0.88493732,0.00000000
-5.92796398,2.66883518,1.51462279,0.00000000,0.00240991,0.42394647,1.26998043,1.09592456,0.90011480,0.00000000
-5.92196098,2.68854383,1.50720441,0.00000000,0.00249556,0.42446312,1.26859056,1.11005295,0.91387254,0.00000000
-5.91595798,2.70611793,1.49600345,0.00000000,0.00259439,0.42390947,1.26450137,1.12494047,0.92627253,0.00000000
-5.90995498,2.72192711,1.48125452,0.00000000,0.00270594,0.42227764,1.25786046,1.14085950,0.93739989,0.00000000
