energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,2.80071174,0.01643068,0.40359628,1.09978885,0.39046165,0.62493600,0.95207658,0.00436135,1.29633135
-5.99399700,2.93439666,0.01785417,0.40535388,1.19158911,0.41356777,0.66612247,0.97259852,0.00434074,1.38489889
-5.98799400,3.07245023,0.01927555,0.40698705,1.28648127,0.43738198,0.70813305,0.99331822,0.00436123,1.47672018
-5.98199100,3.21288586,0.02067322,0.40846223,1.38334736,0.46149351,0.75038752,1.01395405,0.00441491,1.57053989
-5.97598799,3.35355031,0.02202465,0.40973545,1.48096021,0.48547087,0.79226401,1.03418500,0.00449392,1.66500154
-5.96998499,3.49217058,0.02330688,0.41075340,1.57800780,0.50887228,0.83311273,1.05365793,0.00459064,1.75867631
-5.96398199,3.62640757,0.02449715,0.41145497,1.67312232,0.53125681,0.87227151,1.07199666,0.00469788,1.85009587
-5.95797899,3.75391510,0.02557357,0.41177321,1.76491295,0.55219591,0.90908276,1.08881254,0.00480894,1.93778824
-5.95197599,3.87240187,0.02651573,0.41163763,1.85200121,0.57128510,0.94291113,1.10371612,0.00491781,2.02031544
-5.94597299,3.97969416,0.02730531,0.41097677,1.93305745,0.58815503,0.97316128,1.11632932,0.00501921,2.09631139
-5.93996998,4.07379651,0.02792671,0.40972080,2.00683711,0.60248182,0.99929487,1.12629775,0.00510868,2.16451862
-5.93396698,4.15294787,0.02836746,0.40780421,2.07221497,0.61399596,1.02084622,1.13330243,0.00518263,2.22382204
-5.92796398,4.21567063,0.02861873,0.40516831,2.12821611,0.62248962,1.03743582,1.13707043,0.00523833,2.27327854
-5.92196098,4.26081062,0.02867550,0.40176347,2.17404196,0.62782183,1.04878115,1.13738409,0.00527395,2.31214089
-5.91595798,4.28756606,0.02853680,0.39755114,2.20909054,0.62992157,1.05470436,1.13408826,0.00528851,2.33987509
-5.90995498,4.29550460,0.02820569,0.39250532,2.23296985,0.62878839,1.05513642,1.12709530,0.00528181,2.35617034
-5.90395198,4.28456780,0.02768915,0.38661371,2.24550401,0.62449081,1.05011769,1.11638790,0.00525440,2.36094148
-5.89794897,4.25506311,0.02699782,0.37987843,2.24673200,0.61716245,1.03979494,1.10201931,0.00520748,2.35432377
-5.89194597,4.20764434,0.02614567,0.37231619,2.23689936,0.60699614,1.02441489,1.08411150,0.00514281,2.33666071
-5.88594297,4.14328167,0.02514948,0.36395814,2.21644335,0.59423640,1.00431493,1.06285109,0.00506262,2.30848553
-5.87993997,4.06322321,0.02402831,0.35484942,2.18597261,0.57917054,0.97991119,1.03848356,0.00496948,2.27049755
-5.87393697,3.96895011,0.02280290,0.34504826,2.14624251,0.56211892,0.95168492,1.01130601,0.00486621,2.22353477
-5.86793397,3.86212759,0.02149505,0.33462498,2.09812750,0.54342476,0.92016751,0.98165883,0.00475579,2.16854402
-5.86193097,3.74455414,0.02012693,0.32366073,2.04259185,0.52344390,0.88592514,0.94991683,0.00464128,2.10655020
-5.85592796,3.61811125,0.01872054,0.31224619,1.98066022,0.50253494,0.84954345,0.91647992,0.00452571,2.03862605
-5.84992496,3.48471549,0.01729709,0.30048004,1.91338929,0.48105018,0.81161304,0.88176401,0.00441204,1.96586361
-5.84392196,3.34627472,0.01587652,0.28846755,1.84184155,0.45932747,0.77271623,0.84619219,0.00430307,1.88934843
-5.83791896,3.20464951,0.01447709,0.27631903,1.76706205,0.43768336,0.73341537,0.81018646,0.00420145,1.81013732
-5.83191596,3.06162070,0.01311501,0.26414832,1.69005875,0.41640753,0.69424316,0.77416026,0.00410962,1.72924009
-5.82591296,2.91886322,0.01180428,0.25207121,1.61178676,0.39575863,0.65569500,0.73851177,0.00402979,1.64760541
-5.81990995,2.77792638,0.01055646,0.24020392,1.53313640,0.37596143,0.61822333,0.70361808,0.00396392,1.56611081
-5.81390695,2.64021992,0.00938071,0.22866158,1.45492506,0.35720525,0.58223397,0.66983022,0.00391373,1.48555640
-5.80790395,2.50700535,0.00828377,0.21755659,1.37789223,0.33964354,0.54808426,0.63746901,0.00388070,1.40666186
-5.80190095,2.37939173,0.00727009,0.20699712,1.30269747,0.32339440,0.51608258,0.60682163,0.00386601,1.33006607
-5.79589795,2.25833477,0.00634204,0.19708551,1.22992041,0.30854189,0.48648922,0.57813890,0.00387063,1.25632874
-5.78989495,2.14463864,0.00550006,0.18791672,1.16006242,0.29513799,0.45951796,0.55163318,0.00389520,1.18593329
-5.78389195,2.03895942,0.00474297,0.17957681,1.09354929,0.28320494,0.43533837,0.52747678,0.00394011,1.11929047
-5.77788894,1.94180963,0.00406821,0.17214149,1.03073438,0.27273801,0.41407826,0.50580097,0.00400542,1.05674221
-5.77188594,1.85356324,0.00347214,0.16567473,0.97190200,0.26370831,0.39582625,0.48669542,0.00409090,0.99856514
