energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,3.53655874,0.00531470,0.49836573,0.13934330,2.20141386,1.44631940,1.50796294
-5.99399700,3.56227084,0.00505912,0.49452840,0.13951626,2.23092056,1.46459699,1.51993800
-5.98799400,3.57565586,0.00480471,0.48932120,0.13942241,2.25162328,1.47730592,1.52457952
-5.98199100,3.57638793,0.00455277,0.48287516,0.13906852,2.26306159,1.48427882,1.52172272
-5.97598799,3.56444588,0.00430495,0.47534350,0.13846685,2.26500028,1.48548203,1.51137333
-5.96998499,3.54010173,0.00406310,0.46689418,0.13763397,2.25743086,1.48101237,1.49370407
-5.96398199,3.50389891,0.00382923,0.45770221,0.13658951,2.24056477,1.47108950,1.46904511
-5.95797899,3.45662172,0.00360538,0.44794218,0.13535475,2.21481869,1.45604444,1.43786927
-5.95197599,3.39925788,0.00339355,0.43778120,0.13395132,2.18079334,1.43630503,1.40077257
-5.94597299,3.33295659,0.00319567,0.42737286,0.13239995,2.13924686,1.41237924,1.35845144
-5.93996998,3.25898459,0.00301354,0.41685223,0.13071939,2.09106471,1.38483741,1.31167770
-5.93396698,3.17868276,0.00284881,0.40633230,0.12892568,2.03722769,1.35429445,1.26127252
-5.92796398,3.09342554,0.00270299,0.39590199,0.12703154,1.97877989,1.32139291,1.20808081
-5.92196098,3.00458538,0.00257744,0.38562571,0.12504627,1.91679827,1.28678789,1.15294713
-5.91595798,2.91350372,0.00247343,0.37554454,0.12297581,1.85236533,1.25113446,1.09669417
-5.90995498,2.82146972,0.00239215,0.36567892,0.12082330,1.78654596,1.21507807,1.04010470
-5.90395198,2.72970716,0.00233476,0.35603262,0.11858977,1.72036930,1.17924814,0.98390743
-5.89794897,2.63936951,0.00230249,0.34659772,0.11627522,1.65481594,1.14425499,0.92876727
-5.89194597,2.55154246,0.00229664,0.33736049,0.11387979,1.59081045,1.11068964,0.87527993
-5.88594297,2.46725279,0.00231868,0.32830751,0.11140505,1.52921895,1.07912621,0.82397062
-5.87993997,2.38748211,0.00237027,0.31943207,0.10885530,1.47085079,1.05012631,0.77529645
-5.87393697,2.31318353,0.00245337,0.31074010,0.10623887,1.41646367,1.02424446,0.72965193
-5.86793397,2.24529946,0.00257022,0.30225570,0.10356910,1.36677084,1.00203415,0.68737678
-5.86193097,2.18477858,0.00272344,0.29402565,0.10086529,1.32244943,0.98405333,0.64876525
-5.85592796,2.13259021,0.00291601,0.28612287,0.09815317,1.28414854,0.97086891,0.61407606
-5.84992496,2.08973456,0.00315130,0.27864856,0.09546518,1.25249634,0.96305956,0.58354230
-5.84392196,2.05724770,0.00343309,0.27173292,0.09284027,1.22810494,0.96121619,0.55738040
-5.83791896,2.03620049,0.00376552,0.26553442,0.09032342,1.21157276,0.96594001,0.53579769
-5.83191596,2.02769097,0.00415309,0.26023758,0.08796473,1.20348368,0.97783778,0.51899800
-5.82591296,2.03283050,0.00460063,0.25604940,0.08581825,1.20440294,0.99751440,0.50718509
-5.81990995,2.05272377,0.00511319,0.25319443,0.08394053,1.21486988,1.02556289,0.50056361
-5.81390695,2.08844363,0.00569596,0.25190888,0.08238888,1.23538774,1.06255214,0.49933762
-5.80790395,2.14100153,0.00635420,0.25243365,0.08121963,1.26641091,1.10901265,0.50370688
-5.80190095,2.21131493,0.00709303,0.25500680,0.08048618,1.30833040,1.16542087,0.51386096
-5.79589795,2.30017272,0.00791734,0.25985547,0.08023717,1.36145795,1.23218250,0.52997158
-5.78989495,2.40820007,0.00883154,0.26718761,0.08051467,1.42600966,1.30961544,0.55218361
-5.78389195,2.53582403,0.00983935,0.27718378,0.08135257,1.50208974,1.39793271,0.58060506
-5.77788894,2.68324102,0.01094356,0.28998918,0.08277513,1.58967516,1.49722610,0.61529660
-5.77188594,2.85038745,0.01214576,0.30570627,0.08479580,1.68860167,1.60745100,0.65626115
-5.76588294,3.03691465,0.01344606,0.32438810,0.08741641,1.79855207,1.72841294,0.70343388
-5.75987994,3.24216889,0.01484283,0.34603279,0.09062657,1.91904686,1.85975649,0.75667331
-5.75387694,3.46517777,0.01633236,0.37057913,0.09440353,2.04943814,2.00095696,0.81575384
-5.74787394,3.70464342,0.01790869,0.39790385,0.09871233,2.18890684,2.15131560,0.88036014
-5.74187094,3.95894351,0.01956336,0.42782040,0.10350634,2.33646377,2.30995868,0.95008393
-5.73586793,4.22614060,0.02128525,0.46007977,0.10872815,2.49095473,2.47584109,1.02442328
-5.72986493,4.50400015,0.02306052,0.49437320,0.11431075,2.65106976,2.64775473,1.10278485
-5.72386193,4.79001755,0.02487262,0.53033708,0.12017909,2.81535677,2.82434223,1.18448909
-5.71785893,5.08145403,0.02670241,0.56755988,0.12625186,2.98223931,3.00411584,1.26877861
-5.71185593,5.37538121,0.02852836,0.60559110,0.13244349,3.15003853,3.18548172,1.35482944
-5.70585293,5.66873346,0.03032692,0.64395217,0.13866633,3.31699883,3.36676921,1.44176512
-5.69984992,5.95836709,0.03207300,0.68214883,0.14483300,3.48131686,3.54626445,1.52867330
-5.69384692,6.24112487,0.03374047,0.71968478,0.15085865,3.64117314,3.72224763,1.61462421
-5.68784392,6.51390394,0.03530291,0.75607609,0.15666329,3.79476564,3.89303258,1.69869055
-5.68184092,6.77372502,0.03673427,0.79086574,0.16217393,3.94034421,4.05700738,1.77996810
-5.67583792,7.01780033,0.03800971,0.82363779,0.16732650,4.07624504,4.21267422,1.85759618
-5.66983492,7.24359780,0.03910634,0.85403043,0.17206753,4.20092382,4.35868697,1.93077725
-5.66383192,7.44889867,0.04000404,0.88174731,0.17635539,4.31298670,4.49388441,1.99879487
-5.65782891,7.63184627,0.04068614,0.90656647,0.18016109,4.41121785,4.61731756,2.06102914
-5.65182591,7.79098366,0.04114005,0.92834649,0.18346863,4.49460260,4.72826952,2.11696926
-5.64582291,7.92527832,0.04135781,0.94702918,0.18627481,4.56234551,4.82626651,2.16622233
-5.63981991,8.03413292,0.04133638,0.96263887,0.18858849,4.61388269,4.91107949,2.20851843
-5.63381691,8.11738154,0.04107785,0.97527799,0.19042941,4.64888790,4.98271584,2.24371159
-5.62781391,8.17527163,0.04058947,0.98511908,0.19182648,4.66727260,5.04140139,2.27177679
-5.62181091,8.20843272,0.03988346,0.99239374,0.19281579,4.66917991,5.08755373,2.29280334
-5.61580790,8.21783366,0.03897662,0.99737880,0.19343827,4.65497308,5.12174790,2.30698497
-5.60980490,8.20473058,0.03788988,1.00038051,0.19373728,4.62521916,5.14467651,2.31460721
-5.60380190,8.17060840,0.03664763,1.00171758,0.19375612,4.58066863,5.15710632,2.31603299
-5.59779890,8.11711901,0.03527693,1.00170392,0.19353565,4.52223217,5.15983387,2.31168692
-5.59179590,8.04601916,0.03380673,1.00063204,0.19311221,4.45095549,5.15364251,2.30203930
-5.58579290,7.95911123,0.03226696,0.99875800,0.19251585,4.36799334,5.13926344,2.28759039
-5.57978989,7.85818950,0.03068767,0.99628877,0.19176902,4.27458373,5.11734298,2.26885579
