energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.61259368,-0.20632211,0.00306278,-0.00295408,0.10664788,-0.00606125,0.06859598,-0.02499848,0.34673349,-0.05651062,0.01097627,-0.01268926,0.00273006,-0.00120171,0.19813742,-0.12088825
-5.99399700,0.59989282,-0.21552554,0.00282147,-0.00324182,0.10927007,-0.00527713,0.06702481,-0.02453738,0.34423033,-0.05961683,0.01016013,-0.01135086,0.00319184,-0.00099887,0.18759571,-0.12759769
-5.98799400,0.58816010,-0.22759552,0.00258232,-0.00354182,0.11141332,-0.00470530,0.06605625,-0.02474803,0.34108629,-0.06348898,0.00958100,-0.01044550,0.00375676,-0.00083547,0.17831953,-0.13584368
-5.98199100,0.57761437,-0.24226324,0.00234811,-0.00385034,0.11306442,-0.00432595,0.06572665,-0.02558867,0.33732010,-0.06806235,0.00924360,-0.00994327,0.00443611,-0.00070718,0.17046349,-0.14548411
-5.97598799,0.56849513,-0.25926244,0.00212130,-0.00416341,0.11422725,-0.00412183,0.06607387,-0.02702322,0.33298020,-0.07327197,0.00915129,-0.00981762,0.00524116,-0.00061014,0.16416980,-0.15637535
-5.96998499,0.56106372,-0.27832999,0.00190401,-0.00447687,0.11492365,-0.00407814,0.06713762,-0.02902040,0.32814732,-0.07905264,0.00930632,-0.01004532,0.00618287,-0.00054099,0.15956747,-0.16837274
-5.96398199,0.55560270,-0.29920593,0.00169798,-0.00478637,0.11519360,-0.00418227,0.06895949,-0.03155270,0.32293575,-0.08533880,0.00970996,-0.01060609,0.00727154,-0.00049691,0.15677129,-0.18133079
-5.95797899,0.55241308,-0.32163327,0.00150460,-0.00508752,0.11509486,-0.00442354,0.07158264,-0.03459520,0.31749319,-0.09206431,0.01036247,-0.01148212,0.00851637,-0.00047562,0.15588045,-0.19510341
-5.95197599,0.55180955,-0.34535736,0.00132490,-0.00537591,0.11470195,-0.00479285,0.07505099,-0.03812425,0.31199912,-0.09916221,0.01126313,-0.01265736,0.00992501,-0.00047541,0.15697702,-0.20954379
-5.94597299,0.55411381,-0.37012530,0.00115957,-0.00564719,0.11410454,-0.00528235,0.07940818,-0.04211618,0.30666188,-0.10656433,0.01241002,-0.01411677,0.01150307,-0.00049512,0.16012402,-0.22450448
-5.93996998,0.55964632,-0.39568523,0.00100898,-0.00589721,0.11340539,-0.00588508,0.08469617,-0.04654590,0.30171450,-0.11420105,0.01379983,-0.01584552,0.01325360,-0.00053415,0.16536347,-0.23983730
-5.93396698,0.56871685,-0.42178580,0.00087327,-0.00612208,0.11271788,-0.00659464,0.09095373,-0.05138568,0.29740961,-0.12200101,0.01542764,-0.01782811,0.01517663,-0.00059247,0.17271426,-0.25539341
-5.92796398,0.58161433,-0.44817589,0.00075232,-0.00631825,0.11216321,-0.00740488,0.09821472,-0.05660400,0.29401341,-0.12989097,0.01728658,-0.02004764,0.01726867,-0.00067063,0.18217015,-0.27102353
-5.92196098,0.59859653,-0.47460472,0.00064587,-0.00648265,0.11186746,-0.00830964,0.10650653,-0.06216467,0.29179932,-0.13779573,0.01936762,-0.02248510,0.01952236,-0.00076976,0.19369794,-0.28657831
-5.91595798,0.61988008,-0.50082247,0.00055349,-0.00661271,0.11195850,-0.00930254,0.11584853,-0.06802615,0.29104119,-0.14563830,0.02165932,-0.02511888,0.02192610,-0.00089159,0.20723610,-0.30190904
