energy_ev,total_up,total_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.76825340,-2.58927208,0.20062903,-0.47772700,0.24628552,-1.28200667,0.14534121,-0.17499324,0.00439112,-0.01261635,0.05442260,-0.40647465,0.01768259,-0.03035500,0.37217299,-1.16151271
-5.99399700,0.75557127,-2.54681139,0.19751658,-0.46810479,0.23419912,-1.29143851,0.14718962,-0.16756785,0.00415890,-0.01141359,0.04936273,-0.39695937,0.01722372,-0.02905379,0.37011598,-1.14954947
-5.98799400,0.74446067,-2.51150786,0.19410634,-0.45943209,0.22341690,-1.30132368,0.14905414,-0.16100857,0.00391939,-0.01034390,0.04480727,-0.38866197,0.01678757,-0.02783037,0.36845120,-1.14033194
-5.98199100,0.73444828,-2.48283498,0.19035364,-0.45160767,0.21373429,-1.31123156,0.15082506,-0.15529235,0.00367654,-0.00940796,0.04071443,-0.38148867,0.01637009,-0.02669325,0.36696130,-1.13362979
-5.97598799,0.72510028,-2.46011419,0.18622524,-0.44451400,0.20495929,-1.32070803,0.15240224,-0.15037922,0.00343428,-0.00860378,0.03704233,-0.37532226,0.01596776,-0.02564924,0.36545079,-1.12914860
-5.96998499,0.71603270,-2.44254683,0.18170102,-0.43802316,0.19691606,-1.32929138,0.15369746,-0.14621514,0.00319637,-0.00792700,0.03374981,-0.37002864,0.01557791,-0.02470360,0.36375096,-1.12654209
-5.96398199,0.70692044,-2.42924750,0.17677528,-0.43200244,0.18944793,-1.33652786,0.15463661,-0.14273497,0.00296639,-0.00737120,0.03079721,-0.36546337,0.01519904,-0.02386031,0.36172415,-1.12542515
-5.95797899,0.69750452,-2.41927739,0.17145767,-0.42631930,0.18241983,-1.34198624,0.15516140,-0.13986561,0.00274764,-0.00692823,0.02814703,-0.36147794,0.01483110,-0.02312231,0.35926714,-1.12538721
-5.95197599,0.68759730,-2.41167655,0.16577351,-0.42084563,0.17571992,-1.34527094,0.15523063,-0.13752890,0.00254309,-0.00658854,0.02576454,-0.35792551,0.01447562,-0.02249168,0.35631348,-1.12600561
-5.94597299,0.67708544,-2.40549411,0.15976361,-0.41546126,0.16926056,-1.34603349,0.15482094,-0.13564445,0.00235539,-0.00634153,0.02361830,-0.35466614,0.01413589,-0.02196992,0.35283463,-1.12685834
-5.93996998,0.66593044,-2.39981578,0.15348346,-0.41005657,0.16297845,-1.34398194,0.15392705,-0.13413226,0.00218683,-0.00617585,0.02168045,-0.35157110,0.01381688,-0.02155811,0.34883991,-1.12753607
-5.93396698,0.65416662,-2.39378792,0.14700183,-0.40453443,0.15683395,-1.33888809,0.15256139,-0.13291497,0.00203936,-0.00607971,0.01992699,-0.34852651,0.01352523,-0.02125708,0.34437515,-1.12765298
-5.92796398,0.64189686,-2.38663802,0.14039890,-0.39881130,0.15080976,-1.33059243,0.15075332,-0.13191985,0.00191453,-0.00604118,0.01833790,-0.34543593,0.01326903,-0.02106749,0.33952011,-1.12685621
-5.92196098,0.62928594,-2.37769108,0.13376381,-0.39281788,0.14490886,-1.31900684,0.14854784,-0.13108044,0.00181359,-0.00604842,0.01689705,-0.34222227,0.01305757,-0.02098987,0.33438479,-1.12483393
-5.91595798,0.61655211,-2.36638195,0.12719197,-0.38649904,0.13915195,-1.30411499,0.14600388,-0.13033778,0.00173744,-0.00608995,0.01559218,-0.33882868,0.01290095,-0.02102467,0.32910472,-1.12132160
-5.90995498,0.60395700,-2.35226349,0.12078196,-0.37981353,0.13357446,-1.28597058,0.14319235,-0.12964140,0.00168665,-0.00615486,0.01441460,-0.33521870,0.01280975,-0.02117209,0.32383541,-1.11610670
-5.90395198,0.59179437,-2.33501077,0.11463242,-0.37273327,0.12822326,-1.26469370,0.14019392,-0.12894984,0.00166152,-0.00623299,0.01335904,-0.33137569,0.01279449,-0.02143206,0.31874621,-1.10903161
-5.89794897,0.58037822,-2.31442125,0.10883884,-0.36524249,0.12315322,-1.24046525,0.13709675,-0.12823096,0.00166203,-0.00631512,0.01242328,-0.32730150,0.01286521,-0.02180403,0.31401375,-1.09999476
-5.89194597,0.57003079,-2.29041134,0.10349058,-0.35733669,0.11842388,-1.21351989,0.13399417,-0.12746185,0.00168791,-0.00639311,0.01160790,-0.32301464,0.01303097,-0.02228679,0.30981539,-1.08895019
-5.88594297,0.56107075,-2.26300949,0.09866807,-0.34902154,0.11409611,-1.18413765,0.13098247,-0.12662859,0.00173859,-0.00646000,0.01091599,-0.31854791,0.01329938,-0.02287821,0.30632268,-1.07590534
-5.87993997,0.55380235,-2.23234615,0.09444038,-0.34031176,0.11022921,-1.15263453,0.12815886,-0.12572560,0.00181325,-0.00651013,0.01035293,-0.31394565,0.01367620,-0.02357507,0.30369533,-1.06091738
-5.87393697,0.54850574,-2.19864117,0.09086336,-0.33122993,0.10687831,-1.11935235,0.12561974,-0.12475494,0.00191079,-0.00653916,0.00992616,-0.30926075,0.01416495,-0.02437275,0.30207576,-1.04408823
-5.86793397,0.54542891,-2.16218887,0.08797816,-0.32180535,0.10409226,-1.08464826,0.12345923,-0.12372536,0.00202986,-0.00654417,0.00964508,-0.30455145,0.01476663,-0.02526506,0.30158459,-1.02555832
-5.86193097,0.54478158,-2.12334156,0.08581046,-0.31207289,0.10191209,-1.04888424,0.12176807,-0.12265125,0.00216886,-0.00652360,0.00952097,-0.29987815,0.01547956,-0.02624400,0.30231704,-1.00549950
-5.85592796,0.54673118,-2.08249209,0.08437024,-0.30207191,0.10036996,-1.01241683,0.12063295,-0.12155147,0.00232592,-0.00647727,0.00956698,-0.29530024,0.01629925,-0.02729960,0.30434064,-0.98410724
-5.84992496,0.55140099,-2.04005593,0.08365211,-0.29184513,0.09948871,-0.97558757,0.12013611,-0.12044824,0.00249896,-0.00640634,0.00979818,-0.29087322,0.01721844,-0.02841986,0.30769400,-0.96159249
-5.84392196,0.55887049,-1.99645387,0.08363630,-0.28143767,0.09928198,-0.93871440,0.12035537,-0.11936597,0.00268570,-0.00631321,0.01023163,-0.28664603,0.01822722,-0.02959064,0.31238691,-0.93817364
-5.83791896,0.56917772,-1.95209563,0.08428997,-0.27089609,0.09975474,-0.90208433,0.12136440,-0.11833017,0.00288366,-0.00620145,0.01088648,-0.28265888,0.01931328,-0.03079578,0.31840164,-0.91406863
-5.83191596,0.58232341,-1.90736538,0.08556907,-0.26026754,0.10090425,-0.86594757,0.12323321,-0.11736653,0.00309025,-0.00607569,0.01178405,-0.27894155,0.02046219,-0.03201720,0.32569521,-0.88948794
-5.82591296,0.59827652,-1.86260967,0.08742043,-0.24959911,0.10272134,-0.83051345,0.12602878,-0.11650006,0.00330275,-0.00594147,0.01294793,-0.27551227,0.02165785,-0.03323512,0.33420266,-0.86462837
-5.81990995,0.61698076,-1.81812824,0.08978408,-0.23893721,0.10519188,-0.79594804,0.12981568,-0.11575449,0.00351843,-0.00580511,0.01440400,-0.27237726,0.02288296,-0.03442840,0.34384090,-0.83966819
-5.81390695,0.63836168,-1.77416817,0.09259558,-0.22832725,0.10829837,-0.76237374,0.13465667,-0.11515179,0.00373455,-0.00567356,0.01618034,-0.26953082,0.02411947,-0.03557494,0.35451306,-0.81476368
-5.80790395,0.66233362,-1.73092145,0.09578838,-0.21781345,0.11202147,-0.72987054,0.14061311,-0.11471193,0.00394844,-0.00555421,0.01830723,-0.26695608,0.02534921,-0.03665221,0.36611289,-0.79004716
-5.80190095,0.68880630,-1.68852602,0.09929600,-0.20743878,0.11634145,-0.69847911,0.14774507,-0.11445281,0.00415755,-0.00545472,0.02081687,-0.26462638,0.02655430,-0.03763777,0.37852908,-0.76562678
-5.79589795,0.71769033,-1.64707012,0.10305399,-0.19724518,0.12123940,-0.66820529,0.15611120,-0.11439030,0.00435950,-0.00538287,0.02374320,-0.26250696,0.02771771,-0.03850994,0.39164905,-0.74158761
-5.78989495,0.74890142,-1.60659939,0.10700148,-0.18727384,0.12669822,-0.63902580,0.16576818,-0.11453846,0.00455212,-0.00534634,0.02712154,-0.26055719,0.02882365,-0.03924840,0.40536213,-0.71799433
-5.78389195,0.78236300,-1.56712631,0.11108244,-0.17756560,0.13270323,-0.61089485,0.17676988,-0.11490980,0.00473351,-0.00535251,0.03098832,-0.25873293,0.02985795,-0.03983489,0.41956182,-0.69489489
-5.77788894,0.81800720,-1.52864113,0.11524648,-0.16816146,0.13924256,-0.58375126,0.18916619,-0.11551554,0.00490202,-0.00540832,0.03538072,-0.25698895,0.03080833,-0.04025379,0.43414713,-0.67232512
-5.77188594,0.85577411,-1.49112357,0.11944925,-0.15910298,0.14630720,-0.55752573,0.20300167,-0.11636578,0.00505627,-0.00552002,0.04033644,-0.25528138,0.03166456,-0.04049271,0.44902281,-0.65031376
-5.76588294,0.89560975,-1.45455435,0.12365241,-0.15043271,0.15389087,-0.53214790,0.21831404,-0.11746967,0.00519519,-0.00569299,0.04589356,-0.25356980,0.03241852,-0.04054298,0.46409861,-0.62888767
-5.75987994,0.93746297,-1.41892574,0.12782333,-0.14219445,0.16198976,-0.50755270,0.23513287,-0.11883534,0.00531796,-0.00593159,0.05209055,-0.25181902,0.03306423,-0.04040003,0.47928779,-0.60807669
-5.75387694,0.98128192,-1.38425043,0.13193444,-0.13443337,0.17060231,-0.48368599,0.25347845,-0.12046967,0.00542398,-0.00623891,0.05896656,-0.25000041,0.03359770,-0.04006361,0.49450492,-0.58791793
-5.74787394,1.02701068,-1.35056795,0.13596251,-0.12719583,0.17972911,-0.46050883,0.27336113,-0.12237785,0.00551288,-0.00661664,0.06656197,-0.24809264,0.03401675,-0.03953797,0.50966337,-0.56845906
-5.74187094,1.07458671,-1.31794825,0.13988781,-0.12052906,0.18937315,-0.43800060,0.29478140,-0.12456272,0.00558444,-0.00706491,0.07491922,-0.24608177,0.03432083,-0.03883177,0.52467283,-0.54976050
-5.73586793,1.12393984,-1.28649228,0.14369332,-0.11448043,0.19954045,-0.41616052,0.31773066,-0.12702401,0.00563856,-0.00758217,0.08408404,-0.24396086,0.03451069,-0.03795787,0.53943723,-0.53189615
-5.72986493,1.17499335,-1.25632928,0.14736407,-0.10909661,0.21024130,-0.39500790,0.34219306,-0.12975730,0.00567524,-0.00816506,0.09410693,-0.24172889,0.03458819,-0.03693304,0.55385325,-0.51495282
-5.72386193,1.22766751,-1.22761126,0.15088679,-0.10442230,0.22149213,-0.37458080,0.36814820,-0.13275305,0.00569452,-0.00880838,0.10504497,-0.23938937,0.03455602,-0.03577745,0.56780999,-0.49902816
-5.71785893,1.28188597,-1.20050485,0.15424980,-0.10049895,0.23331805,-0.35493363,0.39557487,-0.13599553,0.00569644,-0.00950509,0.11696383,-0.23694848,0.03441746,-0.03451408,0.58118978,-0.48422746
