energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.64293907,0.02428927,0.07034679,0.29637229,0.21206749,0.39723097,0.03357416,0.71320807
-5.99399700,1.74247940,0.02605321,0.07496328,0.32087256,0.22440039,0.42169924,0.03560181,0.75657622
-5.98799400,1.83690577,0.02780990,0.07943928,0.34588401,0.23596406,0.44503316,0.03751883,0.79775811
-5.98199100,1.92497789,0.02954614,0.08372685,0.37127500,0.24659203,0.46694196,0.03929863,0.83621745
-5.97598799,2.00555394,0.03124912,0.08778092,0.39690673,0.25613247,0.48715710,0.04091668,0.87146009
-5.96998499,2.07762041,0.03290648,0.09156022,0.42263306,0.26445242,0.50543902,0.04235120,0.90304694
-5.96398199,2.14031722,0.03450644,0.09502810,0.44829992,0.27144140,0.52158272,0.04358367,0.93060472
-5.95797899,2.19295695,0.03603788,0.09815306,0.47374432,0.27701417,0.53542200,0.04459935,0.95383426
-5.95197599,2.23503740,0.03749027,0.10090911,0.49879322,0.28111258,0.54683217,0.04538753,0.97251589
-5.94597299,2.26624720,0.03885365,0.10327587,0.52326229,0.28370643,0.55573111,0.04594173,0.98651182
-5.93996998,2.28646438,0.04011857,0.10523847,0.54695495,0.28479326,0.56207883,0.04625967,0.99576557
-5.93396698,2.29574830,0.04127598,0.10678720,0.56966184,0.28439726,0.56587552,0.04634318,1.00029853
-5.92796398,2.29432594,0.04231717,0.10791712,0.59116103,0.28256719,0.56715840,0.04619786,1.00020407
-5.92196098,2.28257329,0.04323367,0.10862743,0.61121912,0.27937368,0.56599751,0.04583272,0.99563965
-5.91595798,2.26099351,0.04401730,0.10892091,0.62959364,0.27490583,0.56249097,0.04525972,0.98681748
-5.90995498,2.23019296,0.04466018,0.10880332,0.64603655,0.26926758,0.55675975,0.04449320,0.97399436
-5.90395198,2.19085676,0.04515486,0.10828281,0.66029910,0.26257381,0.54894255,0.04354933,0.95746137
-5.89794897,2.14372509,0.04549449,0.10736950,0.67213797,0.25494646,0.53919091,0.04244554,0.93753377
-5.89194597,2.08957146,0.04567309,0.10607516,0.68132233,0.24651096,0.52766491,0.04120003,0.91454194
-5.88594297,2.02918378,0.04568584,0.10441297,0.68764180,0.23739288,0.51452955,0.03983121,0.88882344
-5.87993997,1.96334897,0.04552946,0.10239753,0.69091472,0.22771517,0.49995194,0.03835738,0.86071654
-5.87393697,1.89284118,0.04520255,0.10004489,0.69099647,0.21759587,0.48409937,0.03679631,0.83055544
-5.86793397,1.81841375,0.04470596,0.09737274,0.68778720,0.20714638,0.46713815,0.03516508,0.79866691
-5.86193097,1.74079454,0.04404310,0.09440062,0.68123865,0.19647040,0.44923313,0.03347982,0.76536844
-5.85592796,1.66068402,0.04322022,0.09115024,0.67135954,0.18566324,0.43054767,0.03175569,0.73096747
-5.84992496,1.57875537,0.04224656,0.08764563,0.65821908,0.17481168,0.41124397,0.03000682,0.69576140
-5.84392196,1.49565594,0.04113436,0.08391334,0.64194838,0.16399415,0.39148343,0.02824628,0.66003816
-5.83791896,1.41200903,0.03989885,0.07998251,0.62273960,0.15328114,0.37142692,0.02648622,0.62407677
-5.83191596,1.32841543,0.03855795,0.07588478,0.60084259,0.14273582,0.35123469,0.02473783,0.58814774
-5.82591296,1.24545400,0.03713198,0.07165407,0.57655936,0.13241461,0.33106593,0.02301149,0.55251295
-5.81990995,1.16368092,0.03564313,0.06732618,0.55023635,0.12236785,0.31107773,0.02131677,0.51742489
-5.81390695,1.08362734,0.03411486,0.06293834,0.52225501,0.11264029,0.29142360,0.01966247,0.48312515
-5.80790395,1.00579548,0.03257125,0.05852850,0.49302102,0.10327153,0.27225137,0.01805671,0.44984220
-5.80190095,0.93065325,0.03103624,0.05413463,0.46295261,0.09429627,0.25370083,0.01650681,0.41778849
-5.79589795,0.85862795,0.02953285,0.04979392,0.43246869,0.08574444,0.23590098,0.01501938,0.38715722
-5.78989495,0.79009936,0.02808247,0.04554201,0.40197712,0.07764128,0.21896730,0.01360020,0.35811875
-5.78389195,0.72539286,0.02670417,0.04141217,0.37186377,0.07000726,0.20299899,0.01225425,0.33081730
-5.77788894,0.66477327,0.02541404,0.03743467,0.34248290,0.06285803,0.18807658,0.01098558,0.30536779
-5.77188594,0.60843988,0.02422477,0.03363611,0.31414902,0.05620434,0.17425996,0.00979734,0.28185354
-5.76588294,0.55652323,0.02314525,0.03003904,0.28713074,0.05005210,0.16158702,0.00869173,0.26032473
-5.75987994,0.50908405,0.02218035,0.02666160,0.26164668,0.04440245,0.15007300,0.00767000,0.24079804
-5.75387694,0.46611474,0.02133096,0.02351740,0.23786357,0.03925200,0.13971066,0.00673246,0.22325743
-5.74787394,0.42754332,0.02059400,0.02061556,0.21589640,0.03459323,0.13047124,0.00587856,0.20765630
-5.74187094,0.39324002,0.01996281,0.01796087,0.19581067,0.03041504,0.12230628,0.00510692,0.19392089
-5.73586793,0.36302638,0.01942746,0.01555415,0.17762628,0.02670346,0.11515007,0.00441550,0.18195494
-5.72986493,0.33668635,0.01897534,0.01339263,0.16132304,0.02344250,0.10892287,0.00380168,0.17164534
-5.72386193,0.31397931,0.01859176,0.01147059,0.14684729,0.02061516,0.10353453,0.00326240,0.16286877
-5.71785893,0.29465436,0.01826062,0.00977986,0.13411936,0.01820446,0.09888853,0.00279439,0.15549892
-5.71185593,0.27846546,0.01796513,0.00831058,0.12304149,0.01619469,0.09488618,0.00239428,0.14941422
-5.70585293,0.26518677,0.01768851,0.00705177,0.11350598,0.01457249,0.09143078,0.00205883,0.14450555
-5.69984992,0.25462787,0.01741465,0.00599206,0.10540301,0.01332813,0.08843173,0.00178508,0.14068401
-5.69384692,0.24664809,0.01712871,0.00512025,0.09862815,0.01245663,0.08580822,0.00157055,0.13788809
-5.68784392,0.24116969,0.01681769,0.00442594,0.09308909,0.01195878,0.08349254,0.00141341,0.13609038
-5.68184092,0.23818922,0.01647080,0.00389999,0.08871155,0.01184216,0.08143280,0.00131262,0.13530319
-5.67583792,0.23778684,0.01607980,0.00353498,0.08544404,0.01212190,0.07959496,0.00126808,0.13558325
-5.66983492,0.24013316,0.01563921,0.00332554,0.08326164,0.01282127,0.07796421,0.00128077,0.13703501
-5.66383192,0.24549331,0.01514632,0.00326863,0.08216837,0.01397207,0.07654554,0.00135281,0.13981255
-5.65782891,0.25422793,0.01460123,0.00336365,0.08219851,0.01561473,0.07536354,0.00148756,0.14411986
-5.65182591,0.26679099,0.01400664,0.00361256,0.08341644,0.01779805,0.07446144,0.00168967,0.15020954
-5.64582291,0.28372417,0.01336765,0.00401983,0.08591542,0.02057871,0.07389948,0.00196508,0.15837960
-5.63981991,0.30564775,0.01269143,0.00459229,0.08981502,0.02402035,0.07375249,0.00232099,0.16896857
-5.63381691,0.33324792,0.01198688,0.00533892,0.09525745,0.02819222,0.07410696,0.00276585,0.18234874
-5.62781391,0.36726073,0.01126423,0.00627053,0.10240277,0.03316752,0.07505754,0.00330925,0.19891761
-5.62181091,0.40845254,0.01053466,0.00739935,0.11142312,0.03902129,0.07670306,0.00396180,0.21908763
-5.61580790,0.45759746,0.00980984,0.00873855,0.12249609,0.04582791,0.07914231,0.00473496,0.24327442
-5.60980490,0.51545210,0.00910162,0.01030167,0.13579728,0.05365826,0.08246948,0.00564088,0.27188354
-5.60380190,0.58272803,0.00842163,0.01210203,0.15149246,0.06257664,0.08676964,0.00669219,0.30529616
-5.59779890,0.66006285,0.00778104,0.01415203,0.16972918,0.07263743,0.09211416,0.00790173,0.34385409
-5.59179590,0.74799049,0.00719022,0.01646252,0.19062852,0.08388161,0.09855638,0.00928228,0.38784431
-5.58579290,0.84691185,0.00665861,0.01904211,0.21427683,0.09633343,0.10612764,0.01084636,0.43748377
-5.57978989,0.95706685,0.00619452,0.02189654,0.24071810,0.10999710,0.11483379,0.01260593,0.49290493
-5.57378689,1.07850908,0.00580506,0.02502813,0.26994708,0.12485387,0.12465243,0.01457214,0.55414258
-5.56778389,1.21108435,0.00549605,0.02843525,0.30190362,0.14085959,0.13553091,0.01675514,0.62112267
-5.56178089,1.35441431,0.00527198,0.03211204,0.33646849,0.15794289,0.14738542,0.01916387,0.69365375
-5.55577789,1.50788640,0.00513608,0.03604817,0.37346100,0.17600420,0.16010108,0.02180598,0.77142162
-5.54977489,1.67065116,0.00509026,0.04022884,0.41263873,0.19491562,0.17353331,0.02468774,0.85398773
-5.54377189,1.84162763,0.00513524,0.04463494,0.45369953,0.21452190,0.18751043,0.02781405,0.94079171
-5.53776888,2.01951749,0.00527058,0.04924346,0.49628589,0.23464249,0.20183755,0.03118852,1.03115842
-5.53176588,2.20282802,0.00549477,0.05402808,0.53999178,0.25507468,0.21630161,0.03481363,1.12430944
-5.52576288,2.38990373,0.00580531,0.05895993,0.58437179,0.27559789,0.23067762,0.03869096,1.21937912
-5.51975988,2.57896599,0.00619887,0.06400858,0.62895236,0.29597889,0.24473579,0.04282141,1.31543465
-5.51375688,2.76815959,0.00667138,0.06914310,0.67324486,0.31597788,0.25824935,0.04720562,1.41149987
-5.50775388,2.95560467,0.00721819,0.07433326,0.71675989,0.33535530,0.27100286,0.05184419,1.50658179
-5.50175088,3.13945232,0.00783423,0.07955077,0.75902251,0.35387898,0.28280054,0.05673812,1.59969917
-5.49574787,3.31794141,0.00851423,0.08477046,0.79958748,0.37133147,0.29347442,0.06188903,1.68991184
-5.48974487,3.48945459,0.00925289,0.08997138,0.83805412,0.38751721,0.30289178,0.06729944,1.77634976
-5.48374187,3.65257066,0.01004513,0.09513777,0.87407989,0.40226922,0.31096162,0.07297290,1.85824035
-5.47773887,3.80611104,0.01088631,0.10025974,0.90739213,0.41545504,0.31763987,0.07891395,1.93493304
-5.47173587,3.94917796,0.01177249,0.10533375,0.93779733,0.42698157,0.32293283,0.08512806,2.00591973
-5.46573287,4.08118228,0.01270061,0.11036270,0.96518739,0.43679862,0.32689891,0.09162117,2.07085022
-5.45972986,4.20185930,0.01366879,0.11535562,0.98954246,0.44490094,0.32964825,0.09839928,2.12954155
-5.45372686,4.31127145,0.01467639,0.12032710,1.01093014,0.45132863,0.33134033,0.10546761,2.18198095
-5.44772386,4.40979717,0.01572421,0.12529616,1.02950101,0.45616574,0.33217956,0.11282972,2.22832179
-5.44172086,4.49810615,0.01681453,0.13028494,1.04548043,0.45953726,0.33240898,0.12048636,2.26887265
-5.43571786,4.57712151,0.01795103,0.13531693,1.05915709,0.46160440,0.33230226,0.12843417,2.30407986
-5.42971486,4.64797036,0.01913873,0.14041501,1.07086859,0.46255844,0.33215440,0.13666436,2.33450403
-5.42371186,4.71192474,0.02038372,0.14559935,1.08098478,0.46261329,0.33227140,0.14516122,2.36079163
-5.41770885,4.77033531,0.02169285,0.15088519,1.08988951,0.46199718,0.33295942,0.15390073,2.38364271
-5.41170585,4.82456084,0.02307328,0.15628071,1.09796167,0.46094361,0.33451382,0.16284924,2.40377627
-5.40570285,4.87589660,0.02453202,0.16178502,1.10555628,0.45968216,0.33720855,0.17196238,2.42189479
-5.39969985,4.92550517,0.02607525,0.16738648,1.11298670,0.45842935,0.34128635,0.18118421,2.43864957
-5.39369685,4.97435284,0.02770775,0.17306141,1.12050862,0.45738013,0.34695014,0.19044670,2.45460851
-5.38769385,5.02315478,0.02943222,0.17877325,1.12830673,0.45670013,0.35435596,0.19966973,2.47022784
-5.38169085,5.07233189,0.03124859,0.18447231,1.13648467,0.45651921,0.36360768,0.20876154,2.48582926
-5.37568784,5.12198139,0.03315349,0.19009623,1.14505870,0.45692652,0.37475376,0.21761969,2.50158349
-5.36968484,5.17186292,0.03513971,0.19557095,1.15395559,0.45796720,0.38778602,0.22613263,2.51750116
-5.36368184,5.22140101,0.03719580,0.20081239,1.16301464,0.45964098,0.40264050,0.23418182,2.53343149
-5.35767884,5.26970395,0.03930589,0.20572878,1.17199391,0.46190271,0.41920027,0.24164428,2.54906879
-5.35167584,5.31559844,0.04144964,0.21022339,1.18058035,0.46466470,0.43730005,0.24839569,2.56396662
-5.34567284,5.35767832,0.04360239,0.21419778,1.18840325,0.46780091,0.45673223,0.25431373,2.57755870
-5.33966983,5.39436534,0.04573561,0.21755526,1.19505058,0.47115264,0.47725421,0.25928177,2.58918588
-5.33366683,5.42397901,0.04781751,0.22020449,1.20008729,0.47453563,0.49859641,0.26319248,2.59812755
-5.32766383,5.44481231,0.04981383,0.22206307,1.20307486,0.47774811,0.52047081,0.26595153,2.60363617
-5.32166083,5.45520962,0.05168891,0.22306092,1.20359102,0.48057953,0.54257948,0.26748100,2.60497317
-5.31565783,5.45364340,0.05340684,0.22314324,1.20124904,0.48281960,0.56462279,0.26772237,2.60144463
-5.30965483,5.43878600,0.05493276,0.22227310,1.19571543,0.48426719,0.58630702,0.26663911,2.59243492
-5.30365183,5.40957346,0.05623422,0.22043330,1.18672554,0.48473877,0.60735100,0.26421854,2.57743703
-5.29764882,5.36525866,0.05728253,0.21762760,1.17409636,0.48407612,0.62749174,0.26047302,2.55607814
-5.29164582,5.30545170,0.05805409,0.21388117,1.15773603,0.48215289,0.64648878,0.25544034,2.52813950
-5.28564282,5.23014614,0.05853159,0.20924036,1.13764981,0.47887986,0.66412745,0.24918335,2.49357004
-5.27963982,5.13973062,0.05870513,0.20377166,1.11394245,0.47420874,0.68022087,0.24178876,2.45249324
-5.27363682,5.03498588,0.05857303,0.19756005,1.08681698,0.46813442,0.69461094,0.23336521,2.40520747
-5.26763382,4.91706814,0.05814250,0.19070680,1.05657019,0.46069563,0.70716865,0.22404074,2.35218009
-5.26163082,4.78748025,0.05743005,0.18332674,1.02358522,0.45197405,0.71779358,0.21395962,2.29403593
-5.25562781,4.64803256,0.05646156,0.17554532,0.98832166,0.44209206,0.72641331,0.20327890,2.23154106
-5.24962481,4.50079570,0.05527216,0.16749539,0.95130386,0.43120917,0.73298254,0.19216451,2.16558283
-5.24362181,4.34804781,0.05390579,0.15931398,0.91310793,0.41951745,0.73748253,0.18078742,2.09714732
-5.23761881,4.19221833,0.05241459,0.15113908,0.87434809,0.40723610,0.73992066,0.16931965,2.02729509
-5.23161581,4.03583084,0.05085794,0.14310672,0.83566282,0.39460538,0.74033063,0.15793052,1.95713640
