energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,8.36039301,0.02023934,1.76566608,0.50490636,0.00000000,2.27741363,3.84941067,0.10113970,1.90765219
-5.99399700,8.27487870,0.02092379,1.77086364,0.48052090,0.00000000,2.26426157,3.84599128,0.10138194,1.85879592
-5.98799400,8.17883725,0.02156699,1.77050729,0.45577662,0.00000000,2.25499805,3.83063647,0.10158270,1.81217608
-5.98199100,8.07206591,0.02215802,1.76452744,0.43095227,0.00000000,2.24946708,3.80318000,0.10172098,1.76780042
-5.97598799,7.95474795,0.02268591,1.75302477,0.40633150,0.00000000,2.24756014,3.76379132,0.10177525,1.72564537
-5.96998499,7.82748345,0.02314000,1.73627461,0.38219740,0.00000000,2.24923192,3.71298786,0.10172432,1.68566517
-5.96398199,7.69130010,0.02351022,1.71472454,0.35882672,0.00000000,2.25450910,3.65163397,0.10154803,1.64779992
-5.95797899,7.54764339,0.02378740,1.68898518,0.33648400,0.00000000,2.26349195,3.58092684,0.10122797,1.61198225
-5.95197599,7.39834687,0.02396360,1.65981446,0.31541575,0.00000000,2.27634858,3.50236956,0.10074805,1.57814235
-5.94597299,7.24558394,0.02403238,1.62809606,0.29584507,0.00000000,2.29330266,3.41773258,0.10009503,1.54621156
-5.93996998,7.09180392,0.02398904,1.59481295,0.27796683,0.00000000,2.31461535,3.32900524,0.09925881,1.51612447
-5.93396698,6.93965548,0.02383083,1.56101706,0.26194380,0.00000000,2.34056301,3.23833931,0.09823273,1.48781980
-5.92796398,6.79190160,0.02355707,1.52779645,0.24790374,0.00000000,2.37141210,3.14798695,0.09701361,1.46124041
-5.92196098,6.65132999,0.02316923,1.49624132,0.23593772,0.00000000,2.40739328,3.06023574,0.09560175,1.43633268
-5.91595798,6.52066343,0.02267095,1.46741024,0.22609971,0.00000000,2.44867639,2.97734323,0.09400076,1.41304572
-5.90995498,6.40247408,0.02206801,1.44229796,0.21840746,0.00000000,2.49534807,2.90147361,0.09221730,1.39133064
-5.90395198,6.29910544,0.02136814,1.42180599,0.21284468,0.00000000,2.54739371,2.83463877,0.09026075,1.37114031
-5.89794897,6.21260511,0.02058088,1.40671700,0.20936437,0.00000000,2.60468484,2.77864564,0.08814279,1.35242971
-5.89194597,6.14467065,0.01971737,1.39767376,0.20789320,0.00000000,2.66697290,2.73505147,0.08587695,1.33515707
-5.88594297,6.09661003,0.01878997,1.39516332,0.20833672,0.00000000,2.73388979,2.70512797,0.08347815,1.31928585
-5.87993997,6.06931728,0.01781205,1.39950652,0.21058514,0.00000000,2.80495504,2.68983491,0.08096221,1.30478742
-5.87393697,6.06326296,0.01679756,1.41085289,0.21451944,0.00000000,2.87958922,2.68980337,0.07834544,1.29164439
-5.86793397,6.07849836,0.01576075,1.42918075,0.22001744,0.00000000,2.95713245,2.70532806,0.07564421,1.27985412
-5.86193097,6.11467146,0.01471577,1.45430188,0.22695963,0.00000000,3.03686663,2.73636820,0.07287466,1.26943230
-5.85592796,6.17105249,0.01367638,1.48587027,0.23523429,0.00000000,3.11803991,2.78255579,0.07005242,1.26041588
-5.84992496,6.24656610,0.01265566,1.52339415,0.24474178,0.00000000,3.19989151,2.84321012,0.06719239,1.25286517
-5.84392196,6.33982772,0.01166569,1.56625050,0.25539760,0.00000000,3.28167509,2.91735729,0.06430869,1.24686448
-5.83791896,6.44918103,0.01071741,1.61370132,0.26713415,0.00000000,3.36267913,3.00375356,0.06141459,1.24252102
-5.83191596,6.57273466,0.00982038,1.66491088,0.27990090,0.00000000,3.44224282,3.10091142,0.05852251,1.23996162
-5.82591296,6.70839597,0.00898270,1.71896352,0.29366303,0.00000000,3.51976648,3.20712753,0.05564415,1.23932717
-5.81990995,6.85390102,0.00821088,1.77488133,0.30839852,0.00000000,3.59471602,3.32051206,0.05279054,1.24076467
-5.81390695,7.00684023,0.00750990,1.83164175,0.32409371,0.00000000,3.66662127,3.43901899,0.04997218,1.24441710
-5.80790395,7.16468010,0.00688312,1.88819466,0.34073770,0.00000000,3.73506888,3.56047747,0.04719916,1.25041128
-5.80190095,7.32478196,0.00633237,1.94347920,0.35831574,0.00000000,3.79969045,3.68262431,0.04448124,1.25884434
