energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.83056353,-1.60255106,0.79613587,-1.04257309,0.70743448,-0.32789414,0.00047606,-0.00217794,0.56271229,-0.39059720,0.01066120,-0.01022813,0.47297998,-0.61092614,0.20395442,-0.31038077,0.03387346,-0.05495120
-5.99399700,1.83063832,-1.51168126,0.78422199,-0.95354241,0.71147065,-0.32416786,0.00042503,-0.00190259,0.56001143,-0.37328136,0.01050642,-0.01005504,0.47557445,-0.56828248,0.20543643,-0.28452807,0.03396152,-0.05117720
-5.98799400,1.83101746,-1.43176418,0.77424846,-0.87158132,0.71351499,-0.32243878,0.00039199,-0.00165593,0.55595455,-0.35824715,0.01035794,-0.00993192,0.48027209,-0.53031404,0.20829893,-0.26121904,0.03438062,-0.04778327
-5.98199100,1.83094250,-1.36325310,0.76563711,-0.79737428,0.71340985,-0.32268594,0.00037679,-0.00143731,0.55035637,-0.34563448,0.01021074,-0.00985388,0.48679526,-0.49719518,0.21240968,-0.24056772,0.03511455,-0.04478947
-5.97598799,1.82984363,-1.30639312,0.75787386,-0.73141837,0.71108625,-0.32486980,0.00037963,-0.00124596,0.54310052,-0.33554111,0.01006076,-0.00981563,0.49489931,-0.46900628,0.21765087,-0.22263521,0.03614856,-0.04220748
-5.96998499,1.82736292,-1.26123887,0.75052197,-0.67403034,0.70657013,-0.32893675,0.00040110,-0.00108103,0.53414511,-0.32802585,0.00990522,-0.00981165,0.50438066,-0.44574121,0.22392249,-0.20743330,0.03747005,-0.04004106
-5.96398199,1.82336733,-1.22767468,0.74323086,-0.62535727,0.69998461,-0.33482317,0.00044219,-0.00094166,0.52352501,-0.32311226,0.00974276,-0.00983637,0.51508273,-0.42731612,0.23114454,-0.19492890,0.03906906,-0.03828685
-5.95797899,1.81795145,-1.20543567,0.73574044,-0.58539002,0.69154804,-0.34245888,0.00050431,-0.00082703,0.51135063,-0.32079234,0.00957368,-0.00988440,0.52689939,-0.41357882,0.23925816,-0.18504899,0.04093857,-0.03693508
-5.95197599,1.81142997,-1.19412823,0.72788133,-0.55397827,0.68156783,-0.35176937,0.00058928,-0.00073642,0.49780354,-0.32102992,0.00939996,-0.00995063,0.53977605,-0.40431853,0.24822559,-0.17768574,0.04307473,-0.03597053
-5.94597299,1.80432056,-1.19324886,0.71957141,-0.53084639,0.67043045,-0.36267698,0.00069934,-0.00066922,0.48312915,-0.32376332,0.00922539,-0.01003039,0.55370832,-0.39927540,0.25802909,-0.17270186,0.04547683,-0.03537342
