energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,2.75394204,0.83396241,1.67471127,0.05777673,0.04699202,0.52901977,0.32753812,0.03328755,0.30744296
-5.99399700,2.68811194,0.82311293,1.62433469,0.05686135,0.04716000,0.52121912,0.32098000,0.03378163,0.29831769
-5.98799400,2.61913287,0.80983144,1.57341267,0.05568221,0.04718387,0.51131774,0.31392959,0.03431360,0.28853739
-5.98199100,2.54792343,0.79423067,1.52259347,0.05425757,0.04706372,0.49938599,0.30650859,0.03488627,0.27820111
-5.97598799,2.47549010,0.77647985,1.47255158,0.05261127,0.04680324,0.48554547,0.29884988,0.03550238,0.26742131
-5.96998499,2.40289825,0.75679847,1.42397015,0.05077189,0.04640968,0.46996541,0.29109317,0.03616443,0.25632058
-5.96398199,2.33124053,0.73544845,1.37752265,0.04877170,0.04589364,0.45285758,0.28338047,0.03687455,0.24502789
-5.95797899,2.26160433,0.71272488,1.33385451,0.04664549,0.04526870,0.43446950,0.27585155,0.03763437,0.23367483
-5.95197599,2.19503949,0.68894601,1.29356565,0.04442945,0.04455096,0.41507673,0.26863953,0.03844490,0.22239179
-5.94597299,2.13252810,0.66444294,1.25719454,0.04215992,0.04375854,0.39497430,0.26186689,0.03930639,0.21130439
-5.93996998,2.07495746,0.63954960,1.22520470,0.03987238,0.04291092,0.37446773,0.25564199,0.04021828,0.20053023
-5.93396698,2.02309763,0.61459339,1.19797395,0.03760038,0.04202832,0.35386414,0.25005629,0.04117914,0.19017615
-5.92796398,1.97758410,0.58988709,1.17578705,0.03537477,0.04113101,0.33346367,0.24518234,0.04218670,0.18033605
-5.92196098,1.93890643,0.56572212,1.15883173,0.03322298,0.04023866,0.31355153,0.24107258,0.04323791,0.17108941
-5.91595798,1.90740277,0.54236360,1.14719815,0.03116856,0.03936975,0.29439100,0.23775902,0.04432904,0.16250041
-5.90995498,1.88326020,0.52004705,1.14088162,0.02923092,0.03854097,0.27621758,0.23525366,0.04545584,0.15461774
-5.90395198,1.86652029,0.49897689,1.13978811,0.02742520,0.03776679,0.25923434,0.23354963,0.04661376,0.14747506
-5.89794897,1.85708913,0.47932646,1.14374208,0.02576238,0.03705907,0.24360860,0.23262293,0.04779814,0.14109189
-5.89194597,1.85475080,0.46123937,1.15249595,0.02424946,0.03642680,0.22946989,0.23243462,0.04900439,0.13547496
-5.88594297,1.85918304,0.44483186,1.16574051,0.02288981,0.03587596,0.21690926,0.23293321,0.05022825,0.13061990
-5.87993997,1.86997410,0.43019568,1.18311568,0.02168359,0.03540948,0.20597965,0.23405730,0.05146586,0.12651297
-5.87393697,1.88663958,0.41740140,1.20422086,0.02062821,0.03502726,0.19669734,0.23573803,0.05271391,0.12313294
-5.86793397,1.90863819,0.40650140,1.22862447,0.01971881,0.03472642,0.18904433,0.23790155,0.05396962,0.12045282
-5.86193097,1.93538578,0.39753255,1.25587216,0.01894875,0.03450151,0.18297133,0.24047105,0.05523070,0.11844144
-5.85592796,1.96626704,0.39051821,1.28549359,0.01831002,0.03434484,0.17840136,0.24336855,0.05649514,0.11706473
-5.84992496,2.00064458,0.38546930,1.31700756,0.01779368,0.03424689,0.17523382,0.24651626,0.05776101,0.11628675
-5.84392196,2.03786551,0.38238458,1.34992574,0.01739015,0.03419675,0.17334866,0.24983765,0.05902616,0.11607038
-5.83791896,2.07726572,0.38125004,1.38375511,0.01708951,0.03418258,0.17261076,0.25325805,0.06028779,0.11637766
-5.83191596,2.11817242,0.38203759,1.41799954,0.01688169,0.03419212,0.17287433,0.25670510,0.06154213,0.11716994
-5.82591296,2.15990554,0.38470327,1.45216093,0.01675664,0.03421316,0.17398714,0.26010890,0.06278402,0.11840777
-5.81990995,2.20177892,0.38918523,1.48574036,0.01670442,0.03423404,0.17579468,0.26340212,0.06400655,0.12005067
-5.81390695,2.24310181,0.39540189,1.51823977,0.01671528,0.03424409,0.17814403,0.26652006,0.06520079,0.12205687
-5.80790395,2.28318166,0.40325046,1.54916451,0.01677972,0.03423404,0.18088741,0.26940079,0.06635559,0.12438306
-5.80190095,2.32132861,0.41260623,1.57802712,0.01688853,0.03419642,0.18388550,0.27198542,0.06745754,0.12698428
-5.79589795,2.35686211,0.42332280,1.60435251,0.01703280,0.03412585,0.18701028,0.27421862,0.06849106,0.12981398
-5.78989495,2.38912001,0.43523349,1.62768460,0.01720404,0.03401928,0.19014747,0.27604922,0.06943857,0.13282429
-5.78389195,2.41746972,0.44815390,1.64759429,0.01739417,0.03387616,0.19319860,0.27743115,0.07028095,0.13596658
-5.77788894,2.44132140,0.46188568,1.66368855,0.01759569,0.03369849,0.19608242,0.27832443,0.07099803,0.13919215
-5.77188594,2.46014246,0.47622126,1.67562009,0.01780170,0.03349080,0.19873596,0.27869633,0.07156924,0.14245324
-5.76588294,2.47347257,0.49094945,1.68309730,0.01800603,0.03326006,0.20111489,0.27852253,0.07197436,0.14570406
-5.75987994,2.48093835,0.50586141,1.68589368,0.01820335,0.03301539,0.20319336,0.27778815,0.07219430,0.14890199
-5.75387694,2.48226664,0.52075674,1.68385624,0.01838925,0.03276781,0.20496326,0.27648863,0.07221192,0.15200865
-5.74787394,2.47729540,0.53544916,1.67691223,0.01856031,0.03252977,0.20643288,0.27463038,0.07201282,0.15499092
-5.74187094,2.46598130,0.54977152,1.66507361,0.01871413,0.03231465,0.20762501,0.27223090,0.07158601,0.15782169
-5.73586793,2.44840322,0.56357953,1.64843881,0.01884930,0.03213622,0.20857448,0.26931864,0.07092454,0.16048033
-5.72986493,2.42476100,0.57675417,1.62719145,0.01896541,0.03200800,0.20932536,0.26593223,0.07002589,0.16295279
-5.72386193,2.39536936,0.58920231,1.60159591,0.01906289,0.03194260,0.20992768,0.26211929,0.06889227,0.16523126
-5.71785893,2.36064674,0.60085570,1.57198966,0.01914288,0.03195108,0.21043397,0.25793472,0.06753069,0.16731349
-5.71185593,2.32109958,0.61166812,1.53877271,0.01920706,0.03204231,0.21089571,0.25343864,0.06595277,0.16920163
-5.70585293,2.27730265,0.62161109,1.50239445,0.01925739,0.03222235,0.21135972,0.24869391,0.06417447,0.17090082
-5.69984992,2.22987625,0.63066832,1.46333860,0.01929589,0.03249401,0.21186483,0.24376353,0.06221557,0.17241744
-5.69384692,2.17946155,0.63882929,1.42210685,0.01932437,0.03285641,0.21243890,0.23870791,0.06009899,0.17375736
-5.68784392,2.12669537,0.64608255,1.37920209,0.01934422,0.03330472,0.21309627,0.23358227,0.05785006,0.17492403
-5.68184092,2.07218580,0.65240918,1.33511211,0.01935613,0.03383008,0.21383597,0.22843425,0.05549563,0.17591684
-5.67583792,2.01648992,0.65777702,1.29029447,0.01935999,0.03441961,0.21464060,0.22330186,0.05306324,0.17672964
-5.66983492,1.96009516,0.66213608,1.24516361,0.01935469,0.03505667,0.21547607,0.21821205,0.05058025,0.17734977
-5.66383192,1.90340507,0.66541563,1.20008061,0.01933813,0.03572127,0.21629232,0.21317974,0.04807301,0.17775740
