energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.18897951,-2.62043151,1.92790845,-1.68094715,0.93095121,-0.65390603,0.09414072,-0.13373736,0.00287374,-0.00228248,1.25818611,-0.97799450,0.59685433,-0.57485944,0.00000000,-0.00000000
-5.99399700,3.16243498,-2.68225897,1.90497812,-1.72975102,0.92648929,-0.66997690,0.09017667,-0.12860568,0.00290069,-0.00231814,1.24641887,-1.00971640,0.59404145,-0.58149371,0.00000000,-0.00000000
-5.98799400,3.12365011,-2.74335679,1.87325097,-1.77667636,0.91820270,-0.68684686,0.08665476,-0.12335876,0.00291679,-0.00236881,1.22824978,-1.04137842,0.59058194,-0.58752916,0.00000000,-0.00000000
-5.98199100,3.07315921,-2.80286592,1.83317552,-1.82092375,0.90621286,-0.70428029,0.08361168,-0.11808229,0.00292070,-0.00243143,1.20393009,-1.07241875,0.58652886,-0.59301730,0.00000000,-0.00000000
-5.97598799,3.01174653,-2.85982065,1.78538327,-1.86165421,0.89072865,-0.72199122,0.08107221,-0.11286223,0.00291143,-0.00250285,1.17385533,-1.10222738,0.58193171,-0.59799958,0.00000000,-0.00000000
-5.96998499,2.94042275,-2.91317339,1.73066997,-1.89801430,0.87203908,-0.73964985,0.07904916,-0.10778252,0.00288838,-0.00257992,1.13855266,-1.13016281,0.57683616,-0.60250534,0.00000000,-0.00000000
-5.96398199,2.86039364,-2.96182491,1.66997152,-1.92916340,0.85050295,-0.75689127,0.07754371,-0.10292295,0.00285133,-0.00265953,1.09866368,-1.15557092,0.57128383,-0.60655047,0.00000000,-0.00000000
-5.95797899,2.77302228,-3.00465884,1.60433544,-1.95430196,0.82653607,-0.77332619,0.07654616,-0.09835716,0.00280042,-0.00273867,1.05492345,-1.17780545,0.56531233,-0.61013705,0.00000000,-0.00000000
-5.95197599,2.67978661,-3.04057907,1.53488926,-1.97269963,0.80059647,-0.78855317,0.07603715,-0.09415095,0.00273610,-0.00281450,1.00813662,-1.19624909,0.55895554,-0.61325377,0.00000000,-0.00000000
-5.94597299,2.58223428,-3.06854840,1.46280705,-1.98372231,0.77316854,-0.80217183,0.07598932,-0.09036076,0.00265917,-0.00288434,0.95915164,-1.21033462,0.55224434,-0.61587710,0.00000000,-0.00000000
-5.93996998,2.48193702,-3.08762690,1.38927568,-1.98685669,0.74474668,-0.81379659,0.07636924,-0.08703262,0.00257065,-0.00294578,0.90883434,-1.21956500,0.54520770,-0.61797317,0.00000000,-0.00000000
-5.93396698,2.38044642,-3.09700826,1.31546186,-1.98173166,0.71581937,-0.82307017,0.07713973,-0.08420138,0.00247183,-0.00299668,0.85804160,-1.22353178,0.53787433,-0.61950007,0.00000000,-0.00000000
-5.92796398,2.27925304,-3.09605260,1.24248156,-1.96813543,0.68685411,-0.82967650,0.07826237,-0.08189035,0.00236417,-0.00303522,0.80759659,-1.22193101,0.53027486,-0.62041065,0.00000000,-0.00000000
-5.92196098,2.17975061,-3.08431437,1.17137269,-1.94602786,0.65828419,-0.83335231,0.07970024,-0.08011132,0.00224922,-0.00305991,0.75826603,-1.21457595,0.52244450,-0.62065549,0.00000000,-0.00000000
-5.91595798,2.08320653,-3.06156405,1.10307198,-1.91554730,0.63049754,-0.83389702,0.08142061,-0.07886498,0.00212867,-0.00306964,0.71074072,-1.20140615,0.51442628,-0.62018605,0.00000000,-0.00000000
-5.90995498,1.99073960,-3.02780293,1.03839680,-1.87701186,0.60382812,-0.83118040,0.08339769,-0.07814177,0.00200420,-0.00306368,0.66561954,-1.18249231,0.50627450,-0.61895783,0.00000000,-0.00000000
-5.90395198,1.90330553,-2.98327025,0.97803230,-1.83091488,0.57855017,-0.82514788,0.08561512,-0.07792301,0.00187750,-0.00304167,0.62339775,-1.15803691,0.49805844,-0.61693352,0.00000000,-0.00000000
-5.89794897,1.82169018,-2.92844252,0.92252393,-1.77791490,0.55487529,-0.81582310,0.08806822,-0.07818245,0.00175019,-0.00300362,0.58445947,-1.12837040,0.48986601,-0.61408598,0.00000000,-0.00000000
-5.89194597,1.74651017,-2.86402515,0.87227530,-1.71882036,0.53295229,-0.80330775,0.09076576,-0.07888808,0.00162383,-0.00294992,0.54907463,-1.09394305,0.48180705,-0.61040118,0.00000000,-0.00000000
-5.88594297,1.67822003,-2.79093678,0.82755102,-1.65456978,0.51286967,-0.78777874,0.09373121,-0.08000419,0.00149985,-0.00288126,0.51740011,-1.05531295,0.47401595,-0.60588081,0.00000000,-0.00000000
-5.87993997,1.61712489,-2.71028715,0.78848384,-1.58620798,0.49466033,-0.76948284,0.09700329,-0.08149363,0.00137956,-0.00279868,0.48948477,-1.01313038,0.46665343,-0.60054487,0.00000000,-0.00000000
-5.87393697,1.56339715,-2.62334929,0.75508552,-1.51485934,0.47830803,-0.74872903,0.10063575,-0.08332016,0.00126412,-0.00270343,0.46527786,-0.96811926,0.45990695,-0.59443387,0.00000000,-0.00000000
-5.86793397,1.51709588,-2.53152736,0.72726040,-1.44169898,0.46375529,-0.72587902,0.10469633,-0.08545083,0.00115457,-0.00259704,0.44464029,-0.92105641,0.45398977,-0.58761085,0.00000000,-0.00000000
-5.86193097,1.47818722,-2.43632136,0.70482086,-1.36792287,0.45091200,-0.70133624,0.10926485,-0.08785831,0.00105181,-0.00248115,0.42735796,-0.87274937,0.44913819,-0.58016299,0.00000000,-0.00000000
