energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.52078516,0.09914118,0.32169271,0.97307555,0.00000000,0.60780858,0.21540870,1.43518969,0.28341100
-5.99399700,2.50145314,0.09312872,0.33186987,0.95786149,0.00000000,0.59591738,0.20818365,1.46606059,0.27847765
-5.98799400,2.47594525,0.08711838,0.34093720,0.94031941,0.00000000,0.58256941,0.20079502,1.49207229,0.27289083
-5.98199100,2.44454729,0.08118011,0.34877128,0.92066514,0.00000000,0.56794756,0.19331094,1.51287040,0.26672174
-5.97598799,2.40755683,0.07537718,0.35525955,0.89911684,0.00000000,0.55223322,0.18579318,1.52814354,0.26004132
-5.96998499,2.36527602,0.06976504,0.36030255,0.87589026,0.00000000,0.53560250,0.17829627,1.53762902,0.25291831
-5.96398199,2.31800735,0.06439058,0.36381602,0.85119535,0.00000000,0.51822332,0.17086693,1.54111850,0.24541787
-5.95797899,2.26605234,0.05929177,0.36573284,0.82523417,0.00000000,0.50025358,0.16354417,1.53846336,0.23760063
-5.95197599,2.20971296,0.05449762,0.36600483,0.79820002,0.00000000,0.48184022,0.15635965,1.52957978,0.22952222
-5.94597299,2.14929537,0.05002855,0.36460423,0.77027767,0.00000000,0.46311916,0.14933844,1.51445308,0.22123328
-5.93996998,2.08511530,0.04589699,0.36152491,0.74164451,0.00000000,0.44421594,0.14250010,1.49314140,0.21277982
-5.93396698,2.01750452,0.04210819,0.35678316,0.71247222,0.00000000,0.42524695,0.13585980,1.46577812,0.20420396
-5.92796398,1.94681748,0.03866123,0.35041806,0.68292884,0.00000000,0.40632090,0.12942962,1.43257309,0.19554476
-5.92196098,1.87343730,0.03555006,0.34249145,0.65318077,0.00000000,0.38754045,0.12321977,1.39381229,0.18683930
-5.91595798,1.79778057,0.03276460,0.33308726,0.62339453,0.00000000,0.36900376,0.11723964,1.34985569,0.17812359
-5.90995498,1.72030004,0.03029175,0.32231038,0.59373797,0.00000000,0.35080572,0.11149873,1.30113342,0.16943350
-5.90395198,1.64148487,0.02811637,0.31028501,0.56438076,0.00000000,0.33303879,0.10600729,1.24813986,0.16080543
-5.89794897,1.56185805,0.02622206,0.29715241,0.53549396,0.00000000,0.31579328,0.10077659,1.19142601,0.15227674
-5.89194597,1.48197094,0.02459184,0.28306825,0.50724869,0.00000000,0.29915707,0.09581904,1.13158998,0.14388585
-5.88594297,1.40239483,0.02320861,0.26819949,0.47981390,0.00000000,0.28321466,0.09114786,1.06926606,0.13567209
-5.87993997,1.32371013,0.02205548,0.25272096,0.45335321,0.00000000,0.26804576,0.08677652,1.00511247,0.12767519
-5.87393697,1.24649337,0.02111590,0.23681172,0.42802121,0.00000000,0.25372336,0.08271802,0.93979825,0.11993449
-5.86793397,1.17130283,0.02037372,0.22065125,0.40395919,0.00000000,0.24031148,0.07898388,0.87398977,0.11248796
-5.86193097,1.09866351,0.01981303,0.20441575,0.38129076,0.00000000,0.22786272,0.07558319,0.80833721,0.10537110
-5.85592796,1.02905226,0.01941803,0.18827455,0.36011749,0.00000000,0.21641591,0.07252147,0.74346166,0.09861572
-5.84992496,0.96288389,0.01917281,0.17238674,0.34051498,0.00000000,0.20599387,0.06979977,0.67994309,0.09224873
-5.84392196,0.90049911,0.01906110,0.15689829,0.32252960,0.00000000,0.19660157,0.06741382,0.61830982,0.08629115
-5.83791896,0.84215487,0.01906608,0.14193955,0.30617608,0.00000000,0.18822488,0.06535338,0.55902976,0.08075712
-5.83191596,0.78801782,0.01917026,0.12762341,0.29143627,0.00000000,0.18082991,0.06360191,0.50250365,0.07565335
-5.82591296,0.73816117,0.01935536,0.11404392,0.27825914,0.00000000,0.17436317,0.06213653,0.44906063,0.07097870
-5.81990995,0.69256524,0.01960240,0.10127566,0.26656208,0.00000000,0.16875252,0.06092829,0.39895600,0.06672421
-5.81390695,0.65112163,0.01989177,0.08937367,0.25623349,0.00000000,0.16390896,0.05994276,0.35237138,0.06287337
-5.80790395,0.61364084,0.02020346,0.07837394,0.24713670,0.00000000,0.15972910,0.05914095,0.30941695,0.05940279
-5.80190095,0.57986308,0.02051738,0.06829444,0.23911488,0.00000000,0.15609837,0.05848054,0.27013564,0.05628309
-5.79589795,0.54947147,0.02081377,0.05913659,0.23199684,0.00000000,0.15289474,0.05791723,0.23450901,0.05348010
-5.78989495,0.52210734,0.02107359,0.05088709,0.22560352,0.00000000,0.14999280,0.05740633,0.20246439,0.05095624
