energy_ev,total_up,Au_p_up,Au_d_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up
-5.61580790,1.26279654,0.39210798,0.99834600,0.07048798,0.00000000,0.11532890,0.00000000
-5.60980490,1.18063913,0.36534485,0.93289034,0.06741555,0.00000000,0.10656121,0.00000000
-5.60380190,1.10856706,0.34043128,0.87559678,0.06431548,0.00000000,0.09894762,0.00000000
-5.59779890,1.04658050,0.31739689,0.82642629,0.06121209,0.00000000,0.09249284,0.00000000
-5.59179590,0.99459224,0.29625710,0.78526459,0.05813294,0.00000000,0.08719182,0.00000000
-5.58579290,0.95244548,0.27701833,0.75193602,0.05510872,0.00000000,0.08303231,0.00000000
-5.57978989,0.91992994,0.25968240,0.72621615,0.05217295,0.00000000,0.07999724,0.00000000
-5.57378689,0.89679559,0.24425020,0.70784288,0.04936158,0.00000000,0.07806662,0.00000000
-5.56778389,0.88276363,0.23072426,0.69652552,0.04671254,0.00000000,0.07721918,0.00000000
-5.56178089,0.87753459,0.21911047,0.69195191,0.04426511,0.00000000,0.07743339,0.00000000
-5.55577789,0.88079332,0.20941864,0.69379341,0.04205921,0.00000000,0.07868816,0.00000000
-5.54977489,0.89221115,0.20166221,0.70170788,0.04013457,0.00000000,0.08096291,0.00000000
-5.54377189,0.91144533,0.19585699,0.71534089,0.03852990,0.00000000,0.08423731,0.00000000
-5.53776888,0.93813613,0.19201923,0.73432532,0.03728187,0.00000000,0.08849049,0.00000000
-5.53176588,0.97190181,0.19016288,0.75827967,0.03642409,0.00000000,0.09369994,0.00000000
-5.52576288,1.01233213,0.19029647,0.78680536,0.03598613,0.00000000,0.09984001,0.00000000
-5.51975988,1.05898070,0.19241946,0.81948331,0.03599242,0.00000000,0.10688023,0.00000000
-5.51375688,1.11135667,0.19651849,0.85587024,0.03646125,0.00000000,0.11478339,0.00000000
-5.50775388,1.16891652,0.20256347,0.89549487,0.03740382,0.00000000,0.12350360,0.00000000
-5.50175088,1.23105620,0.21050385,0.93785451,0.03882333,0.00000000,0.13298432,0.00000000
-5.49574787,1.29710459,0.22026508,0.98241236,0.04071431,0.00000000,0.14315665,0.00000000
-5.48974487,1.36631867,0.23174567,1.02859586,0.04306200,0.00000000,0.15393774,0.00000000
-5.48374187,1.43788115,0.24481489,1.07579648,0.04584203,0.00000000,0.16522977,0.00000000
-5.47773887,1.51090111,0.25931128,1.12337128,0.04902039,0.00000000,0.17691929,0.00000000
-5.47173587,1.58441827,0.27504238,1.17064663,0.05255357,0.00000000,0.18887733,0.00000000
-5.46573287,1.65741127,0.29178555,1.21692415,0.05638922,0.00000000,0.20096010,0.00000000
-5.45972986,1.72881036,0.30929028,1.26148932,0.06046701,0.00000000,0.21301060,0.00000000
-5.45372686,1.79751450,0.32728188,1.30362255,0.06471995,0.00000000,0.22486099,0.00000000
-5.44772386,1.86241297,0.34546679,1.34261286,0.06907609,0.00000000,0.23633571,0.00000000
-5.44172086,1.92241097,0.36353923,1.37777378,0.07346052,0.00000000,0.24725555,0.00000000
-5.43571786,1.97645880,0.38118936,1.40846129,0.07779775,0.00000000,0.25744218,0.00000000
-5.42971486,2.02358359,0.39811250,1.43409310,0.08201432,0.00000000,0.26672337,0.00000000
-5.42371186,2.06292271,0.41401936,1.45416868,0.08604156,0.00000000,0.27493851,0.00000000
-5.41770885,2.09375731,0.42864673,1.46828932,0.08981849,0.00000000,0.28194427,0.00000000
-5.41170585,2.11554480,0.44176834,1.47617714,0.09329470,0.00000000,0.28762014,0.00000000
-5.40570285,2.12794860,0.45320550,1.47769240,0.09643301,0.00000000,0.29187374,0.00000000
-5.39969985,2.13086356,0.46283671,1.47284784,0.09921197,0.00000000,0.29464532,0.00000000
-5.39369685,2.12443577,0.47060616,1.46181950,0.10162787,0.00000000,0.29591164,0.00000000
-5.38769385,2.10907530,0.47653024,1.44495297,0.10369628,0.00000000,0.29568860,0.00000000
-5.38169085,2.08546076,0.48070192,1.42276456,0.10545298,0.00000000,0.29403274,0.00000000
-5.37568784,2.05453494,0.48329240,1.39593687,0.10695408,0.00000000,0.29104132,0.00000000
-5.36968484,2.01749109,0.48454989,1.36530855,0.10827550,0.00000000,0.28685093,0.00000000
-5.36368184,1.97574961,0.48479525,1.33185815,0.10951148,0.00000000,0.28163470,0.00000000
-5.35767884,1.93092558,0.48441453,1.29668233,0.11077230,0.00000000,0.27559797,0.00000000
-5.35167584,1.88478771,0.48384836,1.26096888,0.11218127,0.00000000,0.26897280,0.00000000
-5.34567284,1.83920983,0.48357857,1.22596516,0.11387080,0.00000000,0.26201118,0.00000000
-5.33966983,1.79611622,0.48411220,1.19294292,0.11597794,0.00000000,0.25497747,0.00000000
-5.33366683,1.75742248,0.48596356,1.16316042,0.11863936,0.00000000,0.24813999,0.00000000
-5.32766383,1.72497375,0.48963476,1.13782313,0.12198584,0.00000000,0.24176239,0.00000000
-5.32166083,1.70048242,0.49559553,1.11804422,0.12613672,0.00000000,0.23609484,0.00000000
-5.31565783,1.68546741,0.50426293,1.10480614,0.13119423,0.00000000,0.23136548,0.00000000
-5.30965483,1.68119709,0.51598194,1.09892471,0.13723811,0.00000000,0.22777243,0.00000000
-5.30365183,1.68863817,0.53100746,1.10101692,0.14432066,0.00000000,0.22547666,0.00000000
-5.29764882,1.70841236,0.54948881,1.11147379,0.15246241,0.00000000,0.22459585,0.00000000
-5.29164582,1.74076264,0.57145725,1.13043934,0.16164877,0.00000000,0.22519979,0.00000000
-5.28564282,1.78553085,0.59681722,1.15779663,0.17182770,0.00000000,0.22730711,0.00000000
-5.27963982,1.84214760,0.62534196,1.19316175,0.18290858,0.00000000,0.23088381,0.00000000
-5.27363682,1.90963555,0.65667366,1.23588616,0.19476258,0.00000000,0.23584351,0.00000000
-5.26763382,1.98662636,0.69032866,1.28506775,0.20722426,0.00000000,0.24204944,0.00000000
-5.26163082,2.07139125,0.72570740,1.33957062,0.22009484,0.00000000,0.24931825,0.00000000
-5.25562781,2.16188465,0.76210920,1.39805306,0.23314668,0.00000000,0.25742536,0.00000000
-5.24962481,2.25579976,0.79875133,1.45900332,0.24612916,0.00000000,0.26611188,0.00000000
-5.24362181,2.35063438,0.83479177,1.52078184,0.25877566,0.00000000,0.27509268,0.00000000
-5.23761881,2.44376498,0.86935499,1.58166897,0.27081142,0.00000000,0.28406550,0.00000000
-5.23161581,2.53252642,0.90155955,1.63991627,0.28196192,0.00000000,0.29272068,0.00000000
-5.22561281,2.61429447,0.93054680,1.69379980,0.29196167,0.00000000,0.30075116,0.00000000
-5.21960980,2.68656805,0.95550912,1.74167335,0.30056281,0.00000000,0.30786246,0.00000000
-5.21360680,2.74704803,0.97571691,1.78201953,0.30754326,0.00000000,0.31378209,0.00000000
-5.20760380,2.79370948,0.99054293,1.81349692,0.31271419,0.00000000,0.31826831,0.00000000
-5.20160080,2.82486452,0.99948311,1.83498112,0.31592626,0.00000000,0.32111756,0.00000000
-5.19559780,2.83921321,1.00217284,1.84559835,0.31707450,0.00000000,0.32217055,0.00000000
-5.18959480,2.83588049,0.99839823,1.84475007,0.31610169,0.00000000,0.32131669,0.00000000
-5.18359180,2.81443780,0.98810169,1.83212775,0.31299986,0.00000000,0.31849669,0.00000000
-5.17758879,2.77490862,0.97138186,1.80771728,0.30781009,0.00000000,0.31370323,0.00000000
-5.17158579,2.71775799,0.94848782,1.77179304,0.30062060,0.00000000,0.30697987,0.00000000
-5.16558279,2.64386684,0.91980814,1.72490200,0.29156306,0.00000000,0.29841810,0.00000000
-5.15957979,2.55449243,0.88585514,1.66783878,0.28080760,0.00000000,0.28815284,0.00000000
-5.15357679,2.45121713,0.84724537,1.60161300,0.26855653,0.00000000,0.27635655,0.00000000
-5.14757379,2.33588788,0.80467721,1.52741041,0.25503721,0.00000000,0.26323238,0.00000000
-5.14157079,2.21054943,0.75890662,1.44654986,0.24049436,0.00000000,0.24900649,0.00000000
-5.13556778,2.07737414,0.71072218,1.36043776,0.22518217,0.00000000,0.23392004,0.00000000
-5.12956478,1.93859165,0.66092049,1.27052233,0.20935652,0.00000000,0.21822119,0.00000000
-5.12356178,1.79642106,0.61028291,1.17824930,0.19326765,0.00000000,0.20215740,0.00000000
-5.11755878,1.65300842,0.55955460,1.08502084,0.17715358,0.00000000,0.18596826,0.00000000
-5.11155578,1.51037157,0.50942639,0.99215914,0.16123442,0.00000000,0.16987929,0.00000000
-5.10555278,1.37035403,0.46052019,0.90087585,0.14570781,0.00000000,0.15409671,0.00000000
-5.09954977,1.23458915,0.41337813,0.81224798,0.13074554,0.00000000,0.13880333,0.00000000
-5.09354677,1.10447493,0.36845558,0.72720079,0.11649136,0.00000000,0.12415583,0.00000000
-5.08754377,0.98115964,0.32611794,0.64649769,0.10306005,0.00000000,0.11028309,0.00000000
-5.08154077,0.86553774,0.28664107,0.57073677,0.09053757,0.00000000,0.09728579,0.00000000
-5.07553777,0.75825514,0.25021484,0.50035359,0.07898216,0.00000000,0.08523711,0.00000000
-5.06953477,0.65972269,0.21694942,0.43562927,0.06842636,0.00000000,0.07418431,0.00000000
-5.06353177,0.57013638,0.18688378,0.37670308,0.05887964,0.00000000,0.06415114,0.00000000
-5.05752876,0.48950274,0.15999577,0.32358846,0.05033150,0.00000000,0.05514078,0.00000000
-5.05152576,0.41766785,0.13621336,0.27619146,0.04275500,0.00000000,0.04713932,0.00000000
-5.04552276,0.35434839,0.11542636,0.23433063,0.03611026,0.00000000,0.04011940,0.00000000
-5.03951976,0.29916338,0.09749832,0.19775737,0.03034810,0.00000000,0.03404395,0.00000000
-5.03351676,0.25166546,0.08227809,0.16617598,0.02541351,0.00000000,0.02887001,0.00000000
-5.02751376,0.21137047,0.06961084,0.13926279,0.02124889,0.00000000,0.02455218,0.00000000
-5.02151076,0.17778483,0.05934817,0.11668367,0.01779702,0.00000000,0.02104602,0.00000000
-5.01550775,0.15042991,0.05135727,0.09810981,0.01500366,0.00000000,0.01831101,0.00000000
-5.00950475,0.12886310,0.04552892,0.08323117,0.01281980,0.00000000,0.01631316,0.00000000
-5.00350175,0.11269535,0.04178430,0.07176782,0.01120355,0.00000000,0.01502716,0.00000000
-4.99749875,0.10160506,0.04008058,0.06347883,0.01012160,0.00000000,0.01443817,0.00000000
-4.99149575,0.09534846,0.04041521,0.05816888,0.00955036,0.00000000,0.01454310,0.00000000
-4.98549275,0.09376625,0.04282897,0.05569267,0.00947668,0.00000000,0.01535138,0.00000000
-4.97948974,0.09678702,0.04740771,0.05595714,0.00989828,0.00000000,0.01688528,0.00000000
-4.97348674,0.10442717,0.05428266,0.05892168,0.01082383,0.00000000,0.01917977,0.00000000
-4.96748374,0.11678766,0.06362938,0.06459642,0.01227263,0.00000000,0.02228178,0.00000000
-4.96148074,0.13404762,0.07566518,0.07303863,0.01427405,0.00000000,0.02624904,0.00000000
-4.95547774,0.15645487,0.09064487,0.08434748,0.01686651,0.00000000,0.03114828,0.00000000
-4.94947474,0.18431351,0.10885487,0.09865699,0.02009625,0.00000000,0.03705304,0.00000000
-4.94347174,0.21796856,0.13060548,0.11612762,0.02401557,0.00000000,0.04404078,0.00000000
-4.93746873,0.25778795,0.15622133,0.13693619,0.02868085,0.00000000,0.05218967,0.00000000
-4.93146573,0.30414202,0.18603004,0.16126466,0.03415011,0.00000000,0.06157482,0.00000000
-4.92546273,0.35738082,0.22034898,0.18928771,0.04048031,0.00000000,0.07226413,0.00000000
-4.91945973,0.41780978,0.25947066,0.22115947,0.04772427,0.00000000,0.08431385,0.00000000
-4.91345673,0.48566421,0.30364657,0.25699970,0.05592740,0.00000000,0.09776402,0.00000000
-4.90745373,0.56108348,0.35307032,0.29687979,0.06512420,0.00000000,0.11263377,0.00000000
-4.90145073,0.64408571,0.40786017,0.34080911,0.07533478,0.00000000,0.12891690,0.00000000
-4.89544772,0.73454388,0.46804186,0.38872209,0.08656137,0.00000000,0.14657771,0.00000000
-4.88944472,0.83216468,0.53353236,0.44046675,0.09878503,0.00000000,0.16554743,0.00000000
-4.88344172,0.93647096,0.60412527,0.49579517,0.11196282,0.00000000,0.18572140,0.00000000
-4.87743872,1.04678906,0.67947881,0.55435651,0.12602535,0.00000000,0.20695725,0.00000000
-4.87143572,1.16224209,0.75910711,0.61569312,0.14087521,0.00000000,0.22907422,0.00000000
-4.86543272,1.28174990,0.84237569,0.67924024,0.15638611,0.00000000,0.25185380,0.00000000
-4.85942971,1.40403656,0.92850173,0.74432957,0.17240312,0.00000000,0.27504179,0.00000000
-4.85342671,1.52764580,1.01655973,0.81019708,0.18874392,0.00000000,0.29835187,0.00000000
-4.84742371,1.65096429,1.10549280,0.87599487,0.20520125,0.00000000,0.32147055,0.00000000
-4.84142071,1.77225266,1.19412971,0.94080721,0.22154654,0.00000000,0.34406363,0.00000000
-4.83541771,1.88968354,1.28120758,1.00367019,0.23753459,0.00000000,0.36578372,0.00000000
-4.82941471,2.00138541,1.36539963,1.06359455,0.25290933,0.00000000,0.38627889,0.00000000
-4.82341171,2.10549113,1.44534734,1.11959095,0.26741030,0.00000000,0.40520199,0.00000000
-4.81740870,2.20018907,1.51969590,1.17069677,0.28077989,0.00000000,0.42222030,0.00000000
-4.81140570,2.28377525,1.58713180,1.21600339,0.29277078,0.00000000,0.43702523,0.00000000
-4.80540270,2.35470412,1.64642105,1.25468298,0.30315354,0.00000000,0.44934158,0.00000000
-4.79939970,2.41163596,1.69644651,1.28601360,0.31172383,0.00000000,0.45893603,0.00000000
-4.79339670,2.45347896,1.73624282,1.30940152,0.31830914,0.00000000,0.46562451,0.00000000
-4.78739370,2.47942393,1.76502730,1.32439995,0.32277452,0.00000000,0.46927800,0.00000000
-4.78139070,2.48897031,1.78222554,1.33072311,0.32502717,0.00000000,0.46982673,0.00000000
-4.77538769,2.48194214,1.78749043,1.32825530,0.32501965,0.00000000,0.46726231,0.00000000
-4.76938469,2.45849338,1.78071384,1.31705432,0.32275158,0.00000000,0.46163796,0.00000000
-4.76338169,2.41910232,1.76203028,1.29734928,0.31826960,0.00000000,0.45306669,0.00000000
-4.75737869,2.36455537,1.73181253,1.26953277,0.31166583,0.00000000,0.44171747,0.00000000
-4.75137569,2.29592102,1.69065923,1.23414793,0.30307472,0.00000000,0.42780978,0.00000000
-4.74537269,2.21451510,1.63937521,1.19187083,0.29266848,0.00000000,0.41160651,0.00000000
-4.73936968,2.12185901,1.57894533,1.14348911,0.28065134,0.00000000,0.39340579,0.00000000
-4.73336668,2.01963267,1.51050307,1.08987771,0.26725292,0.00000000,0.37353188,0.00000000
-4.72736368,1.90962429,1.43529523,1.03197283,0.25272093,0.00000000,0.35232570,0.00000000
-4.72136068,1.79367903,1.35464435,0.97074502,0.23731359,0.00000000,0.33013521,0.00000000
-4.71535768,1.67364847,1.26991033,0.90717274,0.22129211,0.00000000,0.30730616,0.00000000
-4.70935468,1.55134296,1.18245285,0.84221705,0.20491347,0.00000000,0.28417343,0.00000000
-4.70335168,1.42848832,1.09359599,0.77679858,0.18842378,0.00000000,0.26105331,0.00000000
-4.69734867,1.30668838,1.00459635,0.71177734,0.17205252,0.00000000,0.23823693,0.00000000
-4.69134567,1.18739424,0.91661558,0.64793593,0.15600773,0.00000000,0.21598504,0.00000000
-4.68534267,1.07188092,0.83069811,0.58596669,0.14047236,0.00000000,0.19452410,0.00000000
-4.67933967,0.96123166,0.74775452,0.52646256,0.12560175,0.00000000,0.17404389,0.00000000
-4.67333667,0.85632970,0.66855076,0.46991212,0.11152226,0.00000000,0.15469643,0.00000000
-4.66733367,0.75785716,0.59370292,0.41669817,0.09833105,0.00000000,0.13659623,0.00000000
-4.66133067,0.66630041,0.52367741,0.36709987,0.08609683,0.00000000,0.11982164,0.00000000
-4.65532766,0.58196080,0.45879588,0.32129774,0.07486141,0.00000000,0.10441718,0.00000000
-4.64932466,0.50497004,0.39924415,0.27938116,0.06464207,0.00000000,0.09039664,0.00000000
-4.64332166,0.43530887,0.34508442,0.24135781,0.05543437,0.00000000,0.07774675,0.00000000
-4.63731866,0.37282815,0.29626983,0.20716439,0.04721531,0.00000000,0.06643115,0.00000000
-4.63131566,0.31727111,0.25266063,0.17667809,0.03994674,0.00000000,0.05639463,0.00000000
-4.62531266,0.26829595,0.21404104,0.14972842,0.03357876,0.00000000,0.04756724,0.00000000
-4.61930965,0.22549793,0.18013613,0.12610880,0.02805303,0.00000000,0.03986835,0.00000000
-4.61330665,0.18843023,0.15062814,0.10558763,0.02330591,0.00000000,0.03321038,0.00000000
-4.60730365,0.15662306,0.12517168,0.08791850,0.01927129,0.00000000,0.02750222,0.00000000
-4.60130065,0.12960072,0.10340745,0.07284937,0.01588313,0.00000000,0.02265217,0.00000000
-4.59529765,0.10689628,0.08497429,0.06013054,0.01307757,0.00000000,0.01857046,0.00000000
-4.58929465,0.08806387,0.06951927,0.04952139,0.01079477,0.00000000,0.01517138,0.00000000
-4.58329165,0.07268862,0.05670605,0.04079587,0.00898027,0.00000000,0.01237484,0.00000000
-4.57728864,0.06039431,0.04622128,0.03374674,0.00758613,0.00000000,0.01010759,0.00000000
-4.57128564,0.05084885,0.03777933,0.02818873,0.00657164,0.00000000,0.00830412,0.00000000
-4.56528264,0.04376802,0.03112549,0.02396070,0.00590384,0.00000000,0.00690707,0.00000000
-4.55927964,0.03891743,0.02603783,0.02092685,0.00555774,0.00000000,0.00586755,0.00000000
-4.55327664,0.03611321,0.02232787,0.01897722,0.00551635,0.00000000,0.00514508,0.00000000
-4.54727364,0.03522136,0.01984039,0.01802749,0.00577058,0.00000000,0.00470747,0.00000000
-4.54127064,0.03615628,0.01845241,0.01801833,0.00631886,0.00000000,0.00453046,0.00000000
-4.53526763,0.03887840,0.01807171,0.01891423,0.00716679,0.00000000,0.00459731,0.00000000
-4.52926463,0.04339118,0.01863490,0.02070203,0.00832652,0.00000000,0.00489833,0.00000000
-4.52326163,0.04973752,0.02010518,0.02338917,0.00981619,0.00000000,0.00543038,0.00000000
-4.51725863,0.05799581,0.02246998,0.02700170,0.01165908,0.00000000,0.00619623,0.00000000
-4.51125563,0.06827542,0.02573840,0.03158209,0.01388286,0.00000000,0.00720404,0.00000000
