energy_ev,total_up,Pt_p_up,Pt_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,9.00513153,2.71046201,5.62733682,1.09458017,0.00000000,2.42503732,0.00000000
-5.99399700,9.03478302,2.65716874,5.67947353,1.05405267,0.00000000,2.42600354,0.00000000
-5.98799400,9.06252290,2.60193768,5.73284242,1.01268297,0.00000000,2.42520028,0.00000000
-5.98199100,9.09007095,2.54572242,5.78817209,0.97103597,0.00000000,2.42323119,0.00000000
-5.97598799,9.11895340,2.48943406,5.84605086,0.92964753,0.00000000,2.42064599,0.00000000
-5.96998499,9.15043731,2.43392086,5.90688985,0.88901073,0.00000000,2.41792023,0.00000000
-5.96398199,9.18547666,2.37995180,5.97089293,0.84956448,0.00000000,2.41543882,0.00000000
-5.95797899,9.22467228,2.32820420,6.03803502,0.81168467,0.00000000,2.41348431,0.00000000
-5.95197599,9.26824743,2.27925603,6.10804950,0.77567814,0.00000000,2.41223022,0.00000000
-5.94597299,9.31603968,2.23358272,6.18042545,0.74177948,0.00000000,2.41173974,0.00000000
-5.93996998,9.36750933,2.19155823,6.25441473,0.71015064,0.00000000,2.41196975,0.00000000
-5.93396698,9.42176358,2.15346021,6.32904863,0.68088313,0.00000000,2.41277984,0.00000000
-5.92796398,9.47759530,2.11947836,6.40316345,0.65400249,0.00000000,2.41394570,0.00000000
-5.92196098,9.53353423,2.08972546,6.47543390,0.62947472,0.00000000,2.41517622,0.00000000
-5.91595798,9.58790823,2.06425011,6.54441302,0.60721426,0.00000000,2.41613322,0.00000000
-5.90995498,9.63891177,2.04305038,6.60857717,0.58709290,0.00000000,2.41645278,0.00000000
-5.90395198,9.68467859,2.02608747,6.66637417,0.56894945,0.00000000,2.41576713,0.00000000
-5.89794897,9.72335537,2.01329855,6.71627298,0.55259940,0.00000000,2.41372577,0.00000000
-5.89194597,9.75317352,2.00460812,6.75681317,0.53784441,0.00000000,2.41001508,0.00000000
-5.88594297,9.77251621,1.99993732,6.78665230,0.52448118,0.00000000,2.40437513,0.00000000
-5.87993997,9.77997813,1.99921070,6.80460983,0.51230938,0.00000000,2.39661326,0.00000000
-5.87393697,9.77441610,2.00236031,6.80970601,0.50113848,0.00000000,2.38661367,0.00000000
-5.86793397,9.75498883,2.00932702,6.80119471,0.49079334,0.00000000,2.37434279,0.00000000
-5.86193097,9.72118486,2.02005911,6.77858906,0.48111840,0.00000000,2.35985028,0.00000000
-5.85592796,9.67283807,2.03450848,6.74167937,0.47198052,0.00000000,2.34326593,0.00000000
-5.84992496,9.61013085,2.05262487,6.69054277,0.46327051,0.00000000,2.32479260,0.00000000
-5.84392196,9.53358521,2.07434842,6.62554439,0.45490343,0.00000000,2.30469600,0.00000000
-5.83791896,9.44404270,2.09960135,6.54733013,0.44681774,0.00000000,2.28329177,0.00000000
-5.83191596,9.34263432,2.12827915,6.45681130,0.43897355,0.00000000,2.26093070,0.00000000
-5.82591296,9.23074179,2.16024199,6.35514162,0.43135005,0.00000000,2.23798306,0.00000000
-5.81990995,9.10995176,2.19530677,6.24368721,0.42394233,0.00000000,2.21482256,0.00000000
-5.81390695,8.98200478,2.23324042,6.12399058,0.41675786,0.00000000,2.19181106,0.00000000
-5.80790395,8.84874079,2.27375494,5.99772956,0.40981265,0.00000000,2.16928444,0.00000000
