energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,11.47073156,2.90472913,7.69584373,0.06083416,0.73969095,0.60072513,0.53829625,0.05483322,1.84538364
-5.99399700,11.57263021,2.92620567,7.73925957,0.06338205,0.72961314,0.63094080,0.55232342,0.05616778,1.89460444
-5.98799400,11.68232680,2.95335845,7.78400057,0.06596924,0.71890710,0.66353977,0.56762675,0.05754915,1.94777588
-5.98199100,11.80067744,2.98616367,7.83098469,0.06857913,0.70776088,0.69818384,0.58427036,0.05897631,2.00468340
-5.97598799,11.92844328,3.02454160,7.88112578,0.07119247,0.69638585,0.73448579,0.60229634,0.06044690,2.06504208
-5.96998499,12.06621803,3.06835159,7.93527697,0.07378745,0.68501040,0.77201679,0.62171882,0.06195674,2.12849096
-5.96398199,12.21436521,3.11738800,7.99418005,0.07633987,0.67387274,0.81031565,0.64251894,0.06349952,2.19459057
-5.95797899,12.37296876,3.17137725,8.05842346,0.07882344,0.66321315,0.84889966,0.66464107,0.06506654,2.26282443
-5.95197599,12.54179963,3.22997637,8.12841095,0.08121020,0.65326594,0.88727672,0.68799052,0.06664671,2.33260444
-5.94597299,12.72030001,3.29277290,8.20434239,0.08347106,0.64425135,0.92495820,0.71243274,0.06822652,2.40328037
-5.93996998,12.90758581,3.35928653,8.28620718,0.08557641,0.63636771,0.96147216,0.73779434,0.06979035,2.47415295
-5.93396698,13.10246698,3.42897218,8.37379035,0.08749683,0.62978412,0.99637631,0.76386570,0.07132073,2.54449041
-5.92796398,13.30348431,3.50122472,8.46669028,0.08920382,0.62463388,1.02927020,0.79040527,0.07279889,2.61354742
-5.92196098,13.50896045,3.57538522,8.56434686,0.09067057,0.62100902,1.05980613,0.81714536,0.07420531,2.68058595
-5.91595798,13.71706240,3.65074855,8.66607795,0.09187268,0.61895603,1.08769837,0.84379915,0.07552039,2.74489697
-5.90995498,13.92587229,3.72657257,8.77112200,0.09278887,0.61847305,1.11273022,0.87006885,0.07672517,2.80582211
-5.90395198,14.13346288,3.80208851,8.87868440,0.09340163,0.61950867,1.13475882,0.89565450,0.07780207,2.86277438
-5.89794897,14.33797456,3.87651287,8.98798504,0.09369773,0.62196245,1.15371742,0.92026331,0.07873559,2.91525710
-5.89194597,14.53769036,3.94906050,9.09830476,0.09366870,0.62568706,1.16961516,0.94361906,0.07951298,2.96288031
-5.88594297,14.73110605,4.01895896,9.20902842,0.09331108,0.63049232,1.18253444,0.96547130,0.08012485,3.00537401
-5.87993997,14.91699270,4.08546402,9.31968272,0.09262667,0.63615065,1.19262613,0.98560405,0.08056562,3.04259786
-5.87393697,15.09444921,4.14787591,9.42996707,0.09162256,0.64240419,1.20010284,1.00384361,0.08083389,3.07454695
-5.86793397,15.26294321,4.20555631,9.53977623,0.09031106,0.64897303,1.20523066,1.02006528,0.08093265,3.10135354
