energy_ev,total_up,Al_p_up,Al_d_up,Au_p_up,Au_d_up,Se_s_up,Se_p_up
-6.00000000,1.24687556,0.08473353,0.00000000,0.46146564,1.02592347,0.00151673,0.10032045
-5.99399700,1.23106182,0.08452149,0.00000000,0.46276299,1.00939433,0.00158742,0.09988754
-5.98799400,1.22197987,0.08510159,0.00000000,0.46806462,0.99761517,0.00166756,0.10017706
-5.98199100,1.22030428,0.08643619,0.00000000,0.47716260,0.99137880,0.00175661,0.10116391
-5.97598799,1.22667578,0.08847166,0.00000000,0.48976341,0.99148533,0.00185383,0.10280817
-5.96998499,1.24167145,0.09113927,0.00000000,0.50549343,0.99870948,0.00195827,0.10505544
-5.96398199,1.26577720,0.09435646,0.00000000,0.52390675,1.01376914,0.00206877,0.10783770
-5.95797899,1.29936357,0.09802858,0.00000000,0.54449499,1.03729620,0.00218398,0.11107445
-5.95197599,1.34266563,0.10205099,0.00000000,0.56669903,1.06981058,0.00230238,0.11467437
-5.94597299,1.39576779,0.10631156,0.00000000,0.58992249,1.11169838,0.00242229,0.11853736
-5.93996998,1.45859371,0.11069338,0.00000000,0.61354649,1.16319448,0.00254193,0.12255686
-5.93396698,1.53090173,0.11507771,0.00000000,0.63694533,1.22437022,0.00265943,0.12662249
-5.92796398,1.61228570,0.11934700,0.00000000,0.65950262,1.29512628,0.00277293,0.13062280
-5.92196098,1.70218103,0.12338794,0.00000000,0.68062729,1.37519090,0.00288058,0.13444823
-5.91595798,1.79987570,0.12709439,0.00000000,0.69976899,1.46412337,0.00298065,0.13799390
-5.90995498,1.90452567,0.13037010,0.00000000,0.71643221,1.56132250,0.00307155,0.14116240
-5.90395198,2.01517412,0.13313115,0.00000000,0.73018876,1.66603985,0.00315190,0.14386628
-5.89794897,2.13077376,0.13530800,0.00000000,0.74068800,1.77739708,0.00322059,0.14603026
-5.89194597,2.25021143,0.13684702,0.00000000,0.74766454,1.89440692,0.00327682,0.14759302
-5.88594297,2.37233418,0.13771162,0.00000000,0.75094309,2.01599694,0.00332015,0.14850855
-5.87993997,2.49597582,0.13788272,0.00000000,0.75044033,2.14103529,0.00335054,0.14874698
-5.87393697,2.61998298,0.13735869,0.00000000,0.74616382,2.26835755,0.00336834,0.14829488
-5.86793397,2.74323987,0.13615479,0.00000000,0.73820793,2.39679351,0.00337436,0.14715509
-5.86193097,2.86469077,0.13430208,0.00000000,0.72674724,2.52519307,0.00336986,0.14534593
-5.85592796,2.98335935,0.13184583,0.00000000,0.71202749,2.65245012,0.00335653,0.14290014
-5.84992496,3.09836416,0.12884366,0.00000000,0.69435482,2.77752348,0.00333648,0.13986320
-5.84392196,3.20892976,0.12536330,0.00000000,0.67408351,2.89945407,0.00331224,0.13629153
-5.83791896,3.31439296,0.12148020,0.00000000,0.65160292,3.01737766,0.00328668,0.13225033
-5.83191596,3.41420402,0.11727506,0.00000000,0.62732421,3.13053269,0.00326302,0.12781126
-5.82591296,3.50792291,0.11283131,0.00000000,0.60166716,3.23826304,0.00324468,0.12305013
-5.81990995,3.59521082,0.10823276,0.00000000,0.57504780,3.34001559,0.00323531,0.11804456
-5.81390695,3.67581753,0.10356131,0.00000000,0.54786716,3.43533320,0.00323862,0.11287172
-5.80790395,3.74956531,0.09889498,0.00000000,0.52050140,3.52384342,0.00325831,0.10760627
-5.80190095,3.81633039,0.09430611,0.00000000,0.49329370,3.60524397,0.00329798,0.10231853
-5.79589795,3.87602309,0.08985998,0.00000000,0.46654801,3.67928598,0.00336099,0.09707290
-5.78989495,3.92856783,0.08561358,0.00000000,0.44052462,3.74575614,0.00345034,0.09192663
-5.78389195,3.97388423,0.08161488,0.00000000,0.41543768,3.80445912,0.00356859,0.08692882
-5.77788894,4.01187065,0.07790224,0.00000000,0.39145445,3.85520146,0.00371765,0.08211990
-5.77188594,4.04239105,0.07450416,0.00000000,0.36869616,3.89777819,0.00389876,0.07753129
-5.76588294,4.06526636,0.07143934,0.00000000,0.34724024,3.93196307,0.00411232,0.07318549
-5.75987994,4.08027081,0.06871686,0.00000000,0.32712376,3.95750351,0.00435784,0.06909636
-5.75387694,4.08713384,0.06633664,0.00000000,0.30834769,3.97412046,0.00463387,0.06526972
-5.74787394,4.08554758,0.06429008,0.00000000,0.29088185,3.98151362,0.00493794,0.06170411
-5.74187094,4.07517962,0.06256077,0.00000000,0.27467021,3.97937189,0.00526657,0.05839178
-5.73586793,4.05569083,0.06112541,0.00000000,0.25963640,3.96738859,0.00561532,0.05531968
-5.72986493,4.02675701,0.05995479,0.00000000,0.24568914,3.94528071,0.00597881,0.05247069
-5.72386193,3.98809376,0.05901493,0.00000000,0.23272745,3.91281139,0.00635087,0.04982473
-5.71785893,3.93948301,0.05826817,0.00000000,0.22064553,3.86981424,0.00672468,0.04735991
-5.71185593,3.88080009,0.05767446,0.00000000,0.20933717,3.81621841,0.00709291,0.04505367
-5.70585293,3.81203996,0.05719259,0.00000000,0.19869958,3.75207298,0.00744798,0.04288376
-5.69984992,3.73334115,0.05678147,0.00000000,0.18863672,3.67756945,0.00778226,0.04082915
-5.69384692,3.64500639,0.05640143,0.00000000,0.17906192,3.59306100,0.00808834,0.03887078
-5.68784392,3.54751869,0.05601538,0.00000000,0.16989992,3.49907755,0.00835927,0.03699224
-5.68184092,3.44155218,0.05559002,0.00000000,0.16108836,3.39633579,0.00858883,0.03518014
-5.67583792,3.32797698,0.05509684,0.00000000,0.15257863,3.28574345,0.00877179,0.03342454
-5.66983492,3.20785795,0.05451305,0.00000000,0.14433625,3.16839764,0.00890409,0.03171901
-5.66383192,3.08244698,0.05382226,0.00000000,0.13634079,3.04557693,0.00898309,0.03006072
-5.65782891,2.95316934,0.05301502,0.00000000,0.12858536,2.91872762,0.00900769,0.02845035
-5.65182591,2.82160421,0.05208912,0.00000000,0.12107575,2.78944428,0.00897848,0.02689185
-5.64582291,2.68946019,0.05104965,0.00000000,0.11382936,2.65944552,0.00889780,0.02539218
-5.63981991,2.55854654,0.04990877,0.00000000,0.10687385,2.53054530,0.00876977,0.02396099
-5.63381691,2.43074090,0.04868538,0.00000000,0.10024566,2.40462110,0.00860027,0.02261016
-5.62781391,2.30795470,0.04740441,0.00000000,0.09398847,2.28357957,0.00839693,0.02135345
-5.62181091,2.19209699,0.04609609,0.00000000,0.08815158,2.16932069,0.00816895,0.02020599
-5.61580790,2.08503782,0.04479493,0.00000000,0.08278835,2.06370160,0.00792709,0.01918392
-5.60980490,1.98857207,0.04353869,0.00000000,0.07795460,1.96850073,0.00768341,0.01830392
-5.60380190,1.90438458,0.04236724,0.00000000,0.07370714,1.88538329,0.00745118,0.01758286
-5.59779890,1.83401738,0.04132144,0.00000000,0.07010238,1.81586888,0.00724466,0.01703740
-5.59179590,1.77883963,0.04044200,0.00000000,0.06719498,1.76130185,0.00707890,0.01668364
-5.58579290,1.74002100,0.03976849,0.00000000,0.06503666,1.72282499,0.00696957,0.01653682
-5.57978989,1.71850878,0.03933834,0.00000000,0.06367503,1.70135714,0.00693272,0.01661104
-5.57378689,1.71500923,0.03918608,0.00000000,0.06315251,1.69757498,0.00698456,0.01691892
-5.56778389,1.72997338,0.03934266,0.00000000,0.06350533,1.71189942,0.00714128,0.01747139
-5.56178089,1.76358752,0.03983491,0.00000000,0.06476253,1.74448672,0.00741877,0.01827739
-5.55577789,1.81576847,0.04068518,0.00000000,0.06694502,1.79522452,0.00783240,0.01934361
-5.54977489,1.88616369,0.04191106,0.00000000,0.07006465,1.86373277,0.00839673,0.02067422
-5.54377189,1.97415625,0.04352527,0.00000000,0.07412329,1.94936973,0.00912525,0.02227063
-5.53776888,2.07887451,0.04553555,0.00000000,0.07911198,2.05124270,0.01003003,0.02413119
-5.53176588,2.19920657,0.04794472,0.00000000,0.08501010,2.16822363,0.01112146,0.02625093
-5.52576288,2.33381907,0.05075069,0.00000000,0.09178470,2.29896910,0.01240785,0.02862139
-5.51975988,2.48118034,0.05394652,0.00000000,0.09938990,2.44194474,0.01389511,0.03123031
-5.51375688,2.63958744,0.05752048,0.00000000,0.10776648,2.59545340,0.01558641,0.03406159
-5.50775388,2.80719688,0.06145614,0.00000000,0.11684184,2.75766693,0.01748183,0.03709511
-5.50175088,2.98205843,0.06573242,0.00000000,0.12653007,2.92666090,0.01957809,0.04030681
-5.49574787,3.16215168,0.07032363,0.00000000,0.13673259,3.10045171,0.02186832,0.04366874
-5.48974487,3.34542457,0.07519965,0.00000000,0.14733905,3.27703552,0.02434185,0.04714931
