energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
3.79689845,0.67453015,-0.67538433,0.01087439,-0.01088548,0.04223905,-0.04230448,0.00204322,-0.00204509,0.00000000,-0.00000000,0.09453589,-0.09465628,0.00641055,-0.00642113,0.01036797,-0.01037995,0.12573899,-0.12590923
3.80290145,0.61149189,-0.61230051,0.00985827,-0.00986904,0.03827107,-0.03833275,0.00187577,-0.00187756,0.00000000,-0.00000000,0.08525902,-0.08537431,0.00579973,-0.00580967,0.00933467,-0.00934618,0.11397496,-0.11413578
3.80890445,0.55201380,-0.55277510,0.00887623,-0.00888658,0.03453798,-0.03459577,0.00171611,-0.00171783,0.00000000,-0.00000000,0.07641187,-0.07652125,0.00522403,-0.00523331,0.00834907,-0.00836003,0.10289055,-0.10304162
3.81490745,0.49617033,-0.49688306,0.00793744,-0.00794727,0.03104265,-0.03109648,0.00156428,-0.00156593,0.00000000,-0.00000000,0.06805058,-0.06815342,0.00468434,-0.00469296,0.00741827,-0.00742860,0.09249530,-0.09263643
3.82091046,0.44400573,-0.44466919,0.00704937,-0.00705862,0.02778582,-0.02783565,0.00142036,-0.00142193,0.00000000,-0.00000000,0.06021861,-0.06031445,0.00418117,-0.00418912,0.00654763,-0.00655726,0.08279365,-0.08292473
3.82691346,0.39553371,-0.39614773,0.00621779,-0.00622640,0.02476622,-0.02481208,0.00128442,-0.00128590,0.00000000,-0.00000000,0.05294671,-0.05303523,0.00371466,-0.00372196,0.00574085,-0.00574976,0.07378485,-0.07390591
3.83291646,0.35073784,-0.35130275,0.00544680,-0.00545474,0.02198079,-0.02202273,0.00115653,-0.00115793,0.00000000,-0.00000000,0.04625327,-0.04633432,0.00328461,-0.00329127,0.00500007,-0.00500823,0.06546312,-0.06557427
3.83891946,0.30957281,-0.31008938,0.00473892,-0.00474617,0.01942484,-0.01946298,0.00103675,-0.00103807,0.00000000,-0.00000000,0.04014512,-0.04021869,0.00289048,-0.00289651,0.00432598,-0.00433338,0.05781785,-0.05791929
3.84492246,0.27196640,-0.27243584,0.00409522,-0.00410177,0.01709229,-0.01712675,0.00092513,-0.00092636,0.00000000,-0.00000000,0.03461856,-0.03468477,0.00253140,-0.00253684,0.00371798,-0.00372465,0.05083396,-0.05092597
3.85092546,0.23782229,-0.23824612,0.00351546,-0.00352133,0.01497587,-0.01500682,0.00082168,-0.00082282,0.00000000,-0.00000000,0.02966070,-0.02971978,0.00220626,-0.00221113,0.00317440,-0.00318034,0.04449238,-0.04457531
3.85692846,0.20702342,-0.20740347,0.00299833,-0.00300354,0.01306735,-0.01309496,0.00072636,-0.00072742,0.00000000,-0.00000000,0.02525090,-0.02530316,0.00191371,-0.00191804,0.00269264,-0.00269789,0.03877064,-0.03884490
