energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,1.74686956,0.00065805,0.11839166,0.30070298,1.00375277,0.28889884,0.27645387,0.00602211,0.48076650
-5.99399700,1.79975143,0.00060907,0.12415706,0.30067347,1.03405228,0.30739808,0.28212284,0.00597969,0.49612458
-5.98799400,1.85842146,0.00057198,0.13190133,0.30273523,1.06387772,0.32994369,0.29060589,0.00603662,0.51167422
-5.98199100,1.92224843,0.00054603,0.14160202,0.30678921,1.09292446,0.35642780,0.30180626,0.00619119,0.52714525
-5.97598799,1.99053579,0.00053032,0.15321329,0.31269878,1.12091223,0.38669008,0.31558769,0.00644102,0.54226820
-5.96998499,2.06252959,0.00052388,0.16666432,0.32029349,1.14758937,0.42051484,0.33177551,0.00678313,0.55678015
-5.96398199,2.13742736,0.00052566,0.18185819,0.32937328,1.17273618,0.45762905,0.35015859,0.00721393,0.57043045
-5.95797899,2.21438812,0.00053456,0.19867129,0.33971318,1.19616762,0.49770149,0.37049204,0.00772929,0.58298636
-5.95197599,2.29254399,0.00054943,0.21695332,0.35106842,1.21773543,0.54034363,0.39250098,0.00832463,0.59423844
-5.94597299,2.37101351,0.00056912,0.23652817,0.36317980,1.23732985,0.58511221,0.41588509,0.00899496,0.60400577
-5.93996998,2.44891687,0.00059247,0.25719565,0.37577945,1.25488124,0.63151398,0.44032408,0.00973501,0.61214070
-5.93396698,2.52539300,0.00061835,0.27873412,0.38859676,1.27036148,0.67901252,0.46548401,0.01053937,0.61853313
-5.92796398,2.59961826,0.00064565,0.30090398,0.40136455,1.28378530,0.72703731,0.49102414,0.01140253,0.62311423
-5.92196098,2.67082620,0.00067332,0.32345219,0.41382532,1.29521144,0.77499479,0.51660442,0.01231909,0.62585934
-5.91595798,2.73832783,0.00070038,0.34611733,0.42573747,1.30474349,0.82228122,0.54189316,0.01328385,0.62679004
-5.90995498,2.80153146,0.00072594,0.36863542,0.43688140,1.31253015,0.86829698,0.56657471,0.01429193,0.62597511
-5.90395198,2.85996103,0.00074920,0.39074605,0.44706526,1.31876470,0.91246178,0.59035693,0.01533883,0.62353035
-5.89794897,2.91327210,0.00076949,0.41219875,0.45613019,1.32368341,0.95423016,0.61297799,0.01642055,0.61961702
-5.89194597,2.96126412,0.00078626,0.43275917,0.46395488,1.32756249,0.99310676,0.63421241,0.01753362,0.61443895
