energy_ev,total_up,Au_p_up,Au_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,10.15891322,2.50773728,5.12280076,1.32277277,0.64932147,0.07604647,0.34157008,0.12596150,3.07363580
-5.99399700,10.45438259,2.52005643,5.26846941,1.37139549,0.68387309,0.08100778,0.33306962,0.13237095,3.18655136
-5.98799400,10.76317370,2.53627784,5.42529002,1.42020753,0.71771442,0.08580124,0.32580406,0.13858601,3.30080173
-5.98199100,11.07880851,2.55520838,5.59043631,1.46809846,0.75026189,0.09033948,0.31965727,0.14447112,3.41416345
-5.97598799,11.39449077,2.57554841,5.76087325,1.51392948,0.78093448,0.09453587,0.31448966,0.14989195,3.52435945
-5.96998499,11.70334613,2.59593662,5.93347337,1.55656755,0.80917209,0.09830710,0.31014340,0.15471942,3.62913547
-5.96398199,11.99866667,2.61499576,6.10513674,1.59491996,0.83445392,0.10157583,0.30644780,0.15883380,3.72633670
-5.95797899,12.27414864,2.63137742,6.27290843,1.62796779,0.85631572,0.10427328,0.30322482,0.16212859,3.81398111
-5.95197599,12.52411230,2.64380446,6.43408777,1.65479719,0.87436532,0.10634154,0.30029444,0.16451410,3.89032617
-5.94597299,12.74369371,2.65110944,6.58632395,1.67462703,0.88829550,0.10773563,0.29747989,0.16592045,3.95392593
-5.93996998,12.92899969,2.65226822,6.72769318,1.68683205,0.89789368,0.10842507,0.29461247,0.16629999,4.00367561
-5.93396698,13.07721921,2.64642730,6.85675372,1.69096056,0.90304788,0.10839508,0.29153593,0.16562891,4.03884211
-5.92796398,13.18668647,2.63292465,6.97257627,1.68674608,0.90374876,0.10764713,0.28811037,0.16390805,4.05907890
-5.92196098,13.25689372,2.61130331,7.07474858,1.67411263,0.90008751,0.10619899,0.28421545,0.16116278,4.06442501
-5.91595798,13.28845428,2.58131780,7.16335445,1.65317348,0.89225006,0.10408419,0.27975292,0.15744210,4.05528851
-5.90995498,13.28301884,2.54293334,7.23892876,1.62422371,0.88050761,0.10135093,0.27464843,0.15281682,4.03241553
-5.90395198,13.24315037,2.49631848,7.30239156,1.58772696,0.86520431,0.09806055,0.26885259,0.14737712,3.99684686
-5.89794897,13.17216494,2.44183148,7.35496496,1.54429709,0.84674253,0.09428551,0.26234122,0.14122945,3.94986437
-5.89194597,13.07394740,2.38000149,7.39807782,1.49467556,0.82556676,0.09010711,0.25511484,0.13449294,3.89293030
-5.88594297,12.95275151,2.31150537,7.43326356,1.43970572,0.80214674,0.08561293,0.24719742,0.12729555,3.82762240
-5.87993997,12.81299494,2.23714117,7.46205669,1.38030493,0.77696070,0.08089423,0.23863453,0.11977008,3.75556823
-5.87393697,12.65905906,2.15779946,7.48589350,1.31743580,0.75047959,0.07604328,0.22949080,0.11205025,3.67838158
-5.86793397,12.49510284,2.07443367,7.50602207,1.25207756,0.72315286,0.07115083,0.21984695,0.10426684,3.59760391
-5.86193097,12.32489896,1.98803034,7.52342597,1.18519866,0.69539629,0.06630375,0.20979647,0.09654438,3.51465312
-5.85592796,12.15169874,1.89958057,7.53876521,1.11773151,0.66758242,0.06158294,0.19944200,0.08899801,3.43078165
-5.84992496,11.97813049,1.81005328,7.55233678,1.05055014,0.64003366,0.05706155,0.18889166,0.08173114,3.34704500
-5.84392196,11.80613408,1.72037131,7.56405616,0.98445137,0.61301821,0.05280363,0.17825542,0.07483342,3.26428151
-5.83791896,11.63693227,1.63139080,7.57345997,0.92013985,0.58674859,0.04886305,0.16764156,0.06837952,3.18310333
-5.83191596,11.47103780,1.54388436,7.57972857,0.85821736,0.56138271,0.04528287,0.15715356,0.06242837,3.10389821
-5.82591296,11.30829309,1.45852829,7.58172685,0.79917615,0.53702698,0.04209511,0.14688723,0.05702298,3.02684085
-5.81990995,11.14793839,1.37589391,7.57806025,0.74339638,0.51374110,0.03932072,0.13692840,0.05219076,2.95191279
-5.81390695,10.98870283,1.29644297,7.56714250,0.69114739,0.49154413,0.03696999,0.12735115,0.04794433,2.87892873
-5.80790395,10.82891227,1.22052689,7.54727131,0.64259219,0.47042125,0.03504313,0.11821653,0.04428255,2.80756785
-5.80190095,10.66660764,1.14838955,7.51670792,0.59779494,0.45033085,0.03353101,0.10957191,0.04119192,2.73740787
-5.79589795,10.49966721,1.08017311,7.47375646,0.55673066,0.43121154,0.03241615,0.10145081,0.03864814,2.66796025
-5.78989495,10.32592694,1.01592641,7.41683956,0.51929675,0.41298875,0.03167372,0.09387330,0.03661775,2.59870472
-5.78389195,10.14329361,0.95561544,7.34456674,0.48532558,0.39558064,0.03127260,0.08684679,0.03505985,2.52912166
-5.77788894,9.94984628,0.89913512,7.25579302,0.45459774,0.37890314,0.03117657,0.08036718,0.03392773,2.45872114
-5.77188594,9.74392263,0.84632213,7.14966580,0.42685532,0.36287410,0.03134537,0.07442029,0.03317054,2.38706765
-5.76588294,9.52418807,0.79696794,7.02565857,0.40181481,0.34741647,0.03173580,0.06898352,0.03273479,2.31380002
-5.75987994,9.28968627,0.75083178,6.88359110,0.37917931,0.33246060,0.03230279,0.06402757,0.03256573,2.23864615
-5.75387694,9.03987103,0.70765311,6.72363626,0.35864962,0.31794567,0.03300043,0.05951820,0.03260866,2.16143255
-5.74787394,8.77462038,0.66716309,6.54631414,0.33993407,0.30382058,0.03378292,0.05541797,0.03281005,2.08208899
-5.74187094,8.49423425,0.62909501,6.35247501,0.32275705,0.29004419,0.03460551,0.05168785,0.03311855,2.00064862
-5.73586793,8.19941816,0.59319338,6.14327274,0.30686595,0.27658534,0.03542534,0.04828868,0.03348589,1.91724428
-5.72986493,7.89125532,0.55922160,5.92013066,0.29203685,0.26342259,0.03620229,0.04518251,0.03386766,1.83210159
-5.72386193,7.57116998,0.52696821,5.68470223,0.27807868,0.25054389,0.03689969,0.04233364,0.03422396,1.74552966
-5.71785893,7.24088496,0.49625185,5.43882829,0.26483633,0.23794642,0.03748503,0.03970961,0.03452000,1.65791024
-5.71185593,6.90237602,0.46692487,5.18449340,0.25219259,0.22563644,0.03793056,0.03728184,0.03472653,1.56968595
-5.70585293,6.55782563,0.43887590,4.92378275,0.24006926,0.21362944,0.03821383,0.03502626,0.03482027,1.48134847
-5.69984992,6.20957818,0.41203153,4.65884145,0.22842755,0.20195049,0.03831808,0.03292366,0.03478416,1.39342711
-5.69384692,5.86009856,0.38635724,4.39183730,0.21726798,0.19063487,0.03823257,0.03096004,0.03460759,1.30647843
-5.68784392,5.51193528,0.36185784,4.12492810,0.20662999,0.17972893,0.03795283,0.02912675,0.03428652,1.22107724
-5.68184092,5.16768904,0.33857767,3.86023392,0.19659130,0.16929120,0.03748066,0.02742069,0.03382346,1.13780921
-5.67583792,4.82998714,0.31660062,3.59981465,0.18726722,0.15939367,0.03682416,0.02584442,0.03322743,1.05726542
-5.66983492,4.50146385,0.29605019,3.34565272,0.17880998,0.15012320,0.03599751,0.02440627,0.03251381,0.98003867
-5.66383192,4.18474629,0.27708976,3.09964072,0.17140804,0.14158304,0.03502068,0.02312046,0.03170405,0.90672161
-5.65782891,3.88244525,0.25992294,2.86357329,0.16528545,0.13389429,0.03391904,0.02200728,0.03082535,0.83790655
-5.65182591,3.59715003,0.24479422,2.63914272,0.16070108,0.12719745,0.03272284,0.02109326,0.02991026,0.77418654
-5.64582291,3.33142616,0.23198968,2.42793736,0.15794775,0.12165362,0.03146659,0.02041131,0.02899618,0.71615750
-5.63981991,3.08781474,0.22183773,2.23144204,0.15735089,0.11744565,0.03018844,0.02000099,0.02812480,0.66442093
