energy_ev,total_up,P_s_up,P_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.25245908,0.00970677,0.15000077,1.75826312,2.49685713,0.69449087,0.00000000
-5.99399700,3.29296839,0.00952954,0.14958826,1.75101296,2.53551320,0.70031295,0.00000000
-5.98799400,3.33764438,0.00938330,0.14931473,1.74765191,2.57733063,0.70584757,0.00000000
-5.98199100,3.38623446,0.00926980,0.14923035,1.74872549,2.62198178,0.71099737,0.00000000
-5.97598799,3.43841816,0.00919137,0.14938666,1.75478450,2.66907248,0.71567777,0.00000000
-5.96998499,3.49380041,0.00915073,0.14983430,1.76636015,2.71814097,0.71981761,0.00000000
-5.96398199,3.55190402,0.00915076,0.15062053,1.78393658,2.76865697,0.72335889,0.00000000
-5.95797899,3.61216256,0.00919435,0.15178662,1.80792177,2.82002131,0.72625585,0.00000000
-5.95197599,3.67391441,0.00928409,0.15336534,1.83861847,2.87156691,0.72847335,0.00000000
-5.94597299,3.73639931,0.00942207,0.15537854,1.87619654,2.92256173,0.72998478,0.00000000
-5.93996998,3.79875849,0.00960965,0.15783511,1.92066822,2.97221431,0.73076966,0.00000000
-5.93396698,3.86003909,0.00984724,0.16072936,1.97186776,3.01968255,0.73081103,0.00000000
-5.92796398,3.91920377,0.01013412,0.16403985,2.02943666,3.06408579,0.73009300,0.00000000
-5.92196098,3.97514574,0.01046836,0.16772897,2.09281558,3.10452058,0.72859848,0.00000000
-5.91595798,4.02670922,0.01084666,0.17174309,2.16124357,3.14007984,0.72630729,0.00000000
-5.90995498,4.07271503,0.01126439,0.17601338,2.23376511,3.16987488,0.72319490,0.00000000
-5.90395198,4.11199050,0.01171560,0.18045734,2.30924489,3.19305989,0.71923172,0.00000000
-5.89794897,4.14340265,0.01219308,0.18498086,2.38639016,3.20885764,0.71438313,0.00000000
-5.89194597,4.16589334,0.01268853,0.18948091,2.46377982,3.21658558,0.70861026,0.00000000
