energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,0.07515400,0.01807905,0.00358766,0.02400537,0.00001340,0.00274311,0.00498411
-5.99399700,0.06626067,0.01580454,0.00338024,0.02068088,0.00001169,0.00236234,0.00510295
-5.98799400,0.05865629,0.01382278,0.00326860,0.01769324,0.00001022,0.00201984,0.00541664
-5.98199100,0.05237754,0.01213848,0.00326378,0.01503395,0.00000897,0.00171463,0.00595780
-5.97598799,0.04745676,0.01075488,0.00337840,0.01268947,0.00000796,0.00144511,0.00676419
-5.96998499,0.04392621,0.00967499,0.00362693,0.01064232,0.00000718,0.00120925,0.00787944
-5.96398199,0.04182207,0.00890261,0.00402607,0.00887221,0.00000665,0.00100465,0.00935357
-5.95797899,0.04118794,0.00844343,0.00459493,0.00735706,0.00000636,0.00082871,0.01124348
-5.95197599,0.04207780,0.00830602,0.00535528,0.00607389,0.00000634,0.00067874,0.01361327
-5.94597299,0.04455822,0.00850268,0.00633167,0.00499965,0.00000660,0.00055198,0.01653432
-5.93996998,0.04870976,0.00905016,0.00755144,0.00411188,0.00000716,0.00044576,0.02008519
-5.93396698,0.05462738,0.00997031,0.00904463,0.00338918,0.00000805,0.00035750,0.02435120
-5.92796398,0.06241999,0.01129040,0.01084382,0.00281166,0.00000930,0.00028480,0.02942367
-5.92196098,0.07220894,0.01304340,0.01298376,0.00236122,0.00001095,0.00022543,0.03539886
-5.91595798,0.08412558,0.01526799,0.01550093,0.00202162,0.00001306,0.00017739,0.04237654
-5.90995498,0.09830783,0.01800836,0.01843287,0.00177867,0.00001567,0.00013887,0.05045815
-5.90395198,0.11489599,0.02131376,0.02181749,0.00162011,0.00001885,0.00010830,0.05974464
-5.89794897,0.13402766,0.02523788,0.02569212,0.00153561,0.00002267,0.00008433,0.07033395
-5.89194597,0.15583210,0.02983788,0.03009254,0.00151661,0.00002719,0.00006580,0.08231820
-5.88594297,0.18042411,0.03517321,0.03505179,0.00155617,0.00003250,0.00005175,0.09578056
-5.87993997,0.20789756,0.04130420,0.04059901,0.00164881,0.00003867,0.00004140,0.11079203
-5.87393697,0.23831887,0.04829031,0.04675815,0.00179031,0.00004578,0.00003415,0.12740804
-5.86793397,0.27172057,0.05618817,0.05354666,0.00197754,0.00005391,0.00002957,0.14566510
-5.86193097,0.30809521,0.06504942,0.06097421,0.00220828,0.00006313,0.00002737,0.16557747
-5.85592796,0.34738989,0.07491830,0.06904144,0.00248103,0.00007351,0.00002748,0.18713410
-5.84992496,0.38950150,0.08582913,0.07773880,0.00279491,0.00008509,0.00002998,0.21029587
-5.84392196,0.43427311,0.09780367,0.08704556,0.00314949,0.00009792,0.00003519,0.23499323
-5.83791896,0.48149142,0.11084855,0.09692892,0.00354474,0.00011203,0.00004371,0.26112441
-5.83191596,0.53088579,0.12495267,0.10734342,0.00398095,0.00012740,0.00005647,0.28855423
-5.82591296,0.58212864,0.14008493,0.11823052,0.00445873,0.00014403,0.00007487,0.31711368
-5.81990995,0.63483762,0.15619215,0.12951856,0.00497901,0.00016187,0.00010086,0.34660020
-5.81390695,0.68857946,0.17319750,0.14112294,0.00554319,0.00018083,0.00013716,0.37677888
-5.80790395,0.74287563,0.19099952,0.15294672,0.00615324,0.00020084,0.00018746,0.40738453
-5.80190095,0.79720973,0.20947174,0.16488155,0.00681197,0.00022176,0.00025675,0.43812457
-5.79589795,0.85103664,0.22846324,0.17680898,0.00752331,0.00024344,0.00035165,0.46868291
-5.78989495,0.90379327,0.24779998,0.18860208,0.00829276,0.00026573,0.00048086,0.49872455
-5.78389195,0.95491085,0.26728717,0.20012751,0.00912785,0.00028845,0.00065576,0.52790110
-5.77788894,1.00382856,0.28671269,0.21124785,0.01003877,0.00031142,0.00089101,0.55585689
-5.77188594,1.05000825,0.30585141,0.22182424,0.01103907,0.00033445,0.00120539,0.58223575
-5.76588294,1.09295005,0.32447050,0.23171930,0.01214648,0.00035739,0.00162274,0.60668822
-5.75987994,1.13220847,0.34233566,0.24080018,0.01338379,0.00038011,0.00217293,0.62887914
-5.75387694,1.16740872,0.35921788,0.24894180,0.01477979,0.00040251,0.00289317,0.64849524
-5.74787394,1.19826273,0.37490085,0.25603005,0.01637026,0.00042454,0.00382926,0.66525281
-5.74187094,1.22458446,0.38918854,0.26196495,0.01819897,0.00044624,0.00503703,0.67890497
-5.73586793,1.24630406,0.40191270,0.26666366,0.02031851,0.00046771,0.00658387,0.68924855
-5.72986493,1.26348009,0.41294011,0.27006319,0.02279114,0.00048915,0.00855025,0.69613013
-5.72386193,1.27630955,0.42217909,0.27212276,0.02568929,0.00051085,0.01103121,0.69945126
-5.71785893,1.28513482,0.42958499,0.27282568,0.02909586,0.00053321,0.01413774,0.69917241
-5.71185593,1.29044719,0.43516447,0.27218060,0.03310412,0.00055675,0.01799797,0.69531568
-5.70585293,1.29288623,0.43897813,0.27022224,0.03781706,0.00058209,0.02275797,0.68796599
-5.69984992,1.29323469,0.44114136,0.26701128,0.04334632,0.00060995,0.02858214,0.67727073
-5.69384692,1.29240842,0.44182320,0.26263361,0.04981033,0.00064113,0.03565299,0.66343773
-5.68784392,1.29144109,0.44124317,0.25719875,0.05733185,0.00067650,0.04417011,0.64673162
-5.68184092,1.29146370,0.43966604,0.25083763,0.06603477,0.00071700,0.05434837,0.62746860
-5.67583792,1.29367877,0.43739454,0.24369957,0.07604009,0.00076356,0.06641493,0.60600973
-5.66983492,1.29932968,0.43476033,0.23594874,0.08746135,0.00081710,0.08060526,0.58275299
-5.66383192,1.30966561,0.43211334,0.22776004,0.10039933,0.00087849,0.09715785,0.55812418
-5.65782891,1.32590287,0.42980988,0.21931462,0.11493632,0.00094850,0.11630772,0.53256703
-5.65182591,1.34918357,0.42819997,0.21079511,0.13113010,0.00102775,0.13827872,0.50653284
-5.64582291,1.38053288,0.42761421,0.20238080,0.14900787,0.00111669,0.16327469,0.48046980
-5.63981991,1.42081637,0.42835087,0.19424278,0.16856038,0.00121553,0.19146974,0.45481255
-5.63381691,1.47069884,0.43066356,0.18653940,0.18973657,0.00132421,0.22299779,0.42997200
-5.62781391,1.53060647,0.43475008,0.17941204,0.21243909,0.00144240,0.25794180,0.40632599
-5.62181091,1.60069385,0.44074291,0.17298133,0.23652096,0.00156942,0.29632311,0.38421086
-5.61580790,1.68081770,0.44870182,0.16734413,0.26178372,0.00170427,0.33809129,0.36391421
-5.60980490,1.77051859,0.45860886,0.16257111,0.28797733,0.00184559,0.38311511,0.34566909
-5.60380190,1.86901225,0.47036610,0.15870521,0.31480202,0.00199174,0.43117511,0.32964969
-5.59779890,1.97519119,0.48379638,0.15576091,0.34191226,0.00214071,0.48195834,0.31596865
-5.59179590,2.08763752,0.49864681,0.15372439,0.36892278,0.00229029,0.53505588,0.30467601
-5.58579290,2.20464705,0.51459538,0.15255450,0.39541673,0.00243799,0.58996333,0.29575982
-5.57978989,2.32426439,0.53126009,0.15218463,0.42095569,0.00258122,0.64608487,0.28914832
-5.57378689,2.44432845,0.54821056,0.15252521,0.44509117,0.00271727,0.70274089,0.28471365
-5.56778389,2.56252689,0.56498160,0.15346693,0.46737738,0.00284343,0.75917942,0.28227692
-5.56178089,2.67645799,0.58108813,0.15488448,0.48738463,0.00295708,0.81459093,0.28161441
-5.55577789,2.78369767,0.59604111,0.15664066,0.50471288,0.00305577,0.86812655,0.28246493
