energy_ev,total_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.86031629,0.00395096,0.00000000,0.67792520,0.81261529,0.01467782,0.23359809,0.04235511,0.64898942
-5.99399700,1.77283714,0.00353680,0.00000000,0.62115101,0.79465933,0.01385729,0.22641662,0.04128236,0.59460211
-5.98799400,1.70060833,0.00317571,0.00000000,0.57104504,0.78175171,0.01326122,0.22069459,0.04036256,0.54780451
-5.98199100,1.64299722,0.00286685,0.00000000,0.52740307,0.77354257,0.01288193,0.21637314,0.03956984,0.50840862
-5.97598799,1.59944023,0.00260900,0.00000000,0.48997646,0.76975411,0.01271339,0.21340866,0.03888016,0.47621143
-5.96998499,1.56950341,0.00240072,0.00000000,0.45849690,0.77020437,0.01275141,0.21178120,0.03827283,0.45101799
-5.96398199,1.55293389,0.00224051,0.00000000,0.43269921,0.77482630,0.01299377,0.21150173,0.03773173,0.43266199
-5.95797899,1.54969980,0.00212688,0.00000000,0.41234125,0.78368104,0.01344014,0.21261795,0.03724636,0.42102298
-5.95197599,1.56001674,0.00205845,0.00000000,0.39722020,0.79696463,0.01409202,0.21521827,0.03681264,0.41603938
-5.94597299,1.58435934,0.00203403,0.00000000,0.38718467,0.81500776,0.01495242,0.21943382,0.03643339,0.41771687
-5.93996998,1.62345718,0.00205263,0.00000000,0.38214226,0.83826824,0.01602547,0.22543826,0.03611846,0.42613188
-5.93396698,1.67827481,0.00211350,0.00000000,0.38206236,0.86731629,0.01731594,0.23344532,0.03588463,0.44142980
-5.92796398,1.74997641,0.00221608,0.00000000,0.38697445,0.90281290,0.01882867,0.24370402,0.03575512,0.46381819
-5.92196098,1.83987596,0.00236000,0.00000000,0.39696178,0.94548211,0.02056787,0.25649168,0.03575883,0.49355509
-5.91595798,1.94937467,0.00254502,0.00000000,0.41215117,0.99607786,0.02253648,0.27210479,0.03592931,0.53093282
-5.90995498,2.07988757,0.00277092,0.00000000,0.43269911,1.05534667,0.02473547,0.29084801,0.03630353,0.57625782
-5.90395198,2.23276200,0.00303745,0.00000000,0.45877506,1.12398749,0.02716312,0.31302147,0.03692034,0.62982731
-5.89794897,2.40919073,0.00334424,0.00000000,0.49054248,1.20261022,0.02981446,0.33890689,0.03781893,0.69190337
-5.89194597,2.61012307,0.00369066,0.00000000,0.52813851,1.29169438,0.03268070,0.36875277,0.03903707,0.76268561
-5.88594297,2.83617734,0.00407579,0.00000000,0.57165308,1.39154984,0.03574882,0.40275922,0.04060933,0.84228330
-5.87993997,3.08755820,0.00449826,0.00000000,0.62110833,1.50228105,0.03900126,0.44106293,0.04256537,0.93068808
-5.87393697,3.36398251,0.00495622,0.00000000,0.67643929,1.62375657,0.04241580,0.48372283,0.04492820,1.02774837
-5.86793397,3.66461704,0.00544725,0.00000000,0.73747666,1.75558525,0.04596555,0.53070710,0.04771263,1.13314666
-5.86193097,3.98803135,0.00596833,0.00000000,0.80393244,1.89710060,0.04961915,0.58188202,0.05092387,1.24638081
-5.85592796,4.33216868,0.00651578,0.00000000,0.87538940,2.04735420,0.05334111,0.63700335,0.05455636,1.36675034
-5.84992496,4.69433725,0.00708529,0.00000000,0.95129476,2.20511919,0.05709228,0.69571077,0.05859294,1.49334881
-5.84392196,5.07122372,0.00767189,0.00000000,1.03095896,2.36890422,0.06083051,0.75752585,0.06300424,1.62506299
-5.83791896,5.45893007,0.00827002,0.00000000,1.11355961,2.53697791,0.06451136,0.82185394,0.06774860,1.76057951
-5.83191596,5.85303386,0.00887360,0.00000000,1.19815110,2.70740373,0.06808895,0.88799026,0.07277223,1.89839930
-5.82591296,6.24867153,0.00947610,0.00000000,1.28367969,2.87808428,0.07151686,0.95513040,0.07800989,2.03686000
-5.81990995,6.64064286,0.01007064,0.00000000,1.36900394,3.04681414,0.07474904,1.02238502,0.08338602,2.17416599
-5.81390695,7.02353414,0.01065013,0.00000000,1.45292000,3.21133941,0.07774079,1.08879866,0.08881615,2.30842559
-5.80790395,7.39185646,0.01120741,0.00000000,1.53419115,3.36942232,0.08044964,1.15337216,0.09420888,2.43769437
-5.80190095,7.74019465,0.01173540,0.00000000,1.61158048,3.51890833,0.08283630,1.21508804,0.09946803,2.56002347
-5.79589795,8.06336168,0.01222726,0.00000000,1.68388577,3.65779345,0.08486538,1.27293815,0.10449521,2.67351123
-5.78989495,8.35655291,0.01267655,0.00000000,1.74997519,3.78428894,0.08650623,1.32595247,0.10919250,2.77635639
-5.78389195,8.61549380,0.01307738,0.00000000,1.80882242,3.89688075,0.08773351,1.37322805,0.11346528,2.86691077
-5.77788894,8.83657527,0.01342455,0.00000000,1.85953974,3.99438097,0.08852772,1.41395700,0.11722504,2.94372946
-5.77188594,9.01697045,0.01371371,0.00000000,1.90140765,4.07596887,0.08887563,1.44745218,0.12039216,3.00561625
-5.76588294,9.15472764,0.01394143,0.00000000,1.93389970,4.14121944,0.08877054,1.47316971,0.12289838,3.05166241
-5.75987994,9.24883477,0.01410533,0.00000000,1.95670126,4.19011764,0.08821240,1.49072698,0.12468900,3.08127704
-5.75387694,9.29925191,0.01420409,0.00000000,1.96972145,4.22305736,0.08720785,1.49991560,0.12572473,3.09420745
-5.74787394,9.30690980,0.01423750,0.00000000,1.97309741,4.24082461,0.08577004,1.50070844,0.12598295,3.09054864
-5.74187094,9.27367358,0.01420647,0.00000000,1.96719078,4.24456516,0.08391839,1.49326050,0.12545846,3.07074119
-5.73586793,9.20227298,0.01411293,0.00000000,1.95257632,4.23573764,0.08167816,1.47790340,0.12416372,3.03555762
-5.72986493,9.09620134,0.01395984,0.00000000,1.93002329,4.21605389,0.07907995,1.45513392,0.12212839,2.98607766
-5.72386193,8.95958771,0.01375103,0.00000000,1.90047024,4.18740889,0.07615904,1.42559675,0.11939834,2.92365347
-5.71785893,8.79704751,0.01349111,0.00000000,1.86499446,4.15180320,0.07295465,1.39006255,0.11603418,2.84986627
-5.71185593,8.61351820,0.01318531,0.00000000,1.82477754,4.11126150,0.06950911,1.34940211,0.11210923,2.76647635
-5.70585293,8.41408746,0.01283933,0.00000000,1.78106850,4.06775078,0.06586698,1.30455783,0.10770714,2.67536862
-5.69984992,8.20382140,0.01245919,0.00000000,1.73514631,4.02310201,0.06207412,1.25651376,0.10291930,2.57849596
-5.69384692,7.98760049,0.01205106,0.00000000,1.68828351,3.97893905,0.05817676,1.20626559,0.09784197,2.47782302
-5.68784392,7.76997045,0.01162111,0.00000000,1.64171244,3.93661816,0.05422054,1.15479174,0.09257343,2.37527255
-5.68184092,7.55501438,0.01117536,0.00000000,1.59659563,3.89718096,0.05024965,1.10302681,0.08721114,2.27267652
-5.67583792,7.34625137,0.01071959,0.00000000,1.55400139,3.86132318,0.04630600,1.05183839,0.08184909,2.17173389
-5.66983492,7.14656510,0.01025917,0.00000000,1.51488556,3.82938054,0.04242846,1.00200792,0.07657538,2.07397620
-5.66383192,6.95816471,0.00979904,0.00000000,1.48007974,3.80133232,0.03865227,0.95421629,0.07147013,1.98074216
-5.65782891,6.78257808,0.00934365,0.00000000,1.45028607,3.77682231,0.03500851,0.90903440,0.06660381,1.89316150
-5.65182591,6.62067608,0.00889688,0.00000000,1.42607825,3.75519577,0.03152377,0.86691859,0.06203590,1.81214801
-5.64582291,6.47272496,0.00846209,0.00000000,1.40790805,3.73555025,0.02821989,0.82821091,0.05781413,1.73840130
-5.63981991,6.33846218,0.00804209,0.00000000,1.39611621,3.71679742,0.02511393,0.79314354,0.05397404,1.67241615
-5.63381691,6.21719043,0.00763919,0.00000000,1.39094645,3.69773249,0.02221817,0.76184692,0.05053901,1.61449833
-5.62781391,6.10788340,0.00725524,0.00000000,1.39256116,3.67710727,0.01954035,0.73436054,0.04752070,1.56478507
-5.62181091,6.00929660,0.00689165,0.00000000,1.40105719,3.65370312,0.01708393,0.71064585,0.04491977,1.52326875
-5.61580790,5.92007681,0.00654950,0.00000000,1.41648022,3.62639964,0.01484851,0.69060006,0.04272695,1.48982180
-5.60980490,5.83886374,0.00622955,0.00000000,1.43883643,3.59423572,0.01283025,0.67407019,0.04092429,1.46422139
-5.60380190,5.76437854,0.00593231,0.00000000,1.46810014,3.55645979,0.01102239,0.66086642,0.03948659,1.44617222
-5.59779890,5.69549474,0.00565808,0.00000000,1.50421690,3.51256675,0.00941580,0.65077422,0.03838286,1.43532627
-5.59179590,5.63128855,0.00540698,0.00000000,1.54710126,3.46232025,0.00799950,0.64356452,0.03757795,1.43129857
-5.58579290,5.57106683,0.00517903,0.00000000,1.59662939,3.40575929,0.00676121,0.63900173,0.03703394,1.43367840
-5.57978989,5.51437238,0.00497409,0.00000000,1.65262689,3.34318955,0.00568786,0.63684933,0.03671164,1.44203571
-5.57378689,5.46096808,0.00479194,0.00000000,1.71485259,3.27516045,0.00476601,0.63687312,0.03657186,1.45592303
-5.56778389,5.41080202,0.00463224,0.00000000,1.78297960,3.20242969,0.00398233,0.63884213,0.03657649,1.47487324
-5.56178089,5.36395765,0.00449455,0.00000000,1.85657500,3.12591798,0.00332391,0.64252771,0.03668948,1.49839422
-5.55577789,5.32059313,0.00437829,0.00000000,1.93508013,3.04665676,0.00277861,0.64770107,0.03687754,1.52596129
-5.54977489,5.28087504,0.00428275,0.00000000,2.01779308,2.96573227,0.00233526,0.65412991,0.03711065,1.55700866
-5.54377189,5.24491175,0.00420706,0.00000000,2.10385539,2.88422931,0.00198385,0.66157453,0.03736234,1.59092138
-5.53776888,5.21269132,0.00415018,0.00000000,2.19224468,2.80317805,0.00171569,0.66978427,0.03760985,1.62702875
-5.53176588,5.18402879,0.00411088,0.00000000,2.28177453,2.72350652,0.00152347,0.67849453,0.03783398,1.66460063
-5.52576288,5.15852662,0.00408772,0.00000000,2.37110289,2.64600162,0.00140126,0.68742502,0.03801896,1.70284741
-5.51975988,5.13555118,0.00407909,0.00000000,2.45874941,2.57128012,0.00134454,0.69627954,0.03815206,1.74092450
-5.51375688,5.11422722,0.00408316,0.00000000,2.54312196,2.49977101,0.00135011,0.70474761,0.03822324,1.77794166
-5.50775388,5.09345065,0.00409795,0.00000000,2.62255171,2.43170960,0.00141602,0.71250788,0.03822469,1.81297709
-5.50175088,5.07191909,0.00412131,0.00000000,2.69533579,2.36714285,0.00154144,0.71923354,0.03815040,1.84509623
-5.49574787,5.04817826,0.00415101,0.00000000,2.75978581,2.30594519,0.00172648,0.72459929,0.03799574,1.87337429
-5.48974487,5.02068139,0.00418471,0.00000000,2.81428036,2.24784315,0.00197206,0.72828974,0.03775713,1.89692169
-5.48374187,4.98785776,0.00422009,0.00000000,2.85731895,2.19244672,0.00227967,0.73000869,0.03743174,1.91491122
-5.47773887,4.94818640,0.00425484,0.00000000,2.88757483,2.13928528,0.00265117,0.72948882,0.03701736,1.92660533
-5.47173587,4.90027021,0.00428678,0.00000000,2.90394407,2.08784559,0.00308855,0.72650132,0.03651221,1.93138224
-5.46573287,4.84290613,0.00431387,0.00000000,2.90558840,2.03760941,0.00359370,0.72086469,0.03591505,1.92875929
-5.45972986,4.77514713,0.00433429,0.00000000,2.89196941,1.98808863,0.00416814,0.71245241,0.03522516,1.91841221
-5.45372686,4.69635270,0.00434652,0.00000000,2.86287249,1.93885589,0.00481282,0.70119885,0.03444253,1.90018924
-5.44772386,4.60622475,0.00434932,0.00000000,2.81841897,1.88956937,0.00552789,0.68710305,0.03356802,1.87411905
-5.44172086,4.50482748,0.00434183,0.00000000,2.75906592,1.83999059,0.00631248,0.67023020,0.03260352,1.84041219
-5.43571786,4.39259037,0.00432356,0.00000000,2.68559355,1.78999483,0.00716458,0.65071066,0.03155218,1.79945566
-5.42971486,4.27029450,0.00429442,0.00000000,2.59908079,1.73957433,0.00808089,0.62873641,0.03041854,1.75180112
-5.42371186,4.13904375,0.00425471,0.00000000,2.50087022,1.68883449,0.00905677,0.60455536,0.02920858,1.69814706
-5.41770885,4.00022281,0.00420511,0.00000000,2.39252429,1.63798425,0.01008623,0.57846353,0.02792985,1.63931603
-5.41170585,3.85544495,0.00414663,0.00000000,2.27577477,1.58732170,0.01116201,0.55079562,0.02659135,1.57622810
-5.40570285,3.70649268,0.00408064,0.00000000,2.15246797,1.53721626,0.01227570,0.52191447,0.02520342,1.50987165
-5.39969985,3.55525490,0.00400875,0.00000000,2.02450826,1.48808901,0.01341791,0.49219979,0.02377761,1.44127328
-5.39369685,3.40366366,0.00393282,0.00000000,1.89380240,1.44039237,0.01457855,0.46203683,0.02232637,1.37146777
-5.38769385,3.25363378,0.00385485,0.00000000,1.76220691,1.39459052,0.01574713,0.43180534,0.02086275,1.30146980
-5.38169085,3.10700793,0.00377698,0.00000000,1.63148065,1.35114140,0.01691307,0.40186943,0.01940009,1.23224820
-5.37568784,2.96550895,0.00370139,0.00000000,1.50324411,1.31048117,0.01806608,0.37256857,0.01795162,1.16470372
