energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,10.74691645,0.09528112,0.08819451,0.69904573,0.78066642,0.12964815,2.21283227,0.72593375,5.86747771
-5.99399700,10.59266320,0.09180397,0.08805271,0.71262301,0.78597636,0.13013877,2.21552163,0.72348668,5.72430161
-5.98799400,10.42314073,0.08807524,0.08776233,0.72669648,0.79074871,0.13042576,2.21643968,0.72002315,5.57119203
-5.98199100,10.24241250,0.08416973,0.08734770,0.74147001,0.79515652,0.13055078,2.21631219,0.71576319,5.41052962
-5.97598799,10.05468473,0.08016509,0.08683461,0.75716162,0.79935836,0.13055694,2.21587503,0.71093360,5.24480510
-5.96998499,9.86416230,0.07613960,0.08624903,0.77399279,0.80348886,0.13048665,2.21584462,0.70575861,5.07654132
-5.96398199,9.67490797,0.07217020,0.08561600,0.79217665,0.80765045,0.13037962,2.21688844,0.70045078,4.90821766
-5.95797899,9.49070959,0.06833046,0.08495847,0.81190577,0.81190669,0.13027089,2.21959708,0.69520283,4.74219883
-5.95197599,9.31495933,0.06468880,0.08429639,0.83333981,0.81627761,0.13018903,2.22445864,0.69018037,4.58066977
-5.94597299,9.15054862,0.06130688,0.08364594,0.85659359,0.82073706,0.13015473,2.23183659,0.68551615,4.42557836
-5.93996998,8.99978194,0.05823822,0.08301894,0.88172615,0.82521243,0.13017968,2.24195199,0.68130554,4.27858726
-5.93396698,8.86431175,0.05552713,0.08242251,0.90873112,0.82958652,0.13026588,2.25487062,0.67760384,4.14103585
-5.92796398,8.74509641,0.05320777,0.08185890,0.93752897,0.83370154,0.13040539,2.27049566,0.67442497,4.01391338
-5.92196098,8.64238188,0.05130366,0.08132560,0.96796155,0.83736496,0.13058058,2.28856612,0.67174186,3.89784333
-5.91595798,8.55570722,0.04982735,0.08081555,0.99978918,0.84035689,0.13076475,2.30866113,0.66948823,3.79307951
-5.90995498,8.48393342,0.04878035,0.08031763,1.03269060,0.84243868,0.13092329,2.33020991,0.66756174,3.69951339
-5.90395198,8.42529381,0.04815343,0.07981721,1.06626598,0.84336221,0.13101508,2.35250725,0.66582827,3.61669221
-5.89794897,8.37746424,0.04792706,0.07929690,1.10004287,0.84287953,0.13099427,2.37473367,0.66412716,3.54384701
-5.89194597,8.33765008,0.04807213,0.07873730,1.13348523,0.84075238,0.13081224,2.39597986,0.66227724,3.47992935
-5.88594297,8.30268701,0.04855087,0.07811790,1.16600515,0.83676119,0.13041969,2.41527438,0.66008332,3.42365535
-5.87993997,8.26915185,0.04931798,0.07741794,1.19697702,0.83071332,0.12976878,2.43161371,0.65734311,3.37355551
-5.87393697,8.23347978,0.05032187,0.07661734,1.22575373,0.82245003,0.12881517,2.44399361,0.65385417,3.32802846
-5.86793397,8.19208384,0.05150611,0.07569754,1.25168431,0.81185220,0.12751990,2.45144078,0.64942086,3.28539686
-5.86193097,8.14147287,0.05281094,0.07464239,1.27413243,0.79884453,0.12585106,2.45304359,0.64386102,3.24396367
-5.85592796,8.07836404,0.05417482,0.07343891,1.29249513,0.78339816,0.12378516,2.44798107,0.63701222,3.20206687
-5.84992496,7.99978663,0.05553605,0.07207799,1.30622103,0.76553177,0.12130811,2.43554902,0.62873750,3.15813105
-5.84392196,7.90317366,0.05683441,0.07055506,1.31482739,0.74531112,0.11841582,2.41518244,0.61893038,3.11071427
-5.83791896,7.78643909,0.05801261,0.06887065,1.31791536,0.72284727,0.11511448,2.38647368,0.60751906,3.05854886
-5.83191596,7.64803837,0.05901784,0.06703079,1.31518286,0.69829355,0.11142032,2.34918560,0.59446985,3.00057516
-5.82591296,7.48701093,0.05980297,0.06504742,1.30643464,0.67184149,0.10735914,2.30325962,0.57978946,2.93596741
-5.81990995,7.30300402,0.06032775,0.06293861,1.29158905,0.64371592,0.10296543,2.24881828,0.56352650,2.86415122
-5.81390695,7.09627782,0.06055969,0.06072876,1.27068148,0.61416955,0.09828128,2.18616254,0.54577178,2.78481258
-5.80790395,6.86769235,0.06047473,0.05844859,1.24386415,0.58347709,0.09335504,2.11576402,0.52665777,2.69789852
-5.80190095,6.61867751,0.06005767,0.05613515,1.21140250,0.55192925,0.08823987,2.03825258,0.50635696,2.60360980
-5.79589795,6.35118805,0.05930228,0.05383163,1.17366824,0.51982685,0.08299227,1.95439980,0.48507937,2.50238629
-5.78989495,6.06764553,0.05821122,0.05158714,1.13112949,0.48747504,0.07767054,1.86509927,0.46306923,2.39488613
-5.78389195,5.77087006,0.05679560,0.04945635,1.08433830,0.45517809,0.07233340,1.77134424,0.44060085,2.28195939
-5.77788894,5.46400441,0.05507440,0.04749903,1.03391618,0.42323463,0.06703869,1.67420370,0.41797391,2.16461784
-5.77188594,5.15043356,0.05307363,0.04577947,0.98053817,0.39193354,0.06184227,1.57479772,0.39550819,2.04400169
-5.76588294,4.83370242,0.05082528,0.04436579,0.92491607,0.36155066,0.05679714,1.47427293,0.37353790,1.92134485
-5.75987994,4.51743454,0.04836629,0.04332908,0.86778142,0.33234625,0.05195280,1.37377899,0.35240569,1.79793979
-5.75387694,4.20525430,0.04573725,0.04274245,0.80986890,0.30456331,0.04735487,1.27444681,0.33245647,1.67510322
-5.74787394,3.90071477,0.04298123,0.04267984,0.75190056,0.27842672,0.04304496,1.17736906,0.31403118,1.55414359
-5.74187094,3.60723291,0.04014258,0.04321473,0.69457154,0.25414318,0.03906074,1.08358360,0.29746044,1.43633127
-5.73586793,3.32803366,0.03726577,0.04441857,0.63853750,0.23190194,0.03543630,0.99406002,0.28305839,1.32287218
-5.72986493,3.06610354,0.03439441,0.04635917,0.58440417,0.21187611,0.03220262,0.90968962,0.27111661,1.21488518
-5.72386193,2.82415435,0.03157032,0.04909876,0.53271915,0.19422462,0.02938824,0.83127875,0.26189820,1.11338389
-5.71785893,2.60459678,0.02883289,0.05269203,0.48396602,0.17909452,0.02701995,0.75954535,0.25563226,1.01926258
-5.71185593,2.40952355,0.02621847,0.05718396,0.43856082,0.16662367,0.02512363,0.69511851,0.25250862,0.93328652
-5.70585293,2.24070126,0.02376013,0.06260768,0.39685058,0.15694339,0.02372497,0.63854058,0.25267305,0.85608628
-5.69984992,2.09956971,0.02148737,0.06898228,0.35911399,0.15018120,0.02285022,0.59027125,0.25622306,0.78815574
-5.69384692,1.98724757,0.01942624,0.07631072,0.32556356,0.14646317,0.02252681,0.55069322,0.26320425,0.72985329
-5.68784392,1.90454268,0.01759936,0.08457797,0.29634926,0.14591589,0.02278374,0.52011850,0.27360759,0.68140578
-5.68184092,1.85196576,0.01602625,0.09374943,0.27156308,0.14866777,0.02365187,0.49879507,0.28736750,0.64291458
-5.67583792,1.82974574,0.01472359,0.10376975,0.25124419,0.15484952,0.02516384,0.48691286,0.30436111,0.61436313
-5.66983492,1.83784556,0.01370560,0.11456221,0.23538441,0.16459367,0.02735386,0.48460885,0.32440861,0.59562557
-5.66383192,1.87597710,0.01298436,0.12602869,0.22393358,0.17803293,0.03025699,0.49197047,0.34727495,0.58647574
-5.65782891,1.94361424,0.01257013,0.13805033,0.21680451,0.19529736,0.03390834,0.50903706,0.37267301,0.58659633
-5.65182591,2.04000347,0.01247164,0.15048899,0.21387750,0.21651026,0.03834171,0.53579914,0.40026801,0.59558764
-5.64582291,2.16417137,0.01269616,0.16318945,0.21500400,0.24178283,0.04358812,0.57219522,0.42968354,0.61297585
-5.63981991,2.31492917,0.01324964,0.17598240,0.22000953,0.27120761,0.04967399,0.61810640,0.46050874,0.63822052
-5.63381691,2.49087446,0.01413656,0.18868816,0.22869582,0.30485088,0.05661906,0.67334887,0.49230681,0.67072143
-5.62781391,2.69039061,0.01535983,0.20112097,0.24084224,0.34274424,0.06443426,0.73766465,0.52462439,0.70982469
-5.62181091,2.91164497,0.01692043,0.21309388,0.25620660,0.38487565,0.07311943,0.81071137,0.55700179,0.75482835
-5.61580790,3.15258683,0.01881705,0.22442388,0.27452562,0.43118031,0.08266108,0.89205152,0.58898353,0.80498767
-5.60980490,3.41094661,0.02104573,0.23493724,0.29551532,0.48153178,0.09303031,0.98114222,0.62012906,0.85952047
-5.60380190,3.68423779,0.02359934,0.24447480,0.31887139,0.53573391,0.10418100,1.07732633,0.65002316,0.91761267
-5.59779890,3.96976329,0.02646719,0.25289699,0.34427015,0.59351393,0.11604829,1.17982584,0.67828577,0.97842447
-5.59179590,4.26462763,0.02963470,0.26008835,0.37136995,0.65451744,0.12854767,1.28773849,0.70458089,1.04109751
-5.58579290,4.56575657,0.03308313,0.26596152,0.39981364,0.71830558,0.14157452,1.40003851,0.72862436,1.10476310
-5.57978989,4.86992521,0.03678950,0.27046031,0.42923186,0.78435501,0.15500447,1.51558210,0.75019015,1.16855187
-5.57378689,5.17379543,0.04072668,0.27356192,0.45924762,0.85206092,0.16869437,1.63311826,0.76911520,1.23160488
-5.56778389,5.47396301,0.04486372,0.27527813,0.48948189,0.92074346,0.18248411,1.75130523,0.78530268,1.29308609
-5.56178089,5.76701411,0.04916636,0.27565547,0.51956029,0.98965757,0.19619916,1.86873243,0.79872360,1.35219613
-5.55577789,6.04959040,0.05359781,0.27477436,0.54912065,1.05800624,0.20965392,1.98394778,0.80941693,1.40818710
-5.54977489,6.31846116,0.05811967,0.27274729,0.57782121,1.12495690,0.22265560,2.09548946,0.81748831,1.46037788
-5.54377189,6.57060039,0.06269312,0.26971610,0.60534913,1.18966059,0.23500876,2.20192145,0.82310751,1.50816952
-5.53776888,6.80326595,0.06728013,0.26584850,0.63142888,1.25127331,0.24652014,2.30187133,0.82650470,1.55106003
-5.53176588,7.01407772,0.07184482,0.26133402,0.65583016,1.30897864,0.25700380,2.39406904,0.82796579,1.58865794
-5.52576288,7.20109104,0.07635476,0.25637935,0.67837486,1.36201108,0.26628622,2.47738478,0.82782697,1.62069373
-5.51975988,7.36286176,0.08078223,0.25120347,0.69894261,1.40967872,0.27421125,2.55086440,0.82646835,1.64702860
-5.51375688,7.49849907,0.08510525,0.24603252,0.71747462,1.45138466,0.28064470,2.61376050,0.82430700,1.66765977
-5.50775388,7.60770283,0.08930843,0.24109460,0.73397534,1.48664582,0.28547828,2.66555766,0.82178922,1.68272182
-5.50175088,7.69078226,0.09338347,0.23661459,0.74851193,1.51510848,0.28863290,2.70599023,0.81938203,1.69248357
-5.49574787,7.74865378,0.09732933,0.23280908,0.76121111,1.53655961,0.29006097,2.73505175,0.81756390,1.69734033
-5.48974487,7.78281673,0.10115197,0.22988148,0.77225373,1.55093343,0.28974786,2.75299511,0.81681468,1.69780142
-5.48374187,7.79530656,0.10486367,0.22801738,0.78186696,1.55831279,0.28771213,2.76032318,0.81760463,1.69447327
-5.47773887,7.78862625,0.10848199,0.22738012,0.79031437,1.55892515,0.28400486,2.75777009,0.82038264,1.68803842
-5.47173587,7.76565805,0.11202834,0.22810673,0.79788443,1.55313344,0.27870787,2.74627370,0.82556379,1.67923116
-5.46573287,7.72955847,0.11552623,0.23030421,0.80487771,1.54142187,0.27193104,2.72694042,0.83351640,1.66881068
-5.45972986,7.68364065,0.11899938,0.23404618,0.81159343,1.52437759,0.26380876,2.70100378,0.84454886,1.65753279
-5.45372686,7.63124891,0.12246958,0.23937003,0.81831600,1.50266881,0.25449577,2.66977855,0.85889671,1.64612134
-5.44772386,7.57563090,0.12595473,0.24627469,0.82530199,1.47702054,0.24416247,2.63461247,0.87671036,1.63524062
-5.44172086,7.51981313,0.12946684,0.25471898,0.83276835,1.44818882,0.23298997,2.59683765,0.89804420,1.62546990
-5.43571786,7.46648547,0.13301040,0.26462075,0.84088220,1.41693483,0.22116505,2.55772389,0.92284749,1.61728141
