energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.10648325,0.00896055,0.00272807,0.01637569,0.03857102,0.00000728,0.02531625
-5.99399700,0.10639988,0.00893279,0.00274728,0.01613053,0.03840196,0.00000502,0.02529745
-5.98799400,0.10669443,0.00919171,0.00274918,0.01612720,0.03856803,0.00000344,0.02514914
-5.98199100,0.10733871,0.00972989,0.00273408,0.01635490,0.03905241,0.00000234,0.02486888
-5.97598799,0.10832039,0.01053998,0.00270284,0.01680496,0.03984316,0.00000158,0.02445908
-5.96998499,0.10964223,0.01161434,0.00265691,0.01747074,0.04093268,0.00000106,0.02392710
-5.96398199,0.11132040,0.01294450,0.00259828,0.01834723,0.04231683,0.00000071,0.02328526
-5.95797899,0.11338241,0.01452061,0.00252954,0.01943071,0.04399385,0.00000047,0.02255066
-5.95197599,0.11586459,0.01633078,0.00245385,0.02071821,0.04596308,0.00000031,0.02174500
-5.94597299,0.11880943,0.01836047,0.00237490,0.02220704,0.04822367,0.00000021,0.02089431
-5.93996998,0.12226285,0.02059190,0.00229691,0.02389436,0.05077329,0.00000014,0.02002866
-5.93396698,0.12627173,0.02300356,0.00222464,0.02577678,0.05360694,0.00000010,0.01918184
-5.92796398,0.13088184,0.02556981,0.00216330,0.02785014,0.05671598,0.00000007,0.01839104
-5.92196098,0.13613619,0.02826074,0.00211863,0.03010939,0.06008742,0.00000006,0.01769660
-5.91595798,0.14207409,0.03104210,0.00209678,0.03254868,0.06370356,0.00000006,0.01714170
-5.90995498,0.14873082,0.03387558,0.00210434,0.03516161,0.06754197,0.00000006,0.01677214
-5.90395198,0.15613795,0.03671921,0.00214833,0.03794168,0.07157578,0.00000007,0.01663610
-5.89794897,0.16432429,0.03952807,0.00223610,0.04088288,0.07577447,0.00000009,0.01678383
-5.89194597,0.17331724,0.04225514,0.00237535,0.04398040,0.08010483,0.00000011,0.01726741
-5.88594297,0.18314452,0.04485239,0.00257400,0.04723144,0.08453220,0.00000014,0.01814032
-5.87993997,0.19383586,0.04727202,0.00284013,0.05063595,0.08902195,0.00000018,0.01945698
-5.87393697,0.20542454,0.04946775,0.00318184,0.05419746,0.09354092,0.00000022,0.02127206
-5.86793397,0.21794861,0.05139618,0.00360712,0.05792358,0.09805887,0.00000028,0.02363966
-5.86193097,0.23145123,0.05301816,0.00412363,0.06182647,0.10254973,0.00000035,0.02661224
-5.85592796,0.24598027,0.05430002,0.00473847,0.06592292,0.10699261,0.00000043,0.03023937
-5.84992496,0.26158682,0.05521472,0.00545798,0.07023412,0.11137244,0.00000053,0.03456619
-5.84392196,0.27832246,0.05574273,0.00628739,0.07478509,0.11568016,0.00000065,0.03963168
-5.83791896,0.29623549,0.05587273,0.00723053,0.07960369,0.11991243,0.00000079,0.04546677
-5.83191596,0.31536600,0.05560196,0.00828954,0.08471923,0.12407095,0.00000096,0.05209230
-5.82591296,0.33574009,0.05493639,0.00946457,0.09016077,0.12816115,0.00000116,0.05951695
-5.81990995,0.35736344,0.05389041,0.01075344,0.09595515,0.13219065,0.00000139,0.06773526
-5.81390695,0.38021475,0.05248638,0.01215145,0.10212480,0.13616734,0.00000167,0.07672572
