energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,8.60726717,0.02217398,1.36393542,7.30580749,4.45391551,0.83725039,0.42767408,0.05744481,1.89274740
-5.99399700,8.65359315,0.02216519,1.37175426,7.40745860,4.48209653,0.83747308,0.42599085,0.05661290,1.89032549
-5.98799400,8.68765425,0.02212875,1.37735267,7.49706113,4.50300631,0.83576694,0.42343259,0.05575784,1.88583013
-5.98199100,8.70905818,0.02206870,1.38065754,7.57417623,4.51641503,0.83222375,0.41997611,0.05487495,1.87924802
-5.97598799,8.71779085,0.02198985,1.38167712,7.63865552,4.52231721,0.82697837,0.41561779,0.05396103,1.87061760
-5.96998499,8.71419895,0.02189751,1.38049734,7.69062309,4.52092279,0.82020312,0.41037396,0.05301451,1.86002573
-5.96398199,8.69895939,0.02179731,1.37727527,7.73045015,4.51264045,0.81210113,0.40428037,0.05203547,1.84760254
-5.95797899,8.67303723,0.02169495,1.37223009,7.75872330,4.49805412,0.80289871,0.39739096,0.05102564,1.83351479
-5.95197599,8.63763402,0.02159598,1.36563176,7.77620783,4.47789363,0.79283742,0.38977589,0.04998833,1.81795818
-5.94597299,8.59412896,0.02150558,1.35778799,7.78380728,4.45300097,0.78216581,0.38151908,0.04892829,1.80114900
-5.93996998,8.54401537,0.02142837,1.34902998,7.78252066,4.42429346,0.77113130,0.37271530,0.04785151,1.78331534
-5.93396698,8.48883522,0.02136824,1.33969749,7.77339858,4.39272549,0.75997252,0.36346694,0.04676502,1.76468854
-5.92796398,8.43011433,0.02132820,1.33012376,7.75749983,4.35925040,0.74891218,0.35388069,0.04567658,1.74549498
-5.92196098,8.36930096,0.02131033,1.32062108,7.73584955,4.32478393,0.73815091,0.34406426,0.04459445,1.72594860
-5.91595798,8.30771012,0.02131564,1.31146730,7.70940040,4.29017088,0.72786200,0.33412323,0.04352705,1.70624453
-5.90995498,8.24647568,0.02134415,1.30289406,7.67899802,4.25615593,0.71818735,0.32415821,0.04248272,1.68655382
-5.90395198,8.18651215,0.02139486,1.29507701,7.64535173,4.22335993,0.70923461,0.31426244,0.04146942,1.66701962
-5.89794897,8.12848734,0.02146580,1.28812858,7.60901164,4.19226228,0.70107558,0.30451977,0.04049451,1.64775476
-5.89194597,8.07280673,0.02155418,1.28209338,7.57035296,4.16318998,0.69374586,0.29500325,0.03956452,1.62884086
-5.88594297,8.01960990,0.02165647,1.27694663,7.52956806,4.13631342,0.68724573,0.28577427,0.03868501,1.61032874
-5.87993997,7.96877872,0.02176855,1.27259541,7.48666664,4.11164891,0.68154217,0.27688214,0.03786043,1.59224032
-5.87393697,7.91995663,0.02188587,1.26888287,7.44148400,4.08906746,0.67657190,0.26836432,0.03709405,1.57457159
-5.86793397,7.87257772,0.02200362,1.26559504,7.39369714,4.06830918,0.67224536,0.26024700,0.03638795,1.55729654
-5.86193097,7.82590401,0.02211689,1.26247006,7.34284794,4.04900237,0.66845138,0.25254611,0.03574305,1.54037197
-5.85592796,7.77906894,0.02222084,1.25920922,7.28837242,4.03068621,0.66506242,0.24526863,0.03515916,1.52374267
-5.84992496,7.73112498,0.02231086,1.25548949,7.22963487,4.01283587,0.66194020,0.23841413,0.03463509,1.50734688
-5.84392196,7.68109284,0.02238270,1.25097691,7.16596519,3.99488883,0.65894137,0.23197640,0.03416880,1.49112173
-5.83791896,7.62801022,0.02243261,1.24534019,7.09669785,3.97627113,0.65592321,0.22594516,0.03375754,1.47500836
-5.83191596,7.57097778,0.02245744,1.23826404,7.02121056,3.95642239,0.65274897,0.22030767,0.03339802,1.45895657
-5.82591296,7.50920046,0.02245472,1.22946162,6.93896105,3.93481867,0.64929283,0.21505029,0.03308660,1.44292877
-5.81990995,7.44202253,0.02242275,1.21868565,6.84952016,3.91099225,0.64544405,0.21015984,0.03281942,1.42690305
-5.81390695,7.36895519,0.02236062,1.20573764,6.75259999,3.88454777,0.64111054,0.20562467,0.03259260,1.41087540
-5.80790395,7.28969590,0.02226822,1.19047517,6.64807586,3.85517426,0.63622139,0.20143564,0.03240238,1.39486095
-5.80190095,7.20413932,0.02214630,1.17281670,6.53600123,3.82265315,0.63072854,0.19758667,0.03224518,1.37889421
-5.79589795,7.11237971,0.02199636,1.15274410,6.41661533,3.78686196,0.62460747,0.19407516,0.03211777,1.36302853
-5.78989495,7.01470562,0.02182067,1.13030278,6.29034315,3.74777435,0.61785689,0.19090205,0.03201730,1.34733468
-5.78389195,6.91158754,0.02162220,1.10559952,6.15778834,3.70545668,0.61049769,0.18807176,0.03194133,1.33189879
-5.77788894,6.80365956,0.02140449,1.07879831,6.01971942,3.66006166,0.60257096,0.18559177,0.03188790,1.31681978
-5.77188594,6.69169650,0.02117164,1.05011445,5.87705015,3.61181986,0.59413547,0.18347214,0.03185546,1.30220632
-5.76588294,6.57658745,0.02092810,1.01980715,5.73081519,3.56102945,0.58526458,0.18172482,0.03184288,1.28817358
-5.75987994,6.45930729,0.02067863,0.98817118,5.58214204,3.50804487,0.57604276,0.18036283,0.03184940,1.27483972
-5.75387694,6.34088708,0.02042811,0.95552776,5.43222050,3.45326489,0.56656202,0.17939937,0.03187457,1.26232241
-5.74787394,6.22238450,0.02018142,0.92221509,5.28227094,3.39712055,0.55691812,0.17884681,0.03191817,1.25073525
-5.74187094,6.10485496,0.01994326,0.88857897,5.13351227,3.34006319,0.54720700,0.17871576,0.03198011,1.24018428
-5.73586793,5.98932426,0.01971805,0.85496361,4.98713086,3.28255279,0.53752137,0.17901400,0.03206038,1.23076453
-5.72986493,5.87676312,0.01950975,0.82170303,4.84425127,3.22504690,0.52794762,0.17974555,0.03215891,1.22255680
-5.72386193,5.76806399,0.01932169,0.78911324,4.70590958,3.16799007,0.51856317,0.18090979,0.03227548,1.21562453
-5.71785893,5.66402054,0.01915651,0.75748525,4.57303011,3.11180394,0.50943429,0.18250060,0.03240966,1.21001095
-5.71185593,5.56530990,0.01901600,0.72707926,4.44640599,3.05687801,0.50061450,0.18450584,0.03256064,1.20573662
-5.70585293,5.47247815,0.01890104,0.69811986,4.32668427,3.00356119,0.49214358,0.18690679,0.03272722,1.20279733
-5.69984992,5.38592914,0.01881154,0.67079249,4.21435581,2.95215416,0.48404717,0.18967806,0.03290767,1.20116270
-5.69384692,5.30591708,0.01874641,0.64524118,4.10975023,2.90290287,0.47633710,0.19278759,0.03309974,1.20077542
