energy_ev,total_up,Al_p_up,Al_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.65744100,0.01981137,0.00000000,3.06660659,1.05926863,0.90120427,0.00000000
-5.99399700,2.62958074,0.01969255,0.00000000,3.01000975,1.05593523,0.89766021,0.00000000
-5.98799400,2.59370445,0.01957632,0.00000000,2.94217824,1.04989929,0.89110433,0.00000000
-5.98199100,2.55064808,0.01947530,0.00000000,2.86444074,1.04139331,0.88176542,0.00000000
-5.97598799,2.50145141,0.01940353,0.00000000,2.77835062,1.03073238,0.86995853,0.00000000
-5.96998499,2.44731448,0.01937595,0.00000000,2.68563444,1.01829743,0.85606884,0.00000000
-5.96398199,2.38955016,0.01940792,0.00000000,2.58813668,1.00451663,0.84053392,0.00000000
-5.95797899,2.32953499,0.01951469,0.00000000,2.48776323,0.98984592,0.82382530,0.00000000
-5.95197599,2.26866040,0.01971089,0.00000000,2.38642582,0.97474950,0.80643013,0.00000000
-5.94597299,2.20828658,0.02001006,0.00000000,2.28598976,0.95968127,0.78883374,0.00000000
-5.93996998,2.14970065,0.02042422,0.00000000,2.18822677,0.94506800,0.77150378,0.00000000
-5.93396698,2.09408071,0.02096348,0.00000000,2.09477460,0.93129490,0.75487661,0.00000000
-5.92796398,2.04246700,0.02163565,0.00000000,2.00710458,0.91869400,0.73934613,0.00000000
-5.92196098,1.99574088,0.02244604,0.00000000,1.92649784,0.90753598,0.72525563,0.00000000
-5.91595798,1.95461195,0.02339718,0.00000000,1.85403070,0.89802519,0.71289244,0.00000000
-5.90995498,1.91961319,0.02448872,0.00000000,1.79056876,0.89029823,0.70248559,0.00000000
-5.90395198,1.89110381,0.02571732,0.00000000,1.73676958,0.88442562,0.69420609,0.00000000
-5.89794897,1.86927871,0.02707668,0.00000000,1.69309274,0.88041634,0.68816960,0.00000000
-5.89194597,1.85418378,0.02855761,0.00000000,1.65981627,0.87822475,0.68444104,0.00000000
-5.88594297,1.84573557,0.03014819,0.00000000,1.63705798,0.87775926,0.68304070,0.00000000
-5.87993997,1.84374394,0.03183397,0.00000000,1.62480018,0.87889234,0.68395120,0.00000000
-5.87393697,1.84793631,0.03359828,0.00000000,1.62291611,0.88147102,0.68712499,0.00000000
-5.86793397,1.85798205,0.03542257,0.00000000,1.63119641,0.88532742,0.69249171,0.00000000
-5.86193097,1.87351573,0.03728688,0.00000000,1.64937421,0.89028880,0.69996505,0.00000000
-5.85592796,1.89415797,0.03917025,0.00000000,1.67714727,0.89618650,0.70944879,0.00000000
-5.84992496,1.91953304,0.04105128,0.00000000,1.71419600,0.90286355,0.72084154,0.00000000
-5.84392196,1.94928241,0.04290869,0.00000000,1.76019653,0.91018062,0.73404027,0.00000000
-5.83791896,1.98307383,0.04472186,0.00000000,1.81482798,0.91802006,0.74894222,0.00000000
-5.83191596,2.02060574,0.04647141,0.00000000,1.87777384,0.92628816,0.76544549,0.00000000
-5.82591296,2.06160708,0.04813978,0.00000000,1.94871748,0.93491549,0.78344814,0.00000000
-5.81990995,2.10583287,0.04971176,0.00000000,2.02733214,0.94385566,0.80284616,0.00000000
-5.81390695,2.15305621,0.05117493,0.00000000,2.11326647,0.95308253,0.82353051,0.00000000
