energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.79569475,0.00104647,0.11607203,0.00690300,0.26948151,0.35150480,0.06916123,0.22383890,0.07659849
-5.99399700,0.87593945,0.00118309,0.12894547,0.00809596,0.29697784,0.38146100,0.07735137,0.24893968,0.08284793
-5.98799400,0.96101431,0.00132998,0.14286681,0.00945663,0.32598525,0.41252286,0.08625888,0.27530634,0.08933057
-5.98199100,1.05054390,0.00148674,0.15780510,0.01099789,0.35635978,0.44442076,0.09587653,0.30272734,0.09600941
-5.97598799,1.14407901,0.00165283,0.17371587,0.01273169,0.38793193,0.47686827,0.10618625,0.33096005,0.10284412
-5.96998499,1.24109397,0.00182746,0.19053918,0.01466853,0.42050725,0.50956488,0.11715747,0.35973413,0.10979096
-5.96398199,1.34098598,0.00200971,0.20819786,0.01681681,0.45386759,0.54219969,0.12874573,0.38875618,0.11680288
-5.95797899,1.44307665,0.00219843,0.22659613,0.01918215,0.48777308,0.57445601,0.14089154,0.41771556,0.12382964
-5.95197599,1.54661576,0.00239231,0.24561873,0.02176677,0.52196483,0.60601684,0.15351961,0.44629114,0.13081813
-5.94597299,1.65078723,0.00258986,0.26513055,0.02456873,0.55616815,0.63657079,0.16653865,0.47415876,0.13771268
-5.93996998,1.75471750,0.00278945,0.28497689,0.02758132,0.59009632,0.66581844,0.17984163,0.50099917,0.14445561
-5.93396698,1.85748587,0.00298930,0.30498447,0.03079248,0.62345476,0.69347879,0.19330670,0.52650599,0.15098776
-5.92796398,1.95813705,0.00318753,0.32496310,0.03418430,0.65594548,0.71929549,0.20679869,0.55039350,0.15724919
-5.92196098,2.05569550,0.00338217,0.34470826,0.03773272,0.68727169,0.74304271,0.22017136,0.57240391,0.16317992
-5.91595798,2.14918144,0.00357120,0.36400442,0.04140735,0.71714258,0.76453036,0.23327023,0.59231370,0.16872078
-5.90995498,2.23762827,0.00375260,0.38262910,0.04517159,0.74527795,0.78360844,0.24593602,0.60993895,0.17381430
-5.90395198,2.32010120,0.00392435,0.40035780,0.04898288,0.77141294,0.80017035,0.25800869,0.62513929,0.17840565
-5.89794897,2.39571659,0.00408451,0.41696945,0.05279332,0.79530245,0.81415522,0.26933189,0.63782047,0.18244366
-5.89194597,2.46366182,0.00423123,0.43225245,0.05655049,0.81672549,0.82554892,0.27975769,0.64793537,0.18588178
-5.88594297,2.52321516,0.00436285,0.44601107,0.06019853,0.83548921,0.83438397,0.28915154,0.65548359,0.18867915
-5.87993997,2.57376524,0.00447788,0.45807202,0.06367949,0.85143271,0.84073836,0.29739725,0.66050953,0.19080158
-5.87393697,2.61482959,0.00457513,0.46829098,0.06693482,0.86443049,0.84473324,0.30440172,0.66309935,0.19222255
-5.86793397,2.64607166,0.00465368,0.47655888,0.06990709,0.87439555,0.84652975,0.31009941,0.66337674,0.19292409
-5.86193097,2.66731592,0.00471298,0.48280757,0.07254170,0.88128208,0.84632500,0.31445628,0.66149798,0.19289760
-5.85592796,2.67856022,0.00475288,0.48701476,0.07478868,0.88508763,0.84434747,0.31747293,0.65764638,0.19214456
-5.84992496,2.67998512,0.00477367,0.48920794,0.07660439,0.88585480,0.84085188,0.31918708,0.65202652,0.19067705
-5.84392196,2.67195944,0.00477611,0.48946700,0.07795311,0.88367219,0.83611378,0.31967492,0.64485848,0.18851808
-5.83791896,2.65504173,0.00476145,0.48792542,0.07880840,0.87867480,0.83042398,0.31905150,0.63637232,0.18570173
-5.83191596,2.62997726,0.00473143,0.48476990,0.07915418,0.87104350,0.82408293,0.31746998,0.62680303,0.18227300
-5.82591296,2.59769026,0.00468829,0.48023826,0.07898550,0.86100376,0.81739525,0.31511967,0.61638618,0.17828743
-5.81990995,2.55927138,0.00463477,0.47461568,0.07830890,0.84882346,0.81066442,0.31222297,0.60535430,0.17381043
-5.81390695,2.51596037,0.00457401,0.46822919,0.07714242,0.83480983,0.80418787,0.30903119,0.59393408,0.16891634
-5.80790395,2.46912416,0.00450958,0.46144054,0.07551519,0.81930543,0.79825238,0.30581929,0.58234449,0.16368725
-5.80190095,2.42023083,0.00444533,0.45463771,0.07346663,0.80268324,0.79312993,0.30287966,0.57079559,0.15821153
-5.79589795,2.37081979,0.00438539,0.44822498,0.07104532,0.78534102,0.78907398,0.30051508,0.55948811,0.15258224
-5.78989495,2.32246891,0.00433400,0.44261219,0.06830756,0.76769471,0.78631625,0.29903099,0.54861346,0.14689531
