energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.67560395,0.00504211,0.21859690,1.09384211,0.86667068,1.01587788,0.00000000,1.51436861,0.11501371
-5.99399700,2.69915146,0.00533289,0.22298606,1.11145407,0.88254050,1.01919830,0.00000000,1.50103911,0.11605033
-5.98799400,2.72230906,0.00560950,0.22715772,1.12728540,0.90017572,1.02113540,0.00000000,1.48553510,0.11690667
-5.98199100,2.74513169,0.00586697,0.23107683,1.14120816,0.91967649,1.02168234,0.00000000,1.46801001,0.11756654
-5.97598799,2.76763925,0.00610074,0.23471111,1.15313514,0.94110333,1.02083791,0.00000000,1.44860459,0.11801571
-5.96998499,2.78982168,0.00630676,0.23803260,1.16302453,0.96447560,1.01860995,0.00000000,1.42745109,0.11824253
-5.96398199,2.81164374,0.00648161,0.24101898,1.17088251,0.98977021,1.01501811,0.00000000,1.40467763,0.11823844
-5.95797899,2.83304844,0.00662253,0.24365477,1.17676322,1.01692058,1.01009570,0.00000000,1.38041204,0.11799836
-5.95197599,2.85395848,0.00672750,0.24593216,1.18076608,1.04581537,1.00389031,0.00000000,1.35478467,0.11752083
-5.94597299,2.87427520,0.00679526,0.24785169,1.18303018,1.07629707,0.99646288,0.00000000,1.32792997,0.11680801
-5.93996998,2.89387507,0.00682535,0.24942238,1.18372618,1.10816036,0.98788542,0.00000000,1.29998653,0.11586538
-5.93396698,2.91260384,0.00681808,0.25066168,1.18304590,1.14115049,0.97823733,0.00000000,1.27109562,0.11470137
-5.92796398,2.93026927,0.00677446,0.25159496,1.18119033,1.17496183,0.96760070,0.00000000,1.24139850,0.11332671
-5.92196098,2.94663295,0.00669620,0.25225471,1.17835671,1.20923703,0.95605493,0.00000000,1.21103272,0.11175380
-5.91595798,2.96140270,0.00658555,0.25267938,1.17472547,1.24356716,0.94367117,0.00000000,1.18012791,0.10999591
-5.90995498,2.97422637,0.00644529,0.25291199,1.17044797,1.27749332,0.93050707,0.00000000,1.14880158,0.10806649
-5.90395198,2.98468837,0.00627854,0.25299851,1.16563572,1.31051009,0.91660225,0.00000000,1.11715526,0.10597844
-5.89794897,2.99230984,0.00608869,0.25298602,1.16035196,1.34207122,0.90197515,0.00000000,1.08527165,0.10374364
-5.89194597,2.99655319,0.00587928,0.25292083,1.15460601,1.37159775,0.88662135,0.00000000,1.05321290,0.10137246
-5.88594297,2.99683147,0.00565386,0.25284647,1.14835091,1.39848866,0.87051376,0.00000000,1.02102047,0.09887363
-5.87993997,2.99252250,0.00541593,0.25280174,1.14148453,1.42213394,0.85360467,0.00000000,0.98871647,0.09625413
-5.87393697,2.98298755,0.00516884,0.25281882,1.13385401,1.44192983,0.83582958,0.00000000,0.95630649,0.09351946
-5.86793397,2.96759369,0.00491568,0.25292155,1.12526339,1.45729565,0.81711269,0.00000000,0.92378382,0.09067385
-5.86193097,2.94573885,0.00465930,0.25312388,1.11548392,1.46769175,0.79737357,0.00000000,0.89113448,0.08772084
-5.85592796,2.91687820,0.00440218,0.25342869,1.10426646,1.47263757,0.77653464,0.00000000,0.85834302,0.08466377
-5.84992496,2.88055042,0.00414652,0.25382688,1.09135518,1.47172926,0.75452888,0.00000000,0.82539824,0.08150639
-5.84392196,2.83640229,0.00389414,0.25429694,1.07650186,1.46465558,0.73130741,0.00000000,0.79229871,0.07825349
-5.83791896,2.78421013,0.00364657,0.25480489,1.05947992,1.45121164,0.70684613,0.00000000,0.75905745,0.07491139
-5.83191596,2.72389678,0.00340501,0.25530483,1.04009738,1.43130931,0.68115129,0.00000000,0.72570553,0.07148839
-5.82591296,2.65554317,0.00317044,0.25573985,1.01820816,1.40498397,0.65426337,0.00000000,0.69229422,0.06799509
-5.81990995,2.57939357,0.00294357,0.25604356,0.99372107,1.37239700,0.62625919,0.00000000,0.65889573,0.06444450
-5.81390695,2.49585435,0.00272493,0.25614200,0.96660621,1.33383384,0.59725200,0.00000000,0.62560228,0.06085207
-5.80790395,2.40548626,0.00251493,0.25595600,0.93689838,1.28969755,0.56738967,0.00000000,0.59252380,0.05723545
