energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,2.87388449,0.00462879,0.41254174,0.90505310,0.89120727,0.75212014,0.39518506,0.00485220,1.11287949
-5.99399700,2.88957882,0.00425703,0.42421597,0.90987763,0.90492904,0.75106164,0.39237756,0.00492455,1.10614952
-5.98799400,2.90568174,0.00392071,0.43518727,0.91366862,0.91785847,0.75169737,0.38972955,0.00501936,1.10130214
-5.98199100,2.92198088,0.00362179,0.44535078,0.91648179,0.92979525,0.75400326,0.38727729,0.00513395,1.09842813
-5.97598799,2.93832907,0.00336158,0.45460787,0.91840761,0.94056391,0.75796025,0.38507080,0.00526594,1.09763188
-5.96998499,2.95464673,0.00314073,0.46286692,0.91956588,0.95001659,0.76355594,0.38317286,0.00541324,1.09903107
-5.96398199,2.97092205,0.00295933,0.47004437,0.92009929,0.95803528,0.77078550,0.38165772,0.00557405,1.10275530
-5.95797899,2.98720905,0.00281698,0.47606588,0.92016631,0.96453353,0.77965165,0.38060959,0.00574682,1.10894362
-5.95197599,3.00362369,0.00271288,0.48086771,0.91993371,0.96945770,0.79016373,0.38012082,0.00593022,1.11774104
-5.94597299,3.02033806,0.00264589,0.48439814,0.91956905,0.97278754,0.80233600,0.38028999,0.00612312,1.12929401
-5.93996998,3.03757266,0.00261458,0.48661903,0.91923356,0.97453626,0.81618521,0.38121984,0.00632453,1.14374506
-5.93396698,3.05558726,0.00261735,0.48750728,0.91907545,0.97474976,0.83172757,0.38301503,0.00653356,1.16122676
-5.92796398,3.07467012,0.00265240,0.48705619,0.91922418,0.97350527,0.84897529,0.38577986,0.00674939,1.18185518
-5.92196098,3.09512615,0.00271785,0.48527654,0.91978566,0.97090912,0.86793293,0.38961589,0.00697119,1.20572305
-5.91595798,3.11726412,0.00281169,0.48219737,0.92083861,0.96709379,0.88859353,0.39461953,0.00719806,1.23289299
-5.90995498,3.14138323,0.00293187,0.47786619,0.92243208,0.96221419,0.91093502,0.40087960,0.00742899,1.26339092
-5.90395198,3.16775954,0.00307625,0.47234885,0.92458417,0.95644332,0.93491676,0.40847494,0.00766281,1.29720014
-5.89794897,3.19663262,0.00324263,0.46572863,0.92728189,0.94996725,0.96047652,0.41747219,0.00789811,1.33425613
-5.89194597,3.22819276,0.00342871,0.45810486,0.93048198,0.94297978,0.98752807,0.42792358,0.00813321,1.37444247
-5.88594297,3.26256939,0.00363212,0.44959094,0.93411265,0.93567677,1.01595928,0.43986506,0.00836616,1.41758801
-5.87993997,3.29982097,0.00385039,0.44031176,0.93807606,0.92825046,1.04563103,0.45331471,0.00859466,1.46346554
-5.87393697,3.33992687,0.00408092,0.43040075,0.94225127,0.92088390,1.07637675,0.46827135,0.00881611,1.51179197
-5.86793397,3.38278154,0.00432100,0.41999648,0.94649769,0.91374578,1.10800288,0.48471370,0.00902762,1.56223021
-5.86193097,3.42819128,0.00456783,0.40923917,0.95065865,0.90698582,1.14028992,0.50259983,0.00922602,1.61439259
-5.85592796,3.47587374,0.00481848,0.39826699,0.95456524,0.90073093,1.17299434,0.52186706,0.00940795,1.66784590
-5.84992496,3.52546025,0.00506997,0.38721250,0.95804000,0.89508215,1.20585115,0.54243226,0.00956992,1.72211784
-5.84392196,3.57650091,0.00531926,0.37619929,0.96090069,0.89011272,1.23857707,0.56419256,0.00970841,1.77670465
-5.83791896,3.62847233,0.00556334,0.36533896,0.96296392,0.88586709,1.27087443,0.58702633,0.00981997,1.83107977
-5.83191596,3.68078765,0.00579924,0.35472853,0.96404865,0.88236096,1.30243536,0.61079450,0.00990133,1.88470323
-5.82591296,3.73280854,0.00602414,0.34444844,0.96397960,0.87958238,1.33294662,0.63534208,0.00994953,1.93703138
-5.81990995,3.78385873,0.00623542,0.33456111,0.96259052,0.87749368,1.36209463,0.66049978,0.00996201,1.98752677
-5.81390695,3.83323858,0.00643071,0.32511020,0.95972737,0.87603426,1.38957072,0.68608578,0.00993674,2.03566779
-5.80790395,3.88024015,0.00660803,0.31612044,0.95525138,0.87512393,1.41507656,0.71190753,0.00987229,2.08095779
-5.80190095,3.92416236,0.00676576,0.30759819,0.94904201,0.87466675,1.43832946,0.73776350,0.00976790,2.12293345
-5.79589795,3.96432565,0.00690278,0.29953254,0.94099977,0.87455523,1.45906758,0.76344504,0.00962356,2.16117214
-5.78989495,4.00008580,0.00701846,0.29189691,0.93104878,0.87467452,1.47705480,0.78873813,0.00943998,2.19529811
-5.78389195,4.03084654,0.00711272,0.28465113,0.91913918,0.87490668,1.49208512,0.81342522,0.00921864,2.22498741
-5.77788894,4.05607073,0.00718600,0.27774392,0.90524913,0.87513470,1.50398649,0.83728724,0.00896173,2.24997151
-5.77188594,4.07528987,0.00723925,0.27111554,0.88938638,0.87524625,1.51262396,0.86010559,0.00867213,2.27003958
-5.76588294,4.08811193,0.00727393,0.26470067,0.87158938,0.87513699,1.51790199,0.88166454,0.00835330,2.28503958
-5.75987994,4.09422745,0.00729187,0.25843132,0.85192773,0.87471346,1.51976589,0.90175376,0.00800923,2.29487814
-5.75387694,4.09341404,0.00729525,0.25223973,0.83050196,0.87389535,1.51820238,0.92017127,0.00764431,2.29951965
-5.74787394,4.08553934,0.00728649,0.24606116,0.80744260,0.87261733,1.51323921,0.93672673,0.00726324,2.29898443
-5.74187094,4.07056269,0.00726809,0.23983647,0.78290847,0.87083028,1.50494400,0.95124504,0.00687095,2.29334648
-5.73586793,4.04853566,0.00724257,0.23351444,0.75708429,0.86850199,1.49342222,0.96357031,0.00647241,2.28273086
-5.72986493,4.01960161,0.00721231,0.22705379,0.73017753,0.86561742,1.47881464,0.97357006,0.00607263,2.26731092
-5.72386193,3.98399445,0.00717944,0.22042484,0.70241473,0.86217843,1.46129419,0.98113946,0.00567653,2.24730556
-5.71785893,3.94203675,0.00714572,0.21361082,0.67403732,0.85820329,1.44106257,0.98620558,0.00528883,2.22297663
-5.71185593,3.89413721,0.00711249,0.20660872,0.64529709,0.85372570,1.41834660,0.98873134,0.00491407,2.19462649
-5.70585293,3.84078754,0.00708053,0.19942977,0.61645156,0.84879373,1.39339467,0.98871901,0.00455649,2.16259576
-5.69984992,3.78255869,0.00705010,0.19209959,0.58775929,0.84346854,1.36647315,0.98621291,0.00422005,2.12726112
