energy_ev,total_up,Pb_p_up,Pb_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.72087894,0.16238272,0.00091800,2.83617667,0.79345895,0.09753390,2.39558707
-5.99399700,3.86186646,0.16454199,0.00098508,2.98689038,0.81644936,0.09855110,2.48956402
-5.98799400,4.00870776,0.16652945,0.00105608,3.14824283,0.83937277,0.09952560,2.58745635
-5.98199100,4.16176086,0.16837732,0.00113081,3.32021995,0.86236849,0.10047145,2.68950168
-5.97598799,4.32132198,0.17012379,0.00120900,3.50262757,0.88558450,0.10140451,2.79589495
-5.96998499,4.48759427,0.17181165,0.00129032,3.69506927,0.90917018,0.10234188,2.90676780
-5.96398199,4.66065581,0.17348663,0.00137438,3.89692668,0.93326859,0.10330139,3.02216755
-5.95797899,4.84042847,0.17519570,0.00146070,4.10734331,0.95800886,0.10430081,3.14203680
-5.95197599,5.02664929,0.17698517,0.00154874,4.32521320,0.98349901,0.10535721,3.26619492
-5.94597299,5.21884595,0.17889892,0.00163790,4.54917546,1.00981933,0.10648615,3.39432223
-5.93996998,5.41631781,0.18097658,0.00172749,4.77761556,1.03701673,0.10770092,3.52594787
-5.93396698,5.61812375,0.18325202,0.00181680,5.00867435,1.06510029,0.10901187,3.66044221
-5.92796398,5.82307778,0.18575187,0.00190505,5.24026506,1.09403790,0.11042571,3.79701436
-5.92196098,6.02975297,0.18849436,0.00199144,5.47009881,1.12375431,0.11194496,3.93471512
-5.91595798,6.23649423,0.19148843,0.00207514,5.69571827,1.15413048,0.11356749,4.07244571
-5.90995498,6.44143955,0.19473302,0.00215532,5.91453935,1.18500412,0.11528619,4.20897203
-5.90395198,6.64254967,0.19821669,0.00223114,6.12389995,1.21617148,0.11708879,4.34294439
-5.89794897,6.83764509,0.20191750,0.00230181,6.32111486,1.24739010,0.11895783,4.47292203
-5.89194597,7.02444980,0.20580304,0.00236656,6.50353542,1.27838259,0.12087084,4.59740197
-5.88594297,7.20064013,0.20983078,0.00242467,6.66861215,1.30884110,0.12280061,4.71485126
-5.87993997,7.36389758,0.21394861,0.00247550,6.81395871,1.33843261,0.12471575,4.82374174
-5.87393697,7.51196386,0.21809557,0.00251847,6.93741493,1.36680470,0.12658128,4.92258623
-5.86793397,7.64269652,0.22220280,0.00255311,7.03710677,1.39359197,0.12835951,5.00997511
-5.86193097,7.75412353,0.22619466,0.00257903,7.11150120,1.41842279,0.13001092,5.08461223
-5.85592796,7.84449501,0.22999012,0.00259594,7.15945357,1.44092655,0.13149527,5.14534885
-5.84992496,7.91233053,0.23350433,0.00260368,7.18024573,1.46074120,0.13277269,5.19121469
-5.84392196,7.95646033,0.23665033,0.00260217,7.17361302,1.47752107,0.13380486,5.22144503
-5.83791896,7.97605919,0.23934108,0.00259145,7.13975868,1.49094486,0.13455624,5.23550283
-5.83191596,7.97067160,0.24149158,0.00257168,7.07935474,1.50072358,0.13499516,5.23309519
-5.82591296,7.94022727,0.24302116,0.00254311,6.99352874,1.50660843,0.13509491,5.21418342
-5.81990995,7.88504630,0.24385584,0.00250610,6.88383634,1.50839821,0.13483470,5.17898619
-5.81390695,7.80583355,0.24393083,0.00246107,6.75222024,1.50594613,0.13420046,5.12797562
-5.80790395,7.70366220,0.24319281,0.00240857,6.60095673,1.49916572,0.13318542,5.06186612
-5.80190095,7.57994678,0.24160227,0.00234919,6.43259129,1.48803551,0.13179054,4.98159635
-5.79589795,7.43640647,0.23913546,0.00228359,6.24986567,1.47260226,0.13002466,4.88830464
-5.78989495,7.27501966,0.23578613,0.00221250,6.05563885,1.45298243,0.12790438,4.78329874
-5.78389195,7.09797141,0.23156679,0.00213666,5.85280510,1.42936182,0.12545379,4.66802083
-5.77788894,6.90759554,0.22650942,0.00205686,5.64421201,1.40199315,0.12270383,4.54400899
-5.77188594,6.70631341,0.22066574,0.00197388,5.43258197,1.37119157,0.11969161,4.41285659
-5.76588294,6.49657171,0.21410666,0.00188852,5.22044011,1.33732829,0.11645935,4.27617112
-5.75987994,6.28078166,0.20692120,0.00180154,5.01005158,1.30082229,0.11305332,4.13553388
-5.75387694,6.06126168,0.19921476,0.00171370,4.80337071,1.26213055,0.10952260,3.99246231
-5.74787394,5.84018596,0.19110666,0.00162569,4.60200388,1.22173706,0.10591778,3.84837608
-5.74187094,5.61954053,0.18272724,0.00153815,4.40718746,1.18014099,0.10228967,3.70456846
-5.73586793,5.40108845,0.17421446,0.00145169,4.21978131,1.13784447,0.09868797,3.56218365
-5.72986493,5.18634497,0.16571005,0.00136680,4.04027764,1.09534045,0.09516006,3.42220096
-5.72386193,4.97656321,0.15735561,0.00128395,3.86882428,1.05310102,0.09174986,3.28542589
-5.71785893,4.77273026,0.14928844,0.00120349,3.70526063,1.01156663,0.08849681,3.15248832
-5.71185593,4.57557307,0.14163757,0.00112572,3.54916413,0.97113655,0.08543501,3.02384701
-5.70585293,4.38557301,0.13451991,0.00105087,3.39990449,0.93216073,0.08259254,2.89980004
-5.69984992,4.20298773,0.12803683,0.00097908,3.25670260,0.89493351,0.07999090,2.78049987
-5.69384692,4.02787846,0.12227113,0.00091044,3.11869110,0.85968903,0.07764469,2.66597211
-5.68784392,3.86014101,0.11728468,0.00084501,2.98497347,0.82659851,0.07556145,2.55613650
-5.68184092,3.69953841,0.11311665,0.00078277,2.85467878,0.79576948,0.07374165,2.45082895
-5.67583792,3.54573360,0.10978256,0.00072368,2.72700982,0.76724666,0.07217886,2.34982349
-5.66983492,3.39832048,0.10727407,0.00066768,2.60128250,0.74101466,0.07086014,2.25285293
-5.66383192,3.25685226,0.10555952,0.00061468,2.47695533,0.71700210,0.06976650,2.15962766
-5.65782891,3.12086603,0.10458531,0.00056460,2.35364836,0.69508720,0.06887355,2.06985176
-5.65182591,2.98990338,0.10427791,0.00051733,2.23115143,0.67510455,0.06815229,1.98323641
-5.64582291,2.86352677,0.10454662,0.00047279,2.10942248,0.65685290,0.06756999,1.89951030
-5.63981991,2.74133193,0.10528680,0.00043089,1.98857689,0.64010380,0.06709122,1.81842741
-5.63381691,2.62295686,0.10638358,0.00039156,1.86886945,0.62461089,0.06667892,1.73977240
-5.62781391,2.50808793,0.10771586,0.00035473,1.75067075,0.61011954,0.06629558,1.66336412
-5.62181091,2.39646404,0.10916050,0.00032034,1.63443987,0.59637670,0.06590439,1.58905764
-5.61580790,2.28787919,0.11059649,0.00028834,1.52069533,0.58314066,0.06547049,1.51674547
-5.60980490,2.18218433,0.11190901,0.00025870,1.40998619,0.57019040,0.06496209,1.44635819
-5.60380190,2.07928881,0.11299319,0.00023138,1.30286471,0.55733426,0.06435158,1.37786484
-5.59779890,1.97916152,0.11375741,0.00020635,1.19986202,0.54441768,0.06361646,1.31127325
-5.59179590,1.88183195,0.11412614,0.00018357,1.10146766,0.53132956,0.06274022,1.24663032
-5.58579290,1.78739072,0.11404204,0.00016302,1.00811355,0.51800718,0.06171291,1.18402202
-5.57978989,1.69598944,0.11346739,0.00014465,0.92016257,0.50443919,0.06053153,1.12357298
-5.57378689,1.60783927,0.11238477,0.00012843,0.83790172,0.49066664,0.05920020,1.06544538
-5.56778389,1.52320783,0.11079689,0.00011430,0.76153932,0.47678191,0.05773002,1.00983660
-5.56178089,1.44241395,0.10872574,0.00010223,0.69120587,0.46292540,0.05613868,0.95697561
-5.55577789,1.36581990,0.10621102,0.00009214,0.62695759,0.44928018,0.05444975,0.90711764
-5.54977489,1.29382106,0.10330794,0.00008398,0.56878215,0.43606461,0.05269185,0.86053714
-5.54377189,1.22683291,0.10008451,0.00007768,0.51660554,0.42352335,0.05089751,0.81751898
-5.53776888,1.16527566,0.09661845,0.00007316,0.47029971,0.41191692,0.04910187,0.77834806
-5.53176588,1.10955720,0.09299392,0.00007035,0.42969009,0.40151044,0.04734134,0.74329772
-5.52576288,1.06005475,0.08929805,0.00006918,0.39456285,0.39256190,0.04565216,0.71261743
-5.51975988,1.01709642,0.08561767,0.00006956,0.36467133,0.38531061,0.04406895,0.68652023
-5.51375688,0.98094356,0.08203614,0.00007141,0.33974181,0.37996625,0.04262342,0.66517086
-5.50775388,0.95177495,0.07863062,0.00007467,0.31947839,0.37669928,0.04134312,0.64867512
-5.50175088,0.92967397,0.07546970,0.00007924,0.30356729,0.37563297,0.04025045,0.63707119
-5.49574787,0.91461965,0.07261167,0.00008506,0.29168061,0.37683772,0.03936190,0.63032376
-5.48974487,0.90648246,0.07010330,0.00009207,0.28348001,0.38032783,0.03868749,0.62832136
-5.48374187,0.90502550,0.06797933,0.00010022,0.27862031,0.38606110,0.03823063,0.63087737
-5.47773887,0.90991121,0.06626257,0.00010946,0.27675358,0.39394122,0.03798819,0.63773497
-5.47173587,0.92071382,0.06496463,0.00011977,0.27753362,0.40382309,0.03795083,0.64857601
-5.46573287,0.93693715,0.06408717,0.00013116,0.28062107,0.41552063,0.03810376,0.66303353
-5.45972986,0.95803708,0.06362372,0.00014363,0.28568929,0.42881699,0.03842755,0.68070768
-5.45372686,0.98344770,0.06356179,0.00015724,0.29243066,0.44347656,0.03889927,0.70118403
-5.44772386,1.01261006,0.06388535,0.00017209,0.30056341,0.45925812,0.03949372,0.72405379
-5.44172086,1.04500184,0.06457739,0.00018829,0.30983856,0.47592863,0.04018470,0.74893455
-5.43571786,1.08016651,0.06562259,0.00020599,0.32004668,0.49327680,0.04094640,0.77549071
-5.42971486,1.11774018,0.06700983,0.00022542,0.33102411,0.51112563,0.04175457,0.80345218
-5.42371186,1.15747464,0.06873457,0.00024680,0.34265822,0.52934330,0.04258774,0.83263034
-5.41770885,1.19925481,0.07080082,0.00027043,0.35489129,0.54785166,0.04342814,0.86293003
-5.41170585,1.24310964,0.07322279,0.00029661,0.36772274,0.56663169,0.04426244,0.89435685
-5.40570285,1.28921516,0.07602608,0.00032568,0.38120927,0.58572557,0.04508225,0.92701884
-5.39969985,1.33788918,0.07924829,0.00035801,0.39546291,0.60523508,0.04588427,0.96112223
-5.39369685,1.38957759,0.08293914,0.00039396,0.41064667,0.62531620,0.04667022,0.99696115
