energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.53226272,0.00740422,0.17768018,0.57539032,1.53050964,0.00782267,0.49132233,0.60782324,0.09741401
-5.99399700,2.49919371,0.00718203,0.17606271,0.57028500,1.50404966,0.00767283,0.48717555,0.61766782,0.09702692
-5.98799400,2.46993602,0.00693713,0.17458851,0.56637665,1.48030956,0.00754631,0.48372988,0.62838743,0.09679917
-5.98199100,2.44595703,0.00667376,0.17332900,0.56387378,1.46046643,0.00744313,0.48118727,0.64004226,0.09675163
-5.97598799,2.42859190,0.00639688,0.17234885,0.56292955,1.44560235,0.00736305,0.47972791,0.65266836,0.09690280
-5.96998499,2.41900141,0.00611197,0.17170486,0.56363675,1.43667050,0.00730553,0.47950471,0.66627458,0.09726777
-5.96398199,2.41813650,0.00582493,0.17144509,0.56602573,1.43446515,0.00726965,0.48063923,0.68084085,0.09785742
-5.95797899,2.42671060,0.00554186,0.17160823,0.57006512,1.43959691,0.00725404,0.48321910,0.69631814,0.09867787
-5.95197599,2.44518059,0.00526895,0.17222340,0.57566521,1.45247364,0.00725693,0.48729703,0.71262983,0.09973014
-5.94597299,2.47373661,0.00501228,0.17331001,0.58268389,1.47328799,0.00727613,0.49289134,0.72967457,0.10101014
-5.93996998,2.51230100,0.00477767,0.17487791,0.59093455,1.50201164,0.00730914,0.49998784,0.74733036,0.10250877
-5.93396698,2.56053575,0.00457056,0.17692758,0.60019558,1.53839664,0.00735322,0.50854279,0.76545944,0.10421238
-5.92796398,2.61785792,0.00439584,0.17945045,0.61022091,1.58198352,0.00740553,0.51848677,0.78391379,0.10610331
-5.92196098,2.68346207,0.00425776,0.18242917,0.62075088,1.63211598,0.00746325,0.52972902,0.80254077,0.10816053
-5.91595798,2.75634844,0.00415982,0.18583789,0.63152307,1.68796148,0.00752372,0.54216210,0.82118844,0.11036038
-5.90995498,2.83535573,0.00410469,0.18964247,0.64228233,1.74853713,0.00758460,0.55566643,0.83971032,0.11267737
-5.90395198,2.91919697,0.00409413,0.19380063,0.65278975,1.81273972,0.00764399,0.57011447,0.85796920,0.11508485
-5.89794897,3.00649720,0.00412897,0.19826214,0.66282997,1.87937894,0.00770053,0.58537451,0.87583990,0.11755571
-5.89194597,3.09583164,0.00420907,0.20296886,0.67221690,1.94721262,0.00775354,0.60131372,0.89321079,0.12006293
-5.88594297,3.18576315,0.00433335,0.20785501,0.68079738,2.01498267,0.00780309,0.61780054,0.90998416,0.12258005
-5.87993997,3.27487792,0.00449979,0.21284739,0.68845316,2.08145049,0.00785000,0.63470638,0.92607562,0.12508156
-5.87393697,3.36181860,0.00470549,0.21786593,0.69510100,2.14543076,0.00789591,0.65190679,0.94141269,0.12754318
-5.86793397,3.44531404,0.00494679,0.22282435,0.70069138,2.20582224,0.00794326,0.66928214,0.95593302,0.12994207
-5.86193097,3.52420536,0.00521930,0.22763127,0.70520603,2.26163489,0.00799526,0.68671804,0.96958244,0.13225706
-5.85592796,3.59746776,0.00551811,0.23219157,0.70865461,2.31201222,0.00805583,0.70410565,0.98231345,0.13446878
-5.84992496,3.66422808,0.00583790,0.23640815,0.71107101,2.35624847,0.00812951,0.72134212,0.99408421,0.13655986
-5.84392196,3.72377786,0.00617314,0.24018411,0.71250949,2.39380008,0.00822138,0.73833118,1.00485850,0.13851521
-5.83791896,3.77558200,0.00651827,0.24342513,0.71304111,2.42429131,0.00833695,0.75498407,1.01460669,0.14032227
-5.83191596,3.81928308,0.00686794,0.24604217,0.71275052,2.44751415,0.00848201,0.77122076,1.02330772,0.14197138
-5.82591296,3.85470127,0.00721715,0.24795434,0.71173335,2.46342273,0.00866250,0.78697154,1.03095211,0.14345611
-5.81990995,3.88183022,0.00756154,0.24909165,0.71009419,2.47212276,0.00888437,0.80217860,1.03754553,0.14477366
-5.81390695,3.90082875,0.00789755,0.24939778,0.70794511,2.47385668,0.00915338,0.81679781,1.04311279,0.14592523
-5.80790395,3.91200877,0.00822257,0.24883240,0.70540458,2.46898523,0.00947497,0.83080012,1.04770154,0.14691625
-5.80190095,3.91581947,0.00853514,0.24737321,0.70259656,2.45796646,0.00985406,0.84417261,1.05138549,0.14775656
-5.79589795,3.91282811,0.00883503,0.24501729,0.69964958,2.44133304,0.01029487,0.85691883,1.05426625,0.14846039
-5.78989495,3.90369773,0.00912329,0.24178183,0.69669552,2.41966878,0.01080073,0.86905826,1.05647375,0.14904611
-5.78389195,3.88916226,0.00940228,0.23770409,0.69386778,2.39358542,0.01137388,0.88062471,1.05816449,0.14953574
-5.77788894,3.86999955,0.00967564,0.23284057,0.69129889,2.36370041,0.01201531,0.89166368,1.05951769,0.14995425
-5.77188594,3.84700309,0.00994815,0.22726545,0.68911720,2.33061641,0.01272459,0.90222855,1.06072909,0.15032853
-5.76588294,3.82095310,0.01022560,0.22106823,0.68744284,2.29490330,0.01349968,0.91237580,1.06200263,0.15068616
-5.75987994,3.79258808,0.01051457,0.21435080,0.68638295,2.25708303,0.01433687,0.92215943,1.06354028,0.15105405
-5.75387694,3.76257768,0.01082215,0.20722402,0.68602633,2.21761767,0.01523062,0.93162490,1.06553046,0.15145682
-5.74787394,3.73149800,0.01115570,0.19980390,0.68643795,2.17690096,0.01617357,0.94080283,1.06813580,0.15191529
-5.74187094,3.69981036,0.01152244,0.19220773,0.68765342,2.13525326,0.01715650,0.94970300,1.07148085,0.15244487
-5.73586793,3.66784447,0.01192919,0.18455014,0.68967406,2.09291998,0.01816844,0.95830906,1.07564059,0.15305418
-5.72986493,3.63578684,0.01238200,0.17693937,0.69246281,2.05007317,0.01919673,0.96657421,1.08063058,0.15374386
-5.72386193,3.60367515,0.01288579,0.16947399,0.69594140,2.00681595,0.02022727,0.97441845,1.08639940,0.15450570
-5.71785893,3.57139900,0.01344414,0.16224007,0.69998915,1.96318955,0.02124475,0.98172748,1.09282404,0.15532218
-5.71185593,3.53870711,0.01405893,0.15530894,0.70444360,1.91918235,0.02223299,0.98835368,1.09970877,0.15616638
-5.70585293,3.50522105,0.01473025,0.14873575,0.70910323,1.87474057,0.02317525,0.99411902,1.10678765,0.15700246
