energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,4.32104294,0.03121925,0.22814594,0.95062372,0.74962305,2.16331596,2.29663383,1.35616927,0.00000000
-5.99399700,4.17939763,0.02996740,0.22051613,0.91145062,0.72513009,2.04686616,2.23375154,1.30859377,0.00000000
-5.98799400,4.04432023,0.02860534,0.21353789,0.87236300,0.69996767,1.93248033,2.17733508,1.26134976,0.00000000
-5.98199100,3.91625795,0.02715239,0.20726332,0.83365273,0.67430918,1.82134224,2.12717354,1.21477633,0.00000000
-5.97598799,3.79537525,0.02562874,0.20172810,0.79556990,0.64830893,1.71449291,2.08286422,1.16914358,0.00000000
-5.96998499,3.68159383,0.02405503,0.19695418,0.75832544,0.62210421,1.61283132,2.04384809,1.12465756,0.00000000
-5.96398199,3.57464040,0.02245184,0.19295272,0.72209536,0.59581821,1.51711989,2.00944929,1.08146792,0.00000000
-5.95797899,3.47409943,0.02083930,0.18972720,0.68702607,0.56956353,1.42799402,1.97891696,1.03967752,0.00000000
-5.95197599,3.37946815,0.01923667,0.18727647,0.65324057,0.54344607,1.34597441,1.95146731,0.99935348,0.00000000
-5.94597299,3.29021100,0.01766200,0.18559746,0.62084492,0.51756899,1.27148110,1.92632433,0.96053905,0.00000000
-5.93996998,3.20581099,0.01613187,0.18468755,0.58993490,0.49203648,1.20484819,1.90275735,0.92326558,0.00000000
-5.93396698,3.12581568,0.01466114,0.18454613,0.56060216,0.46695703,1.14633796,1.88011405,0.88756396,0.00000000
-5.92796398,3.04987591,0.01326281,0.18517564,0.53293986,0.44244617,1.09615391,1.85784786,0.85347516,0.00000000
-5.92196098,2.97777578,0.01194799,0.18658170,0.50704735,0.41862828,1.05445152,1.83553886,0.82105910,0.00000000
-5.91595798,2.90945293,0.01072583,0.18877247,0.48303365,0.39563760,1.02134667,1.81290758,0.79040174,0.00000000
-5.90995498,2.84500866,0.00960357,0.19175734,0.46101971,0.37361817,0.99692116,1.78982172,0.76161996,0.00000000
-5.90395198,2.78470793,0.00858669,0.19554495,0.44113926,0.35272281,0.98122526,1.76629569,0.73486403,0.00000000
-5.89794897,2.72896951,0.00767898,0.20014065,0.42353814,0.33311118,0.97427756,1.74248356,0.71031771,0.00000000
-5.89194597,2.67834731,0.00688272,0.20554381,0.40837227,0.31494693,0.97606222,1.71866593,0.68819582,0.00000000
-5.88594297,2.63350400,0.00619886,0.21174485,0.39580418,0.29839406,0.98652417,1.69523161,0.66873950,0.00000000
-5.87993997,2.59517812,0.00562717,0.21872243,0.38599828,0.28361272,1.00556276,1.67265517,0.65220926,0.00000000
-5.87393697,2.56414663,0.00516643,0.22644101,0.37911504,0.27075453,1.03302436,1.65147126,0.63887615,0.00000000
-5.86793397,2.54118422,0.00481452,0.23484882,0.37530417,0.25995756,1.06869467,1.63224710,0.62901126,0.00000000
-5.86193097,2.52702139,0.00456860,0.24387656,0.37469718,0.25134125,1.11229121,1.61555407,0.62287399,0.00000000
-5.85592796,2.52230285,0.00442517,0.25343689,0.37739945,0.24500145,1.16345668,1.60193961,0.62069954,0.00000000
-5.84992496,2.52754808,0.00438010,0.26342483,0.38348227,0.24100563,1.22175347,1.59190057,0.62268594,0.00000000
-5.84392196,2.54311540,0.00442869,0.27371908,0.39297499,0.23938868,1.28666003,1.58585880,0.62898137,0.00000000
-5.83791896,2.56917113,0.00456568,0.28418426,0.40585775,0.24014919,1.35756918,1.58414010,0.63967205,0.00000000
-5.83191596,2.60566507,0.00478518,0.29467400,0.42205518,0.24324667,1.43378872,1.58695697,0.65477141,0.00000000
-5.82591296,2.65231327,0.00508067,0.30503477,0.44143131,0.24859959,1.51454450,1.59439605,0.67421095,0.00000000
-5.81990995,2.70858899,0.00544496,0.31511030,0.46378608,0.25608458,1.59898600,1.60641049,0.69783344,0.00000000
-5.81390695,2.77372243,0.00587016,0.32474635,0.48885378,0.26553678,1.68619444,1.62281755,0.72538879,0.00000000
-5.80790395,2.84670943,0.00634763,0.33379571,0.51630365,0.27675140,1.77519337,1.64330164,0.75653306,0.00000000
-5.80190095,2.92632926,0.00686802,0.34212307,0.54574286,0.28948670,1.86496168,1.66742260,0.79083082,0.00000000
-5.79589795,3.01117100,0.00742130,0.34960974,0.57672185,0.30346808,1.95444875,1.69462888,0.82776110,0.00000000
-5.78989495,3.09966805,0.00799682,0.35615776,0.60874226,0.31839361,2.04259161,1.72427536,0.86672696,0.00000000
-5.78389195,3.19013948,0.00858342,0.36169341,0.64126702,0.33394049,2.12833370,1.75564493,0.90706834,0.00000000
-5.77788894,3.28083712,0.00916959,0.36616985,0.67373266,0.34977268,2.21064498,1.78797309,0.94807818,0.00000000
-5.77188594,3.36999653,0.00974368,0.36956884,0.70556332,0.36554912,2.28854280,1.82047460,0.98902099,0.00000000
-5.76588294,3.45589003,0.01029408,0.37190137,0.73618598,0.38093254,2.36111296,1.85237105,1.02915346,0.00000000
-5.75987994,3.53687962,0.01080949,0.37320723,0.76504645,0.39559845,2.42753043,1.88291813,1.06774617,0.00000000
-5.75387694,3.61146754,0.01127923,0.37355353,0.79162538,0.40924396,2.48707886,1.91143140,1.10410552,0.00000000
-5.74787394,3.67834221,0.01169341,0.37303217,0.81545362,0.42159611,2.53916820,1.93730946,1.13759499,0.00000000
-5.74187094,3.73641750,0.01204329,0.37175636,0.83612637,0.43241934,2.58334951,1.96005320,1.16765463,0.00000000
-5.73586793,3.78486319,0.01232145,0.36985637,0.85331517,0.44152179,2.61932623,1.97928040,1.19381792,0.00000000
-5.72986493,3.82312527,0.01252204,0.36747459,0.86677750,0.44876009,2.64696112,1.99473482,1.21572513,0.00000000
-5.72386193,3.85093476,0.01264091,0.36476011,0.87636308,0.45404250,2.66627828,2.00628923,1.23313248,0.00000000
-5.71785893,3.86830455,0.01267574,0.36186303,0.88201694,0.45733006,2.67745971,2.01394238,1.24591667,0.00000000
-5.71185593,3.87551423,0.01262608,0.35892866,0.88377874,0.45863591,2.68083632,2.01780985,1.25407440,0.00000000
-5.70585293,3.87308347,0.01249334,0.35609191,0.88177840,0.45802259,2.67687321,2.01810933,1.25771699,0.00000000
-5.69984992,3.86173531,0.01228071,0.35347195,0.87622842,0.45559751,2.66614982,2.01514118,1.25706032,0.00000000
-5.69384692,3.84235110,0.01199302,0.35116745,0.86741286,0.45150684,2.64933528,2.00926512,1.25241055,0.00000000
-5.68784392,3.81591928,0.01163657,0.34925252,0.85567390,0.44592804,2.62716016,2.00087458,1.24414644,0.00000000
-5.68184092,3.78348088,0.01121887,0.34777358,0.84139629,0.43906143,2.60038563,1.99036991,1.23269914,0.00000000
-5.67583792,3.74607433,0.01074839,0.34674720,0.82499074,0.43112110,2.56977156,1.97813210,1.21853058,0.00000000
-5.66983492,3.70468267,0.01023429,0.34615903,0.80687677,0.42232583,2.53604499,1.96449839,1.20211137,0.00000000
-5.66383192,3.66018580,0.00968606,0.34596404,0.78746616,0.41289014,2.49987063,1.94974124,1.18389969,0.00000000
-5.65782891,3.61332028,0.00911330,0.34608776,0.76714750,0.40301613,2.46182489,1.93405162,1.16432187,0.00000000
-5.65182591,3.56464876,0.00852542,0.34642888,0.74627278,0.39288636,2.42237484,1.91752783,1.14375586,0.00000000
-5.64582291,3.51454036,0.00793136,0.34686276,0.72514642,0.38265810,2.38186318,1.90017007,1.12251814,0.00000000
-5.63981991,3.46316292,0.00733941,0.34724603,0.70401736,0.37245911,2.34050014,1.88188133,1.10085479,0.00000000
-5.63381691,3.41048722,0.00675703,0.34742194,0.68307435,0.36238520,2.29836261,1.86247416,1.07893685,0.00000000
-5.62781391,3.35630249,0.00619072,0.34722629,0.66244452,0.35249948,2.25540065,1.84168304,1.05686010,0.00000000
-5.62181091,3.30024219,0.00564595,0.34649368,0.64219516,0.34283329,2.21145084,1.81918142,1.03464894,0.00000000
-5.61580790,3.24181808,0.00512710,0.34506400,0.62233852,0.33338866,2.16625574,1.79460244,1.01226409,0.00000000
-5.60980490,3.18046059,0.00463748,0.34278860,0.60283898,0.32414205,2.11948826,1.76756204,0.98961323,0.00000000
-5.60380190,3.11556286,0.00417938,0.33953609,0.58362228,0.31504912,2.07077960,1.73768309,0.96656410,0.00000000
-5.59779890,3.04652599,0.00375414,0.33519759,0.56458601,0.30605021,2.01974894,1.70461924,0.94295892,0.00000000
-5.59179590,2.97280283,0.00336225,0.32969090,0.54561088,0.29707614,1.96603339,1.66807716,0.91862944,0.00000000
-5.58579290,2.89393807,0.00300345,0.32296382,0.52657192,0.28805408,1.90931646,1.62783595,0.89341168,0.00000000
-5.57978989,2.80960256,0.00267687,0.31499615,0.50734909,0.27891308,1.84935342,1.58376289,0.86715953,0.00000000
-5.57378689,2.71962016,0.00238115,0.30580055,0.48783683,0.26958910,1.78599244,1.53582473,0.83975659,0.00000000
-5.56778389,2.62398627,0.00211457,0.29542205,0.46795197,0.26002924,1.71919028,1.48409413,0.81112579,0.00000000
-5.56178089,2.52287713,0.00187517,0.28393645,0.44763972,0.25019500,1.64902202,1.42875119,0.78123622,0.00000000
-5.55577789,2.41665025,0.00166081,0.27144755,0.42687767,0.24006454,1.57568449,1.37008011,0.75010729,0.00000000
-5.54977489,2.30583609,0.00146933,0.25808343,0.40567760,0.22963391,1.49949342,1.30846144,0.71780992,0.00000000
-5.54377189,2.19112213,0.00129858,0.24399197,0.38408523,0.21891719,1.42087485,1.24436050,0.68446513,0.00000000
-5.53776888,2.07333049,0.00114647,0.22933584,0.36217813,0.20794570,1.34035144,1.17831279,0.65024020,0.00000000
-5.53176588,1.95339057,0.00101106,0.21428714,0.34006201,0.19676642,1.25852462,1.11090715,0.61534280,0.00000000
