energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-6.00000000,6.48906902,0.18745470,0.11381335,1.25218563,0.90834980,2.94579184,0.93805634,0.28722140,3.21116957
-5.99399700,6.65548589,0.19395921,0.11920462,1.27807931,0.93717024,3.04847026,0.95588086,0.29033325,3.28556438
-5.98799400,6.79639407,0.20086891,0.12413979,1.29915294,0.96329583,3.14350246,0.96934151,0.29164139,3.34640694
-5.98199100,6.91064879,0.20822112,0.12854691,1.31523047,0.98654415,3.23017313,0.97833334,0.29113206,3.39320854
-5.97598799,6.99748234,0.21603310,0.13236167,1.32619891,1.00676399,3.30783511,0.98282237,0.28882654,3.42568940
-5.96998499,7.05650182,0.22429875,0.13552911,1.33200880,1.02383476,3.37591048,0.98284406,0.28478022,3.44377560
-5.96398199,7.08767564,0.23298596,0.13800501,1.33267310,1.03766494,3.43388974,0.97849970,0.27908058,3.44758996
-5.95797899,7.09131021,0.24203498,0.13975693,1.32826445,1.04818993,3.48132980,0.96995096,0.27184416,3.43743749
-5.95197599,7.06801841,0.25135781,0.14076490,1.31891123,1.05536929,3.51785131,0.95741291,0.26321271,3.41378631
-5.94597299,7.01868200,0.26083888,0.14102166,1.30479232,1.05918393,3.54313603,0.94114582,0.25334857,3.37724538
-5.93996998,6.94441038,0.27033688,0.14053257,1.28613114,1.05963321,3.55692500,0.92144632,0.24242969,3.32854018
-5.93396698,6.84649807,0.27968790,0.13931508,1.26318904,1.05673255,3.55901805,0.89863809,0.23064434,3.26848768
-5.92796398,6.72638343,0.28870971,0.13739791,1.23625856,1.05051156,3.54927527,0.87306279,0.21818572,3.19797201
-5.92196098,6.58561058,0.29720712,0.13481990,1.20565676,1.04101293,3.52762070,0.84507145,0.20524690,3.11792185
-5.91595798,6.42579646,0.30497816,0.13162868,1.17171898,1.02829228,3.49404834,0.81501667,0.19201592,3.02929049
-5.90995498,6.24860405,0.31182095,0.12787915,1.13479320,1.01241892,3.44863040,0.78324596,0.17867159,2.93303941
-5.90395198,6.05572266,0.31754090,0.12363190,1.09523532,0.99347747,3.39152722,0.75009641,0.16537982,2.83012549
-5.89794897,5.84885512,0.32195797,0.11895158,1.05340522,0.97157024,3.32299839,0.71589060,0.15229075,2.72149229
-5.89194597,5.62971154,0.32491369,0.11390538,1.00966394,0.94682015,3.24341406,0.68093408,0.13953659,2.60806483
-5.88594297,5.40000860,0.32627760,0.10856149,0.96437166,0.91937388,3.15326553,0.64551392,0.12723036,2.49074775
-5.87993997,5.16147291,0.32595284,0.10298784,0.91788643,0.88940489,3.05317413,0.60989854,0.11546527,2.37042601
-5.87393697,4.91584698,0.32388059,0.09725084,0.87056364,0.85711620,2.94389723,0.57433843,0.10431487,2.24796736
