energy_ev,total_up,Al_p_up,Al_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,1.19348075,0.01521112,0.00000000,0.56125675,0.42559486,0.00559642,0.19498610
-5.99399700,1.13745321,0.01384942,0.00000000,0.53652525,0.40887129,0.00562020,0.17333031
-5.98799400,1.08638545,0.01278438,0.00000000,0.51396849,0.39362001,0.00561088,0.15359028
-5.98199100,1.04060969,0.01202592,0.00000000,0.49376903,0.37993558,0.00556898,0.13581764
-5.97598799,1.00045758,0.01158600,0.00000000,0.47610584,0.36792316,0.00549606,0.12003692
-5.96998499,0.96627344,0.01147930,0.00000000,0.46115959,0.35770374,0.00539471,0.10624984
-5.96398199,0.93842509,0.01172368,0.00000000,0.44911690,0.34941827,0.00526853,0.09443966
-5.95797899,0.91731156,0.01234053,0.00000000,0.44017349,0.34323060,0.00512201,0.08457559
-5.95197599,0.90336714,0.01335492,0.00000000,0.43453560,0.33932891,0.00496047,0.07661680
-5.94597299,0.89706136,0.01479564,0.00000000,0.43241985,0.33792562,0.00478991,0.07051609
-5.93996998,0.89889471,0.01669490,0.00000000,0.43405120,0.33925551,0.00461688,0.06622291
-5.93396698,0.90938989,0.01908785,0.00000000,0.43965899,0.34357224,0.00444832,0.06368574
-5.92796398,0.92907890,0.02201188,0.00000000,0.44947124,0.35114297,0.00429139,0.06285372
-5.92196098,0.95848612,0.02550559,0.00000000,0.46370726,0.36224141,0.00415332,0.06367748
-5.91595798,0.99810772,0.02960754,0.00000000,0.48256867,0.37713925,0.00404122,0.06610924
-5.90995498,1.04838818,0.03435474,0.00000000,0.50622936,0.39609612,0.00396191,0.07010206
-5.90395198,1.10969444,0.03978094,0.00000000,0.53482439,0.41934841,0.00392174,0.07560857
-5.89794897,1.18228855,0.04591464,0.00000000,0.56843850,0.44709705,0.00392645,0.08257899
-5.89194597,1.26629984,0.05277705,0.00000000,0.60709458,0.47949477,0.00398100,0.09095878
-5.88594297,1.36169761,0.06037986,0.00000000,0.65074246,0.51663304,0.00408941,0.10068595
-5.87993997,1.46826540,0.06872313,0.00000000,0.69924870,0.55852933,0.00425465,0.11168824
-5.87393697,1.58557817,0.07779308,0.00000000,0.75238777,0.60511506,0.00447849,0.12388027
-5.86793397,1.71298346,0.08756024,0.00000000,0.80983521,0.65622485,0.00476140,0.13716099
-5.86193097,1.84958777,0.09797774,0.00000000,0.87116317,0.71158764,0.00510247,0.15141144
-5.85592796,1.99424915,0.10898006,0.00000000,0.93583876,0.77082022,0.00549935,0.16649303
-5.84992496,2.14557718,0.12048227,0.00000000,1.00322568,0.83342374,0.00594822,0.18224663
-5.84392196,2.30194086,0.13237985,0.00000000,1.07258928,0.89878367,0.00644380,0.19849237
-5.83791896,2.46148508,0.14454918,0.00000000,1.14310515,0.96617367,0.00697936,0.21503045
-5.83191596,2.62215593,0.15684883,0.00000000,1.21387148,1.03476350,0.00754685,0.23164292
-5.82591296,2.78173454,0.16912149,0.00000000,1.28392475,1.10363119,0.00813699,0.24809646
-5.81990995,2.93787911,0.18119680,0.00000000,1.35225864,1.17177941,0.00873946,0.26414616
-5.81390695,3.08817418,0.19289480,0.00000000,1.41784573,1.23815568,0.00934313,0.27954021
-5.80790395,3.23018571,0.20403007,0.00000000,1.47966110,1.30167600,0.00993628,0.29402535
-5.80190095,3.36152046,0.21441637,0.00000000,1.53670747,1.36125129,0.01050692,0.30735287
-5.79589795,3.47988758,0.22387166,0.00000000,1.58804065,1.41581558,0.01104308,0.31928510
-5.78989495,3.58316017,0.23222330,0.00000000,1.63279457,1.46435521,0.01153318,0.32960190
-5.78389195,3.66943457,0.23931326,0.00000000,1.67020493,1.50593772,0.01196632,0.33810711
-5.77788894,3.73708481,0.24500301,0.00000000,1.69963026,1.53973933,0.01233263,0.34463444
-5.77188594,3.78481007,0.24917803,0.00000000,1.72056988,1.56506994,0.01262356,0.34905281
-5.76588294,3.81167306,0.25175168,0.00000000,1.73267760,1.58139432,0.01283217,0.35127060
