energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Y_p_up,Y_d_up
-6.00000000,1.77482995,0.02120007,1.04162182,0.03771602,0.00011265,0.31474606,0.61756940
-5.99399700,1.73962254,0.02083715,1.02174777,0.03661072,0.00011048,0.31210420,0.60772333
-5.98799400,1.70109202,0.02042431,0.99975936,0.03551404,0.00010815,0.30886131,0.59675147
-5.98199100,1.65931170,0.01996254,0.97575899,0.03442045,0.00010564,0.30497743,0.58467423
-5.97598799,1.61441043,0.01945332,0.94987945,0.03332417,0.00010295,0.30042677,0.57152565
-5.96998499,1.56658526,0.01889881,0.92228928,0.03221972,0.00010005,0.29520226,0.55735842
-5.96398199,1.51611187,0.01830191,0.89319744,0.03110246,0.00009696,0.28931947,0.54224850
-5.95797899,1.46335223,0.01766641,0.86285685,0.02996899,0.00009367,0.28281962,0.52629923
-5.95197599,1.40875893,0.01699699,0.83156670,0.02881751,0.00009021,0.27577165,0.50964456
-5.94597299,1.35287602,0.01629927,0.79967306,0.02764818,0.00008660,0.26827315,0.49245122
-5.93996998,1.29633602,0.01557973,0.76756781,0.02646324,0.00008287,0.26045008,0.47491967
-5.93396698,1.23985320,0.01484570,0.73568572,0.02526715,0.00007907,0.25245532,0.45728364
-5.92796398,1.18421323,0.01410519,0.70449957,0.02406656,0.00007524,0.24446605,0.43980829
-5.92196098,1.13025948,0.01336679,0.67451340,0.02287025,0.00007144,0.23668004,0.42278687
-5.91595798,1.07887635,0.01263946,0.64625406,0.02168895,0.00006773,0.22931104,0.40653602
-5.90995498,1.03097028,0.01193234,0.62026109,0.02053505,0.00006417,0.22258331,0.39138982
-5.90395198,0.98744880,0.01125454,0.59707535,0.01942235,0.00006082,0.21672558,0.37769265
-5.89794897,0.94919852,0.01061493,0.57722657,0.01836568,0.00005773,0.21196463,0.36579128
-5.89194597,0.91706260,0.01002190,0.56122031,0.01738051,0.00005497,0.20851861,0.35602624
-5.88594297,0.89181846,0.00948315,0.54952461,0.01648258,0.00005258,0.20659045,0.34872286
-5.87993997,0.87415647,0.00900554,0.54255687,0.01568746,0.00005061,0.20636148,0.34418230
-5.87393697,0.86466019,0.00859490,0.54067133,0.01501021,0.00004909,0.20798559,0.34267281
-5.86793397,0.86378904,0.00825587,0.54414771,0.01446495,0.00004805,0.21158399,0.34442158
-5.86193097,0.87186365,0.00799187,0.55318126,0.01406455,0.00004752,0.21724085,0.34960746
-5.85592796,0.88905471,0.00780496,0.56787485,0.01382031,0.00004749,0.22499999,0.35835479
-5.84992496,0.91537556,0.00769588,0.58823326,0.01374166,0.00004796,0.23486268,0.37072869
-5.84392196,0.95067893,0.00766403,0.61416016,0.01383590,0.00004894,0.24678678,0.38673180
-5.83791896,0.99465800,0.00770753,0.64545781,0.01410802,0.00005039,0.26068712,0.40630284
