energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.28185440,0.00479546,0.47300323,0.65296471,2.03065869,0.02833801,0.71298105
-5.99399700,3.30514385,0.00462082,0.47976429,0.66212252,2.04485676,0.02842236,0.71484946
-5.98799400,3.33561055,0.00445841,0.48749197,0.67295533,2.06316430,0.02858905,0.71856833
-5.98199100,3.37407904,0.00430933,0.49631717,0.68558509,2.08614160,0.02883896,0.72428250
-5.97598799,3.42098657,0.00417419,0.50632360,0.70005196,2.11411816,0.02916939,0.73203568
-5.96998499,3.47635556,0.00405309,0.51754277,0.71631409,2.14717230,0.02957402,0.74176643
-5.96398199,3.53978412,0.00394567,0.52995122,0.73425163,2.18512132,0.03004294,0.75330878
-5.95797899,3.61045528,0.00385107,0.54347016,0.75367502,2.22752281,0.03056297,0.76639759
-5.95197599,3.68716478,0.00376805,0.55796762,0.77433680,2.27368726,0.03111804,0.78067823
-5.94597299,3.76836617,0.00369501,0.57326304,0.79594661,2.32270140,0.03168983,0.79572039
-5.93996998,3.85223131,0.00363010,0.58913403,0.81818833,2.37346150,0.03225843,0.81103515
-5.93396698,3.93672346,0.00357132,0.60532504,0.84073843,2.42471504,0.03280319,0.82609478
-5.92796398,4.01967969,0.00351660,0.62155757,0.86328449,2.47510914,0.03330352,0.84035412
-5.92196098,4.09889872,0.00346393,0.63754131,0.88554278,2.52324343,0.03373983,0.85327269
-5.91595798,4.17223025,0.00341142,0.65298586,0.90727388,2.56772530,0.03409428,0.86433650
-5.90995498,4.23766180,0.00335740,0.66761229,0.92829545,2.60722490,0.03435157,0.87307851
-5.90395198,4.29339903,0.00330046,0.68116416,0.94849131,2.64052776,0.03449961,0.87909695
-5.89794897,4.33793635,0.00323955,0.69341738,0.96781645,2.66658270,0.03452997,0.88207061
-5.89194597,4.37011477,0.00317397,0.70418854,0.98629762,2.68454314,0.03443826,0.88177065
-5.88594297,4.38916479,0.00310339,0.71334144,1.00402960,2.69380022,0.03422427,0.87806834
-5.87993997,4.39473314,0.00302784,0.72079141,1.02116730,2.69400661,0.03389197,0.87093872
-5.87393697,4.38689246,0.00294768,0.72650744,1.03791449,2.68509010,0.03344928,0.86045999
-5.86793397,4.36613455,0.00286360,0.73051211,1.05450967,2.66725696,0.03290776,0.84680904
-5.86193097,4.33334785,0.00277651,0.73287938,1.07121017,2.64098502,0.03228208,0.83025341
-5.85592796,4.28978106,0.00268753,0.73373042,1.08827544,2.60700724,0.03158946,0.81114019
-5.84992496,4.23699490,0.00259791,0.73322782,1.10595068,2.56628664,0.03084900,0.78988266
-5.84392196,4.17680465,0.00250895,0.73156849,1.12445156,2.51998385,0.03008097,0.76694518
-5.83791896,4.11121616,0.00242200,0.72897563,1.14395128,2.46941872,0.02930608,0.74282731
-5.83191596,4.04235812,0.00233834,0.72569008,1.16457026,2.41602767,0.02854483,0.71804765
-5.82591296,3.97241323,0.00225919,0.72196146,1.18636933,2.36131822,0.02781689,0.69312824
-5.81990995,3.90355071,0.00218564,0.71803952,1.20934630,2.30682238,0.02714053,0.66857998
-5.81390695,3.83786230,0.00211865,0.71416575,1.23343626,2.25405051,0.02653217,0.64488956
-5.80790395,3.77730339,0.00205901,0.71056573,1.25851496,2.20444679,0.02600607,0.62250826
-5.80190095,3.72364080,0.00200735,0.70744228,1.28440522,2.15934780,0.02557400,0.60184274
-5.79589795,3.67840805,0.00196415,0.70496952,1.31088539,2.11994503,0.02524520,0.58324803
-5.78989495,3.64286885,0.00192972,0.70328803,1.33769951,2.08725239,0.02502624,0.56702256
-5.78389195,3.61798926,0.00190423,0.70250110,1.36456811,2.06207939,0.02492110,0.55340520
-5.77788894,3.60441852,0.00188772,0.70267204,1.39119917,2.04501051,0.02493128,0.54257416
-5.77188594,3.60247877,0.00188011,0.70382271,1.41729847,2.03639133,0.02505590,0.53464745
-5.76588294,3.61216350,0.00188120,0.70593319,1.44257897,2.03632158,0.02529196,0.52968477
-5.75987994,3.63314448,0.00189073,0.70894260,1.46676870,2.04465547,0.02563454,0.52769047
-5.75387694,3.66478714,0.00190832,0.71275105,1.48961710,2.06100909,0.02607704,0.52861753
-5.74787394,3.70617385,0.00193352,0.71722277,1.51089976,2.08477492,0.02661140,0.53237222
-5.74187094,3.75613487,0.00196582,0.72219036,1.53042167,2.11514312,0.02722841,0.53881930
-5.73586793,3.81328614,0.00200463,0.72746008,1.54801914,2.15112896,0.02791792,0.54778771
-5.72986493,3.87607332,0.00204930,0.73281812,1.56356080,2.19160577,0.02866905,0.55907642
-5.72386193,3.94282080,0.00209911,0.73803770,1.57694777,2.23534246,0.02947048,0.57246051
-5.71785893,4.01178437,0.00215332,0.74288684,1.58811346,2.28104426,0.03031060,0.58769722
-5.71185593,4.08120602,0.00221112,0.74713651,1.59702311,2.32739549,0.03117774,0.60453185
-5.70585293,4.14936877,0.00227169,0.75056888,1.60367310,2.37310267,0.03206037,0.62270346
-5.69984992,4.21464965,0.00233420,0.75298538,1.60809021,2.41693627,0.03294718,0.64195010
-5.69384692,4.27556846,0.00239784,0.75421414,1.61033059,2.45776956,0.03382733,0.66201344
-5.68784392,4.33083036,0.00246185,0.75411652,1.61047838,2.49461274,0.03469047,0.68264272
-5.68184092,4.37936016,0.00252553,0.75259231,1.60864376,2.52664092,0.03552687,0.70359782
-5.67583792,4.42032671,0.00258828,0.74958339,1.60496011,2.55321478,0.03632750,0.72465134
-5.66983492,4.45315617,0.00264965,0.74507548,1.59958035,2.57389284,0.03708400,0.74558970
-5.66383192,4.47753350,0.00270932,0.73909803,1.59267203,2.58843494,0.03778873,0.76621323
-5.65782891,4.49339216,0.00276717,0.73172200,1.58441146,2.59679691,0.03843476,0.78633534
-5.65182591,4.50089267,0.00282326,0.72305576,1.57497682,2.59911672,0.03901581,0.80578088
-5.64582291,4.50039137,0.00287788,0.71323922,1.56454065,2.59569320,0.03952620,0.82438401
-5.63981991,4.49240141,0.00293151,0.70243653,1.55326189,2.58695837,0.03996082,0.84198567
-5.63381691,4.47754829,0.00298486,0.69082771,1.54127826,2.57344537,0.04031507,0.85843122
-5.62781391,4.45652279,0.00303880,0.67859967,1.52869922,2.55575360,0.04058486,0.87356836
-5.62181091,4.43003423,0.00309441,0.66593714,1.51560029,2.53451324,0.04076654,0.88724572
-5.61580790,4.39876693,0.00315289,0.65301397,1.50201915,2.51035115,0.04085696,0.89931253
-5.60980490,4.36334252,0.00321555,0.63998533,1.48795402,2.48386006,0.04085347,0.90961939
-5.60380190,4.32429033,0.00328375,0.62698120,1.47336463,2.45557261,0.04075401,0.91802040
-5.59779890,4.28202742,0.00335890,0.61410151,1.45817586,2.42594156,0.04055719,0.92437666
-5.59179590,4.23684931,0.00344235,0.60141313,1.44228412,2.39532700,0.04026237,0.92856100
-5.58579290,4.18893146,0.00353542,0.58894890,1.42556609,2.36399098,0.03986980,0.93046372
-5.57978989,4.13834098,0.00363926,0.57670864,1.40788941,2.33209928,0.03938071,0.92999913
-5.57378689,4.08505736,0.00375492,0.56466198,1.38912483,2.29972989,0.03879742,0.92711224
-5.56778389,4.02900018,0.00388323,0.55275292,1.36915881,2.26688714,0.03812340,0.92178537
-5.56178089,3.97006162,0.00402481,0.54090565,1.34790602,2.23352004,0.03736332,0.91404399
-5.55577789,3.90814116,0.00418004,0.52903131,1.32532071,2.19954355,0.03652303,0.90396138
-5.54977489,3.84317963,0.00434904,0.51703524,1.30140625,2.16486077,0.03560954,0.89166153
