energy_ev,total_up,total_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.73755800,-2.83476396,0.33087064,-0.69135612,0.00000000,-0.00000000,0.80678017,-1.62189518,0.57627853,-0.34731740,0.01039463,-0.01385524,0.40527859,-0.52010601,0.03545865,-0.05893608,0.45079702,-1.27874369
-5.99399700,1.67829275,-2.77508592,0.31895926,-0.66400109,0.00000000,-0.00000000,0.78536380,-1.57943100,0.54264567,-0.35496233,0.01024805,-0.01319706,0.38574004,-0.52040304,0.03678905,-0.05739323,0.44403223,-1.23944941
-5.98799400,1.62095343,-2.71117710,0.30720602,-0.63510636,0.00000000,-0.00000000,0.76315798,-1.53272468,0.51004793,-0.36353846,0.01006856,-0.01248887,0.36603176,-0.52054046,0.03816212,-0.05568870,0.43880430,-1.19737433
-5.98199100,1.56575233,-2.64433622,0.29563211,-0.60512998,0.00000000,-0.00000000,0.74015767,-1.48263237,0.47870774,-0.37304465,0.00986206,-0.01174264,0.34630996,-0.52067942,0.03957550,-0.05385906,0.43496822,-1.15319719
-5.97598799,1.51285430,-2.57588835,0.28425594,-0.57453166,0.00000000,-0.00000000,0.71637931,-1.43006113,0.44881605,-0.38347601,0.00963491,-0.01097059,0.32672833,-0.52099492,0.04102460,-0.05194078,0.43235645,-1.10760075
-5.96998499,1.46237502,-2.50715309,0.27309447,-0.54376358,0.00000000,-0.00000000,0.69185967,-1.37594996,0.42052960,-0.39482243,0.00939375,-0.01018490,0.30743344,-0.52167063,0.04250234,-0.04996912,0.43078572,-1.06125622
-5.96398199,1.41438115,-2.43941606,0.26216436,-0.51326195,0.00000000,-0.00000000,0.66665461,-1.32125118,0.39396930,-0.40706762,0.00914523,-0.00939738,0.28856066,-0.52289431,0.04399907,-0.04797714,0.43006403,-1.01480917
-5.95797899,1.36889233,-2.37390439,0.25148313,-0.48343979,0.00000000,-0.00000000,0.64083769,-1.26691272,0.36921964,-0.42018904,0.00889585,-0.00861926,0.27023078,-0.52485377,0.04550252,-0.04599494,0.42999758,-0.96886734
-5.95197599,1.32588481,-2.31176672,0.24107000,-0.45468065,0.00000000,-0.00000000,0.61449872,-1.21386160,0.34632922,-0.43415839,0.00865173,-0.00786089,0.25254740,-0.52773347,0.04699808,-0.04404903,0.43039746,-0.92399061
-5.94597299,1.28529660,-2.25405756,0.23094650,-0.42733377,0.00000000,-0.00000000,0.58774224,-1.16298872,0.32531227,-0.44894276,0.00841848,-0.00713163,0.23559521,-0.53171180,0.04846911,-0.04216194,0.43108571,-0.88068314
-5.93996998,1.24703377,-2.20172600,0.22113681,-0.40171029,0.00000000,-0.00000000,0.56068576,-1.11513511,0.30615103,-0.46450604,0.00820110,-0.00643969,0.21943914,-0.53695878,0.04989741,-0.04035208,0.43190045,-0.83938792
-5.93396698,1.21097747,-2.15560811,0.21166765,-0.37808067,0.00000000,-0.00000000,0.53345785,-1.07107952,0.28879899,-0.48081063,0.00800386,-0.00579204,0.20412440,-0.54363410,0.05126384,-0.03863372,0.43270012,-0.80048334
-5.92796398,1.17699122,-2.11642250,0.20256795,-0.35667315,0.00000000,-0.00000000,0.50619598,-1.03152743,0.27318469,-0.49781898,0.00783025,-0.00519438,0.18967721,-0.55188526,0.05254893,-0.03701720,0.43336636,-0.76428183
-5.92196098,1.14492813,-2.08476809,0.19386807,-0.33767315,0.00000000,-0.00000000,0.47904408,-0.99710115,0.25921588,-0.51549491,0.00768299,-0.00465116,0.17610631,-0.56184569,0.05373361,-0.03550929,0.43380567,-0.73103018
-5.91595798,1.11463740,-2.06112336,0.18559879,-0.32122331,0.00000000,-0.00000000,0.45214985,-0.96833110,0.24678391,-0.53380434,0.00756401,-0.00416557,0.16340486,-0.57363247,0.05479990,-0.03411362,0.43394974,-0.70091132
-5.90995498,1.08596991,-2.04584616,0.17778998,-0.30742422,0.00000000,-0.00000000,0.42566177,-0.94564789,0.23576811,-0.55271535,0.00747450,-0.00373966,0.15155282,-0.58734369,0.05573151,-0.03283120,0.43375441,-0.67404708
-5.90395198,1.05878246,-2.03917350,0.17046912,-0.29633550,0.00000000,-0.00000000,0.39972595,-0.92937540,0.22603995,-0.57219739,0.00741494,-0.00337440,0.14051948,-0.60305516,0.05651438,-0.03166097,0.43319752,-0.65050183
-5.89794897,1.03294051,-2.04122067,0.16365969,-0.28797717,0.00000000,-0.00000000,0.37448282,-0.91972465,0.21746688,-0.59221958,0.00738518,-0.00306978,0.13026602,-0.62081657,0.05713713,-0.03060035,0.43227560,-0.63028650
-5.89194597,1.00831941,-2.05197941,0.15737957,-0.28233120,0.00000000,-0.00000000,0.35006387,-0.91678859,0.20991561,-0.61274812,0.00738453,-0.00282491,0.12074810,-0.64064703,0.05759133,-0.02964572,0.43099984,-0.61336281
-5.88594297,0.98480405,-2.07131513,0.15163946,-0.27934308,0.00000000,-0.00000000,0.32658845,-0.92053802,0.20325493,-0.63374292,0.00741179,-0.00263814,0.11191812,-0.66253029,0.05787158,-0.02879285,0.42939142,-0.59964754
-5.87993997,0.96228725,-2.09896333,0.14644155,-0.27892351,0.00000000,-0.00000000,0.30416084,-0.93081880,0.19735787,-0.65515364,0.00746537,-0.00250716,0.10372730,-0.68640968,0.05797555,-0.02803728,0.42747663,-0.58901666
-5.87393697,0.94066718,-2.13452568,0.14177846,-0.28095005,0.00000000,-0.00000000,0.28286770,-0.94735074,0.19210329,-0.67691526,0.00754334,-0.00242909,0.09612735,-0.71218316,0.05790372,-0.02737451,0.42528198,-0.58130920
-5.86793397,0.91984402,-2.17746642,0.13763245,-0.28526891,0.00000000,-0.00000000,0.26277607,-0.96972836,0.18737690,-0.69894376,0.00764353,-0.00240054,0.08907182,-0.73969890,0.05765914,-0.02680016,0.42282964,-0.57633103
-5.86193097,0.89971659,-2.22710997,0.13397517,-0.29169680,0.00000000,-0.00000000,0.24393195,-0.99742412,0.18307192,-0.72113187,0.00776358,-0.00241774,0.08251703,-0.76875167,0.05724700,-0.02631004,0.42013363,-0.57385842
-5.85592796,0.88017913,-2.28264052,0.13076778,-0.30002305,0.00000000,-0.00000000,0.22635962,-1.02979413,0.17908920,-0.74334560,0.00790099,-0.00247659,0.07642268,-0.79908047,0.05667416,-0.02590012,0.41719666,-0.57364156
-5.84992496,0.86111874,-2.34310467,0.12796163,-0.31001204,0.00000000,-0.00000000,0.21006165,-1.06608694,0.17533731,-0.76542171,0.00805324,-0.00257266,0.07075212,-0.83036784,0.05594871,-0.02556644,0.41400829,-0.57540821
-5.84392196,0.84241395,-2.40741788,0.12549933,-0.32140600,0.00000000,-0.00000000,0.19501974,-1.10545531,0.17173231,-0.78716637,0.00821779,-0.00270136,0.06547240,-0.86224110,0.05507946,-0.02530497,0.41054404,-0.57886754
-5.83791896,0.82393452,-2.47437553,0.12331636,-0.33392834,0.00000000,-0.00000000,0.18119622,-1.14697119,0.16819762,-0.80835547,0.00839216,-0.00285789,0.06055406,-0.89427577,0.05407553,-0.02511152,0.40676587,-0.58371427
-5.83191596,0.80554264,-2.54266891,0.12134297,-0.34728751,0.00000000,-0.00000000,0.16853621,-1.18964368,0.16466391,-0.82873658,0.00857395,-0.00303738,0.05597084,-0.92600143,0.05294604,-0.02498162,0.40262384,-0.58963336
-5.82591296,0.78709572,-2.61090660,0.11950647,-0.36118143,0.00000000,-0.00000000,0.15697033,-1.23243981,0.16106909,-0.84803267,0.00876095,-0.00323491,0.05169927,-0.95690981,0.05169980,-0.02491044,0.39805874,-0.59630511
-5.81990995,0.76845042,-2.67764084,0.11773363,-0.37530250,0.00000000,-0.00000000,0.14641787,-1.27430757,0.15735853,-0.86594768,0.00895108,-0.00344561,0.04771828,-0.98646525,0.05034521,-0.02489280,0.39300578,-0.60341084
-5.81390695,0.74946787,-2.74139870,0.11595328,-0.38934304,0.00000000,-0.00000000,0.13679016,-1.31420075,0.15348540,-0.88217361,0.00914246,-0.00366473,0.04400881,-1.01411716,0.04889021,-0.02492319,0.38739885,-0.61063896
