energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,7.92818269,3.67345433,3.73437352,0.05464472,5.14589071,0.36207568,0.01530920
-5.99399700,7.98213709,3.68339518,3.77681771,0.05236492,5.19527632,0.35937545,0.01530013
-5.98799400,8.04643238,3.69592616,3.82504080,0.05041747,5.24913467,0.35864206,0.01532093
-5.98199100,8.12186147,3.71136648,3.87936200,0.04882523,5.30799672,0.35986505,0.01537519
-5.97598799,8.20893415,3.72993094,3.93993640,0.04760698,5.37222796,0.36300009,0.01546594
-5.96998499,8.30782690,3.75171096,4.00672976,0.04677751,5.44199511,0.36796637,0.01559546
-5.96398199,8.41833900,3.77665789,4.07949713,0.04634759,5.51723676,0.37464505,0.01576507
-5.95797899,8.53985835,3.80456975,4.15776703,0.04632393,5.59764016,0.38287880,0.01597502
-5.95197599,8.67133956,3.83508271,4.24083243,0.04670909,5.68262593,0.39247267,0.01622439
-5.94597299,8.81129730,3.86766835,4.32774999,0.04750134,5.77134244,0.40319631,0.01651098
-5.93996998,8.95781669,3.90163763,4.41734825,0.04869449,5.86267112,0.41478772,0.01683137
-5.93396698,9.10858212,3.93615208,4.50824566,0.05027767,5.95524364,0.42695842,0.01718090
-5.92796398,9.26092482,3.97024257,4.59887812,0.05223518,6.04747101,0.43939992,0.01755385
-5.92196098,9.41188845,4.00283525,4.68753604,0.05454633,6.13758434,0.45179138,0.01794352
-5.91595798,9.55831088,4.03278405,4.77240951,0.05718537,6.22368595,0.46380818,0.01834251
-5.90995498,9.69691927,4.05890860,4.85164041,0.06012154,6.30380917,0.47513101,0.01874294
-5.90395198,9.82443466,4.08003591,4.92337925,0.06331918,6.37598422,0.48545522,0.01913673
-5.89794897,9.93768138,4.09504403,4.98584445,0.06673806,6.43830737,0.49449987,0.01951589
-5.89194597,10.03369621,4.10290541,5.03738146,0.07033383,6.48901009,0.50201624,0.01987284
-5.88594297,10.10983192,4.10272789,5.07651893,0.07405862,6.52652481,0.50779515,0.02020064
-5.87993997,10.16385011,4.09379108,5.10201935,0.07786187,6.54954385,0.51167300,0.02049327
-5.87393697,10.19399847,4.07557615,5.11292158,0.08169119,6.55706863,0.51353599,0.02074585
-5.86793397,10.19906867,4.04778743,5.10857332,0.08549351,6.54844656,0.51332251,0.02095474
-5.86193097,10.17843187,4.01036465,5.08865200,0.08921615,6.52339368,0.51102338,0.02111765
-5.85592796,10.13205038,3.96348517,5.05317296,0.09280811,6.48200197,0.50668019,0.02123366
-5.84992496,10.06046497,3.90755610,5.00248500,0.09622124,6.42473112,0.50038164,0.02130320
-5.84392196,9.96475925,3.84319682,4.93725338,0.09941148,6.35238539,0.49225816,0.02132790
-5.83791896,9.84650321,3.77121317,4.85843165,0.10233997,6.26607710,0.48247519,0.02131045
-5.83191596,9.70767967,3.69256453,4.76722387,0.10497402,6.16717882,0.47122542,0.02125441
-5.82591296,9.55059807,3.60832602,4.66503927,0.10728796,6.05726728,0.45872038,0.02116395
-5.81990995,9.37780036,3.51964789,4.55344198,0.10926377,5.93806201,0.44518192,0.02104363
-5.81390695,9.19196450,3.42771426,4.43409824,0.11089142,5.81136212,0.43083393,0.02089812
-5.80790395,8.99581046,3.33370354,4.30872368,0.11216904,5.67898455,0.41589474,0.02073198
-5.80190095,8.79201351,3.23875248,4.17903324,0.11310279,5.54270686,0.40057047,0.02054945
-5.79589795,8.58312868,3.14392554,4.04669547,0.11370645,5.40421709,0.38504970,0.02035427
-5.78989495,8.37152938,3.05019080,3.91329322,0.11400079,5.26507283,0.36949949,0.02014955
-5.78389195,8.15936224,2.95840329,3.78029152,0.11401271,5.12667067,0.35406294,0.01993773
-5.77788894,7.94851876,2.86929589,3.64901359,0.11377424,4.99022687,0.33885823,0.01972052
-5.77188594,7.74062355,2.78347770,3.52062491,0.11332128,4.85676895,0.32397900,0.01949893
-5.76588294,7.53703789,2.70143918,3.39612493,0.11269237,4.72713749,0.30949599,0.01927337
-5.75987994,7.33887630,2.62356293,3.27634591,0.11192736,4.60199687,0.29545959,0.01904376
-5.75387694,7.14703337,2.55013886,3.16195759,0.11106605,4.48185303,0.28190311,0.01880964
-5.74787394,6.96221766,2.48138225,3.05347654,0.11014698,4.36707642,0.26884651,0.01857039
-5.74187094,6.78498937,2.41745293,2.95127890,0.10920624,4.25792775,0.25630017,0.01832532
-5.73586793,6.61579835,2.35847419,2.85561505,0.10827650,4.15458454,0.24426868,0.01807390
-5.72986493,6.45501969,2.30454994,2.76662517,0.10738616,4.05716637,0.23275415,0.01781585
-5.72386193,6.30298429,2.25577877,2.68435449,0.10655879,3.96575721,0.22175912,0.01755131
-5.71785893,6.16000245,2.21226416,2.60876751,0.10581272,3.88042341,0.21128878,0.01728087
-5.71185593,6.02637927,2.17411999,2.53976054,0.10516086,3.80122644,0.20135251,0.01700567
-5.70585293,5.90242125,2.14147125,2.47717228,0.10461080,3.72822981,0.19196471,0.01672740
-5.69984992,5.78843412,2.11444978,2.42079226,0.10416501,3.66150013,0.18314503,0.01644824
-5.69384692,5.68471258,2.09318560,2.37036724,0.10382127,3.60110265,0.17491791,0.01617083
-5.68784392,5.59152316,2.07779427,2.32560585,0.10357319,3.54709189,0.16731177,0.01589818
-5.68184092,5.50908162,2.06836133,2.28618173,0.10341087,3.49949830,0.16035781,0.01563350
-5.67583792,5.43752711,2.06492476,2.25173576,0.10332154,3.45831234,0.15408861,0.01538013
-5.66983492,5.37689482,2.06745675,2.22187768,0.10329026,3.42346704,0.14853673,0.01514135
-5.66383192,5.32708966,2.07584606,2.19618763,0.10330060,3.39482069,0.14373337,0.01492023
-5.65782891,5.28786285,2.08988217,2.17421824,0.10333523,3.37214108,0.13970718,0.01471953
-5.65182591,5.25879370,2.10924248,2.15549732,0.10337648,3.35509254,0.13648347,0.01454153
-5.64582291,5.23927820,2.13348382,2.13953191,0.10340687,3.34322723,0.13408360,0.01438798
-5.63981991,5.22852615,2.16203888,2.12581363,0.10340944,3.33598164,0.13252489,0.01425999
-5.63381691,5.22556776,2.19421857,2.11382574,0.10336818,3.33267910,0.13182082,0.01415803
-5.62781391,5.22927046,2.22922059,2.10305186,0.10326832,3.33253892,0.13198152,0.01408192
-5.62181091,5.23836606,2.26614425,2.09298635,0.10309663,3.33469227,0.13301467,0.01403085
-5.61580790,5.25148765,2.30401147,2.08314625,0.10284172,3.33820462,0.13492644,0.01400347
-5.60980490,5.26721543,2.34179316,2.07308443,0.10249440,3.34210411,0.13772267,0.01399801
-5.60380190,5.28412948,2.37844028,2.06240352,0.10204801,3.34541492,0.14140994,0.01401233
-5.59779890,5.30086756,2.41291811,2.05077014,0.10149885,3.34719422,0.14599660,0.01404413
-5.59179590,5.31618504,2.44424242,2.03792872,0.10084661,3.34657106,0.15149354,0.01409108
-5.58579290,5.32901408,2.47151577,2.02371425,0.10009488,3.34278527,0.15791469,0.01415092
-5.57978989,5.33851863,2.49396209,2.00806304,0.09925157,3.33522421,0.16527712,0.01422164
-5.57378689,5.34414218,2.51095793,1.99102085,0.09832933,3.32345543,0.17360074,0.01430158
-5.56778389,5.34564497,2.52205847,1.97274755,0.09734592,3.30725298,0.18290756,0.01438950
-5.56178089,5.34312815,2.52701702,1.95351769,0.09632432,3.28661573,0.19322049,0.01448463
-5.55577789,5.33704242,2.52579667,1.93371650,0.09529284,3.26177612,0.20456180,0.01458670
-5.54977489,5.32818013,2.51857345,1.91383102,0.09428478,3.23319841,0.21695121,0.01469590
-5.54377189,5.31764994,2.50573056,1.89443640,0.09333804,3.20156587,0.23040389,0.01481283
-5.53776888,5.30683467,2.48784386,1.87617736,0.09249427,3.16775714,0.24492823,0.01493837
-5.53176588,5.29733372,2.46565923,1.85974567,0.09179790,3.13281233,0.26052373,0.01507356
-5.52576288,5.29089224,2.44006285,1.84585398,0.09129471,3.09789052,0.27717906,0.01521950
-5.51975988,5.28932030,2.41204590,1.83520740,0.09103034,3.06422013,0.29487041,0.01537709
-5.51375688,5.29440584,2.38266527,1.82847368,0.09104851,3.03304490,0.31356019,0.01554696
-5.50775388,5.30782555,2.35300239,1.82625342,0.09138914,3.00556782,0.33319627,0.01572927
-5.50175088,5.33105819,2.32412197,1.82905164,0.09208643,2.98289583,0.35371169,0.01592356
-5.49574787,5.36530456,2.29703273,1.83725204,0.09316700,2.96598826,0.37502487,0.01612868
-5.48974487,5.41141830,2.27265167,1.85109508,0.09464820,2.95561129,0.39704033,0.01634271
-5.48374187,5.46985076,2.25177357,1.87066104,0.09653662,2.95230100,0.41964975,0.01656291
-5.47773887,5.54061281,2.23504658,1.89585871,0.09882692,2.95633649,0.44273339,0.01678576
-5.47173587,5.62325519,2.22295488,1.92642046,0.10150112,2.96772459,0.46616160,0.01700701
-5.46573287,5.71686830,2.21580840,1.96190378,0.10452828,2.98619655,0.48979642,0.01722179
-5.45972986,5.82010112,2.21373971,2.00169925,0.10786471,3.01121670,0.51349312,0.01742472
-5.45372686,5.93119805,2.21670747,2.04504470,0.11145472,3.04200248,0.53710141,0.01761012
-5.44772386,6.04805161,2.22450563,2.09104476,0.11523180,3.07755440,0.56046659,0.01777218
-5.44172086,6.16826824,2.23677741,2.13869517,0.11912034,3.11669428,0.58343019,0.01790514
-5.43571786,6.28924382,2.25303285,2.18691066,0.12303771,3.15810972,0.60583048,0.01800354
-5.42971486,6.40824532,2.27266874,2.23455538,0.12689672,3.20040221,0.62750269,0.01806237
-5.42371186,6.52249492,2.29498979,2.28047464,0.13060831,3.24213673,0.64827913,0.01807724
-5.41770885,6.62925284,2.31923003,2.32352680,0.13408431,3.28189031,0.66798930,0.01804458
-5.41170585,6.72589577,2.34457358,2.36261414,0.13724033,3.31829740,0.68646025,0.01796169
-5.40570285,6.80998788,2.37017417,2.39671172,0.13999846,3.35009029,0.70351727,0.01782686
-5.39969985,6.87934219,2.39517304,2.42489328,0.14228978,3.37613294,0.71898508,0.01763940
-5.39369685,6.93207067,2.41871508,2.44635353,0.14405656,3.39544744,0.73268965,0.01739962
-5.38769385,6.96662200,2.43996329,2.46042605,0.14525403,3.40723240,0.74446083,0.01710885
-5.38169085,6.98180676,2.45811160,2.46659674,0.14585168,3.41087330,0.75413561,0.01676928
-5.37568784,6.97681010,2.47239664,2.46451228,0.14583398,3.40594512,0.76156211,0.01638395
-5.36968484,6.95119278,2.48210848,2.45398382,0.14520059,3.39220807,0.76660421,0.01595657
-5.36368184,6.90488168,2.48660091,2.43498591,0.14396593,3.36959734,0.76914647,0.01549143
-5.35767884,6.83815111,2.48530128,2.40765096,0.14215831,3.33820829,0.76909922,0.01499321
-5.35167584,6.75159663,2.47772025,2.37225972,0.13981842,3.29827812,0.76640358,0.01446688
-5.34567284,6.64610299,2.46346123,2.32922809,0.13699754,3.25016565,0.76103588,0.01391751
-5.33966983,6.52280779,2.44222937,2.27909103,0.13375532,3.19433018,0.75301143,0.01335020
-5.33366683,6.38306251,2.41383992,2.22248416,0.13015739,3.13131073,0.74238720,0.01276992
-5.32766383,6.22839215,2.37822531,2.16012364,0.12627277,3.06170638,0.72926319,0.01218144
-5.32166083,6.06045484,2.33544058,2.09278517,0.12217136,2.98615854,0.71378232,0.01158921
-5.31565783,5.88100232,2.28566655,2.02128267,0.11792150,2.90533535,0.69612877,0.01099736
-5.30965483,5.69184222,2.22921018,1.94644745,0.11358772,2.81991856,0.67652476,0.01040963
-5.30365183,5.49480271,2.16650186,1.86910833,0.10922882,2.73059288,0.65522581,0.00982936
-5.29764882,5.29170010,2.09808902,1.79007348,0.10489629,2.63803746,0.63251471,0.00925947
