energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,3.12444532,1.49310022,1.29280364,0.03923688,1.09711321,0.35768256,0.01210327
-5.99399700,3.09493440,1.45617044,1.29053548,0.03797989,1.08299084,0.35446458,0.01188475
-5.98799400,3.06380442,1.41822051,1.28838963,0.03653802,1.06941539,0.34949378,0.01163905
-5.98199100,3.03315651,1.38043915,1.28722820,0.03493847,1.05727856,0.34284851,0.01137355
-5.97598799,3.00507224,1.34399771,1.28789985,0.03321118,1.04743615,0.33464073,0.01109568
-5.96998499,2.98153696,1.31001093,1.29120717,0.03138783,1.04067753,0.32501131,0.01081271
-5.96398199,2.96436669,1.27950035,1.29787509,0.02950083,1.03769736,0.31412479,0.01053147
-5.95797899,2.95514077,1.25336131,1.30852154,0.02758228,1.03907032,0.30216368,0.01025815
-5.95197599,2.95514244,1.23233453,1.32363106,0.02566305,1.04522967,0.28932253,0.00999819
-5.94597299,2.96530906,1.21698307,1.34353242,0.02377192,1.05645022,0.27580201,0.00975605
-5.93996998,2.98619349,1.20767502,1.36838077,0.02193486,1.07283613,0.26180318,0.00953518
-5.93396698,3.01793756,1.20457243,1.39814507,0.02017449,1.09431395,0.24752211,0.00933790
-5.92796398,3.06025861,1.20762663,1.43260119,0.01850959,1.12063084,0.23314501,0.00916541
-5.92196098,3.11244934,1.21657980,1.47133103,0.01695494,1.15135830,0.21884414,0.00901781
-5.91595798,3.17339114,1.23097293,1.51372786,0.01552114,1.18590103,0.20477433,0.00889409
-5.90995498,3.24158056,1.25015962,1.55900785,0.01421472,1.22351096,0.19107052,0.00879228
-5.90395198,3.31516848,1.27332547,1.60622771,0.01303832,1.26330590,0.17784599,0.00870954
-5.89794897,3.39201083,1.29951250,1.65430796,0.01199100,1.30429257,0.16519168,0.00864224
-5.89194597,3.46972962,1.32764789,1.70206156,0.01106861,1.34539325,0.15317610,0.00858621
-5.88594297,3.54578273,1.35657625,1.74822685,0.01026431,1.38547554,0.14184622,0.00853682
-5.87993997,3.61754031,1.38509459,1.79150415,0.00956907,1.42338432,0.13122893,0.00848921
-5.87393697,3.68236552,1.41198885,1.83059479,0.00897219,1.45797502,0.12133301,0.00843845
