energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,6.37560706,2.87505785,1.84560463,0.03253261,0.84103818,0.08427417,3.22784949,1.87275840,0.92007534
-5.99399700,6.44573516,2.91513189,1.84270171,0.03254208,0.84196692,0.08708837,3.27250522,1.93095955,0.91820493
-5.98799400,6.51836028,2.95656510,1.83919616,0.03245552,0.84380797,0.08984988,3.31810343,1.98977056,0.91681911
-5.98199100,6.59059103,2.99776546,1.83437556,0.03226837,0.84617577,0.09252373,3.36312259,2.04795324,0.91555843
-5.97598799,6.65958039,3.03721103,1.82756608,0.03197837,0.84871278,0.09507494,3.40603019,2.10423064,0.91406003
-5.96998499,6.72262820,3.07351108,1.81816059,0.03158579,0.85110398,0.09746932,3.44533805,2.15732965,0.91197415
-5.96398199,6.77728034,3.10546447,1.80564486,0.03109356,0.85309012,0.09967454,3.47965665,2.20602417,0.90897975
-5.95797899,6.82142050,3.13211288,1.78962089,0.03050735,0.85447925,0.10166110,3.50774637,2.24917704,0.90479852
-5.95197599,6.85335088,3.15278667,1.76982640,0.02983553,0.85515612,0.10340339,3.52856332,2.28577886,0.89920670
-5.94597299,6.87185838,3.16714108,1.74614967,0.02908911,0.85508907,0.10488069,3.54129788,2.31498218,0.89204413
-5.93996998,6.87626317,3.17518102,1.71863893,0.02828155,0.85433393,0.10607807,3.54540419,2.33612957,0.88322032
-5.93396698,6.86644712,3.17727270,1.68750590,0.02742848,0.85303486,0.10698722,3.54061926,2.34877435,0.87271714
-5.92796398,6.84286049,3.17414102,1.65312309,0.02654737,0.85142169,0.10760703,3.52697066,2.35269310,0.86058826
-5.92196098,6.80650597,3.16685217,1.61601493,0.02565712,0.84980374,0.10794400,3.50477266,2.34788957,0.84695526
-5.91595798,6.75890003,3.15678117,1.57684274,0.02477758,0.84856014,0.10801229,3.47461056,2.33458978,0.83200076
-5.90995498,6.70201275,3.14556502,1.53638415,0.02392906,0.84812674,0.10783359,3.43731416,2.31322873,0.81595898
-5.90395198,6.63818798,3.13504256,1.49550748,0.02313171,0.84897984,0.10743658,3.39392128,2.28442926,0.79910405
-5.89794897,6.57004669,3.12718283,1.45514208,0.02240506,0.85161719,0.10685608,3.34563303,2.24897428,0.78173693
-5.89194597,6.50037712,3.12400420,1.41624559,0.02176737,0.85653673,0.10613193,3.29376265,2.20777353,0.76417132
-5.88594297,6.43201602,3.12748712,1.37976927,0.02123513,0.86421389,0.10530755,3.23968022,2.16182642,0.74671934
-5.87993997,6.36772575,3.13948397,1.34662283,0.02082258,0.87507807,0.10442829,3.18475557,2.11218270,0.72967768
-5.87393697,6.31007220,3.16162927,1.31763986,0.02054119,0.88948933,0.10353962,3.13030184,2.05990257,0.71331472
-5.86793397,6.26130865,3.19525434,1.29354530,0.02039934,0.90771622,0.10268520,3.07752207,2.00601800,0.69785926
-5.86193097,6.22327068,3.24131008,1.27492620,0.02040195,0.92991574,0.10190501,3.02746110,1.95149684,0.68349123
-5.85592796,6.19728648,3.30030149,1.26220682,0.02055032,0.95611644,0.10123346,2.98096474,1.89721107,0.67033490
-5.84992496,6.18410685,3.37223745,1.25562921,0.02084193,0.98620558,0.10069779,2.93864790,1.84391052,0.65845455
-5.84392196,6.18385811,3.45659844,1.25523993,0.02127044,1.01992118,0.10031670,2.90087285,1.79220291,0.64785308
-5.83791896,6.19602029,3.55232461,1.26088369,0.02182580,1.05684960,0.10009925,2.86773857,1.74254073,0.63847323
-5.83191596,6.21943204,3.65782542,1.27220409,0.02249438,1.09642911,0.10004426,2.83908142,1.69521553,0.63020146
-5.82591296,6.25232248,3.77101156,1.28865172,0.02325925,1.13795968,0.10014011,2.81448701,1.65035932,0.62287428
-5.81990995,6.29236914,3.88934862,1.30949929,0.02410062,1.18061891,0.10036504,2.79331273,1.60795287,0.61628660
-5.81390695,6.33677996,4.00993095,1.33386349,0.02499628,1.22348368,0.10068783,2.77471977,1.56784035,0.61020187
-5.80790395,6.38239626,4.12957341,1.36073275,0.02592214,1.26555698,0.10106905,2.75771332,1.52974932,0.60436339
-5.80190095,6.42581260,4.24491750,1.38900001,0.02685289,1.30579888,0.10146262,2.74118912,1.49331506,0.59850643
-5.79589795,6.46350885,4.35254782,1.41749930,0.02776266,1.34316059,0.10181772,2.72398445,1.45810799,0.59237066
-5.78989495,6.49198892,4.44911400,1.44504489,0.02862576,1.37662011,0.10208091,2.70493128,1.42366291,0.58571233
-5.78389195,6.50792044,4.53145309,1.47047135,0.02941733,1.40521810,0.10219851,2.68290952,1.38950862,0.57831575
-5.77788894,6.50826971,4.59670702,1.49267331,0.03011415,1.42809245,0.10211885,2.65689807,1.35519664,0.57000367
-5.77188594,6.49042615,4.64243022,1.51064313,0.03069524,1.44450989,0.10179458,2.62602171,1.32032777,0.56064619
-5.76588294,6.45231123,4.66668247,1.52350521,0.03114252,1.45389340,0.10118478,2.58959191,1.28457538,0.55016781
-5.75987994,6.39246737,4.66810311,1.53054562,0.03144133,1.45584418,0.10025677,2.54714008,1.24770456,0.53855248
-5.75387694,6.31012338,4.64596346,1.53123587,0.03158092,1.45015715,0.09898763,2.49844204,1.20958637,0.52584647
-5.74787394,6.20523392,4.60019525,1.52525001,0.03155470,1.43682943,0.09736529,2.44353279,1.17020678,0.51215892
-5.74187094,6.07849181,4.53139417,1.51247454,0.03136052,1.41606142,0.09538918,2.38271143,1.12967011,0.49766019
-5.73586793,5.93131309,4.44079882,1.49301066,0.03100071,1.38825067,0.09307042,2.31653592,1.08819704,0.48257805
-5.72986493,5.76579608,4.33024636,1.46716921,0.03048197,1.35397875,0.09043158,2.24580845,1.04611751,0.46719180
-5.72386193,5.58465664,4.20210745,1.43545832,0.02981525,1.31399209,0.08750595,2.17155192,1.00385903,0.45182470
-5.71785893,5.39114293,4.05920374,1.39856473,0.02901534,1.26917763,0.08433652,2.09497896,0.96193119,0.43683479
-5.71185593,5.18893361,3.90471204,1.35732949,0.02810045,1.22053457,0.08097452,2.01745453,0.92090711,0.42260454
-5.70585293,4.98202414,3.74205974,1.31271919,0.02709169,1.16914353,0.07747781,1.94045403,0.88140283,0.40952963
-5.69984992,4.77460587,3.57481602,1.26579400,0.02601242,1.11613464,0.07390904,1.86551829,0.84405567,0.39800718
-5.69384692,4.57094296,3.40658377,1.21767385,0.02488758,1.06265582,0.07033370,1.79420742,0.80950245,0.38842386
-5.68784392,4.37525169,3.24089635,1.16950398,0.02374297,1.00984260,0.06681823,1.72805496,0.77835853,0.38114421
-5.68184092,4.19158665,3.08112319,1.12242136,0.02260456,0.95879057,0.06342810,1.66852417,0.75119842,0.37649941
-5.67583792,4.02373727,2.93038729,1.07752290,0.02149777,0.91053137,0.06022607,1.61696764,0.72853878,0.37477713
-5.66983492,3.87513802,2.79149712,1.03583673,0.02044678,0.86601286,0.05727060,1.57459154,0.71082413,0.37621242
-5.66383192,3.74879423,2.66689430,0.99829722,0.01947396,0.82608380,0.05461454,1.54242553,0.69841583,0.38098015
-5.65782891,3.64722512,2.55861791,0.96572434,0.01859928,0.79148314,0.05230395,1.52129899,0.69158447,0.38918925
-5.65182591,3.57242455,2.46828511,0.93880794,0.01783991,0.76283378,0.05037734,1.51182408,0.69050566,0.40087874
-5.64582291,3.52583934,2.39708729,0.91809687,0.01720977,0.74064036,0.04886505,1.51438573,0.69525914,0.41601602
-5.63981991,3.50836442,2.34580030,0.90399306,0.01671934,0.72529059,0.04778897,1.52913876,0.70583105,0.43449718
-5.63381691,3.52035317,2.31480665,0.89675023,0.01637544,0.71705928,0.04716250,1.55601161,0.72211894,0.45614963
-5.62781391,3.56164140,2.30412759,0.89647690,0.01618114,0.71611448,0.04699077,1.59471642,0.74393902,0.48073679
-5.62181091,3.63158260,2.31346248,0.90314302,0.01613587,0.72252484,0.04727097,1.64476467,0.77103544,0.50796486
-5.61580790,3.72909223,2.34223295,0.91658979,0.01623543,0.73626743,0.04799302,1.70548775,0.80309071,0.53749136
-5.60980490,3.85269861,2.38962954,0.93654187,0.01647227,0.75723545,0.04914026,1.77606145,0.83973713,0.56893521
-5.60380190,4.00059801,2.45465858,0.96262130,0.01683571,0.78524529,0.05069030,1.85553340,0.88056836,0.60188800
-5.59779890,4.17071181,2.53618725,0.99436247,0.01731232,0.82004247,0.05261600,1.94285250,0.92515094,0.63592591
-5.59179590,4.36074362,2.63298540,1.03122758,0.01788627,0.86130632,0.05488645,2.03689916,0.97303509,0.67062199
-5.58579290,4.56823453,2.74376260,1.07262189,0.01853983,0.90865343,0.05746800,2.13651536,1.02376460,0.70555815
-5.57978989,4.79061512,2.86719980,1.11790844,0.01925377,0.96163979,0.06032526,2.24053343,1.07688536,0.74033640
-5.57378689,5.02525297,3.00197474,1.16642180,0.02000790,1.01976208,0.06342211,2.34780275,1.13195230,0.77458891
-5.56778389,5.26949486,3.14678106,1.21748052,0.02078153,1.08245843,0.06672258,2.45721323,1.18853466,0.80798631
-5.56178089,5.52070300,3.30034117,1.27039829,0.02155400,1.14910896,0.07019166,2.56771523,1.24621941,0.84024399
-5.55577789,5.77628532,3.46141305,1.32449356,0.02230512,1.21903688,0.07379600,2.67833499,1.30461288,0.87112612
-5.54977489,6.03371954,3.62879179,1.37909776,0.02301565,1.29151038,0.07750440,2.78818552,1.36334068,0.90044707
-5.54377189,6.29057174,3.80130638,1.43356220,0.02366767,1.36574596,0.08128823,2.89647257,1.42204607,0.92807047
-5.53776888,6.54450963,3.97781281,1.48726378,0.02424500,1.44091350,0.08512159,3.00249599,1.48038699,0.95390571
