energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,9.69600990,0.04973567,1.25640938,0.97238384,0.32785170,6.23984915,4.19468297,3.23123543,0.00000000
-5.99399700,9.80579100,0.04920357,1.28397823,0.97519975,0.32993169,6.37384021,4.25527685,3.23366727,0.00000000
-5.98799400,9.90992161,0.04854880,1.31177567,0.97733073,0.33189017,6.49812462,4.31760630,3.23167919,0.00000000
-5.98199100,10.00732516,0.04777668,1.33938322,0.97873755,0.33376223,6.61146142,4.38099206,3.22534781,0.00000000
-5.97598799,10.09706060,0.04689261,1.36641843,0.97938398,0.33558569,6.71285012,4.44476356,3.21479546,0.00000000
-5.96998499,10.17832482,0.04590201,1.39253529,0.97924006,0.33740024,6.80153747,4.50826000,3.20018999,0.00000000
-5.96398199,10.25045494,0.04481033,1.41742370,0.97828560,0.33924637,6.87701882,4.57083317,3.18174459,0.00000000
-5.95797899,10.31293108,0.04362316,1.44080852,0.97651377,0.34116440,6.93903470,4.63185225,3.15971737,0.00000000
-5.95197599,10.36537958,0.04234628,1.46244849,0.97393439,0.34319326,6.98756340,4.69071082,3.13441024,0.00000000
-5.94597299,10.40757613,0.04098590,1.48213535,0.97057674,0.34536926,7.02280990,4.74683564,3.10616683,0.00000000
-5.93996998,10.43944833,0.03954872,1.49969335,0.96649138,0.34772476,7.04519155,4.79969691,3.07536893,0.00000000
-5.93396698,10.46107634,0.03804215,1.51497928,0.96175098,0.35028661,7.05532068,4.84881903,3.04243123,0.00000000
-5.92796398,10.47269065,0.03647445,1.52788278,0.95644982,0.35307470,7.05398415,4.89379088,3.00779410,0.00000000
-5.92196098,10.47466574,0.03485482,1.53832711,0.95070193,0.35610034,7.04211994,4.93427475,2.97191447,0.00000000
-5.91595798,10.46750882,0.03319352,1.54626982,0.94463801,0.35936469,7.02079076,4.97001273,2.93525489,0.00000000
-5.90995498,10.45184288,0.03150186,1.55170327,0.93840102,0.36285739,6.99115486,5.00082985,2.89827119,0.00000000
-5.90395198,10.42838419,0.02979225,1.55465467,0.93214096,0.36655533,6.95443437,5.02663326,2.86139922,0.00000000
-5.89794897,10.39791452,0.02807811,1.55518538,0.92600892,0.37042183,6.91188178,5.04740720,2.82504148,0.00000000
-5.89194597,10.36124916,0.02637381,1.55338926,0.92015099,0.37440621,6.86474538,5.06320380,2.78955428,0.00000000
-5.88594297,10.31920237,0.02469451,1.54939004,0.91470226,0.37844399,6.81423486,5.07413027,2.75523650,0.00000000
-5.87993997,10.27255230,0.02305607,1.54333768,0.90978152,0.38245776,6.76148852,5.08033306,2.72232067,0.00000000
-5.87393697,10.22200757,0.02147482,1.53540375,0.90548688,0.38635871,6.70754344,5.08198037,2.69096714,0.00000000
