energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,3.69374154,0.86001159,1.95742637,0.00302805,0.43192908,0.63032107,0.48598828,0.00897798,0.79346403
-5.99399700,3.59890546,0.83648211,1.91018036,0.00295889,0.41432845,0.63174524,0.47088094,0.00828943,0.77644423
-5.98799400,3.50424075,0.81277061,1.86362175,0.00289331,0.39686544,0.63187641,0.45574566,0.00763393,0.75881328
-5.98199100,3.40974483,0.78880076,1.81783277,0.00282975,0.37959867,0.63052675,0.44056215,0.00701538,0.74048415
-5.97598799,3.31541226,0.76449887,1.77287676,0.00276662,0.36257235,0.62754198,0.42532075,0.00643656,0.72139392
-5.96998499,3.22125401,0.73980108,1.72880598,0.00270247,0.34581902,0.62280773,0.41002410,0.00589927,0.70150878
-5.96398199,3.12731361,0.71465984,1.68566844,0.00263600,0.32936255,0.61625405,0.39468819,0.00540439,0.68082735
-5.95797899,3.03367910,0.68904930,1.64351316,0.00256612,0.31322113,0.60785787,0.37934240,0.00495206,0.65938220
-5.95197599,2.94048991,0.66296929,1.60239329,0.00249202,0.29741008,0.59764341,0.36402878,0.00454183,0.63723947
-5.94597299,2.84793856,0.63644786,1.56236728,0.00241316,0.28194425,0.58568052,0.34880050,0.00417279,0.61449679
-5.93996998,2.75626722,0.60954201,1.52349781,0.00232928,0.26683994,0.57208125,0.33371962,0.00384372,0.59127964
-5.93396698,2.66575970,0.58233694,1.48584893,0.00224044,0.25211627,0.55699474,0.31885441,0.00355322,0.56773633
-5.92796398,2.57672977,0.55494381,1.44948171,0.00214692,0.23779592,0.54060094,0.30427626,0.00329982,0.54403219
-5.92196098,2.48950690,0.52749626,1.41444903,0.00204927,0.22390538,0.52310347,0.29005655,0.00308210,0.52034305
-5.91595798,2.40442060,0.50014600,1.38078995,0.00194823,0.21047465,0.50472204,0.27626355,0.00289872,0.49684868
-5.90995498,2.32178477,0.47305779,1.34852443,0.00184466,0.19753654,0.48568485,0.26295954,0.00274850,0.47372632
-5.90395198,2.24188309,0.44640403,1.31764885,0.00173958,0.18512570,0.46622138,0.25019839,0.00263042,0.45114477
-5.89794897,2.16495660,0.42035942,1.28813289,0.00163400,0.17327740,0.44655580,0.23802366,0.00254364,0.42925933
-5.89194597,2.09119429,0.39509580,1.25991807,0.00152898,0.16202620,0.42690135,0.22646721,0.00248747,0.40820754
-5.88594297,2.02072703,0.37077750,1.23291823,0.00142555,0.15140472,0.40745581,0.21554862,0.00246134,0.38810624
-5.87993997,1.95362533,0.34755729,1.20702187,0.00132464,0.14144237,0.38839816,0.20527505,0.00246474,0.36904959
-5.87393697,1.88990066,0.32557302,1.18209642,0.00122710,0.13216427,0.36988648,0.19564181,0.00249714,0.35110830
-5.86793397,1.82951010,0.30494506,1.15799397,0.00113367,0.12359034,0.35205693,0.18663344,0.00255795,0.33432981
-5.86193097,1.77236369,0.28577443,1.13455826,0.00104493,0.11573459,0.33502380,0.17822513,0.00264641,0.31873942
-5.85592796,1.71833386,0.26814169,1.11163230,0.00096135,0.10860458,0.31888042,0.17038450,0.00276154,0.30434207
-5.84992496,1.66726611,0.25210638,1.08906629,0.00088325,0.10220115,0.30370070,0.16307354,0.00290202,0.29112467
-5.84392196,1.61899009,0.23770706,1.06672517,0.00081080,0.09651823,0.28954116,0.15625061,0.00306619,0.27905878
-5.83791896,1.57333034,0.22496176,1.04449538,0.00074408,0.09154293,0.27644313,0.14987235,0.00325195,0.26810339
-5.83191596,1.53011602,0.21386877,1.02229045,0.00068306,0.08725567,0.26443510,0.14389552,0.00345673,0.25820776
-5.82591296,1.48918904,0.20440769,1.00005507,0.00062760,0.08363057,0.25353487,0.13827853,0.00367749,0.24931406
-5.81990995,1.45041032,0.19654070,0.97776745,0.00057753,0.08063577,0.24375146,0.13298274,0.00391072,0.24135978
-5.81390695,1.41366371,0.19021391,0.95543980,0.00053259,0.07823405,0.23508672,0.12797344,0.00415245,0.23427982
-5.80790395,1.37885788,0.18535890,0.93311716,0.00049251,0.07638338,0.22753645,0.12322049,0.00439833,0.22800823
-5.80190095,1.34592590,0.18189420,0.91087438,0.00045699,0.07503760,0.22109111,0.11869864,0.00464370,0.22247952
-5.79589795,1.31482297,0.17972689,0.88881181,0.00042576,0.07414720,0.21573612,0.11438758,0.00488368,0.21762965
-5.78989495,1.28552255,0.17875418,0.86704974,0.00039850,0.07366003,0.21145170,0.11027168,0.00511329,0.21339660
-5.78389195,1.25801114,0.17886502,0.84572194,0.00037494,0.07352222,0.20821242,0.10633960,0.00532756,0.20972072
-5.77788894,1.23228223,0.17994161,0.82496870,0.00035484,0.07367890,0.20598645,0.10258360,0.00552172,0.20654472
-5.77188594,1.20832977,0.18186094,0.80492968,0.00033794,0.07407510,0.20473462,0.09899887,0.00569126,0.20381353
-5.76588294,1.18614145,0.18449625,0.78573684,0.00032403,0.07465651,0.20440946,0.09558270,0.00583217,0.20147390
-5.75987994,1.16569227,0.18771840,0.76750770,0.00031290,0.07537024,0.20495410,0.09233366,0.00594096,0.19947399
-5.75387694,1.14693852,0.19139720,0.75033933,0.00030438,0.07616548,0.20630146,0.08925083,0.00601484,0.19776283
-5.74787394,1.12981260,0.19540257,0.73430304,0.00029829,0.07699412,0.20837350,0.08633301,0.00605179,0.19628986
-5.74187094,1.11421872,0.19960569,0.71944011,0.00029444,0.07781119,0.21108081,0.08357814,0.00605061,0.19500439
-5.73586793,1.10002986,0.20388004,0.70575864,0.00029268,0.07857531,0.21432257,0.08098269,0.00601098,0.19385529
-5.72986493,1.08708584,0.20810237,0.69323155,0.00029281,0.07924891,0.21798687,0.07854131,0.00593343,0.19279069
-5.72386193,1.07519295,0.21215361,0.68179580,0.00029465,0.07979846,0.22195157,0.07624656,0.00581932,0.19175790
-5.71785893,1.06412498,0.21591985,0.67135300,0.00029799,0.08019452,0.22608561,0.07408880,0.00567082,0.19070352
-5.71185593,1.05362579,0.21929325,0.66177118,0.00030261,0.08041175,0.23025081,0.07205625,0.00549076,0.18957376
-5.70585293,1.04341345,0.22217304,0.65288792,0.00030827,0.08042893,0.23430420,0.07013520,0.00528257,0.18831493
-5.69984992,1.03318587,0.22446656,0.64451466,0.00031473,0.08022882,0.23810072,0.06831038,0.00505015,0.18687427
-5.69384692,1.02262793,0.22609036,0.63644212,0.00032170,0.07979810,0.24149634,0.06656546,0.00479772,0.18520085
-5.68784392,1.01141983,0.22697138,0.62844678,0.00032891,0.07912729,0.24435142,0.06488368,0.00452969,0.18324680
-5.68184092,0.99924658,0.22704816,0.62029813,0.00033609,0.07821067,0.24653426,0.06324857,0.00425055,0.18096855
-5.67583792,0.98580823,0.22627200,0.61176660,0.00034295,0.07704625,0.24792466,0.06164479,0.00396467,0.17832832
-5.66983492,0.97083069,0.22460811,0.60263187,0.00034922,0.07563570,0.24841735,0.06005899,0.00367627,0.17529547
