energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.38188825,0.01266225,0.08297162,0.02644739,1.43591679,0.72455391,0.23289166,1.64443355,0.07395310
-5.99399700,2.44270431,0.01309424,0.08501219,0.02532065,1.47444500,0.74358118,0.24027539,1.69347168,0.07554140
-5.98799400,2.50321534,0.01353286,0.08709502,0.02426038,1.51268595,0.76212185,0.24768943,1.74205482,0.07713411
-5.98199100,2.56290241,0.01396948,0.08923653,0.02327967,1.55026032,0.77997236,0.25506793,1.78965094,0.07871769
-5.97598799,2.62120558,0.01439496,0.09145257,0.02238856,1.58676301,0.79693003,0.26234091,1.83570469,0.08027712
-5.96998499,2.67753069,0.01479991,0.09375772,0.02159394,1.62176900,0.81279557,0.26943512,1.87964626,0.08179605
-5.96398199,2.73125666,0.01517499,0.09616457,0.02089955,1.65483937,0.82737520,0.27627501,1.92090024,0.08325693
-5.95797899,2.78174298,0.01551122,0.09868294,0.02030607,1.68552768,0.84048241,0.28278362,1.95889442,0.08464124
-5.95197599,2.82833766,0.01580019,0.10131911,0.01981128,1.71338653,0.85193950,0.28888354,1.99306834,0.08592964
-5.94597299,2.87038570,0.01603434,0.10407505,0.01941034,1.73797440,0.86157893,0.29449783,2.02288174,0.08710229
-5.93996998,2.90723809,0.01620712,0.10694783,0.01909604,1.75886269,0.86924467,0.29955100,2.04782289,0.08813904
-5.93396698,2.93826158,0.01631319,0.10992899,0.01885923,1.77564311,0.87479355,0.30397003,2.06741683,0.08901981
-5.92796398,2.96284918,0.01634849,0.11300421,0.01868915,1.78793526,0.87809679,0.30768546,2.08123362,0.08972489
-5.92196098,2.98043152,0.01631036,0.11615308,0.01857387,1.79539450,0.87904177,0.31063259,2.08889651,0.09023531
-5.91595798,2.99048885,0.01619754,0.11934909,0.01850071,1.79771983,0.87753395,0.31275273,2.09009005,0.09053330
-5.90995498,2.99256355,0.01601016,0.12255993,0.01845668,1.79466184,0.87349908,0.31399452,2.08456796,0.09060266
-5.90395198,2.98627277,0.01574968,0.12574792,0.01842883,1.78603028,0.86688548,0.31431529,2.07216058,0.09042920
-5.89794897,2.97132093,0.01541885,0.12887075,0.01840464,1.77170109,0.85766639,0.31368244,2.05278157,0.09000121
-5.89194597,2.94751124,0.01502154,0.13188242,0.01837236,1.75162264,0.84584219,0.31207470,2.02643362,0.08930983
-5.88594297,2.91475607,0.01456266,0.13473439,0.01832132,1.72582058,0.83144234,0.30948334,1.99321273,0.08834943
-5.87993997,2.87308523,0.01404798,0.13737686,0.01824209,1.69440129,0.81452679,0.30591311,1.95331075,0.08711793
-5.87393697,2.82265178,0.01348398,0.13976018,0.01812673,1.65755342,0.79518685,0.30138298,1.90701577,0.08561698
-5.86793397,2.76373487,0.01287770,0.14183630,0.01796888,1.61554726,0.77354526,0.29592653,1.85471025,0.08385214
-5.86193097,2.69673920,0.01223652,0.14356031,0.01776383,1.56873196,0.74975531,0.28959199,1.79686652,0.08183288
-5.85592796,2.62219094,0.01156808,0.14489182,0.01750857,1.51753039,0.72399908,0.28244185,1.73403972,0.07957250
-5.84992496,2.54072999,0.01088004,0.14579632,0.01720170,1.46243172,0.69648478,0.27455207,1.66685825,0.07708792
-5.84392196,2.45309886,0.01017999,0.14624638,0.01684339,1.40398199,0.66744314,0.26601089,1.59601188,0.07439936
-5.83791896,2.36012837,0.00947527,0.14622264,0.01643529,1.34277283,0.63712308,0.25691720,1.52223790,0.07152996
-5.83191596,2.26272066,0.00877288,0.14571459,0.01598034,1.27942882,0.60578677,0.24737866,1.44630574,0.06850524
-5.82591296,2.16183029,0.00807935,0.14472107,0.01548267,1.21459384,0.57370428,0.23750941,1.36900060,0.06535258
-5.81990995,2.05844379,0.00740066,0.14325053,0.01494736,1.14891699,0.54114804,0.22742768,1.29110662,0.06210058
-5.81390695,1.95355876,0.00674217,0.14132092,0.01438034,1.08303852,0.50838742,0.21725317,1.21339034,0.05877847
-5.80790395,1.84816301,0.00610856,0.13895938,0.01378811,1.01757635,0.47568341,0.20710447,1.13658478,0.05541546
-5.80190095,1.74321451,0.00550377,0.13620156,0.01317763,0.95311351,0.44328396,0.19709642,1.06137494,0.05204020
-5.79589795,1.63962279,0.00493103,0.13309073,0.01255612,0.89018700,0.41141974,0.18733759,0.98838499,0.04868017
-5.78989495,1.53823230,0.00439281,0.12967654,0.01193088,0.82927837,0.38030077,0.17792800,0.91816757,0.04536126
-5.78389195,1.43980805,0.00389088,0.12601371,0.01130913,0.77080620,0.35011383,0.16895701,0.85119551,0.04210733
-5.77788894,1.34502401,0.00342630,0.12216039,0.01069789,0.71512057,0.32102065,0.16050147,0.78785596,0.03893991
-5.77188594,1.25445415,0.00299949,0.11817654,0.01010380,0.66249977,0.29315701,0.15262432,0.72844717,0.03587791
-5.76588294,1.16856646,0.00261028,0.11412211,0.00953302,0.61314891,0.26663250,0.14537341,0.67317762,0.03293752
-5.75987994,1.08771972,0.00225796,0.11005533,0.00899112,0.56720065,0.24153107,0.13878079,0.62216762,0.03013211
-5.75387694,1.01216297,0.00194137,0.10603095,0.00848296,0.52471754,0.21791210,0.13286236,0.57545289,0.02747222
